Verslóritgerðir	nvfn-s	Verslóritgerðir
.	.	.

Á	aþ	á
Íslandi	nheþ-s	Ísland
eiga	sfg3fn	eiga
almannavarnir	nvfn	almannavarnir
sér	fpvfþ	sig
skamma	lveosf	skammur
sögu	nveo	saga
.	.	.

Til	ae	til
glöggvunar	nvee	glöggvun
er	sfg3en	vera
borin	sþgven	bera
saman	aa	saman
stjórnsýsla	nven	stjórnsýsla
málaflokksins	nkeeg	málaflokkur
í	aþ	í
þremur	tfhfþ	þrír
ríkjum	nhfþ	ríki
,	,	,
í	aþ	í
því	faheþ	sá
skyni	nheþ	skyn
að	cn	að
kanna	sng	kanna
hvort	c	hvort
munur	nken	munur
sé	svg3en	vera
á	aþ	á
stjórnsýslu	nveþ	stjórnsýsla
eftir	aþ	eftir
stærð	nveþ	stærð
þeirra	fphfe	það
,	,	,
fólksfjölda	nkeþ	fólksfjöldi
,	,	,
menningu	nveþ	menning
eða	c	eða
sögu	nveþ	saga
.	.	.

Auk	ae	auk
Íslands	nhee-s	Ísland
er	sfg3en	vera
sjónum	nvfþ	sjón
beint	aa	beint
að	aþ	að
Danmörku	nveþ-s	Danmörk
og	c	og
Bretlandi	nheþ-s	Bretland
.	.	.

Stjórnvöld	nhfn	stjórnvald
í	aþ	í
Danmörku	nveþ-s	Danmörk
og	c	og
Bretlandi	nheþ-s	Bretland
létu	sfg3fþ	láta
fara	sng	fara
fram	aa	fram
ítarlega	lveosf	ítarlegur
skoðun	nveo	skoðun
og	c	og
undirbúning	nkeo	undirbúningur
á	aþ	á
skipulagi	nheþ	skipulag
almannavarna	nvfe	almannavarnir
áður	aa	áður
en	c	en
lögum	nhfþ	lag
var	sfg3eþ	vera
breytt	sþghen	breyta
.	.	.

Könnuð	sþgven	kanna
er	sfg3en	vera
stjórnsýsla	nven	stjórnsýsla
almannavarna	nvfe	almannavarnir
á	aþ	á
Íslandi	nheþ-s	Ísland
út	aa	út
frá	aþ	frá
þeirri	faveþ	sá
kenningu	nveþ	kenning
að	c	að
hún	fpven	hún
sé	svg3en	vera
fremur	aam	fremur
viðnæm	lvensf	viðnæmur
(	(	(
reaktiv	e	reaktiv
)	)	)
en	c	en
fornæm	lvensf	fornæmur
(	(	(
proaktiv	e	proaktiv
)	)	)
.	.	.

Tekin	sþghfn	taka
eru	sfg3fn	vera
þrjú	tfhfn	þrír
dæmi	nhfn	dæmi
sem	ct	sem
orðið	ssg	verða
hafa	sfg3fn	hafa
til	ae	til
þess	fphee	það
að	cn	að
opna	sng	opna
stefnuglugga	nkeo	stefnugluggi
í	aþ	í
almannavörnum	nvfþ	almannavarnir
.	.	.

Þau	fphfn	það
eru	sfg3fn	vera
eldgosið	nheng	eldgos
í	aþ	í
Vestmannaeyjum	nvfþ-s	Vestmannaeyjar
árið	nheog	ár
1973	ta	1973
,	,	,
snjóflóðin	nhfng	snjóflóð
í	aþ	í
Neskaupstað	nkeþ-s	Neskaupstaður
1974	ta	1974
og	c	og
snjóflóðin	nhfng	snjóflóð
á	aþ	á
Vestfjörðum	nkfþ-s	Vestfirðir
1995	ta	1995
.	.	.

Viðlagasjóður	nken-s	Viðlagasjóður
og	c	og
síðar	aam	síðar
Viðlagatrygging	nven-s	Viðlagatrygging
komust	sfm3fþ	koma
á	ao	á
dagskrá	nveo	dagskrá
í	aa	í
eftir	aa	eftir
1973	ta	1973
og	c	og
breyttar	lvfnsf	breyttur
reglur	nvfn	regla
um	ao	um
viðbúnað	nkeo	viðbúnaður
gegn	aþ	gegn
snjóflóðum	nhfþ	snjóflóð
1995	ta	1995
.	.	.

Niðurstaðan	nveng	niðurstaða
er	sfg3en	vera
sú	faven	sá
að	c	að
það	fphen	það
ráðist	svm3en	ráða
að	aþ	að
hluta	nkeþ	hluti
til	aa	til
af	aþ	af
sögunni	nveþg	saga
að	aþ	að
hverju	fsheþ	hver
almannavarnir	nvfn	almannavarnir
beinast	sfm3fn	beina
í	aþ	í
hverju	foheþ	hver
ríki	nheþ	ríki
.	.	.

Almannavarnir	nvfn	almannavarnir
á	aþ	á
Íslandi	nheþ-s	Ísland
eru	sfg3fn	vera
viðnæmar	lvfnsf	viðnæmur
.	.	.

Menning	nven	menning
virðist	sfm3en	virða
hafa	sng	hafa
áhrif	nhfo	áhrif
í	aþ	í
Danmörku	nveþ-s	Danmörk
og	c	og
Bretlandi	nheþ-s	Bretland
.	.	.

Líkindi	nhfn	líkindi
eru	sfg3fn	vera
með	aþ	með
sögulegum	lkeþsf	sögulegur
grunni	nkeþ	grunnur
í	aþ	í
ríkjunum	nhfþg	ríki
þremur	tfhfþ	þrír
.	.	.

Bretar	nkfn-s	Breti
og	c	og
Danir	nkfn-s	Dani
eru	sfg3fn	vera
lengra	aam	langt
á	ao	á
veg	nkeo	vegur
komnir	sþgkfn	koma
en	c	en
Íslendingar	nkfn-s	Íslendingur
í	aþ	í
stefnumótunarvinnu	nveþ	stefnumótunarvinna
.	.	.

Kann	sfg3en	kunna
það	fphen	það
að	cn	að
ráðast	snm	ráða
af	aþ	af
stærð	nveþ	stærð
ríkjanna	nhfeg	ríki
og	c	og
möguleikum	nkfþ	möguleiki
þeirra	fphfe	það
til	ae	til
að	cn	að
veita	sng	veita
meira	lheovm	mikill
fé	nheo	fé
til	ae	til
málaflokksins	nkeeg	málaflokkur
.	.	.

Ísland	nhen-s	Ísland
getur	sfg3en	geta
lært	ssg	læra
af	aþ	af
hinum	fahfþ	hinn
ríkjunum	nhfþg	ríki
tveimur	tfhfþ	tveir
.	.	.

Tímabært	lhensf	tímabær
er	sfg3en	vera
að	cn	að
taka	sng	taka
málaflokkinn	nkeog	málaflokkur
almannavarnir	nvfo	almannavarnir
til	ae	til
heildstæðrar	lveesf	heildstæður
endurskoðunar	nvee	endurskoðun
og	c	og
nýta	sng	nýta
sér	fpkeþ	sig
reynslu	nveo	reynsla
nágrannaþjóðanna	nvfeg	nágrannaþjóð
,	,	,
Dana	nkfe-s	Dani
og	c	og
Breta	nkfe-s	Breti
í	aþ	í
þeim	fahfþ	sá
efnum	nhfþ	efni
.	.	.

Ríkisstjórn	nven	ríkisstjórn
Íslands	nhee-s	Ísland
á	sfg3en	eiga
að	cn	að
hafa	sng	hafa
frumkvæði	nheo	frumkvæði
að	aþ	að
þessu	faheþ	þessi
starfi	nheþ	starf
.	.	.

Markmið	nhen	markmið
þess	fphee	það
hlýtur	sfg3en	hljóta
að	cn	að
vera	sng	vera
að	cn	að
taka	sng	taka
til	ae	til
gagngerrar	lveesf	gagnger
endurskoðunar	nvee	endurskoðun
alla	fokfo	allur
þætti	nkfo	þáttur
almannahættu	nvee	almannahætta
og	c	og
hvers	fohee	hver
kyns	nhee	kyn
vár	nvee	vá
sem	ct	sem
steðjar	sfg3en	steðja
að	aþ	að
íbúum	nkfþ	íbúi
Íslands	nhee-s	Ísland
,	,	,
hvort	c	hvort
heldur	aam	heldur
er	sfg3en	vera
af	aþ	af
völdum	nhfþ	vald
náttúrunnar	nveeg	náttúra
,	,	,
svo	aa	svo
sem	c	sem
vegna	ae	vegna
jarðskjálfta	nkfe	jarðskjálfti
,	,	,
eldgosa	nhfe	eldgos
,	,	,
snjóflóða	nhfe	snjóflóð
,	,	,
flóða	nhfe	flóð
,	,	,
veðurs	nhee	veður
eða	c	eða
af	aþ	af
mannavöldum	nhfþ	mannavöld
eins	aa	eins
og	c	og
geislun	nveþ	geislun
,	,	,
eiturefnaslysum	nhfþ	eiturefnaslys
eða	c	eða
hryðjuverkum	nhfþ	hryðjuverk
.	.	.

Stöðugt	aa	stöðugt
þarf	sfg3en	þurfa
að	cn	að
vera	sng	vera
vakandi	lkenof	vakandi
fyrir	aþ	fyrir
nýrri	lveþsf	nýr
vá	nveþ	vá
og	c	og
geta	sng	geta
brugðizt	ssm	bregða
við	aþ	við
henni	fpveþ	hún
með	aþ	með
öllum	fohfþ	allur
tiltækum	lhfþsf	tiltækur
ráðum	nhfþ	ráð
.	.	.

Það	fphen	það
verður	sfg3en	verða
ekki	aa	ekki
gert	sþghen	gera
án	ae	án
heildstæðrar	lveesf	heildstæður
stefnu	nvee	stefna
.	.	.

Formáli	nken	formáli

Í	aþ	í
þessari	faveþ	þessi
15	ta	15
eininga	nvfe	eining
lokaritgerð	nveþ	lokaritgerð
til	ae	til
meistaraprófs	nhee	meistarapróf
í	aþ	í
opinberri	lveþsf	opinber
stjórnsýslu	nveþ	stjórnsýsla
,	,	,
Master	e	Master
of	e	of
Public	e	Public
Administration	e	Administration
(	(	(
MPA	as	MPA
)	)	)
,	,	,
við	ao	við
Félagsvísindadeild	nveo-s	félagsvísindadeild
Háskóla	nkee-s	Háskóli
Íslands	nhee-s	Ísland
verður	sfg3en	verða
fjallað	sþghen	fjalla
um	ao	um
almannavarnir	nvfo	almannavarnir
,	,	,
náttúruhamfarir	nvfo	náttúruhamfarir
,	,	,
sögu	nveo	saga
þeirra	fpvfe	hún
og	c	og
menningu	nveo	menning
sem	ct	sem
ríkir	sfg3en	ríkja
og	c	og
ríkt	ssg	ríkja
hefur	sfg3en	hafa
varðandi	slg	varða
málaflokkinn	nkeog	málaflokkur
á	aþ	á
Íslandi	nheþ-s	Ísland
,	,	,
í	aþ	í
Danmörku	nveþ-s	Danmörk
og	c	og
í	aþ	í
Bretlandi	nheþ-s	Bretland
.	.	.

Viðfangsefnið	nheng	viðfangsefni
er	sfg3en	vera
valið	sþghen	velja
vegna	ae	vegna
starfa	nhfe	starf
höfundar	nkee	höfundur
,	,	,
sem	ct	sem
starfað	ssg	starfa
hefur	sfg3en	hafa
rúm	lhfosf	rúmur
16	ta	16
ár	nhfo	ár
sem	ct	sem
lögreglustjóri	nken	lögreglustjóri
og	c	og
yfirmaður	nken	yfirmaður
almannavarna	nvfe	almannavarnir
,	,	,
fyrst	aae	fyrr
á	aþ	á
Ísafirði	nkeþ-s	Ísafjörður
í	ao	í
rúman	lkeosf	rúmur
áratug	nkeo	áratugur
og	c	og
rúm	lhfosf	rúmur
sex	tfhfo	sex
ár	nhfo	ár
á	aþ	á
Selfossi	nkeþ-s	Selfoss
,	,	,
í	aþ	í
Árnessýslu	nveþ-s	Árnessýsla
.	.	.

Ísafjarðarsýslur	nvfn-s	Ísafjarðarsýsla
er	sfg3en	vera
þekkt	lhensf	þekktur
snjóflóðasvæði	nhen	snjóflóðasvæði
.	.	.

Þar	aa	þar
féllu	sfg3fþ	falla
á	aþ	á
árunum	nhfþg	ár
1994	ta	1994
til	aa	til
1995	ta	1995
,	,	,
þrjú	tfhfn	þrír
mannskæð	lhfnsf	mannskæður
snjóflóð	nhfn	snjóflóð
sem	ct	sem
kostuðu	sfg3fþ	kosta
alls	fohee	allur
35	ta	35
manns	nkee	maður
lífið	nheog	líf
.	.	.

Lögreglustjórar	nkfn	lögreglustjóri
bera	sfg3fn	bera
ábyrgð	nveo	ábyrgð
á	aþ	á
viðbrögðum	nhfþ	viðbragð
og	c	og
björgun	nveþ	björgun
samkvæmt	aþ	samkvæmt
gildandi	lhfþof	gildandi
lögum	nhfþ	lag
og	c	og
reglum	nvfþ	regla
um	ao	um
almannavarnir	nvfo	almannavarnir
.	.	.

Árnessýsla	nven-s	Árnessýsla
er	sfg3en	vera
þekkt	lhensf	þekktur
jarðskjálftasvæði	nhen	jarðskjálftasvæði
.	.	.

Árið	nheog	ár
2000	ta	2000
urðu	sfg3fþ	verða
harðir	lkfnsf	harður
jarðskjálftar	nkfn	jarðskjálfti
á	aþ	á
Suðurlandi	nheþ-s	Suðurland
,	,	,
enginn	foken	enginn
lét	sfg3eþ	láta
lífið	nheog	líf
eða	c	eða
slasaðist	sfm3eþ	slasa
alvarlega	aa	alvarlega
,	,	,
en	c	en
töluvert	lhensf	töluverður
tjón	nhen	tjón
varð	sfg3eþ	verða
á	aþ	á
eignum	nvfþ	eign
og	c	og
námu	sfg3fþ	nema
tjónabætur	nvfn	tjónabætur
rúmum	lkfþsf	rúmur
2,6	ta	2,6
milljörðum	nkfþ	milljarður
króna	nvfe	króna
.	.	.

Enn	aa	enn
virðist	sfm3en	virða
ekki	aa	ekki
séð	sþghen	sjá
fyrir	ao	fyrir
endann	nkeog	endi
á	aþ	á
afleiðingunum	nvfþg	afleiðing
því	fpheþ	það
enn	aa	enn
eru	sfg3fn	vera
að	cn	að
koma	sng	koma
fram	aa	fram
skemmdir	nvfn	skemmd
á	aþ	á
húseignum	nvfþ	húseign
sem	ct	sem
rekja	sng	rekja
má	sfg3en	mega
til	ae	til
skjálftanna	nkfeg	skjálfti
.	.	.

Er	c	er
að	aþ	að
því	fpheþ	það
kom	sfg3eþ	koma
að	cn	að
velja	sng	velja
viðfangsefni	nheo	viðfangsefni
til	ae	til
meistaraprófsritgerðar	nvee	meistaraprófsritgerð
lá	sfg3eþ	liggja
beint	aa	beint
við	ao	við
að	cn	að
rannsaka	sng	rannsaka
frekar	aam	frekar
þá	fakfo	sá
þætti	nkfo	þáttur
sem	ct	sem
liggja	sfg3fn	liggja
til	ae	til
grundvallar	nkee	grundvöllur
skipulagi	nheþ	skipulag
almannavarna	nvfe	almannavarnir
á	aþ	á
Íslandi	nheþ-s	Ísland
.	.	.

Jafnframt	aa	jafnframt
er	sfg3en	vera
áhugvert	x	áhugverður
að	cn	að
líta	sng	líta
til	ae	til
annarra	fohfe	annar
landa	nhfe	land
og	c	og
til	ae	til
framtíðar	nvee	framtíð
.	.	.

Gerð	sþgven	gera
verður	sfg3en	verða
grein	nven	grein
fyrir	aþ	fyrir
því	fpheþ	það
hvert	aa	hvert
þessar	favfn	þessi
niðurstöður	nvfn	niðurstaða
leiða	sfg3fn	leiða
varðandi	slg	varða
hugmyndir	nvfo	hugmynd
um	ao	um
frekari	lveovm	frekur
þróun	nveo	þróun
skipulags	nhee	skipulag
almannavarna	nvfe	almannavarnir
á	aþ	á
Íslandi	nheþ-s	Ísland
.	.	.

Náttúruhamfarir	nvfn	náttúruhamfarir
á	ao	á
borð	nheo	borð
við	ao	við
snjóflóð	nhfo	snjóflóð
,	,	,
jarðskjálfta	nkfo	jarðskjálfti
og	c	og
eldgos	nhfo	eldgos
eru	sfg3fn	vera
nærtækt	lhensf	nærtækur
rannsóknarefni	nhen	rannsóknarefni
.	.	.

Heimurinn	nkeng	heimur
tekur	sfg3en	taka
stöðugum	lvfþsf	stöðugur
breytingum	nvfþ	breyting
og	c	og
því	aa	því
er	sfg3en	vera
brýnt	lhensf	brýnn
að	cn	að
taka	sng	taka
einnig	aa	einnig
til	ae	til
athugunar	nvee	athugun
hvernig	aa	hvernig
bregðast	snm	bregða
skuli	svg3en	skulu
við	aþ	við
annars	fokee	annar
konar	nkee	konar
ógn	nveþ	ógn
sem	ct	sem
steðja	sng	steðja
kann	sfg3en	kunna
að	aþ	að
Íslandi	nheþ-s	Ísland
og	c	og
Íslendingum	nkfþ-s	Íslendingur
framvegis	aa	framvegis
.	.	.

Enginn	foken	enginn
sem	ct	sem
upplifir	sfg3en	upplifa
mannskæð	lhfosf	mannskæður
snjóflóð	nhfo	snjóflóð
í	aþ	í
návígi	nheþ	návígi
og	c	og
björgunarstörf	nhfo	björgunarstarf
,	,	,
úrvinnslu	nveo	úrvinnsla
afleiðinga	nvfe	afleiðing
þeirra	fphfe	það
,	,	,
er	sfg3en	vera
ósnortinn	lkensf	ósnortinn
og	c	og
samur	fbken	samur
á	aa	á
eftir	aa	eftir
.	.	.

Þá	aa	þá
blasir	sfg3en	blasa
við	aa	við
hve	aa	hve
mikilvægt	lhensf	mikilvægur
það	fphen	það
er	sfg3en	vera
að	cn	að
efla	sng	efla
viðbúnað	nkeo	viðbúnaður
með	aþ	með
öllum	fohfþ	allur
mögulegum	lhfþsf	mögulegur
ráðum	nhfþ	ráð
.	.	.

Máltækið	nheng	máltæki
segir	sfg3en	segja
að	cn	að
byrgja	sng	byrgja
skuli	svg3en	skulu
brunninn	nkeog	brunnur
áður	aa	áður
en	c	en
barnið	nheng	barn
dettur	sfg3en	detta
ofan	aa	ofan
í	ao	í
hann	fpkeo	hann
.	.	.

Það	fphen	það
er	sfg3en	vera
kjarni	nken	kjarni
alls	fokee	allur
viðbúnaðar	nkee	viðbúnaður
að	cn	að
koma	sng	koma
í	ao	í
veg	nkeo	vegur
fyrir	ao	fyrir
ófarir	nvfo	óför
og	c	og
slys	nhfo	slys
.	.	.

En	c	en
það	fphen	það
krefst	sfm3en	krefja
mikils	lheesf	mikill
.	.	.

Stefnumótun	nven	stefnumótun
byggð	sþgven	byggja
á	aþ	á
traustum	lkeþsf	traustur
grunni	nkeþ	grunnur
rannsókna	nvfe	rannsókn
og	c	og
reynslu	nvee	reynsla
er	sfg3en	vera
afar	aa	afar
mikilvæg	lvensf	mikilvægur
.	.	.

Ef	c	ef
vel	aa	vel
tekst	sfm3en	taka
til	aa	til
skiptir	sfg3en	skipta
hún	fpven	hún
sköpum	nhfþ	skap
.	.	.

En	c	en
það	fphen	það
er	sfg3en	vera
ekki	aa	ekki
áhlaupaverk	nhen	áhlaupaverk
og	c	og
jafnframt	aa	jafnframt
stöðug	lvensf	stöðugur
og	c	og
þrotlaus	lvensf	þrotlaus
vinna	nven	vinna
,	,	,
samvinna	nven	samvinna
margra	lkfesf	margur
innan	aa	innan
og	c	og
utan	ae	utan
stjórnsýslunnar	nveeg	stjórnsýsla
.	.	.

Tilgangurinn	nkeng	tilgangur
hlýtur	sfg3en	hljóta
að	cn	að
vera	sng	vera
að	cn	að
hafa	sng	hafa
skarpa	lveosf	skarpur
sýn	nveo	sýn
á	ao	á
viðfangsefnið	nheog	viðfangsefni
,	,	,
vita	sng	vita
hvert	aa	hvert
á	sfg3en	eiga
að	cn	að
stefna	sng	stefna
og	c	og
móta	sng	móta
skýr	lhfosf	skýr
,	,	,
raunhæf	lhfosf	raunhæfur
markmið	nhfo	markmið
þannig	aa	þannig
að	c	að
unnt	lhensf	unnt
verði	svg3en	verða
að	cn	að
koma	sng	koma
í	ao	í
veg	nkeo	vegur
fyrir	ao	fyrir
manntjón	nheo	manntjón
og	c	og
eignatjón	nheo	eignatjón
og	c	og
koma	sng	koma
til	ae	til
bjargar	nvee	björg
eins	aa	eins
skjótt	aa	skjótt
og	c	og
unnt	lhensf	unnt
er	sfg3en	vera
þegar	c	þegar
áfall	nhen	áfall
hefur	sfg3en	hafa
dunið	ssg	dynja
yfir	aa	yfir
.	.	.

Tækni	nven	tækni
og	c	og
kunnátta	nven	kunnátta
manna	nkfe	maður
í	aþ	í
upphafi	nheþ	upphaf
21.	ta	21.
aldar	nvee	öld
er	sfg3en	vera
mikil	lvensf	mikill
og	c	og
engan	fokeo	enginn
veginn	nkeog	vegur
sambærileg	lvensf	sambærilegur
við	ao	við
það	faheo	sá
sem	ct	sem
var	sfg3eþ	vera
fyrr	aam	fyrr
á	aþ	á
öldum	nvfþ	öld
.	.	.

Hvort	fohen	hvor
tveggja	tfhfe	tveir
á	sfg3en	eiga
að	cn	að
nýta	sng	nýta
í	aþ	í
þessu	faheþ	þessi
skyni	nheþ	skyn
.	.	.

Ekki	aa	ekki
hefur	sfg3en	hafa
farið	ssg	fara
mikið	lhensf	mikill
fyrir	aþ	fyrir
rannsóknum	nvfþ	rannsókn
á	aþ	á
sviði	nheþ	svið
stjórnsýslu	nvee	stjórnsýsla
og	c	og
skipulagi	nheþ	skipulag
almannavarna	nvfe	almannavarnir
á	aþ	á
Íslandi	nheþ-s	Ísland
.	.	.

Leitað	sþghen	leita
hefur	sfg3en	hafa
verið	ssg	vera
fanga	nhfe	fang
í	aþ	í
lögum	nhfþ	lag
,	,	,
lagafrumvörpum	nhfþ	lagafrumvarp
,	,	,
ásamt	aþ	ásamt
greinargerðum	nvfþ	greinargerð
,	,	,
og	c	og
umræðum	nvfþ	umræða
um	ao	um
þau	fphfo	það
á	aþ	á
Alþingi	nheþ-s	Alþingi
.	.	.

Ritaðar	lvfnsf	ritaður
heimildir	nvfn	heimild
eru	sfg3fn	vera
fáar	lvfnsf	fár
nema	c	nema
annálar	nkfn	annáll
og	c	og
fyrst	aae	fyrr
og	c	og
fremst	aae	fremur
lýsingar	nvfn	lýsing
á	aþ	á
náttúruhamförum	nvfþ	náttúruhamfarir
,	,	,
en	c	en
síður	aam	síður
hvernig	aa	hvernig
kerfisbundið	aa	kerfisbundið
var	sfg3eþ	vera
brugðist	sþmhen	bregða
við	aþ	við
þeim	fpvfþ	hún
.	.	.

Þær	favfn	sá
íslenzkar	x	íslenskur
heimildir	nvfn	heimild
sem	ct	sem
stuðzt	sþmhen	stuðzt
verður	sfg3en	verða
við	aa	við
eru	sfg3fn	vera
meðal	ae	meðal
annars	fohee	annar
meistaraprófsritgerð	nven	meistaraprófsritgerð
Ásthildar	nvee-s	Ásthildur
Elvu	nvee-s	Elva
Bernharðsdóttur	nvee-s	Bernharðsdóttir
,	,	,
um	ao	um
afleiðingar	nvfo	afleiðing
snjóflóðanna	nhfeg	snjóflóð
í	aþ	í
Súðavík	nveþ-s	Súðavík
og	c	og
á	aþ	á
Flateyri	nveþ-s	Flateyri
,	,	,
árið	nheog	ár
2000	ta	2000
,	,	,
grein	nven	grein
hennar	fpvee	hún
og	c	og
Gunnars	nkee-s	Gunnar
Helga	nkee-s	Helgi
Kristinssonar	nkee-s	Kristinsson
,	,	,
um	ao	um
kúltúrkenningar	nvfo	kúltúrkenning
í	aþ	í
áfallastjórnun	nveþ	áfallastjórnun
,	,	,
árið	nheog	ár
2000	ta	2000
og	c	og
ritgerð	nven	ritgerð
undirritaðs	lkeesf	undirritaður
sem	ct	sem
gerð	sþgven	gera
var	sfg3eþ	vera
á	aþ	á
námskeiði	nheþ	námskeið
í	aþ	í
opinberri	lveþsf	opinber
stjórnsýslu	nveþ	stjórnsýsla
1	ta	1
,	,	,
haustið	nheog	haust
1999	ta	1999
og	c	og
var	sfg3eþ	vera
síðar	aam	síðar
birt	sþgven	birta
,	,	,
lítið	aa	lítið
breytt	lvensf	breyttur
,	,	,
í	aþ	í
tímaritinu	nheþg	tímarit
Sveitarstjórnarmálum	nhfþ-s	Sveitarstjórnarmál
,	,	,
árið	nheog	ár
2001	ta	2001
.	.	.

Einnig	aa	einnig
verður	sfg3en	verða
vitnað	sþghen	vitna
til	ae	til
aðila	nkfe	aðili
sem	ct	sem
haft	sþghen	hafa
var	sfg3eþ	vera
samband	nhen	samband
við	aa	við
á	aþ	á
fundum	nkfþ	fundur
,	,	,
símleiðis	aa	símleiðis
eða	c	eða
með	aþ	með
tölvupósti	nkeþ	tölvupóstur
,	,	,
auk	ae	auk
ýmissa	fovfe	ýmis
erlendra	lvfesf	erlendur
heimilda	nvfe	heimild
.	.	.

Færi	sfg1en	færa
ég	fp1en	ég
heimildarmönnum	nkfþ	heimildarmaður
öllum	fokfþ	allur
beztu	lvfove	góður
þakkir	nvfo	þökk
.	.	.

Sérstakar	lvfosf	sérstakur
þakkir	nvfo	þökk
fá	sfg3fn	fá
Gunnar	nken-s	Gunnar
Helgi	nken-s	Helgi
Kristinsson	nken-s	Kristinsson
,	,	,
prófessor	nken	prófessor
,	,	,
fyrir	ao	fyrir
hans	fpkee	hann
leiðsögn	nveo	leiðsögn
,	,	,
Þórdís	nven-s	Þórdís
Jónsdóttir	nven-s	Jónsdóttir
eiginkona	nven	eiginkona
mín	feven	minn
fyrir	ao	fyrir
einstakt	lheosf	einstakur
umburðarlyndi	nheo	umburðarlyndi
,	,	,
fjölskylda	nven	fjölskylda
mín	feven	minn
og	c	og
samstarfsfólk	nhen	samstarfsfólk
fyrir	ao	fyrir
einstaka	lveosf	einstakur
þolinmæði	nveo	þolinmæði
og	c	og
skilning	nkeo	skilningur
.	.	.

1	ta	1
.	.	.

Inngangur	nken	inngangur
Ritgerðin	nveng	ritgerð
fjallar	sfg3en	fjalla
um	ao	um
samanburð	nkeo	samanburður
á	aþ	á
skipulagi	nheþ	skipulag
almannavarna	nvfe	almannavarnir
Íslands	nhee-s	Ísland
,	,	,
Danmerkur	nvee-s	Danmörk
og	c	og
Bretlands	nhee-s	Bretland
.	.	.

Einnig	aa	einnig
verður	sfg3en	verða
tekinn	sþgken	taka
til	ae	til
athugunar	nvee	athugun
aðdragandi	nken	aðdragandi
stefnumótunar	nvee	stefnumótun
á	aþ	á
sviði	nheþ	svið
almannavarna	nvfe	almannavarnir
á	aþ	á
Íslandi	nheþ-s	Ísland
.	.	.

Danmörk	nven-s	Danmörk
og	c	og
Bretland	nhen-s	Bretland
hafa	sfg3fn	hafa
á	aþ	á
undanförnum	lhfþsf	undanfarinn
árum	nhfþ	ár
lagt	ssg	leggja
mikla	lveosf	mikill
vinnu	nveo	vinna
í	ao	í
nýtt	lheosf	nýr
heildarskipulag	nheo	heildarskipulag
almannavarna	nvfe	almannavarnir
.	.	.

Leitast	sþmhen	leita
verður	sfg3en	verða
við	ao	við
að	cn	að
komast	snm	koma
að	aþ	að
niðurstöðu	nveþ	niðurstaða
um	aa	um
hvort	c	hvort
uppbygging	nven	uppbygging
almannavarna	nvfe	almannavarnir
ráðist	svm3en	ráða
af	aþ	af
stærð	nveþ	stærð
ríkjanna	nhfeg	ríki
,	,	,
og	c	og
er	sfg3en	vera
þá	aa	þá
miðað	sþghen	miða
við	ao	við
mannfjölda	nkeo	mannfjöldi
,	,	,
menningu	nveo	menning
,	,	,
sögulegum	lkeþsf	sögulegur
grunni	nkeþ	grunnur
eða	c	eða
fjárframlögum	nhfþ	fjárframlag
til	ae	til
málaflokksins	nkeeg	málaflokkur
.	.	.

Hér	aa	hér
á	aa	á
eftir	aa	eftir
verður	sfg3en	verða
gerð	sþgven	gera
grein	nven	grein
fyrir	aþ	fyrir
vinnu	nveþ	vinna
Dana	nkfe-s	Dani
og	c	og
Breta	nkfe-s	Breti
í	aþ	í
þeim	fahfþ	sá
efnum	nhfþ	efni
.	.	.

Reynt	sþghen	reyna
verður	sfg3en	verða
að	cn	að
skýra	sng	skýra
mun	nkeo	munur
á	aþ	á
almannavarnaskipulagi	nheþ	almannavarnaskipulag
ríkjanna	nhfeg	ríki
,	,	,
reynist	svm3en	reyna
hann	fpken	hann
vera	sng	vera
fyrir	aþ	fyrir
hendi	nveþ	hönd
og	c	og
af	aþ	af
hverju	fsheþ	hver
hann	fpken	hann
stafar	sfg3en	stafa
.	.	.

Íslendingar	nkfn-s	Íslendingur
hafa	sfg3fn	hafa
löngum	aa	löngum
litið	ssg	líta
til	ae	til
nágrannaríkja	nhfe	nágrannaríki
þegar	c	þegar
að	aþ	að
því	fpheþ	það
kemur	sfg3en	koma
að	cn	að
semja	sng	semja
ný	lhfosf	nýr
lög	nhfo	lag
.	.	.

Einkum	aa	einkum
hafa	sfg3fn	hafa
Norðurlönd	nhfn-s	Norðurlönd
orðið	ssg	verða
fyrir	aþ	fyrir
valinu	nheþg	val
þegar	c	þegar
leitað	sþghen	leita
er	sfg3en	vera
fyrirmynda	nvfe	fyrirmynd
.	.	.

Stjórnsýsla	nven	stjórnsýsla
almannavarna	nvfe	almannavarnir
byggir	sfg3en	byggja
á	aþ	á
settum	lhfþsf	settur
lögum	nhfþ	lag
Athugað	sþghen	athuga
verður	sfg3en	verða
hvort	c	hvort
fremur	aam	fremur
eigi	svg3en	eiga
við	aa	við
smáskrefakenning	nven	smáskrefakenning
Lindblom	e	Lindblom
eða	c	eða
heildstæðar	lvfnsf	heildstæður
kenningar	nvfn	kenning
Simon	e	Simon
.	.	.

Skoðaðar	sþgvfn	skoða
verða	sfg3fn	verða
kenningar	nvfn	kenning
Kingdon	e	Kingdon
um	ao	um
það	fpheo	það
hvenær	aa	hvenær
mál	nhfn	mál
komast	sfm3fn	koma
á	ao	á
dagskrá	nveo	dagskrá
