slíkan	fbkeo	slíkur
bæði	c	bæði
þér	fp2eþ	þú
og	c	og
okkur	fp1fþ	ég
sem	ct	sem
þekktum	sfg1fþ	þekkja
þig	fp2eo	þú
.	.	.
Frá	aþ	frá
því	fpheþ	það
við	fp1fn	ég
vorum	sfg1fþ	vera
litlar	lvfnsf	lítill
munum	sfg1fn	muna
við	fp1fn	ég
eftir	aþ	eftir
þér	fp2eþ	þú
sístarfandi	lveþof	sístarfandi
.	.	.
Þú	fp2en	þú
varst	sfg2eþ	vera
listakokkur	nken	listakokkur
,	,	,
hélst	sfm2eþ	halda
heimilinu	nheþg	heimili
fínu	lheþsf	fínn
og	c	og
öllu	foheþ	allur
í	aþ	í
röð	nveþ	röð
og	c	og
reglu	nveþ	regla
.	.	.
Við	fp1fn	ég
minnumst	sfm1fn	minna
líka	aa	líka
rólegri	lkfevm	rólegur
tíma	nkfe	tími
þegar	c	þegar
þú	fp2en	þú
settist	sfm2eþ	setja
við	ao	við
píanóið	nheog	píanó
og	c	og
spilaðir	sfg2eþ	spila
falleg	lhfosf	fallegur
lög	nhfo	lag
fyrir	ao	fyrir
okkur	fp1fo	ég
.	.	.
Við	fp1fn	ég
fórum	sfg1fþ	fara
líka	aa	líka
alltaf	aa	alltaf
í	ao	í
sunnudagsbíltúr	nkeo	sunnudagsbíltúr
með	aþ	með
þér	fp2eþ	þú
og	c	og
pabba	nkeþ	pabbi
og	c	og
heimsóttum	sfg1fþ	heimsækja
ömmu	nveo	amma
og	c	og
afa	nkeo	afi
.	.	.
Þar	aa	þar
var	sfg3eþ	vera
mikið	aa	mikið
spilað	sþghen	spila
,	,	,
teflt	sþghen	tefla
og	c	og
hlegið	sþghen	hlæja
saman	aa	saman
.	.	.
Þetta	fahen	þessi
er	sfg3en	vera
hluti	nken	hluti
af	aþ	af
ómetanlegum	lvfþsf	ómetanlegur
minningum	nvfþ	minning
sem	ct	sem
fylgja	sfg3fn	fylgja
okkur	fp1fþ	ég
.	.	.
Börnin	nhfng	barn
okkar	fp1fe	ég
hafa	sfg3fn	hafa
fengið	ssg	fá
að	cn	að
kynnast	snm	kynna
því	fpheþ	það
sama	fbheþ	sami
hjá	aþ	hjá
þér	fp2eþ	þú
og	c	og
pabba	nkeþ	pabbi
,	,	,
hafa	sfg3fn	hafa
alltaf	aa	alltaf
verið	ssg	vera
velkomin	lhfnsf	velkominn
og	c	og
fundið	ssg	finna
hlýju	nveo	hlýja
og	c	og
væntumþykju	nveo	væntumþykja
.	.	.
Það	fpheo	það
hafa	sfg3fn	hafa
einnig	aa	einnig
aðrir	fokfn	annar
fundið	ssg	finna
sem	ct	sem
sést	sfm3en	sjá
best	aae	vel
á	aþ	á
öllum	fohfþ	allur
símtölum	nhfþ	símtal
,	,	,
heimsóknum	nvfþ	heimsókn
og	c	og
stöðugum	lkeþsf	stöðugur
gestagangi	nkeþ	gestagangur
í	aa	í
gegnum	ao	gegnum
árin	nhfog	ár
.	.	.
Við	fp1fn	ég
eigum	sfg1fn	eiga
eftir	aa	eftir
að	cn	að
sakna	sng	sakna
þín	fp2ee	þú
meiriháttar	aa	meiriháttar
,	,	,
að	cn	að
geta	sng	geta
komið	ssg	koma
í	ao	í
Hlunnavoginn	nkeogs	Hlunnavogur
og	c	og
sest	ssm	setja
niður	aa	niður
yfir	aþ	yfir
kaffibolla	nkeþ	kaffibolli
,	,	,
yatsí	nxeþ	yatsí
og	c	og
spjalli	nheþ	spjall
í	ao	í
tíma	nkeo	tími
og	c	og
ótíma	nkeo	ótími
eða	c	eða
getað	ssg	geta
tekið	ssg	taka
upp	aa	upp
símann	nkeog	sími
og	c	og
heyrt	ssg	heyra
þig	fp2eo	þú
segja	sng	segja
að	c	að
allt	fohen	allur
lagist	svm3en	laga
eða	c	eða
verði	svg3en	verða
betra	lhenvm	góður
innan	ae	innan
tíðar	nvee	tíð
.	.	.
Þú	fp2en	þú
hafðir	sfg2eþ	hafa
þennan	fakeo	þessi
hæfileika	nkeo	hæfileiki
að	cn	að
sjá	sng	sjá
frekar	aam	frekar
björtu	lvfovf	bjartur
hliðarnar	nvfog	hlið
.	.	.
Við	fp1fn	ég
eigum	sfg1fn	eiga
jafnframt	aa	jafnframt
eftir	aa	eftir
að	cn	að
sakna	sng	sakna
gálgahúmorsins	nkeeg	gálgahúmor
þíns	fekee	þinn
,	,	,
þegar	c	þegar
spaugilegar	lvfnsf	spaugilegur
uppákomur	nvfn	uppákoma
urðu	sfg3fþ	verða
og	c	og
þú	fp2en	þú
skemmtir	sfg2eþ	skemmta
þér	fp2eþ	þú
konunglega	aa	konunglega
,	,	,
oft	aa	oft
á	ao	á
okkar	fp1fe	ég
kostnað	nkeo	kostnaður
eða	c	eða
annarra	fokfe	annar
.	.	.
Það	fphen	það
var	sfg3eþ	vera
allt	fohen	allur
í	aþ	í
lagi	nheþ	lag
því	fpheþ	það
okkur	fp1fþ	ég
fannst	sfm3eþ	finna
það	fphen	það
bara	aa	bara
fyndið	lhensf	fyndinn
.	.	.
Í	aa	í
gegnum	ao	gegnum
veikindi	nhfo	veikindi
þín	fehfo	þinn
þetta	faheo	þessi
síðasta	lheove	síðari
ár	nheo	ár
stóðstu	sbg2en	stóðsa
þig	fp2eo	þú
eins	aa	eins
og	c	og
hetja	nven	hetja
.	.	.
Þá	aa	þá
komu	sfg3fþ	koma
allir	fokfn	allur
þessir	fakfn	þessi
góðu	lkfnvf	góður
eiginleikar	nkfn	eiginleiki
þínir	fekfn	þinn
enn	aa	enn
betur	aam	vel
fram	aa	fram
og	c	og
við	fp1fn	ég
dáðumst	sfm1fþ	dá
að	aþ	að
þrautseigju	nveþ	þrautseigja
þinni	feveþ	þinn
og	c	og
seiglu	nveþ	seigla
.	.	.
Það	fphen	það
átti	sfg3eþ	eiga
ekki	aa	ekki
við	ao	við
þig	fp2eo	þú
að	cn	að
kvarta	sng	kvarta
og	c	og
gefast	snm	gefa
upp	aa	upp
.	.	.
Í	ao	í
lokin	nhfog	lok
fundum	sfg1fþ	finna
við	fp1fn	ég
hvað	fshen	hver
þú	fp2en	þú
varst	sfg2eþ	vera
orðin	sþgven	verða
þreytt	lvensf	þreyttur
og	c	og
hvað	fshen	hver
af	aþ	af
þér	fp2eþ	þú
var	sfg3eþ	vera
dregið	sþghen	draga
,	,	,
þó	aa	þó
við	fp1fn	ég
vildum	svg1fþ	vilja
trúa	sng	trúa
því	fpheþ	það
fram	aa	fram
á	ao	á
síðustu	lveove	síðari
stund	nveo	stund
að	c	að
þú	fp2en	þú
kæmist	svm2eþ	koma
yfir	ao	yfir
þetta	faheo	þessi
og	c	og
við	fp1fn	ég
fengjum	svg1fþ	fá
að	cn	að
hafa	sng	hafa
þig	fp2eo	þú
hjá	aþ	hjá
okkur	fp1fþ	ég
aðeins	aa	aðeins
lengur	aam	lengi
.	.	.
Nú	aa	nú
hefurðu	sfg2en	hafa
fengið	ssg	fá
hvíld	nveo	hvíld
en	c	en
minning	nven	minning
þín	feven	þinn
lifir	sfg3en	lifa
í	aþ	í
hugum	nkfþ	hugi
og	c	og
hjörtum	nhfþ	hjarta
okkar	fp1fe	ég
allra	fohfe	allur
.	.	.
Takk	au	takk
fyrir	ao	fyrir
allt	foheo	allur
og	c	og
allt	foheo	allur
.	.	.
Unnur	nven-s	Unnur
Heba	nven-s	Heba
,	,	,
Helga	nven-s	Helga
og	c	og
Ingunn	nven-s	Ingunn
.	.	.
Elsku	nvee	elska
sæta	lvenvf	sætur
amma	nven	amma
!	!	!
Ég	fp1en	ég
sakna	sfg1en	sakna
þín	fp2ee	þú
.	.	.
Við	fp1fn	ég
sáumst	sfm1fþ	sjá
ekki	aa	ekki
svo	aa	svo
oft	aa	oft
út	aa	út
af	aþ	af
stóra	lheþvf	stór
Atlantshafinu	nheþgs	Atlantshaf
á	aa	á
milli	ae	milli
okkar	fp1fe	ég
,	,	,
en	c	en
það	fphen	það
var	sfg3eþ	vera
gott	lhensf	góður
að	cn	að
hugsa	sng	hugsa
um	ao	um
þig	fp2eo	þú
.	.	.
Það	fphen	það
er	sfg3en	vera
gott	lhensf	góður
að	cn	að
hugsa	sng	hugsa
um	ao	um
þig	fp2eo	þú
.	.	.
Þú	fp2en	þú
ert	sfg2en	vera
litla	lvenvf	lítill
góða	lvenvf	góður
amma	nven	amma
sem	ct	sem
kvartaði	sfg3eþ	kvarta
aldrei	aa	aldrei
,	,	,
þó	aa	þó
ég	fp1en	ég
viti	svg1en	vita
að	c	að
þér	fp2eþ	þú
liði	svg3eþ	líða
illa	aa	illa
síðast	aae	síðar
þegar	c	þegar
við	fp1fn	ég
sáumst	sfm1fþ	sjá
.	.	.
Ég	fp1en	ég
veit	sfg1en	vita
ekki	aa	ekki
alveg	aa	alveg
hvort	c	hvort
ég	fp1en	ég
trúi	sfg1en	trúa
á	ao	á
Guð	nkeo-s	Guð
.	.	.
Hef	sfg1en	hafa
stundum	aa	stundum
hugsað	ssg	hugsa
um	aa	um
hvort	c	hvort
það	fphen	það
séu	svg3fn	vera
fleiri	lhfnvm	margur
líf	nhfn	líf
eftir	ao	eftir
þetta	faheo	þessi
.	.	.
En	c	en
ég	fp1en	ég
er	sfg1en	vera
búin	lvensf	búinn
að	cn	að
ákveða	sng	ákveða
mig	fp1eo	ég
,	,	,
og	c	og
vona	sfg1en	vona
að	c	að
það	fphen	það
sé	svg3en	vera
til	aa	til
himinn	nken	himinn
.	.	.
Ég	fp1en	ég
vil	sfg1en	vilja
ekki	aa	ekki
að	c	að
þú	fp2en	þú
verðir	svg2en	verða
nein	foven	neinn
önnur	foven	annar
,	,	,
því	fpheþ	það
þú	fp2en	þú
ert	sfg2en	vera
Eyja	nven-s	Eyja
amma	nven	amma
.	.	.
Og	c	og
ég	fp1en	ég
vil	sfg1en	vilja
að	c	að
þú	fp2en	þú
fáir	svg2en	fá
að	cn	að
komast	snm	koma
til	ae	til
himna	nkfe	himinn
,	,	,
og	c	og
að	c	að
mamma	nven	mamma
þín	feven	þinn
og	c	og
pabbi	nken	pabbi
séu	svg3fn	vera
þar	aa	þar
til	ae	til
að	cn	að
taka	sng	taka
á	aa	á
móti	aþ	móti
þér	fp2eþ	þú
.	.	.
Ég	fp1en	ég
ætlaði	svg1eþ	ætla
að	cn	að
skrifa	sng	skrifa
fleiri	lhfovm	margur
bréf	nhfo	bréf
til	ae	til
þín	fp2ee	þú
,	,	,
en	c	en
ef	c	ef
þú	fp2en	þú
situr	sfg2en	sitja
þarna	aa	þarna
uppi	aa	uppi
einhvers	fokee	einhver
staðar	nkee	staður
get	sfg1en	geta
ég	fp1en	ég
kannski	aa	kannski
talað	ssg	tala
við	ao	við
þig	fp2eo	þú
stundum	aa	stundum
.	.	.
Ég	fp1en	ég
veit	sfg1en	vita
að	c	að
Eyrún	nven-s	Eyrún
systir	nven	systir
vildi	sfg3eþ	vilja
vera	sng	vera
hér	aa	hér
á	aþ	á
Íslandi	nheþ-s	Ísland
líka	aa	líka
,	,	,
og	c	og
að	aþ	að
henni	fpveþ	hún
þótti	sfg3eþ	þykja
óskaplega	aa	óskaplega
vænt	lhensf	vænn
um	ao	um
bæði	c	bæði
þig	fp2eo	þú
og	c	og
afa	nkeo	afi
.	.	.
Hún	fpven	hún
hlakkaði	sfg3eþ	hlakka
mikið	aa	mikið
til	aa	til
þegar	c	þegar
þið	fp2fn	þú
voruð	sfg2fþ	vera
að	cn	að
koma	sng	koma
í	ao	í
heimsókn	nveo	heimsókn
til	ae	til
okkar	fp1fe	ég
í	ao	í
fyrra	lheovm	fyrri
sumar	nheo	sumar
.	.	.
Ég	fp1en	ég
færi	sfg1en	færa
þér	fp2eþ	þú
koss	nkeo	koss
frá	aþ	frá
henni	fpveþ	hún
.	.	.
Við	fp1fn	ég
gleymum	sfg1fn	gleyma
þér	fp2eþ	þú
aldrei	aa	aldrei
,	,	,
amma	nven	amma
mín	feven	minn
.	.	.
Láttu	sbg2en	láta
þér	fp2eþ	þú
líða	sng	líða
vel	aa	vel
þar	aa	þar
sem	c	sem
þú	fp2en	þú
ert	sfg2en	vera
núna	aa	núna
.	.	.
Við	fp1fn	ég
söknum	sfg1fn	sakna
þín	fp2ee	þú
þangað	aa	þangað
til	aa	til
við	fp1fn	ég
sjáumst	sfm1fn	sjá
næst	aae	nærri
.	.	.
Þínar	fevfn	þinn
Hildur	nven-s	Hildur
og	c	og
Eyrún	nven-s	Eyrún
.	.	.
Það	fphen	það
var	sfg3eþ	vera
fallegur	lkensf	fallegur
vetrarmorgunn	nken	vetrarmorgunn
þegar	c	þegar
elskuleg	lvensf	elskulegur
móðursystir	nven	móðursystir
mín	feven	minn
,	,	,
Eyvör	nven-s	Eyvör
Hólmgeirsdóttir	nven-s	Hólmgeirsdóttir
,	,	,
kvaddi	sfg3eþ	kveðja
þennan	fakeo	þessi
heim	nkeo	heimur
eftir	ao	eftir
langa	lveosf	langur
baráttu	nveo	barátta
.	.	.
Erfiðar	lvfnsf	erfiður
aðgerðir	nvfn	aðgerð
og	c	og
löng	lvensf	langur
sjúkrahúslega	nven	sjúkrahúslega
höfðu	sfg3fþ	hafa
reynt	ssg	reyna
mjög	aa	mjög
á	ao	á
þrek	nheo	þrek
hennar	fpvee	hún
en	c	en
að	cn	að
gefast	snm	gefa
upp	aa	upp
,	,	,
kvarta	sng	kvarta
eða	c	eða
bera	sng	bera
sig	fpveo	sig
illa	aa	illa
var	sfg3eþ	vera
henni	fpveþ	hún
alla	foveo	allur
tíð	nveo	tíð
fjarri	aa	fjarri
.	.	.
Það	fphen	það
var	sfg3eþ	vera
frekar	aam	frekar
að	c	að
hún	fpven	hún
hefði	svg3eþ	hafa
áhyggjur	nvfo	áhyggja
af	aþ	af
þeim	fakfþ	sá
sem	ct	sem
sinntu	sfg3fþ	sinna
henni	fpveþ	hún
og	c	og
kostnaði	nkeþ	kostnaður
samfélagsins	nheeg	samfélag
við	ao	við
að	cn	að
koma	sng	koma
henni	fpveþ	hún
til	ae	til
heilsu	nvee	heilsa
á	aa	á
ný	aa	ný
.	.	.
Eyvör	nven-s	Eyvör
,	,	,
eða	c	eða
Eyja	nven-s	Eyja
eins	aa	eins
og	c	og
hún	fpven	hún
var	sfg3eþ	vera
jafnan	aa	jafnan
kölluð	sþgven	kalla
,	,	,
ólst	sfm3eþ	ala
uppi	aa	uppi
í	aþ	í
vesturbæ	nkeþ	vesturbær
Reykjavíkur	nvee-s	Reykjavík
í	aþ	í
faðmi	nkeþ	faðmur
samhentrar	lveesf	samhentur
fjölskyldu	nvee	fjölskylda
.	.	.
Foreldrarnir	nkfng	foreldrar
voru	sfg3fþ	vera
ástríkir	lkfnsf	ástríkur
og	c	og
lögðu	sfg3fþ	leggja
mikla	lveosf	mikill
rækt	nveo	rækt
við	ao	við
uppeldi	nheo	uppeldi
dætra	nvfe	dóttir
sinna	fevfe	sinn
tveggja	tfvfe	tveir
sem	ct	sem
báðar	fovfn	báðir
gengu	sfg3fþ	ganga
í	ao	í
Melaskóla	nkeo-s	Melaskóli
og	c	og
síðan	aa	síðan
í	ao	í
Verslunarskóla	nkeo-s	Verslunarskóli
Íslands	nhee-s	Ísland
.	.	.
Að	aþ	að
loknu	lheþsf	lokinn
stúdentsprófi	nheþ	stúdentspróf
starfaði	sfg3eþ	starfa
Eyja	nven-s	Eyja
um	ao	um
hríð	nveo	hríð
við	ao	við
verslunar-	nhfo	verslunarstarf
og	c	og
skrifstofustörf	nhfo	skrifstofustarf
,	,	,
en	c	en
árið	nheog	ár
1958	ta	1958
giftist	sfm3en	gifta
hún	fpven	hún
Steingrími	nkeþ-s	Steingrímur
Helgasyni	nkeþ-s	Helgason
frá	aþ	frá
Unaðsdal	nkeþ-s	Unaðsdalur
og	c	og
vann	sfg3eþ	vinna
eftir	ao	eftir
það	fpheo	það
með	aþ	með
honum	fpkeþ	hann
að	aþ	að
uppbyggingu	nveþ	uppbygging
heildverslunar	nvee	heildverslun
þeirra	fphfe	það
,	,	,
G.	as	G.
Einarsson	nken-s	Einarsson
&	c	&
Co.	as	Co.
,	,	,
síðar	aam	síðar
Sundaver	nhen-s	Sundaver
ehf.	as	ehf.
Mestur	lkense	mikill
tími	nken	tími
Eyju	nvee-s	Eyja
fór	sfg3eþ	fara
þó	aa	þó
í	ao	í
uppeldi	nheo	uppeldi
og	c	og
heimilishald	nheo	heimilishald
,	,	,
en	c	en
þau	fahfn	sá
hjón	nhfn	hjón
eignuðust	sfm3fþ	eigna
fjögur	tfhfo	fjórir
börn	nhfo	barn
.	.	.
Þeim	fphfþ	það
og	c	og
heimilinu	nheþg	heimili
sinnti	sfg3eþ	sinna
hún	fpven	hún
af	aþ	af
alúð	nveþ	alúð
og	c	og
með	aþ	með
þeim	fakeþ	sá
myndarbrag	nkeþ	myndarbragur
sem	ct	sem
einkenndi	sfg3eþ	einkenna
öll	fohfo	allur
hennar	fpvee	hún
verk	nhfo	verk
.	.	.
Heimilislífið	nheng	heimilislíf
einkenndist	sfm3eþ	einkenna
af	aþ	af
lífi	nheþ	líf
og	c	og
fjöri	nheþ	fjör
og	c	og
þau	fahfn	sá
hjón	nhfn	hjón
voru	sfg3fþ	vera
einstakir	lkfnsf	einstakur
höfðingjar	nkfn	höfðingi
heim	aa	heim
að	cn	að
sækja	sng	sækja
.	.	.
Félagslynd	lhfnsf	félagslyndur
voru	sfg3fþ	vera
þau	fphfn	það
líka	aa	líka
og	c	og
tóku	sfg3fþ	taka
virkan	lkeosf	virkur
þátt	nkeo	þáttur
í	aþ	í
starfi	nheþ	starf
Oddfellow-reglunnar	nveegs	Oddfellow-reglan
um	ao	um
margra	lhfesf	margur
ára	nhfe	ár
skeið	nheo	skeið
,	,	,
auk	ae	auk
þess	fphee	það
sem	c	sem
þátttaka	nven	þátttaka
í	aþ	í
sauma-	nkfþ	saumaklúbbur
og	c	og
spilaklúbbum	nkfþ	spilaklúbbur
með	aþ	með
góðum	lvfþsf	góður
vinkonum	nvfþ	vinkona
var	sfg3eþ	vera
Eyju	nveþ-s	Eyja
mikil	lvensf	mikill
ánægja	nven	ánægja
.	.	.
Hún	fpven	hún
var	sfg3eþ	vera
sáttasemjari	nken	sáttasemjari
að	aþ	að
eðlisfari	nheþ	eðlisfar
og	c	og
allt	fohen	allur
illt	lhensf	illur
umtal	nhen	umtal
og	c	og
rógburður	nken	rógburður
var	sfg3eþ	vera
henni	fpveþ	hún
fjarri	aþ	fjarri
skapi	nheþ	skap
.	.	.
Þeim	fakfþ	sá
sem	ct	sem
til	ae	til
hennar	fpvee	hún
leituðu	sfg3fþ	leita
var	sfg3eþ	vera
hún	fpven	hún
ávallt	aa	ávallt
reiðubúin	lvensf	reiðubúinn
að	cn	að
liðsinna	sng	liðsinna
af	aþ	af
fremsta	lheþve	fremri
megni	nheþ	megn
og	c	og
var	sfg3eþ	vera
þá	aa	þá
sama	fbhen	sami
hvort	c	hvort
í	ao	í
hlut	nkeo	hlutur
áttu	sfg3fþ	eiga
börn	nhfn	barn
eða	c	eða
fullorðnir	lkfnsf	fullorðinn
.	.	.
Hún	fpven	hún
hafði	sfg3eþ	hafa
yndi	nheo	yndi
af	aþ	af
píanóleik	nkeþ	píanóleikur
,	,	,
en	c	en
með	aþ	með
árunum	nhfþg	ár
varð	sfg3eþ	verða
hún	fpven	hún
að	cn	að
hætta	sng	hætta
slíku	fbheþ	slíkur
,	,	,
þar	aa	þar
sem	c	sem
illvíg	lvensf	illvígur
liðagigt	nven	liðagigt
herjaði	sfg3eþ	herja
á	ao	á
hana	fpveo	hún
.	.	.
Báru	sfg3fþ	bera
hendur	nvfn	hönd
hennar	fpvee	hún
þess	fphee	það
glöggt	aa	glöggt
merki	nheo	merki
hve	aa	hve
grátt	aa	grátt
sjúkdómurinn	nkeng	sjúkdómur
hafði	sfg3eþ	hafa
leikið	ssg	leika
hana	fpveo	hún
,	,	,
en	c	en
hún	fpven	hún
kveinkaði	sfg3eþ	kveinka
sér	fpveþ	sig
þó	aa	þó
aldrei	aa	aldrei
og	c	og
sat	sfg3eþ	sitja
ekki	aa	ekki
með	ao	með
hendur	nvfo	hönd
í	aþ	í
skauti	nheþ	skaut
.	.	.
Eftir	ao	eftir
að	c	að
börnin	nhfng	barn
uxu	sfg3fþ	vaxa
úr	aþ	úr
grasi	nheþ	gras
tóku	sfg3fþ	taka
við	aa	við
margar	lvfnsf	margur
góðar	lvfnsf	góður
stundir	nvfn	stund
í	aþ	í
sumarbústað	nkeþ	sumarbústaður
þeirra	fphfe	það
hjóna	nhfe	hjón
í	aþ	í
nágrenni	nheþ	nágrenni
Álftavatns	nhee-s	Álftavatn
,	,	,
auk	ae	auk
ferðalaga	nhfe	ferðalag
þeirra	fphfe	það
til	ae	til
hinna	ghfe	hinn
ýmsu	fohfe	ýmis
heimshorna	nhfe	heimshorn
.	.	.
Fylgdu	sfg3fþ	fylgja
einatt	aa	einatt
gjafir	nvfn	gjöf
til	ae	til
vina	nkfe	vinur
og	c	og
vandamanna	nkfe	vandamaður
í	ao	í
kjölfarið	nheog	kjölfar
,	,	,
en	c	en
örlæti	nhen	örlæti
var	sfg3eþ	vera
líka	aa	líka
einn	tfken	einn
af	aþ	af
fjölmörgum	lkfþsf	fjölmargur
kostum	nkfþ	kostur
Eyju	nvee-s	Eyja
.	.	.
Jólaboð	nhen	jólaboð
hennar	fpvee	hún
á	ao	á
aðfangadagskvöld	nheo	aðfangadagskvöld
fyrir	ao	fyrir
alla	foveo	allur
fjölskylduna	nveog	fjölskylda
,	,	,
allt	fohen	allur
að	aþ	að
15-20	ta	15-20
manns	nkee	maður
,	,	,
verða	sfg3fn	verða
lengi	aa	lengi
í	aþ	í
minnum	nhfþ	minni
höfð	sþghfn	hafa
og	c	og
öll	foven	allur
sú	faven	sá
umhyggja	nven	umhyggja
og	c	og
hlýja	nven	hlýja
sem	ct	sem
hún	fpven	hún
sýndi	sfg3eþ	sýna
ættingjum	nkfþ	ættingi
og	c	og
vinum	nkfþ	vinur
nær	aam	nær
og	c	og
fjær	aam	fjarri
.	.	.
Það	fphen	það
var	sfg3eþ	vera
gott	lhensf	góður
að	cn	að
gleðjast	snm	gleðja
með	aþ	með
Eyju	nveþ-s	Eyja
frænku	nveþ	frænka
og	c	og
líka	aa	líka
að	cn	að
geta	sng	geta
trúað	ssg	trúa
henni	fpveþ	hún
fyrir	aþ	fyrir
áhyggjum	nvfþ	áhyggja
og	c	og
vandamálum	nhfþ	vandamál
,	,	,
en	c	en
mér	fp1eþ	ég
og	c	og
yngri	lveþvm	ungur
systur	nveþ	systir
minni	feveþ	minn
var	sfg3eþ	vera
hún	fpven	hún
ávallt	aa	ávallt
sem	c	sem
önnur	foven	annar
móðir	nven	móðir
.	.	.
Steingrími	nkeþ-s	Steingrímur
og	c	og
öðrum	fokfþ	annar
ástvinum	nkfþ	ástvinur
sendum	sfg1fþ	senda
við	fp1fn	ég
fjölskyldan	nveng	fjölskylda
innilegar	lvfosf	innilegur
samúðarkveðjur	nvfo	samúðarkveðja
.	.	.
Megi	svg3en	mega
minningin	nveng	minning
um	ao	um
góða	lveosf	góður
og	c	og
heilsteypta	lveosf	heilsteyptur
konu	nveo	kona
ylja	sng	ylja
okkur	fp1fþ	ég
öllum	fokfþ	allur
ættingjum	nkfþ	ættingi
hennar	fpvee	hún
og	c	og
vinum	nkfþ	vinur
um	ao	um
ókomna	lveosf	ókominn
tíð	nveo	tíð
.	.	.
Unnur	nven-s	Unnur
Björk	nven-s	Björk
Lárusdóttir	nven-s	Lárusdóttir
.	.	.
Elsku	nvee	elska
Eyja	nven-s	Eyja
frænka	nven	frænka
.	.	.
Mikið	aa	mikið
þykir	sfg3en	þykja
mér	fp1eþ	ég
erfitt	lhensf	erfiður
að	cn	að
átta	sng	átta
mig	fp1eo	ég
á	aþ	á
því	fpheþ	það
að	c	að
þú	fp2en	þú
sért	svg2en	vera
horfin	sþgven	hverfa
á	ao	á
braut	nveo	braut
.	.	.
Ég	fp1en	ég
sit	sfg1en	sitja
eftir	aa	eftir
með	ao	með
sorg	nveo	sorg
og	c	og
söknuð	nkeo	söknuður
í	aþ	í
hjarta	nheþ	hjarta
og	c	og
á	sfg1en	eiga
bágt	lheosf	bágur
með	ao	með
að	cn	að
trúa	sng	trúa
því	fpheþ	það
að	c	að
ég	fp1en	ég
eigi	svg1en	eiga
aldrei	aa	aldrei
eftir	aa	eftir
að	cn	að
sjá	sng	sjá
hlýlega	lheovf	hlýlegur
brosið	nheog	bros
þitt	feheo	þinn
,	,	,
aldrei	aa	aldrei
eftir	aa	eftir
að	cn	að
spila	sng	spila
við	ao	við
þig	fp2eo	þú
Yatzy	e	Yatzy
né	c	né
fá	sng	fá
hjá	aþ	hjá
þér	fp2eþ	þú
heitan	lkeosf	heitur
kaffisopa	nkeo	kaffisopi
.	.	.
Það	fphen	það
var	sfg3eþ	vera
alltaf	aa	alltaf
gott	lhensf	góður
að	cn	að
koma	sng	koma
í	ao	í
Hlunnavoginn	nkeogs	Hlunnavogur
til	ae	til
ykkar	fp2fe	þú
Steina	nkee-s	Steini
og	c	og
þó	aa	þó
að	c	að
ég	fp1en	ég
byggi	svg1eþ	búa
í	aþ	í
Noregi	nkeþ-s	Noregur
þá	aa	þá
vissi	sfg1eþ	vita
ég	fp1en	ég
alltaf	aa	alltaf
að	c	að
þú	fp2en	þú
hugsaðir	svg2eþ	hugsa
til	ae	til
mín	fp1ee	ég
og	c	og
bærir	svg2eþ	bera
velferð	nveo	velferð
mína	feveo	minn
fyrir	aþ	fyrir
brjósti	nheþ	brjóst
.	.	.
Allar	fovfo	allur
góðu	lvfovf	góður
stundirnar	nvfog	stund
með	aþ	með
þér	fp2eþ	þú
og	c	og
þínum	fekfþ	þinn
mun	sfg1en	munu
ég	fp1en	ég
ávallt	aa	ávallt
geyma	sng	geyma
í	aþ	í
hjarta	nheþ	hjarta
mínu	feheþ	minn
.	.	.
Ég	fp1en	ég
veit	sfg1en	vita
,	,	,
elsku	nvee	elska
Eyja	nven-s	Eyja
,	,	,
að	c	að
þú	fp2en	þú
vakir	sfg2en	vaka
yfir	aþ	yfir
okkur	fp1fþ	ég
öllum	fohfþ	allur
og	c	og
mig	fp1eo	ég
langar	sfg3en	langa
að	cn	að
kveðja	sng	kveðja
þig	fp2eo	þú
með	aþ	með
bæninni	nveþg	bæn
sem	ct	sem
ömmu	nveþ	amma
Unni	nveþ-s	Unnur
þótti	sfg3eþ	þykja
svo	aa	svo
vænt	lhensf	vænn
um	aa	um
.	.	.
Nú	aa	nú
legg	sfg1en	leggja
ég	fp1en	ég
augun	nhfog	auga
aftur	aa	aftur
,	,	,
ó	au	ó
Guð	nken-s	Guð
þinn	feken	þinn
náðarkraftur	nken	náðarkraftur
mín	feven	minn
veri	svg3en	vera
vörn	nven	vörn
í	ao	í
nótt	nveo	nótt
.	.	.
Æ	au	æ
,	,	,
virst	sbm2en	virða
mér	fp1eþ	ég
að	aþ	að
þér	fp2eþ	þú
taka	sng	taka
,	,	,
mér	fp1eþ	ég
yfir	aþ	yfir
láttu	sbg2en	láta
vaka	sng	vaka
þinn	fekeo	þinn
engil	nkeo	engill
svo	aa	svo
ég	fp1en	ég
sofi	svg1en	sofa
rótt	aa	rótt
.	.	.
(	(	(
Sveinbjörn	nken-s	Sveinbjörn
Egilsson	nken-s	Egilsson
)	)	)
Elsku	nvee	elska
Steini	nken-s	Steini
,	,	,
Unna	nven-s	Unna
Heba	nven-s	Heba
,	,	,
Helga	nven-s	Helga
,	,	,
Jón	nken-s	Jón
,	,	,
Ingunn	nven-s	Ingunn
og	c	og
fjölskyldur	nvfn	fjölskylda
,	,	,
megi	svg3en	mega
algóður	lkensf	algóður
Guð	nken-s	Guð
styrkja	sng	styrkja
ykkur	fp2fo	þú
á	aþ	á
