maður	nken	maður
heilar	lvfnsf	heill
kardimommur	nvfn	kardimomma
salt	lhensf	saltur
Setjið	sbg2fn	setja
vatnið	nheog	vatn
í	ao	í
pott	nkeo	pottur
og	c	og
látið	sbg2fn	láta
suðuna	nveog	suða
koma	sng	koma
upp	aa	upp
,	,	,
Setjið	sbg2fn	setja
hafra	nkfo	hafri
,	,	,
krydd	nheo	krydd
og	c	og
salt	nheo	salt
út	aa	út
í	aa	í
og	c	og
sjóðið	sbg2fn	sjóða
í	ao	í
30	ta	30
mínútur	nvfo	mínúta
.	.	.

Berið	sbg2fn	bera
fram	aa	fram
.	.	.

nautasteik	nven	nautasteik
með	aþ	með
súkkulaðisósu	nveþ	súkkulaðisósa
fyrir	ao	fyrir
6	ta	6
1	ta	1
kg	as	kg
nautasteik	nven	nautasteik
-	-	-
lund	nven	lund
salt	nhen	salt
og	c	og
pipar	nken	pipar
olía	nven	olía
til	ae	til
steikingar	nvee	steiking
sósa	nven	sósa
:	:	:
50	ta	50
g	as	g
smjör	nhen	smjör
½	ta	½
laukur	nken	laukur
,	,	,
saxaður	lkensf	saxaður
2	ta	2
hvítlauksgeirar	nkfn	hvítlauksgeiri
,	,	,
saxaðir	lkfnsf	saxaður
1	ta	1
dl	as	dl
hvítvín	nhen	hvítvín
1	ta	1
dl	as	dl
vatn	nhen	vatn
½	ta	½
tsk	as	tsk
.	.	.
nautakraftur	nken	nautakraftur
30	ta	30
g	as	g
súkkulaði	nhen	súkkulaði
,	,	,
70%	tp	70%
meðlæti	nhen	meðlæti
:	:	:
200	ta	200
g	as	g
sykurbaunir	nvfn	sykurbaun
200	ta	200
g	as	g
gulrætur	nvfn	gulrót
1	ta	1
hvítlauksgeiri	nken	hvítlauksgeiri
,	,	,
saxaður	lkensf	saxaður
½	ta	½
tsk	as	tsk
.	.	.
salt	nhen	salt
Saltið	sbg2fn	salta
og	c	og
piprið	sbg2fn	pipra
lundina	nveog	lund
og	c	og
skerið	sbg2fn	skera
í	ao	í
4	ta	4
bita	nkfo	biti
.	.	.

Hitið	sbg2fn	hita
olíu	nveo	olía
á	aþ	á
pönnu	nveþ	panna
og	c	og
steikið	sbg2fn	steikja
kjötið	nheog	kjöt
á	aþ	á
öllum	fovfþ	allur
hliðum	nvfþ	hlið
,	,	,
lækkið	sbg2fn	lækka
hitann	nkeog	hiti
og	c	og
látið	sbg2fn	láta
steikjast	snm	steikja
þar	aa	þar
til	aa	til
kjarnhiti	nken	kjarnhiti
er	sfg3en	vera
55°C	ta	55°c
.	.	.

Hitið	sbg2fn	hita
smjörið	nheog	smjör
í	aþ	í
potti	nkeþ	pottur
og	c	og
steikið	sbg2fn	steikja
lauk	nkeo	laukur
og	c	og
hvítlauk	nkeo	hvítlaukur
.	.	.

Setjið	sbg2fn	setja
vín	nheo	vín
og	c	og
vatn	nheo	vatn
út	aa	út
í	aa	í
ásamt	aþ	ásamt
nautakraftinum	nkeþg	nautakraftur
og	c	og
látið	sbg2fn	láta
sjóða	sng	sjóða
saman	aa	saman
í	ao	í
15	ta	15
mínútur	nvfo	mínúta
.	.	.

Setjið	sbg2fn	setja
súkkulaðið	nheog	súkkulaði
út	aa	út
í	aa	í
og	c	og
látið	sbg2fn	láta
sjóða	sng	sjóða
í	ao	í
nokkrar	fovfo	nokkur
mínútur	nvfo	mínúta
,	,	,
smakkið	sbg2fn	smakka
til	aa	til
með	aþ	með
hvítvíni	nheþ	hvítvín
og	c	og
súkkulaði	nheþ	súkkulaði
.	.	.

Skerið	sbg2fn	skera
kjötið	nheog	kjöt
og	c	og
berið	sbg2fn	bera
fram	aa	fram
með	aþ	með
gulrótum	nvfþ	gulrót
og	c	og
sykurbaunum	nvfþ	sykurbaun
steiktum	lvfþsf	steiktur
í	aþ	í
smjöri	nheþ	smjör
og	c	og
hvítlauk	nkeþ	hvítlaukur
.	.	.

12	ta	12

Fjörðurinn	nkeng	fjörður
dregur	sfg3en	draga
nafn	nheo	nafn
af	aþ	af
skerjum	nhfþ	sker
sem	ct	sem
liggja	sfg3fn	liggja
út	aa	út
eftir	aþ	eftir
honum	fpkeþ	hann
.	.	.

Skerin	nhfng	sker
eru	sfg3fn	vera
leifar	nvfn	leif
af	aþ	af
eldstöð	nveþ	eldstöð
sem	ct	sem
gaus	sfg3eþ	gjósa
fyrir	aþ	fyrir
löngu	lheþsf	langur
,	,	,
sjórinn	nkeng	sjór
hefir	sfg3en	hafa
mulið	ssg	mylja
stöðina	nveog	stöð
niður	aa	niður
og	c	og
er	sfg3en	vera
nú	aa	nú
sáralítið	lhensf	sáralítill
dýpi	nhen	dýpi
fyrir	ao	fyrir
innan	aa	innan
skerin	nhfog	sker
.	.	.

Milli	ae	milli
skerjanna	nhfeg	sker
og	c	og
Álftaness	nhee-s	Álftanes
er	sfg3en	vera
áll	nken	áll
þar	aa	þar
sem	c	sem
hægt	lhensf	hægur
er	sfg3en	vera
að	cn	að
sigla	sng	sigla
djúpristum	lhfþsf	djúpristur
skipum	nhfþ	skip
í	ao	í
öruggt	lheosf	öruggur
var	nheo	var
innst	aae	innar
á	aþ	á
firðinum	nkeþg	fjörður
.	.	.

Hlutafélagið	nheng	hlutafélag
Höfn	nven-s	Höfn
áformaði	sfg3eþ	áforma
hafnargerð	nveo	hafnargerð
við	ao	við
Nauthólsvík	nveo-s	Nauthólsvík
,	,	,
það	fphen	það
keypti	sfg3eþ	kaupa
hluta	nkeo	hluti
jarðarinnar	nveeg	jörð
Skildinganess	nhee-s	Skildinganes
og	c	og
ætlaði	sfg3eþ	ætla
að	cn	að
byggja	sng	byggja
borgina	nveog	borg
Port	e	Port
Reykjavík	nveo-s	Reykjavík
.	.	.

Ábúendur	nkfn	ábúandi
Nauthóls	nkee-s	Nauthóll
voru	sfg3fþ	vera
afgreiddir	sþgkfn	afgreiða
með	aþ	með
því	fpheþ	það
,	,	,
að	c	að
bær	nken	bær
þeirra	fpkfe	hann
var	sfg3eþ	vera
brenndur	sþgken	brenna
,	,	,
vegna	ae	vegna
taugaveiki	nvee	taugaveiki
sem	ct	sem
var	sfg3eþ	vera
nú	aa	nú
bara	aa	bara
orðrómur	nken	orðrómur
.	.	.

Vorið	nheog	vor
1913	ta	1913
var	sfg3eþ	vera
byrjað	sþghen	byrja
að	cn	að
leggja	sng	leggja
járnbraut	nveo	járnbraut
úr	aþ	úr
Öskjuhlíð	nveþ-s	Öskjuhlíð
og	c	og
niður	aa	niður
að	aþ	að
höfn	nveþ	höfn
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
,	,	,
vestursporið	nheng	vesturspor
var	sfg3eþ	vera
lagt	sþghen	leggja
um	aa	um
þar	aa	þar
sem	c	sem
nú	aa	nú
er	sfg3en	vera
afgreiðsla	nven	afgreiðsla
Flugfélagsins	nheegs	Flugfélag
,	,	,
vestur	aa	vestur
þar	aa	þar
sem	c	sem
seinna	aam	seint
varð	sfg3eþ	verða
Þjórsárgata	nven-s	Þjórsárgata
og	c	og
til	ae	til
norðurs	nhee	norður
neðst	aae	neðar
í	aþ	í
Skildinganesshólum	nkfþ-s	Skildinganesshólar
.	.	.

Óskar	nken-s	Óskar
Halldórsson	nken-s	Halldórsson
(	(	(
Íslands-Bersi	nken-s	Íslands-Bersi
)	)	)
setti	sfg3eþ	setja
upp	aa	upp
lifrarbræðslu	nveo	lifrarbræðsla
þar	aa	þar
sem	c	sem
nú	aa	nú
teldist	svm3eþ	telja
Þjórsárgata	nven-s	Þjórsárgata
13	ta	13
og	c	og
var	sfg3eþ	vera
í	aþ	í
beinu	lheþsf	beinn
járnbrautarsambandi	nheþ	járnbrautarsamband
við	ao	við
Reykjavíkurhöfn	nveo-s	Reykjavíkurhöfn
árið	nheog	ár
1921	ta	1921
.	.	.

Um	ao	um
svipað	lheosf	svipaður
leyti	nheo	leyti
stofnuðu	sfg3fþ	stofna
Jón	nken-s	Jón
Þorláksson	nken-s	Þorláksson
,	,	,
Thor	nken-s	Thor
Jensen	nken-s	Jensen
o.fl.	as	o.fl.
sameignarfélagið	nheog	sameignarfélag
BAUG	nkeo-s	Baugur
,	,	,
ætluðu	sfg3fþ	ætla
þeir	fpkfn	hann
að	cn	að
setja	sng	setja
upp	aa	upp
stálskipasmíðastöð	nveo	stálskipasmíðastöð
við	ao	við
Skerjafjörð	nkeo-s	Skerjafjörður
.	.	.

Þessi	faven	þessi
ráðagerð	nven	ráðagerð
náði	sfg3eþ	ná
ekki	aa	ekki
lengra	aam	langt
en	c	en
leggja	sng	leggja
veg	nkeo	vegur
að	aþ	að
stöðvarlóðinni	nveþg	stöðvarlóð
.	.	.

Var	sfg3eþ	vera
það	fphen	það
Baugsvegur	nken-s	Baugsvegur
,	,	,
nú	aa	nú
Bauganes	nhen-s	Bauganes
.	.	.

Einhver	foken	einhver
þeirra	fpkfe	hann
Baugsmanna	nkfe-s	Baugsmaður
fékk	sfg3eþ	fá
þá	faveo	sá
hugmynd	nveo	hugmynd
að	cn	að
skipuleggja	sng	skipuleggja
þéttbýli	nheo	þéttbýli
og	c	og
selja	sng	selja
stórar	lvfosf	stór
lóðir	nvfo	lóð
.	.	.

Lóðirnar	nvfng	lóð
voru	sfg3fþ	vera
óspart	aa	óspart
notaðar	sþgvfn	nota
til	ae	til
matjurtaræktunar	nvee	matjurtaræktun
,	,	,
sumir	fokfn	sumur
voru	sfg3fþ	vera
með	ao	með
hænsni	nhfo	hænsni
og	c	og
ein	foven	einn
fjölskylda	nven	fjölskylda
var	sfg3eþ	vera
með	aa	með
auk	ae	auk
hænsnanna	nhfeg	hænsn
,	,	,
kú	nveo	kýr
í	aþ	í
bílskúrnum	nkeþg	bílskúr
fram	aa	fram
undir	ao	undir
1960	ta	1960
.	.	.

Hálfnaður	lkensf	hálfnaður
að	cn	að
skjóta	sng	skjóta
naut	nheo	naut
Bóndi	nken	bóndi
á	aþ	á
Reynistað	nkeþ-s	Reynistaður
var	sfg3eþ	vera
Georg	nken-s	Georg
Jónsson	nken-s	Jónsson
.	.	.

Hann	fpken	hann
seldi	sfg3eþ	selja
grönnum	nkfþ	granni
sínum	fekfþ	sinn
mjólk	nveo	mjólk
,	,	,
mykju	nveo	mykja
,	,	,
egg	nhfo	egg
og	c	og
rauðmaga	nkeo	rauðmagi
.	.	.

Georg	nken-s	Georg
var	sfg3eþ	vera
enn	aa	enn
að	cn	að
aka	sng	aka
út	aa	út
brúsamjólk	nveþ	brúsamjólk
á	aþ	á
hestvagni	nkeþ	hestvagn
fimmtán	tfhfþ	fimmtán
árum	nhfþ	ár
eftir	ao	eftir
setningu	nveo	setning
afurðasölulaga	nhfe	afurðasölulög
.	.	.

Georg	nken-s	Georg
bóndi	nken	bóndi
var	sfg3eþ	vera
ráðagóður	lkensf	ráðagóður
maður	nken	maður
,	,	,
einu	foheþ	einn
sinni	nheþ	sinn
þurfti	sfg3eþ	þurfa
hann	fpken	hann
að	cn	að
fella	sng	fella
naut	nheo	naut
,	,	,
batt	sfg3eþ	binda
hann	fpken	hann
það	fpheo	það
við	ao	við
snúrustaur	nkeo	snúrustaur
og	c	og
skaut	sfg3eþ	skjóta
það	fpheo	það
í	ao	í
hausinn	nkeog	haus
.	.	.

Skotið	nheng	skot
var	sfg3eþ	vera
ekki	aa	ekki
nógu	lheþsf	nógur
kraftmikið	lhensf	kraftmikill
svo	aa	svo
kúlan	nveng	kúla
dró	sfg3eþ	draga
ekki	aa	ekki
gegnum	ao	gegnum
hauskúpuna	nveog	hauskúpa
.	.	.

Tuddinn	nkeng	tuddi
hristi	sfg3eþ	hrista
bara	aa	bara
hausinn	nkeog	haus
yfir	aþ	yfir
þessum	fakeþ	þessi
mislukkaða	lkeþvf	mislukkaður
slátrara	nkeþ	slátrari
,	,	,
út	aa	út
undan	aþ	undan
sér	fpkeþ	sig
sá	sfg3eþ	sjá
Georg	nken-s	Georg
strætó	nkeo	strætó
koma	sng	koma
eftir	aþ	eftir
Baugsveginum	nkeþgs	Baugsvegur
,	,	,
hann	fpken	hann
setti	sfg3eþ	setja
aukalykkju	nveo	aukalykkja
á	ao	á
staurinn	nkeog	staur
og	c	og
stökk	sfg3eþ	stökkva
upp	aa	upp
í	ao	í
strætó	nkeo	strætó
þarna	aa	þarna
á	aþ	á
stoppistöðinni	nveþg	stoppistöð
.	.	.

Þegar	c	þegar
vagninn	nkeng	vagn
var	sfg3eþ	vera
kominn	sþgken	koma
kom	sfg3eþ	koma
niður	aa	niður
á	ao	á
torg	nheo	torg
,	,	,
bað	sfg3eþ	biðja
Georg	nken-s	Georg
Pétur	nkeo-s	Pétur
vagnstjóra	nkeo	vagnstjóri
að	cn	að
fara	sng	fara
ekki	aa	ekki
á	aa	á
undan	aþ	undan
sér	fpkeþ	sig
,	,	,
hann	fpken	hann
þyrfti	svg3eþ	þurfa
að	cn	að
skreppa	sng	skreppa
upp	aa	upp
í	ao	í
Sportvöruhús	nheo-s	Sportvöruhús
.	.	.

Þegar	c	þegar
þangað	aa	þangað
kom	sfg3eþ	koma
bað	sfg3eþ	biðja
hann	fpken	hann
afgreiðslumanninn	nkeog	afgreiðslumaður
að	cn	að
skrifa	sng	skrifa
hjá	aþ	hjá
sér	fpkeþ	sig
fimm	tfhfo	fimm
Remington	e	Remington
extra-long	e	extra-long
skot	nhfo	skot
,	,	,
ég	fp1en	ég
er	sfg1en	vera
nefnilega	aa	nefnilega
hálfnaður	lkensf	hálfnaður
að	cn	að
skjóta	sng	skjóta
naut	nheo	naut
,	,	,
bætti	sfg3eþ	bæta
hann	fpken	hann
við	aa	við
.	.	.

Svo	aa	svo
tók	sfg3eþ	taka
hann	fpken	hann
strætó	nkeo	strætó
til	ae	til
baka	nhfe	bak
og	c	og
kláraði	sfg3eþ	klára
slátrunina	nveog	slátrun
.	.	.

Á	aþ	á
þessum	fahfþ	þessi
árum	nhfþ	ár
voru	sfg3fþ	vera
margir	lkfnsf	margur
málaflokkar	nkfn	málaflokkur
á	aþ	á
hendi	nveþ	hönd
sveitarfélaga	nhfe	sveitarfélag
og	c	og
útsvör	nhfn	útsvar
því	aa	því
tiltölulega	aa	tiltölulega
há	lhfnsf	hár
.	.	.

Þeir	fpkfn	hann
Baugsmenn	nkfn-s	Baugsmaður
stofnuðu	sfg3fþ	stofna
hlutafélag	nheo	hlutafélag
um	ao	um
veitukerfin	nhfog	veitukerfi
og	c	og
húsin	nhfng	hús
voru	sfg3fþ	vera
öll	fohfn	allur
tryggð	lhfnsf	tryggður
beint	aa	beint
erlendis	aa	erlendis
án	ae	án
milligöngu	nvee	milliganga
innlendra	lhfesf	innlendur
tryggingafélaga	nhfe	tryggingafélag
.	.	.

Með	aþ	með
þessu	faheþ	þessi
var	sfg3eþ	vera
orðin	sþgven	verða
til	ae	til
eins	fokee	einn
konar	nkee	konar
skattaparadís	nven	skattaparadís
,	,	,
sem	ct	sem
var	sfg3eþ	vera
í	aþ	í
göngufæri	nheþ	göngufæri
við	ao	við
höfuðstaðinn	nkeog	höfuðstaður
.	.	.

Þarna	aa	þarna
reisti	sfg3eþ	reisa
fjármálaráðherrann	nkengs	Fjármálaráðherra
sér	fpkeþ	sig
sumarbústað	nkeo	sumarbústaður
og	c	og
fór	sfg3eþ	fara
á	aþ	á
hesti	nkeþ	hestur
í	ao	í
vinnuna	nveog	vinna
.	.	.

Fyrrverandi	lkenof	fyrrverandi
foringi	nken	foringi
í	aþ	í
þýska	lkeþvf	þýskur
flotanum	nkeþg	floti
og	c	og
leynilegur	lkensf	leynilegur
erindreki	nken	erindreki
sama	fbkee	sami
flota	nkee	floti
,	,	,
á	aþ	á
Íslandi	nheþ-s	Ísland
,	,	,
reisti	sfg3eþ	reisa
þarna	aa	þarna
litla	lveosf	lítill
höll	nveo	höll
með	aþ	með
loftvarnabyrgi	nheþ	loftvarnabyrgi
í	aþ	í
kjallaranum	nkeþg	kjallari
.	.	.

Nýja	lhenvf	nýr
þéttbýlið	nheng	þéttbýli
fékk	sfg3eþ	fá
nafnið	nheog	nafn
Skildinganeskauptún	nheo-s	Skildinganeskauptún
,	,	,
í	aþ	í
daglegu	lheþsf	daglegur
tali	nheþ	tal
Skerjafjörður	nken-s	Skerjafjörður
.	.	.

Aðalgatan	nveng	aðalgata
hét	sfg3eþ	heita
auðvitað	aa	auðvitað
Reykjavíkurvegur	nken-s	Reykjavíkurvegur
,	,	,
þar	aa	þar
var	sfg3eþ	vera
pósthús	nhen	pósthús
og	c	og
nýlenduvöruverslun	nven	nýlenduvöruverslun
.	.	.

Þvert	aa	þvert
á	ao	á
Reykjavíkurveg	nkeo-s	Reykjavíkurvegur
var	sfg3eþ	vera
svo	aa	svo
Þvervegur	nken-s	Þvervegur
og	c	og
í	aþ	í
framhaldi	nheþ	framhald
af	aþ	af
honum	fpkeþ	hann
Shellvegur	nken-s	Shellvegur
sem	ct	sem
endaði	sfg3eþ	enda
við	ao	við
birgðastöð	nveo	birgðastöð
H.F.	as	H.F.
Shell	e	Shell
sem	ct	sem
reist	sþgven	reisa
var	sfg3eþ	vera
árið	nheog	ár
1927	ta	1927
.	.	.

Barnaskóli	nken	barnaskóli
var	sfg3eþ	vera
í	aþ	í
húsi	nheþ	hús
við	ao	við
Baugsveg	nkeo-s	Baugsvegur
.	.	.

Sjóklæðagerð	nven-s	Sjóklæðagerð
Íslands	nhee-s	Ísland
byggði	sfg3eþ	byggja
hús	nheo	hús
við	ao	við
Reykjavíkurveg	nkeo-s	Reykjavíkurvegur
þar	aa	þar
sem	c	sem
saumaðir	sþgkfn	sauma
voru	sfg3fþ	vera
sjóstakkar	nkfn	sjóstakkur
.	.	.

Við	ao	við
Hörpugötu	nveo-s	Hörpugata
var	sfg3eþ	vera
bakarí	nhen	bakarí
sérhæft	lhensf	sérhæfður
í	aþ	í
tvíbökum	nvfþ	tvíbaka
og	c	og
kringlum	nvfþ	kringla
og	c	og
var	sfg3eþ	vera
framleiðslan	nveng	framleiðsla
seld	sþgven	selja
um	ao	um
land	nheo	land
allt	foheo	allur
.	.	.

Bakarinn	nkeng	bakari
hét	sfg3eþ	heita
Árni	nken-s	Árni
Strandberg	e	Strandberg
og	c	og
hafði	sfg3eþ	hafa
hann	fpken	hann
verið	ssg	vera
í	aþ	í
Ameríku	nveþ-s	Ameríka
.	.	.

Setti	sfg3eþ	setja
hann	fpken	hann
ekki	aa	ekki
fyrir	ao	fyrir
sig	fpkeo	sig
smámuni	nkfo	smámunir
og	c	og
kunni	sfg3eþ	kunna
að	cn	að
brugga	sng	brugga
öl	nheo	öl
.	.	.

Einu	foheþ	einn
sinni	nheþ	sinn
á	aþ	á
kreppuárunum	nhfþg	kreppuár
var	sfg3eþ	vera
kona	nven	kona
Árna	nkee-s	Árni
að	cn	að
baka	sng	baka
kleinur	nvfo	kleina
,	,	,
það	fphen	það
kviknaði	sfg3eþ	kvikna
í	aþ	í
feitinni	nveþg	feiti
og	c	og
húsið	nheng	hús
brann	sfg3eþ	brenna
.	.	.

Bakarinn	nkeng	bakari
byggði	sfg3eþ	byggja
upp	aa	upp
aftur	aa	aftur
en	c	en
lenti	sfg3eþ	lenda
í	aþ	í
skuld	nveþ	skuld
við	ao	við
J.	as	J.
Þorláksson	nkeo-s	Þorláksson
&	c	&
Norðmann	nkeo-s	Norðmaður
,	,	,
þeir	fpkfn	hann
gengu	sfg3fþ	ganga
að	aþ	að
Árna	nkeþ-s	Árni
og	c	og
hann	fpken	hann
varð	sfg3eþ	verða
gjaldþrota	lkenof	gjaldþrota
.	.	.

Já	au	já
,	,	,
þær	fpvfn	hún
geta	sfg3fn	geta
orðið	ssg	verða
dýrar	lvfnsf	dýr
þessar	favfn	þessi
kleinur	nvfn	kleina
,	,	,
sagði	sfg3eþ	segja
hann	fpken	hann
þá	aa	þá
.	.	.

Árni	nken-s	Árni
byggði	sfg3eþ	byggja
sér	fpkeþ	sig
lítinn	lkeosf	lítill
skúr	nkeo	skúr
á	aþ	á
auðri	lveþsf	auður
lóð	nveþ	lóð
aftan	aa	aftan
við	ao	við
bakaríið	nheog	bakarí
og	c	og
fór	sfg3eþ	fara
að	cn	að
vinna	sng	vinna
hjá	aþ	hjá
bakara	nkeþ	bakari
niðri	aa	niðri
í	aþ	í
bæ	nkeþ	bær
.	.	.

Smátt	aa	smátt
og	c	og
smátt	aa	smátt
varð	sfg3eþ	verða
þetta	fahen	þessi
að	aþ	að
skúraborg	nveþ	skúraborg
með	aþ	með
torgi	nheþ	torg
í	aþ	í
miðjunni	nveþg	miðja
.	.	.

Þegar	c	þegar
byggingafulltrúinn	nkeng	byggingafulltrúi
fann	sfg3eþ	finna
að	aþ	að
þessum	favfþ	þessi
framkvæmdum	nvfþ	framkvæmd
,	,	,
sagði	sfg3eþ	segja
Árni	nken-s	Árni
bara	aa	bara
:	:	:

Hann	fpken	hann
Claessen	e	Claessen
heitinn	lkensf	heitinn
sagði	sfg3eþ	segja
að	c	að
þetta	fahen	þessi
mætti	svg3eþ	mega
vera	sng	vera
svona	aa	svona
.	.	.

Við	ao	við
Þjórsárgötu	nveo-s	Þjórsárgata
setti	sfg3eþ	setja
Jónas	nken-s	Jónas
Halldórsson	nken-s	Halldórsson
upp	aa	upp
netaverkstæði	nheo	netaverkstæði
.	.	.

Á	aþ	á
stríðsárunum	nhfþg	stríðsár
var	sfg3eþ	vera
netaverkstæðinu	nheþg	netaverkstæði
breytt	sþghen	breyta
í	ao	í
sápugerð	nveo	sápugerð
og	c	og
varð	sfg3eþ	verða
þar	aa	þar
til	aa	til
hið	ghen	hinn
magnaða	lhenvf	magnaður
Mjallarbón	nhen-s	Mjallarbón
.	.	.

Meðeigendur	nkfn	meðeigandi
Jónasar	nkee-s	Jónas
í	aþ	í
sápugerðinni	nveþg	sápugerð
voru	sfg3fþ	vera
Runólfur	nken-s	Runólfur
Pétursson	nken-s	Pétursson
,	,	,
fyrrverandi	lkenof	fyrrverandi
formaður	nken	formaður
Iðju	nvee-s	Iðja
,	,	,
og	c	og
Einar	nken-s	Einar
Sæmundsson	nken-s	Sæmundsson
sem	ct	sem
seinna	aam	seint
varð	sfg3eþ	verða
formaður	nken	formaður
KR	as	KR
en	c	en
Einar	nken-s	Einar
átti	sfg3eþ	eiga
heima	aa	heima
við	ao	við
Reykjavíkurveg	nkeo-s	Reykjavíkurvegur
þarna	aa	þarna
í	aþ	í
miðju	lheþsf	miður
Þróttarhverfinu	nheþgs	Þróttarhverfi
.	.	.

Sonur	nken	sonur
Einars	nkee-s	Einar
er	sfg3en	vera
dr.	as	dr.
Ásbjörn	nken-s	Ásbjörn
sem	ct	sem
skrifaði	sfg3eþ	skrifa
doktorsritgerð	nveo	doktorsritgerð
um	ao	um
efnarafala	nkfo	efnarafall
,	,	,
aldarfjórðungi	nkeþ	aldarfjórðungur
áður	aa	áður
en	c	en
byrjað	sþghen	byrja
var	sfg3eþ	vera
að	cn	að
tala	sng	tala
um	ao	um
slíkt	fbheo	slíkur
hér	aa	hér
á	aþ	á
landi	nheþ	land
.	.	.

Sápugerðin	nveng	sápugerð
átti	sfg3eþ	eiga
þriggja	tfvfe	þrír
hæða	nvfe	hæð
geymsluhús	nheo	geymsluhús
,	,	,
sem	ct	sem
leigt	sþghen	leigja
var	sfg3eþ	vera
ritfangaversluninni	nveþg	ritfangaverslun
Pennanum	nkeþgs	Penni
.	.	.

Sendibílstjóri	nken	sendibílstjóri
Pennans	nkeegs	Penni
var	sfg3eþ	vera
kallaður	sþgken	kalla
Óli	nken-s	Óli
.	.	.

Þegar	c	þegar
hann	fpken	hann
brunaði	sfg3eþ	bruna
inn	aa	inn
í	ao	í
hverfið	nheog	hverfi
heyrðist	sfm3eþ	heyra
kallað	sþghen	kalla
,	,	,
Óli	nken-s	Óli
í	aþ	í
Pennanum	nkeþgs	Penni
,	,	,
Óli	nken-s	Óli
í	aþ	í
Pennanum	nkeþgs	Penni
.	.	.

Krakkarnir	nkfng	krakki
þutu	sfg3fþ	þjóta
á	ao	á
staðinn	nkeog	staður
til	ae	til
þess	fphee	það
að	cn	að
hjálpa	sng	hjálpa
Óla	nkeþ-s	Óli
að	cn	að
bera	sng	bera
vörurnar	nvfog	vara
,	,	,
því	fpheþ	það
þarna	aa	þarna
í	aþ	í
húsinu	nheþg	hús
voru	sfg3fþ	vera
ýmsir	fokfn	ýmis
vöruafgangar	nkfn	vöruafgangur
sem	ct	sem
Óli	nken-s	Óli
notaði	sfg3eþ	nota
sem	c	sem
gjaldmiðil	nkeo	gjaldmiðill
til	ae	til
þess	fphee	það
að	cn	að
greiða	sng	greiða
sínum	fekfþ	sinn
verkamönnum	nkfþ	verkamaður
kaup	nheo	kaup
.	.	.

Með	aþ	með
samningi	nkeþ	samningur
við	ao	við
Seltjarnarneshrepp	nkeo-s	Seltjarnarneshreppur
var	sfg3eþ	vera
kauptúnið	nheng	kauptún
lagt	sþghen	leggja
undir	ao	undir
Reykjavíkurbæ	nkeo-s	Reykjavíkurbær
um	ao	um
áramótin	nhfog	áramót
1931-32	ta	1931-32
.	.	.

Með	aþ	með
lagningu	nveþ	lagning
Reykjavíkurflugvallar	nkee-s	Reykjavíkurflugvöllur
klofnaði	sfg3eþ	klofna
kauptúnið	nheng	kauptún
í	ao	í
tvennt	lheosf	tvennur
,	,	,
þau	fahfo	sá
hús	nhfo	hús
sem	ct	sem
hægt	lhensf	hægur
var	sfg3eþ	vera
að	cn	að
flytja	sng	flytja
var	sfg3eþ	vera
farið	sþghen	fara
með	ao	með
í	ao	í
Laugarneshverfi	nheo-s	Laugarneshverfi
.	.	.

Verkfræðistofa	nven	verkfræðistofa
Sigurðar	nkee-s	Sigurður
Thoroddsens	nkee-s	Thoroddsen
sá	sfg3eþ	sjá
um	ao	um
þessa	fakfo	þessi
flutninga	nkfo	flutningur
og	c	og
var	sfg3eþ	vera
húsunum	nhfþg	hús
rúllað	sþghen	rúlla
eftir	aþ	eftir
olíutunnum	nvfþ	olíutunna
á	ao	á
næturnar	nvfog	nótt
.	.	.

Eitt	fohen	einn
þessara	fahfe	þessi
húsa	nhfe	hús
er	sfg3en	vera
víðförlasta	lhenve	víðförull
hús	nhen	hús
Reykjavíkur	nvee-s	Reykjavík
,	,	,
gamla	lhenvf	gamall
pósthúsið	nheng	pósthús
.	.	.

Fyrst	aae	fyrr
stóð	sfg3eþ	standa
það	fphen	það
við	ao	við
Pósthússtræti	nheo-s	Pósthússtræti
svo	aa	svo
við	ao	við
Reykjavíkurveg	nkeo-s	Reykjavíkurvegur
og	c	og
endaði	sfg3eþ	enda
við	ao	við
Brúnaveg	nkeo-s	Brúnavegur
á	aþ	á
Laugarási	nkeþ-s	Laugarás
.	.	.

Hverfið	nheng	hverfi
sunnan	ae	sunnan
flugbrautarinar	x	flubraut
var	sfg3eþ	vera
kallað	sþghen	kalla
stóri	lkenvf	stór
Skerjafjörður	nken-s	Skerjafjörður
og	c	og
norðan	ae	norðan
brautar	nvee	braut
litli	lkenvf	lítill
Skerjafjörður	nken-s	Skerjafjörður
.	.	.

Sjóklæðagerðin	nveng	sjóklæðagerð
brann	sfg3eþ	brenna
árið	nheog	ár
1941	ta	1941
,	,	,
hitinn	nkeng	hiti
var	sfg3eþ	vera
svo	aa	svo
mikill	lkensf	mikill
að	c	að
pottablóm	nhfn	pottablóm
í	aþ	í
gluggum	nkfþ	gluggi
handan	ae	handan
götunar	nvee	götun
þornuðu	sfg3fþ	þorna
upp	aa	upp
og	c	og
drápust	sfm3fþ	drepa
.	.	.

Ef	c	ef
flugvallarslökkviliðið	nheng	flugvallarslökkvilið
hefði	svg3eþ	hafa
ekki	aa	ekki
komið	ssg	koma
til	ae	til
aðstoðar	nvee	aðstoð
