spænsk-kólumbísks	lkeesf	spænsk-kólumbískur
frá	aþ	frá
júlí	nkeþ	júlí
,	,	,
og	c	og
er	sfg3en	vera
þetta	fahen	þessi
í	ao	í
fyrsta	lheove	fyrstur
sinn	nheo	sinn
frá	aþ	frá
árinu	nheþg	ár
1996	ta	1996
sem	ct	sem
tala	nven	tala
atvinnulausra	lkfesf	atvinnulaus
fer	sfg3en	fara
yfir	ao	yfir
100.000	ta	100.000
.	.	.
Vonir	nvfn	von
eru	sfg3fn	vera
bundnar	sþgvfn	binda
við	ao	við
að	c	að
heldur	aam	heldur
dragi	svg3en	draga
úr	aþ	úr
atvinnuleysi	nheþ	atvinnuleysi
í	aþ	í
september	nkeþ	september
.	.	.
FYRSTU	lhfnve	fyrstur
SPORIN	nhfng	spor
Tindur	nken-s	Tindur
,	,	,
þriggja	tfkfe	þrír
daga	nkfe	dagur
gamalt	lhensf	gamall
sebrafolald	nhen	sebrafolald
,	,	,
stígur	sfg3en	stíga
hér	aa	hér
fyrstu	lhfove	fyrstur
skref	nhfo	skref
lífsins	nheeg	líf
.	.	.
Tindur	nken-s	Tindur
fæddist	sfm3eþ	fæða
í	aþ	í
Jacksonville-dýragarðinum	nkeþgs	Jacksonville-dýragarður
í	aþ	í
Florída	e	Florída
og	c	og
vó	sfg3eþ	vega
tæp	lhfosf	tæpur
40	ta	40
kíló	nhfo	kíló
.	.	.
Tindur	nken-s	Tindur
mun	sfg3en	munu
eins	aa	eins
og	c	og
önnur	fohfn	annar
sebrafolöld	nhfn	sebrafolald
fylgja	sng	fylgja
móður	nveþ	móðir
sinni	feveþ	sinn
næstu	lhfove	næstur
tvö	tfhfo	tveir
árin	nhfog	ár
.	.	.
Móður	nveþ	móðir
og	c	og
Tindi	nkeþ-s	Tindur
heilsast	sfm3en	heilsa
vel	aa	vel
.	.	.
Olíumálið	nheng	olíumál
:	:	:
Lögregla	nven	lögregla
hefur	sfg3en	hafa
ekki	aa	ekki
fengið	ssg	fá
gögnin	nhfog	gagn
Efnahagsbrotadeild	nven	efnahagsbrotadeild
ríkislögreglustjóra	nkee	ríkislögreglustjóri
bíður	sfg3en	bíða
enn	aa	enn
eftir	aþ	eftir
gögnum	nhfþ	gagn
frá	aþ	frá
Samkeppnisstofnun	nveþ-s	Samkeppnisstofnun
um	ao	um
meint	lheosf	meintur
samráð	nheo	samráð
olíufélaganna	nhfeg	olíufélag
.	.	.
Tvær	tfvfn	tveir
og	c	og
hálf	lvensf	hálfur
vika	nven	vika
eru	sfg3fn	vera
síðan	aa	síðan
Jón	nken-s	Jón
H.	as	H.
Snorrason	nken-s	Snorrason
,	,	,
yfirmaður	nken	yfirmaður
efnahagsbrotadeildar	nvee	efnahagsbrotadeild
ríkislögreglustjóra	nkee	ríkislögreglustjóri
,	,	,
óskaði	sfg3eþ	óska
skriflega	aa	skriflega
eftir	aþ	eftir
gögnunum	nhfþg	gagn
.	.	.
«	«	«
Beiðni	nven	beiðni
ríkislögreglustjóra	nkee	ríkislögreglustjóri
um	ao	um
gögn	nhfo	gagn
í	aþ	í
olíumálinu	nheþg	olíumál
er	sfg3en	vera
í	aþ	í
vinnslu	nveþ	vinnsla
og	c	og
þau	fphfn	það
verða	sfg3fn	verða
vonandi	aa	vonandi
afhent	sþghfn	afhenda
sem	aa	sem
fyrst	aae	fyrr
,	,	,
»	»	»
segir	sfg3en	segja
Ásgeir	nken-s	Ásgeir
Einarsson	nken-s	Einarsson
,	,	,
lögfræðingur	nken	lögfræðingur
Samkeppnisstofnunar	nvee-s	Samkeppnisstofnun
.	.	.
16.	ta	16.
júní	nkeo	júní
átti	sfg3eþ	eiga
Samkeppnisstofnun	nven-s	Samkeppnisstofnun
fund	nkeo	fundur
með	aþ	með
embætti	nheþ	embætti
ríkislögreglustjóra	nkee	ríkislögreglustjóri
og	c	og
greindi	sfg3eþ	greina
frá	aa	frá
meintu	lheþsf	meintur
ólögmætu	lheþsf	ólögmætur
samráði	nheþ	samráð
olíufélaganna	nhfeg	olíufélag
.	.	.
Samkeppnisstofnun	nven-s	Samkeppnisstofnun
bauðst	sfm3eþ	bjóða
til	ae	til
að	cn	að
afhenda	sng	afhenda
afrit	nheo	afrit
af	aþ	af
frumathugun	nveþ	frumathugun
stofnunarinnar	nveeg	stofnun
en	c	en
embætti	nhen	embætti
ríkislögreglustjóra	nkee	ríkislögreglustjóri
vildi	sfg3eþ	vilja
hins	fakee	hinn
vegar	nkee	vegur
ekki	aa	ekki
taka	sng	taka
við	aþ	við
gögnunum	nhfþg	gagn
.	.	.
28.	ta	28.
júlí	nkeo	júlí
boðaði	sfg3eþ	boða
ríkislögreglustjóri	nken	ríkislögreglustjóri
til	ae	til
fundar	nkee	fundur
með	aþ	með
Samkeppnisstofnun	nveþ-s	Samkeppnisstofnun
og	c	og
gerði	sfg3eþ	gera
grein	nveo	grein
fyrir	aþ	fyrir
því	fpheþ	það
að	c	að
hann	fpken	hann
hefði	svg3eþ	hafa
falið	ssg	fela
yfirmanni	nkeþ	yfirmaður
efnahagsbrotadeildar	nvee	efnahagsbrotadeild
samskipti	nhfo	samskipti
við	ao	við
stofnunina	nveog	stofnun
.	.	.
Um	ao	um
miðjan	lkeosf	miður
ágúst	nkeo	ágúst
greindi	sfg3eþ	greina
Samkeppnisstofnun	nven-s	Samkeppnisstofnun
ríkislögreglustjóra	nkeþ	ríkislögreglustjóri
frá	aþ	frá
því	fpheþ	það
að	c	að
ástæðulaust	lhensf	ástæðulaus
væri	svg3eþ	vera
að	cn	að
halda	sng	halda
viðræðunum	nvfþg	viðræða
áfram	aa	áfram
.	.	.
21.	ta	21.
ágúst	nkeo	ágúst
óskaði	sfg3eþ	óska
ríkissaksóknari	nken	ríkissaksóknari
að	c	að
ríkislögreglustjóraembættið	nheng	ríkislögreglustjóraembætti
aflaði	svg3eþ	afla
fullnægjandi	lhfeof	fullnægjandi
gagna	nhfe	gagn
frá	aþ	frá
Samkeppnisstofnun	nveþ-s	Samkeppnisstofnun
til	ae	til
þess	fphee	það
unnt	lhensf	unnt
væri	svg3eþ	vera
að	cn	að
athuga	sng	athuga
hvort	c	hvort
þyrfti	svg3eþ	þurfa
að	cn	að
hefja	sng	hefja
opinbera	lveosf	opinber
rannsókn	nveo	rannsókn
.	.	.
Í	aþ	í
framhaldinu	nheþg	framhald
var	sfg3eþ	vera
óskað	sþghen	óska
eftir	aþ	eftir
göngunum	nhfþg	göng
af	aþ	af
hálfu	nveþ	hálfa
embættisins	nheeg	embætti
.	.	.
Útlit	nhen	útlit
er	sfg3en	vera
fyrir	ao	fyrir
hagvaxtarskeið	nheo	hagvaxtarskeið
á	aþ	á
næstu	lhfþve	næstur
árum	nhfþ	ár
en	c	en
þörf	nven	þörf
á	aþ	á
aðhaldi	nheþ	aðhald
til	ae	til
að	cn	að
koma	sng	koma
í	ao	í
veg	nkeo	vegur
fyrir	ao	fyrir
þenslu	nveo	þensla
og	c	og
ójafnvægi	nheo	ójafnvægi
,	,	,
að	aþ	að
mati	nheþ	mat
sendinefndar	nvee	sendinefnd
Alþjóðagjaldeyrissjóðsins	nkeegs	Alþjóðagjaldeyrissjóður
sem	ct	sem
lagði	sfg3eþ	leggja
mat	nkeo	matur
á	ao	á
efnahagshorfur	nvfo	efnahagshorfur
hér	aa	hér
á	aþ	á
landi	nheþ	land
.	.	.
Greinarhöfundar	nkfn	greinarhöfundur
hvetja	sfg3fn	hvetja
til	ae	til
þess	fphee	það
að	c	að
dregið	sþghen	draga
verði	svg3en	verða
úr	aþ	úr
skuldum	nvfþ	skuld
og	c	og
þjóðhagslegur	lkensf	þjóðhagslegur
sparnaður	nken	sparnaður
aukinn	sþgken	auka
.	.	.
Þó	aa	þó
er	sfg3en	vera
ekki	aa	ekki
lögð	sþgven	leggja
jafn	aa	jafn
mikil	lvensf	mikill
áhersla	nven	áhersla
á	ao	á
það	fpheo	það
og	c	og
áður	aa	áður
.	.	.
«	«	«
Þeir	fpkfn	hann
bregða	sfg3fn	bregða
nýju	lheþsf	nýr
ljósi	nheþ	ljós
á	ao	á
þessar	favfo	þessi
skuldir	nvfo	skuld
og	c	og
virðast	sfm3fn	virða
ekki	aa	ekki
hafa	sng	hafa
jafn	aa	jafn
miklar	lvfosf	mikill
áhyggjur	nvfo	áhyggja
af	aþ	af
þeim	fpvfþ	hún
núna	aa	núna
eins	aa	eins
og	c	og
þeir	fpkfn	hann
kannski	aa	kannski
höfðu	sfg3fþ	hafa
fyrst	aae	fyrr
þegar	c	þegar
þeir	fpkfn	hann
voru	sfg3fþ	vera
hér	aa	hér
á	aþ	á
ferðalagi	nheþ	ferðalag
í	ao	í
vor	nheo	vor
,	,	,
»	»	»
segir	sfg3en	segja
Birgir	nken-s	Birgir
Ísleifur	nken-s	Ísleifur
Gunnarsson	nken-s	Gunnarsson
seðlabankastjóri	nken	seðlabankastjóri
.	.	.
«	«	«
Þeir	fpkfn	hann
vilja	sfg3fn	vilja
beina	sng	beina
sjónum	nvfþ	sjón
að	aþ	að
aldurssamsetningu	nveþ	aldurssamsetning
þjóðarinnar	nveeg	þjóð
í	aþ	í
þessu	faheþ	þessi
sambandi	nheþ	samband
.	.	.
Þetta	fahen	þessi
sé	svg3en	vera
tiltölulega	aa	tiltölulega
ung	lvensf	ungur
þjóð	nven	þjóð
sem	ct	sem
sé	svg3en	vera
í	aþ	í
miklum	lvfþsf	mikill
framkvæmdum	nvfþ	framkvæmd
þess	fphee	það
vegna	ae	vegna
.	.	.
Þess	fphee	það
vegna	ae	vegna
séu	svg3fn	vera
skuldirnar	nvfng	skuld
ekki	aa	ekki
óeðlilegar	lvfnsf	óeðlilegur
en	c	en
hvatt	sþghen	hvetja
er	sfg3en	vera
samt	aa	samt
til	ae	til
að	c	að
þær	fpvfn	hún
séu	svg3fn	vera
minnkaðar	sþgvfn	minnka
og	c	og
þjóðhagslegur	lkensf	þjóðhagslegur
sparnaður	nken	sparnaður
aukinn	sþgken	auka
.	.	.
»	»	»
Varnaðarorð	nhfn	varnaðarorð
Alþjóðagjaldeyrissjóðsins	nkeegs	Alþjóðagjaldeyrissjóður
um	ao	um
nauðsyn	nveo	nauðsyn
á	aþ	á
viðbrögðum	nhfþ	viðbragð
vegna	ae	vegna
framkvæmda	nvfe	framkvæmd
á	aþ	á
næstu	lhfþve	næstur
árum	nhfþ	ár
eru	sfg3fn	vera
kunnuglegar	lvfnsf	kunnulegur
.	.	.
Birgir	nken-s	Birgir
Ísleifur	nken-s	Ísleifur
segist	sfm3en	segja
aðspurður	lkensf	aðspurður
telja	sng	telja
að	c	að
hægt	lhensf	hægur
sé	svg3en	vera
að	cn	að
halda	sng	halda
aftur	aa	aftur
af	aþ	af
þenslu	nveþ	þensla
og	c	og
koma	sng	koma
í	ao	í
veg	nkeo	vegur
fyrir	ao	fyrir
að	c	að
uppgangnum	nkeþg	uppgangur
nú	aa	nú
lykti	svg3en	lykta
líkt	aa	líkt
og	c	og
uppgangnum	nkeþg	uppgangur
undir	ao	undir
lok	nhfo	lok
síðustu	lveeve	síðari
aldar	nvee	öld
.	.	.
«	«	«
Þetta	fahen	þessi
eru	sfg3fn	vera
tiltölulega	aa	tiltölulega
miklar	lvfnsf	mikill
framkvæmdir	nvfn	framkvæmd
hlutfallslega	aa	hlutfallslega
miðað	sþghen	miða
við	ao	við
þjóðarframleiðslu	nveo	þjóðarframleiðsla
.	.	.
Við	fp1fn	ég
vitum	sfg1fn	vita
fyrir	aa	fyrir
fram	aa	fram
nokkurn	fokeo	nokkur
veginn	nkeog	vegur
hvenær	aa	hvenær
þær	fpvfn	hún
verða	sfg3fn	verða
og	c	og
í	aþ	í
hversu	aa	hversu
miklum	lkeþsf	mikill
mæli	nkeþ	mælir
.	.	.
Þess	fphee	það
vegna	ae	vegna
á	sfg3en	eiga
að	cn	að
vera	sng	vera
hægt	lhensf	hægur
að	cn	að
bregðast	snm	bregða
við	aþ	við
þeim	fpvfþ	hún
og	c	og
ég	fp1en	ég
er	sfg1en	vera
bjartsýnn	lkensf	bjartsýnn
á	ao	á
að	c	að
það	fphen	það
gerist	svm3en	gera
,	,	,
»	»	»
segir	sfg3en	segja
Birgir	nken-s	Birgir
Ísleifur	nken-s	Ísleifur
og	c	og
bætir	sfg3en	bæta
við	aa	við
að	c	að
til	ae	til
þess	fphee	það
þurfi	svg3en	þurfa
mjög	aa	mjög
náið	lheosf	náinn
samspil	nheo	samspil
peningastefnunnar	nveeg	peningastefna
og	c	og
ríkisfjármálanna	nhfeg	ríkisfjármál
á	aþ	á
þessu	faheþ	þessi
tímabili	nheþ	tímabil
.	.	.
»	»	»
Sérstaklega	aa	sérstaklega
þurfi	svg3en	þurfa
að	cn	að
huga	sng	huga
að	aþ	að
ríkisfjármálum	nhfþ	ríkisfjármál
til	ae	til
að	cn	að
koma	sng	koma
í	ao	í
veg	nkeo	vegur
fyrir	ao	fyrir
að	c	að
gengi	nhen	gengi
krónunnar	nveeg	króna
og	c	og
vextir	nkfn	vöxtur
hækki	svg3fn	hækka
ekki	aa	ekki
um	aa	um
of	aa	of
.	.	.
Ekki	aa	ekki
náðist	sfm3eþ	ná
í	ao	í
Geir	nkeo-s	Geir
H.	as	H.
Haarde	nkeo-s	Haarde
fjármálaráðherra	nkeo	fjármálaráðherra
,	,	,
sem	ct	sem
vísaði	sfg3eþ	vísa
á	ao	á
Seðlabankann	nkeogs	Seðlabanki
um	ao	um
viðbrögð	nhfo	viðbragð
við	aþ	við
skýrslunum	nvfþg	skýrsla
.	.	.
brynjolfur@frettabladid.is	v	brynjolfur@frettabladid.is
Costa	e	Costa
Blanca	e	Blanca
ströndin	nveng	strönd
hefur	sfg3en	hafa
eitt	foheo	einn
heilsusamlegasta	lheove	heilsusamlegur
loftslag	nheo	loftslag
veraldar	nvee	veröld
,	,	,
skv.	as	skv.
WHO	as	WHO
.	.	.
Velkomin	lhfnsf	velkominn
á	ao	á
kynningu	nveo	kynning
sem	ct	sem
haldin	sþgven	halda
verður	sfg3en	verða
á	aþ	á
Hótel	nheþ-s	hótel
Loftleiðir-Flugleiðahótel	nheþ-s	Loftleiðir-Flugleiðahótel
við	ao	við
Hlíðarfót	nkeo-s	Hlíðarfótur
,	,	,
Reykjavíkurflugvelli	nkeþ-s	Reykjavíkurflugvöllur
laugard.	as	laugard.
6.	ta	6.
og	c	og
sunnud.	as	sunnud.
7.	ta	7.
sep.	as	sep.
kl.	as	kl.
10-17	ta	10-17
Mikið	lhensf	mikill
úrval	nhen	úrval
af	aþ	af
vönduðum	lvfþsf	vandaður
húseignum	nvfþ	húseign
á	aþ	á
Costa	e	Costa
Blanca	e	Blanca
ströndinni	nveþg	strönd
á	aþ	á
mjög	aa	mjög
hagstæðu	lheþsf	hagstæður
verði	nheþ	verð
.	.	.
Við	fp1fn	ég
veitum	sfg1fn	veita
yður	fp2fþ	þér
alla	foveo	allur
nauðsynlega	lveosf	nauðsynlegur
aðstoð	nveo	aðstoð
í	aþ	í
sambandi	nheþ	samband
við	ao	við
fasteignakaup	nhfo	fasteignakaup
/	/	/
búsetu	nveo	búseta
á	aþ	á
Spáni	nkeþ-s	Spánn
.	.	.
TM	as	TM
INTERNATIONAL	e	INTERNATIONAL
«	«	«
Það	fphen	það
hefur	sfg3en	hafa
orðið	ssg	verða
talsverð	lvensf	talsverður
aukning	nven	aukning
á	aa	á
milli	ae	milli
ára	nhfe	ár
og	c	og
við	fp1fn	ég
þökkum	sfg1fn	þakka
það	fpheo	það
mörgum	lkfþsf	margur
samvirkandi	lkfþof	samvirkandi
þáttum	nkfþ	þáttur
,	,	,
»	»	»
sagði	sfg3eþ	segja
Magnús	nken-s	Magnús
Oddsson	nken-s	Oddsson
ferðamálastjóri	nken	ferðamálastjóri
,	,	,
en	c	en
ferðamönnum	nkfþ	ferðamaður
sem	ct	sem
fóru	sfg3fþ	fara
um	ao	um
Leifsstöð	nveo-s	Leifsstöð
fjölgaði	sfg3eþ	fjölga
mikið	aa	mikið
á	aa	á
milli	ae	milli
ára	nhfe	ár
,	,	,
úr	aþ	úr
rúmum	lhfþsf	rúmur
50	to	50
þúsundum	nhfþ	þúsund
í	ao	í
tæp	lhfosf	tæpur
59	to	59
þúsund	nhfo	þúsund
.	.	.
«	«	«
Við	ao	við
þennan	fakeo	þessi
fjölda	nkeo	fjöldi
bætast	sfm3fn	bæta
allir	fokfn	allur
þeir	fakfn	sá
sem	ct	sem
koma	sfg3fn	koma
með	aþ	með
öðrum	fokeþ	annar
hætti	nkeþ	háttur
til	ae	til
landsins	nheeg	land
,	,	,
með	aþ	með
Norrænu	nveþ-s	Norræna
og	c	og
öðrum	fohfþ	annar
flugfélögum	nhfþ	flugfélag
,	,	,
sem	ct	sem
fljúga	sfg3fn	fljúga
til	ae	til
Akureyrar	nvee-s	Akureyri
og	c	og
Egilsstaða	nkfe-s	Egilsstaðir
.	.	.
Það	fphen	það
er	sfg3en	vera
erfitt	lhensf	erfiður
að	cn	að
henda	sng	henda
reiður	nvfo	reiða
á	aa	á
hverrar	fovee	hver
þjóðar	nvee	þjóð
ferðafólkið	nheng	ferðafólk
er	sfg3en	vera
en	c	en
samkvæmt	aþ	samkvæmt
okkar	fp1fe	ég
mælingum	nvfþ	mæling
er	sfg3en	vera
hlutfallslega	aa	hlutfallslega
mest	lvense	mikill
fjölgun	nven	fjölgun
af	aþ	af
fólki	nheþ	fólk
frá	aþ	frá
Bretlandi	nheþ-s	Bretland
og	c	og
meginlandi	nheþ	meginland
Evrópu	nvee-s	Evrópa
.	.	.
Einnig	aa	einnig
er	sfg3en	vera
gaman	nhen	gaman
að	cn	að
sjá	sng	sjá
að	c	að
Bandaríkjamönnum	nkfþ-s	Bandaríkjamaður
er	sfg3en	vera
að	cn	að
fjölga	sng	fjölga
hér	aa	hér
aftur	aa	aftur
.	.	.
»	»	»
Magnús	nken-s	Magnús
segir	sfg3en	segja
mikilvægt	lheosf	mikilvægur
að	cn	að
muna	sng	muna
hversu	aa	hversu
mikil	lhfosf	mikill
áhrif	nhfo	áhrif
ferðaiðnaðurinn	nkeng	ferðaiðnaður
hefur	sfg3en	hafa
á	ao	á
þjóðarbúið	nheog	þjóðarbú
.	.	.
«	«	«
Það	fphen	það
má	sfg3en	mega
gera	sng	gera
ráð	nheo	ráð
fyrir	aþ	fyrir
að	c	að
þessir	fakfn	þessi
ferðamenn	nkfn	ferðamaður
hafi	svg3fn	hafa
keypt	ssg	kaupa
þjónustu	nveo	þjónusta
og	c	og
vörur	nvfo	vara
fyrir	ao	fyrir
um	aa	um
5	ta	5
milljarða	nkfo	milljarður
í	aþ	í
nýliðnum	lkeþsf	nýliðinn
mánuði	nkeþ	mánuður
.	.	.
»	»	»
Sameining	nven	sameining
verktakafyrirtækja	nhfe	verktakafyrirtæki
:	:	:
Björgun	nven-s	Björgun
til	ae	til
Jarðborana	nvfe-s	Jarðborun
Jarðboranir	nvfn-s	Jarðborun
hafa	sfg3fn	hafa
keypt	ssg	kaupa
fyrirtækið	nheog	fyrirtæki
Björgun	nveo-s	Björgun
.	.	.
Kaupverðið	nheng	kaupverð
er	sfg3en	vera
tæpir	lkfnsf	tæpur
2,4	ta	2,4
milljarðar	nkfn	milljarður
króna	nvfe	króna
.	.	.
Jarðboranir	nvfn	jarðborun
greiða	sfg3fn	greiða
fyrir	aa	fyrir
með	aþ	með
reiðufé	nheþ	reiðufé
.	.	.
Kaupin	nhfng	kaup
eru	sfg3fn	vera
fjármögnuð	sþghfn	fjármagna
með	aþ	með
lánum	nhfþ	lán
og	c	og
útgáfu	nveþ	útgáfa
hlutafjár	nhee	hlutafé
.	.	.
Stjórn	nven	stjórn
Jarðborana	nvfe-s	Jarðborun
telur	sfg3en	telja
að	c	að
með	aþ	með
kaupunum	nhfþg	kaup
sé	svg3en	vera
verið	sþghen	vera
að	cn	að
skjóta	sng	skjóta
frekari	lvfþvm	frekur
stoðum	nvfþ	stoð
undir	ao	undir
rekstur	nkeo	rekstur
Jarðborana	nvfe-s	Jarðborun
og	c	og
auka	sng	auka
fjölbreytni	nveo	fjölbreytni
rekstrarins	nkeeg	rekstur
.	.	.
Bæði	fohfn	báðir
fyrirtækin	nhfng	fyrirtæki
hafa	sfg3fn	hafa
reynslu	nveo	reynsla
á	aþ	á
sviði	nheþ	svið
verktakastarfsemi	nvee	verktakastarfsemi
.	.	.
Björgun	nven	björgun
hefur	sfg3en	hafa
stundað	ssg	stunda
efnistöku	nveo	efnistaka
á	aþ	á
sjávarbotni	nkeþ	sjávarbotn
,	,	,
flokkað	ssg	flokka
efnið	nheog	efni
og	c	og
selt	ssg	selja
.	.	.
Síðasta	lkeove	síðari
áratuginn	nkeog	áratugur
hefur	sfg3en	hafa
fyrirtækið	nheng	fyrirtæki
unnið	ssg	vinna
að	aþ	að
uppfyllingu	nveþ	uppfylling
fyrir	ao	fyrir
strandhverfi	nhfo	strandhverfi
.	.	.
Bryggjuhverfið	nhengs	bryggjuhverfi
í	aþ	í
Grafarvogi	nkeþ-s	Grafarvogur
er	sfg3en	vera
dæmi	nhen	dæmi
um	ao	um
slíkt	fbheo	slíkur
hverfi	nheo	hverfi
.	.	.
GEORG	nken-s	Georg
ÓLAFSSON	nken-s	Ólafsson
OG	c	og
HARALDUR	nken-s	Haraldur
JOHANNESSEN	nken-s	Johannessen
Georg	nken-s	Georg
og	c	og
Haraldur	nken-s	Haraldur
takast	sfm3fn	taka
í	ao	í
hendur	nvfo	hönd
í	aþ	í
upphafi	nheþ	upphaf
fundar	nkee	fundur
sem	ct	sem
ríkislögreglustjóraembættið	nheng	ríkislögreglustjóraembætti
átti	sfg3eþ	eiga
með	aþ	með
Samkeppnisstofnun	nveþ-s	Samkeppnisstofnun
þann	fakeo	sá
28.	ta	28.
júlí	nkeo	júlí
.	.	.
Alþjóðagjaldeyrissjóðurinn	nkeng	alþjóðagjaldeyrissjóður
telur	sfg3en	telja
bjart	lheosf	bjartur
fram	aa	fram
undan	aa	undan
en	c	en
hvetur	sfg3en	hvetja
til	ae	til
aðhalds	nhee	aðhald
.	.	.
Skuldastaða	nven	skuldastaða
ekki	aa	ekki
jafn	aa	jafn
mikið	lhensf	mikill
áhyggjuefni	nhen	áhyggjuefni
og	c	og
áður	aa	áður
var	sfg3eþ	vera
talið	sþghen	telja
.	.	.
BIRGIR	nken-s	Birgir
ÍSLEIFUR	nken-s	Ísleifur
GUNNARSSON	nken-s	Gunnarsson
Stærstu	lvfnve	stór
framkvæmdir	nvfn	framkvæmd
liggja	sfg3fn	liggja
fyrir	aa	fyrir
og	c	og
því	aa	því
geta	sfg3fn	geta
Seðlabanki	nken-s	Seðlabanki
og	c	og
stjórnvöld	nhfn	stjórnvald
haft	ssg	hafa
betri	lveovm	góður
stjórn	nveo	stjórn
á	aþ	á
efnahagsmálum	nhfþ	efnahagsmál
en	c	en
ella	aa	ella
.	.	.
FYRIRHUGAÐ	lhensf	fyrirhugaður
ÁLVER	nhen	álver
VIÐ	ao	við
REYÐARFJÖRÐ	nkeo-s	Reyðarfjörður
Kostnaður	nken	kostnaður
við	ao	við
stóriðjuframkvæmdir	nvfo	stóriðjuframkvæmd
næstu	lhfove	næstur
árin	nhfog	ár
jafngildir	sfg3en	jafngilda
því	fpheþ	það
að	c	að
þriðjungi	nkeþ	þriðjungur
landsframleiðslu	nvee	landsframleiðsla
Íslands	nhee-s	Ísland
í	ao	í
ár	nheo	ár
væri	svg3eþ	vera
varið	sþghen	verja
til	ae	til
verksins	nheeg	verk
.	.	.
Ung	lvensf	ungur
þjóð	nven	þjóð
getur	sfg3en	geta
skuldað	ssg	skulda
meira	lheovm	mikill
Yfir	aa	yfir
60	to	60
þúsund	tfkfn	þúsund
gestir	nkfn	gestur
í	aþ	í
ágúst	nkeþ	ágúst
:	:	:
Fimm	tfkfn	fimm
milljarðar	nkfn	milljarður
í	ao	í
búið	nheog	bú
FRÁ	aþ	frá
LEIFSSTÖÐ	nveþ-s	Leifsstöð
Erlendum	lkfþsf	erlendur
gestum	nkfþ	gestur
fjölgar	sfg3en	fjölga
mikið	aa	mikið
,	,	,
um	ao	um
rúm	lhfosf	rúmur
ellefu	tfhfo	ellefu
prósent	nhfo	prósent
á	aa	á
milli	ae	milli
ára	nhfe	ár
.	.	.
Lögreglufréttir	nvfn	lögreglufrétt
BÍLL	nken	bíll
FANNST	sfm3eþ	finna
ÚTI	aa	úti
Í	aþ	í
MIÐRI	lveþsf	miður
Á	nveþ	á
Mannlaus	lkensf	mannlaus
bíll	nken	bíll
fannst	sfm3eþ	finna
í	aa	í
á	nveþ	á
í	aþ	í
Þormóðsdal	nkeþ-s	Þormóðsdalur
austan	aa	austan
við	ao	við
Mosfellsbæ	nkeo-s	Mosfellsbær
klukkan	nveng	klukka
sjö	ta	sjö
í	ao	í
gærmorgun	nkeo	gærmorgunn
.	.	.
Dráttarbíll	nken	dráttarbíll
var	sfg3eþ	vera
fenginn	sþgken	fá
til	ae	til
að	cn	að
ná	sng	ná
bílnum	nkeþg	bíll
upp	aa	upp
úr	aþ	úr
ánni	nveþg	á
.	.	.
Málið	nheng	mál
er	sfg3en	vera
í	aþ	í
athugun	nveþ	athugun
hjá	aþ	hjá
lögreglunni	nveþg	lögregla
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
.	.	.
Áfrýjunardómstóll	nken	áfrýjunardómstóll
bandaríska	lheevf	bandarískur
alríkisins	nheeg	alríki
í	aþ	í
San	e	San
Francisco	e	Francisco
hefur	sfg3en	hafa
ógilt	ssg	ógilda
á	ao	á
annað	lheosf	annaður
hundrað	nheo	hundrað
dauðadóma	nkfe	dauðadómur
í	aþ	í
Arizona	e	Arizona
,	,	,
Montana	e	Montana
og	c	og
Idaho	e	Idaho
á	aþ	á
þeim	favfþ	sá
forsendum	nvfþ	forsenda
að	c	að
þeir	fpkfn	hann
hafi	svg3fn	hafa
verið	ssg	vera
kveðnir	sþgkfn	kveða
upp	aa	upp
af	aþ	af
dómurum	nkfþ	dómari
en	c	en
ekki	aa	ekki
kviðdómi	nkeþ	kviðdómur
.	.	.
Dómstóllinn	nkeng	dómstóll
tók	sfg3eþ	taka
málið	nheog	mál
fyrir	aa	fyrir
í	ao	í
kjölfar	nheo	kjölfar
úrskurðar	nkee	úrskurður
hæstaréttar	nkee	hæstiréttur
í	aþ	í
Bandaríkjunum	nhfþgs	Bandaríki
þess	fahee	sá
efnis	nhee	efni
að	c	að
samkvæmt	aþ	samkvæmt
stjórnarskránni	nveþg	stjórnarskrá
væri	svg3eþ	vera
einungis	aa	einungis
kviðdómi	nkeþ	kviðdómur
heimilt	lhensf	heimill
að	cn	að
dæma	sng	dæma
sakamenn	nkfo	sakamaður
til	ae	til
dauða	nkee	dauði
.	.	.
Úrskurður	nken	úrskurður
áfrýjunardómstólsins	nkeeg	áfrýjunardómstóll
hefur	sfg3en	hafa
þýðingu	nveo	þýðing
fyrir	ao	fyrir
um	ao	um
það	faheo	sá
bil	nheo	bil
þrjú	tfhfo	þrír
prósent	nhfo	prósent
af	aþ	af
þeim	fakfþ	sá
3.700	ta	3.700
föngum	nkfþ	fangi
sem	ct	sem
bíða	sfg3fn	bíða
þess	fphee	það
að	cn	að
verða	sng	verða
teknir	sþgkfn	taka
af	aþ	af
lífi	nheþ	líf
í	aþ	í
Bandaríkjunum	nhfþgs	Bandaríki
.	.	.
Sakamennirnir	nkfng	sakamaður
eiga	sfg3fn	eiga
rétt	aa	rétt
á	aþ	á
því	fpheþ	það
að	c	að
dauðadómnum	nkeþg	dauðadómur
verði	svg3en	verða
breytt	sþghen	breyta
í	ao	í
lífstíðarfangelsi	nheo	lífstíðarfangelsi
eða	c	eða
að	c	að
réttað	sþghen	rétta
verði	svg3en	verða
yfir	aþ	yfir
