annarra	fokfe	annar
hlutfall	nhen	hlutfall
barna	nhfe	barn
á	aþ	á
sama	fbkeþ	sami
aldri	nkeþ	aldur
sem	ct	sem
býr	sfg3en	búa
hjá	aþ	hjá
einum	tfkeþ	einn
fullorðnum	lkeþsf	fullorðinn
úr	aþ	úr
liðlega	aa	liðlega
16%	tp	16%
í	ao	í
um	aa	um
20%	tp	20%
.	.	.

Árið	nheog	ár
2000	ta	2000
er	sfg3en	vera
hlutfall	nhen	hlutfall
barna	nhfe	barn
á	aþ	á
aldrinum	nkeþg	aldur
0-17	ta	0-17
ára	nhfe	ár
sem	ct	sem
býr	sfg3en	búa
hjá	aþ	hjá
tveimur	tfkfþ	tveir
fullorðnum	lkfþsf	fullorðinn
áberandi	aa	áberandi
lægra	lhenvm	lágur
á	aþ	á
höfuðborgarsvæðinu	nheþg	höfuðborgarsvæði
en	c	en
annars	fokee	annar
staðar	nkee	staður
á	aþ	á
landinu	nheþg	land
.	.	.

Samtímis	aa	samtímis
er	sfg3en	vera
hlutfall	nhen	hlutfall
barna	nhfe	barn
á	aþ	á
sama	fbkeþ	sami
aldri	nkeþ	aldur
sem	ct	sem
býr	sfg3en	búa
hjá	aþ	hjá
einum	tfkeþ	einn
fullorðnum	lkeþsf	fullorðinn
áberandi	aa	áberandi
hærra	lhenvm	hár
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
og	c	og
á	aþ	á
höfuðborgarsvæðinu	nheþg	höfuðborgarsvæði
.	.	.

Hjónavígslum	nvfþ	hjónavígsla
fjölgar	sfg3en	fjölga
fram	aa	fram
á	ao	á
níunda	lkeovf	níundi
áratug	nkeo	áratugur
20.	ta	20.
aldar	nvee	öld
,	,	,
en	c	en
þá	aa	þá
verður	sfg3en	verða
mikil	lvensf	mikill
breyting	nven	breyting
.	.	.

Eftirfarandi	lvenof	eftirfarandi
tafla	nven	tafla
sýnir	sfg3en	sýna
þessa	faveo	þessi
þróun	nveo	þróun
:	:	:
Á	aþ	á
níunda	lkeþvf	níundi
áratug	nkeþ	áratugur
20.	ta	20.
aldar	nvee	öld
fækkar	sfg3en	fækka
hjónavígslum	nvfþ	hjónavígsla
verulega	aa	verulega
en	c	en
fjölgar	sfg3en	fjölga
aftur	aa	aftur
lítillega	aa	lítillega
á	aþ	á
þeim	fakeþ	sá
tíunda	lkeþvf	tíundi
.	.	.

Lögskilnuðum	nkfþ	lögskilnaður
fjölgar	sfg3en	fjölga
aftur	aa	aftur
á	aa	á
móti	aa	móti
jafnt	aa	jafnt
og	c	og
þétt	aa	þétt
frá	aþ	frá
1951	ta	1951
til	aa	til
2000	ta	2000
,	,	,
þ.e	as	þ.e
úr	aþ	úr
3,9	ta	3,9
á	ao	á
1.000	ta	1.000
hjón	nhfo	hjón
1951	ta	1951
í	ao	í
11,2	ta	11,2
árið	nheog	ár
2000	ta	2000
.	.	.

Flestir	lkfnse	margur
eru	sfg3fn	vera
lögskilnaðirnir	nkfng	lögskilnaður
11,6	ta	11,6
á	ao	á
1.000	ta	1.000
hjón	nhfo	hjón
árið	nheog	ár
1991	ta	1991
og	c	og
fæstir	lkfnse	fár
3,6	ta	3,6
árið	nheog	ár
1956	ta	1956
.	.	.

Sem	c	sem
hlutfall	nhen	hlutfall
af	aþ	af
hjónavígslum	nvfþ	hjónavígsla
aukast	sfm3fn	auka
lögskilnaðir	nkfn	lögskilnaður
úr	aþ	úr
tæpum	lhfþsf	tæpur
2	ta	2
prósentum	nhfþ	prósent
í	ao	í
7,5	ta	7,5
prósent	nhfo	prósent
á	aþ	á
níunda	lkeþvf	níundi
áratugnum	nkeþg	áratugur
,	,	,
en	c	en
fækkar	sfg3en	fækka
lítillega	aa	lítillega
á	aþ	á
tíunda	lkeþvf	tíundi
áratugnum	nkeþg	áratugur
.	.	.

Þegar	c	þegar
lögskilnaðir	nkfn	lögskilnaður
eru	sfg3fn	vera
skoðaðir	sþgkfn	skoða
með	aþ	með
tilliti	nheþ	tillit
til	ae	til
aldurs	nkee	aldur
hjóna	nhfe	hjón
kemur	sfg3en	koma
í	ao	í
ljós	nheo	ljós
aldursbundin	lvensf	aldursbundinn
breyting	nven	breyting
í	ao	í
lok	nhfo	lok
níunda	lkeevf	níundi
áratugar	nkee	áratugur
20.	ta	20.
aldar	nvee	öld
varðandi	slg	varða
karla	nkfo	karl
og	c	og
í	aþ	í
upphafi	nheþ	upphaf
tíunda	lkeevf	tíundi
áratugarins	nkeeg	áratugur
varðandi	slg	varða
konur	nvfo	kona
.	.	.

Miðað	sþghen	miða
við	ao	við
fimm	tfhfe	fimm
ára	nhfe	ár
tímabil	nheo	tímabil
frá	aþ	frá
1961-2000	ta	1961-2000
er	sfg3en	vera
algengasti	lkenve	algengur
aldur	nken	aldur
lögskilnaða	nkfe	lögskilnaður
karla	nkfe	karl
25-29	ta	25-29
ár	nhfn	ár
fram	aa	fram
til	ae	til
1985	ta	1985
,	,	,
30-34	ta	30-34
ár	nhfn	ár
frá	aþ	frá
19861995	ta	19861995
,	,	,
og	c	og
40-45	ta	40-45
ár	nhfn	ár
frá	aþ	frá
1996	ta	1996
.	.	.

Algengasti	lkenve	algengur
aldur	nken	aldur
kvenna	nvfe	kona
við	ao	við
lögskilnað	nkeo	lögskilnaður
er	sfg3en	vera
25-29	ta	25-29
ár	nhfn	ár
frá	aþ	frá
1961-1990	ta	1961-1990
,	,	,
en	c	en
35-39	ta	35-39
ár	nhfn	ár
eftir	ao	eftir
það	fpheo	það
fram	aa	fram
til	ae	til
2000	ta	2000
.	.	.

Þessi	faven	þessi
þróun	nven	þróun
er	sfg3en	vera
athyglisverð	lvensf	athyglisverður
frá	aþ	frá
1980	ta	1980
en	c	en
þá	aa	þá
verður	sfg3en	verða
áberandi	lvenof	áberandi
breyting	nven	breyting
með	aþ	með
tilliti	nheþ	tillit
til	ae	til
aldurs	nkee	aldur
kynjanna	nhfeg	kyn
við	ao	við
lögskilnað	nkeo	lögskilnaður
,	,	,
einkum	aa	einkum
þó	aa	þó
karla	nkfe	karl
.	.	.

Við	ao	við
lögskilnað	nkeo	lögskilnaður
eftir	aþ	eftir
1980	ta	1980
eru	sfg3fn	vera
karlar	nkfn	karl
flestir	lkfnse	margur
fæddir	sþgkfn	fæða
á	aþ	á
sjötta	lkeþvf	sjötti
og	c	og
sjöunda	lkeþvf	sjöundi
áratug	nkeþ	áratugur
20.	ta	20.
aldar	nvee	öld
og	c	og
konurnar	nvfng	kona
á	aþ	á
þeim	fakeþ	sá
sjöunda	lkeþvf	sjöundi
.	.	.

Upplýsingar	nvfn	upplýsing
um	ao	um
lögskilnaði	nkfo	lögskilnaður
eftir	aþ	eftir
lengd	nveþ	lengd
hjónabands	nhee	hjónaband
1961-2000	ta	1961-2000
sýna	sfg3fn	sýna
að	c	að
sé	svg3en	vera
miðað	sþghen	miða
við	ao	við
fimm	tfhfe	fimm
ára	nhfe	ár
tímabil	nheo	tímabil
á	aþ	á
þessum	fakeþ	þessi
tíma	nkeþ	tími
er	sfg3en	vera
algengasta	lvenve	algengur
lengd	nven	lengd
hjónabands	nhee	hjónaband
við	ao	við
lögskilnað	nkeo	lögskilnaður
3-5	ta	3-5
ár	nhfn	ár
frá	aþ	frá
1961-1980	ta	1961-1980
,	,	,
6-9	ta	6-9
ár	nhfn	ár
frá	aþ	frá
1981-1990	ta	1981-1990
,	,	,
og	c	og
20	ta	20
ár	nhfn	ár
og	c	og
þar	aa	þar
yfir	aa	yfir
frá	aþ	frá
1991-2000	ta	1991-2000
.	.	.

Frá	aþ	frá
árinu	nheþg	ár
1971	ta	1971
til	aa	til
2000	ta	2000
er	sfg3en	vera
árleg	lvensf	árlegur
tíðni	nven	tíðni
lögskilnaða	nkfe	lögskilnaður
hæst	lvense	hár
meðal	ae	meðal
hjóna	nhfe	hjón
með	ao	með
eitt	tfheo	einn
barn	nheo	barn
en	c	en
árin	nhfog	ár
1999	ta	1999
og	c	og
2000	ta	2000
verður	sfg3en	verða
breyting	nven	breyting
á	aþ	á
því	fpheþ	það
og	c	og
þessi	fahfo	þessi
ár	nhfo	ár
er	sfg3en	vera
algengast	lhense	algengur
að	c	að
börnin	nhfng	barn
séu	svg3fn	vera
tvö	tfhfn	tveir
.	.	.

Þróun	nven	þróun
lögskilnaða	nkfe	lögskilnaður
eftir	aþ	eftir
1980	ta	1980
með	aþ	með
tilliti	nheþ	tillit
til	ae	til
aldurs	nkee	aldur
hjóna	nhfe	hjón
og	c	og
lengdar	nvee	lengd
hjónabands	nhee	hjónaband
er	sfg3en	vera
einkum	aa	einkum
athyglisverð	lvensf	athyglisverður
vegna	ae	vegna
þess	fphee	það
að	c	að
mörg	lhfnsf	margur
þessara	fahfe	þessi
hjónabanda	nhfe	hjónaband
virðast	sfm3fn	virða
annaðhvort	c	annaðhvort
verða	sng	verða
á	aþ	á
áttunda	lkeþvf	áttundi
áratugnum	nkeþg	áratugur
eða	c	eða
tengjast	snm	tengja
þeim	fakeþ	sá
sjöunda	lkeþvf	sjöundi
vegna	ae	vegna
aldurs	nkee	aldur
hjóna	nhfe	hjón
.	.	.

Í	aþ	í
þessu	faheþ	þessi
sambandi	nheþ	samband
er	sfg3en	vera
vert	lhensf	verður
að	cn	að
benda	sng	benda
á	ao	á
að	c	að
róttækar	lvfnsf	róttækur
breytingar	nvfn	breyting
urðu	sfg3fþ	verða
einmitt	aa	einmitt
á	aþ	á
sjöunda	lkeþvf	sjöundi
áratug	nkeþ	áratugur
20.	ta	20.
aldar	nvee	öld
á	aþ	á
félagslegum	lhfþsf	félagslegur
viðmiðum	nhfþ	viðmið
varðandi	slg	varða
fjölskylduna	nveog	fjölskylda
.	.	.

Þessar	favfn	þessi
breytingar	nvfn	breyting
urðu	sfg3fþ	verða
á	aþ	á
þessum	fakeþ	þessi
tíma	nkeþ	tími
einkum	aa	einkum
á	aþ	á
Vesturlöndum	nhfþ-s	Vesturland
og	c	og
höfðu	sfg3fþ	hafa
víðtæk	lhfosf	víðtækur
áhrif	nhfo	áhrif
á	ao	á
þjóðfélög	nhfo	þjóðfélag
þessara	fahfe	þessi
landa	nhfe	land
.	.	.

7.2.7	ta	7.2.7
Hvernig	aa	hvernig
ber	sfg3en	bera
að	cn	að
túlka	sng	túlka
fjölgun	nveo	fjölgun
hjónaskilnaða	nkfe	hjónaskilnaður
á	aþ	á
síðari	lhfþvm	síðari
árum	nhfþ	ár
?	?	?

Að	aþ	að
því	fpheþ	það
gefnu	lheþsf	gefinn
að	c	að
fjölskyldan	nveng	fjölskylda
gegni	svg3en	gegna
af	aþ	af
hefð	nveþ	hefð
lykilhlutverkinu	nheþg	lykilhlutverk
að	cn	að
stjórna	sng	stjórna
endurnýjuninni	nveþg	endurnýjun
,	,	,
annast	snm	anna
félagsmótun	nven	félagsmótun
barna	nhfe	barn
og	c	og
veita	sng	veita
fullorðnum	lkfþsf	fullorðinn
félagsskap	nkeo	félagsskapur
og	c	og
stuðning	nkeo	stuðningur
,	,	,
koma	sfg3fn	koma
tölur	nvfn	tala
um	ao	um
fjölgun	nveo	fjölgun
hjónaskilnaða	nkfe	hjónaskilnaður
ef	c	ef
til	aa	til
vill	sfg3en	vilja
undarlega	aa	undarlega
fyrir	ao	fyrir
sjónir	nvfo	sjón
.	.	.

Hvernig	aa	hvernig
ber	sfg3en	bera
að	cn	að
túlka	sng	túlka
þróun	nveo	þróun
þessara	favfe	þessi
talna	nvfe	tala
?	?	?

Umræða	nven	umræða
um	ao	um
þessa	fakfo	þessi
hluti	nkfo	hlutur
þarf	sfg3en	þurfa
að	aþ	að
mati	nheþ	mat
Cox	e	Cox
(	(	(
1991	ta	1991
)	)	)
að	cn	að
taka	sng	taka
til	ae	til
eftirfarandi	lhfeof	eftirfarandi
atriða	nhfe	atriði
:	:	:
Breytinga	nvfe	breyting
á	aþ	á
lögum	nhfþ	lag
.	.	.

Efnahagslegra	lvfesf	efnahagslegur
breytinga	nvfe	breyting
.	.	.

Breytinga	nvfe	breyting
á	aþ	á
félagslegum	lvfþsf	félagslegur
viðmiðum	nhfþ	viðmið
.	.	.

McGregor	e	McGregor
(	(	(
1957	ta	1957
)	)	)
rekur	sfg3en	reka
tengsl	nhfo	tengsl
fjölgunar	nvee	fjölgun
skilnaða	nkfe	skilnaður
að	aþ	að
hluta	nkeþ	hluti
til	ae	til
sögulegra	lvfesf	sögulegur
lagabreytinga	nvfe	lagabreyting
sem	ct	sem
hafa	sfg3fn	hafa
aukið	ssg	auka
möguleika	nkfo	möguleiki
fólks	nhee	fólk
á	ao	á
að	cn	að
fá	sng	fá
skilnað	nkeo	skilnaður
frá	aþ	frá
maka	nkeþ	maki
sínum	fekeþ	sinn
.	.	.

Á	aþ	á
sjötta	lkeþvf	sjötti
áratug	nkeþ	áratugur
20.	ta	20.
aldar	nvee	öld
giftist	sfm3en	gifta
auk	ae	auk
þess	fphee	það
t.d.	as	t.d.
í	aþ	í
Bretlandi	nheþ-s	Bretland
hærra	lhenvm	hár
hlutfall	nhen	hlutfall
kvenna	nvfe	kona
en	c	en
áður	aa	áður
og	c	og
konur	nvfn	kona
giftust	sfm3fþ	gifta
yngri	lvfnvm	ungur
en	c	en
áður	aa	áður
.	.	.

Þetta	fahen	þessi
er	sfg3en	vera
andstætt	lhensf	andstæður
þróuninni	nveþg	þróun
hér	aa	hér
á	aþ	á
landi	nheþ	land
á	aþ	á
undanförnum	lkfþsf	undanfarinn
áratugum	nkfþ	áratugur
þar	aa	þar
sem	c	sem
meðalaldur	nken	meðalaldur
brúða	nvfe	brúður
og	c	og
brúðguma	nkfe	brúðgumi
hefur	sfg3en	hafa
farið	ssg	fara
hækkandi	slg	hækka
(	(	(
Hagstofa	nven-s	Hagstofa
Íslands	nhee-s	Ísland
,	,	,
2002	ta	2002
)	)	)
.	.	.

McGregor	e	McGregor
(	(	(
1957	ta	1957
)	)	)
bendir	sfg3en	benda
einnig	aa	einnig
á	ao	á
að	c	að
fjölskyldustærð	nven	fjölskyldustærð
hefur	sfg3en	hafa
minnkað	ssg	minnka
og	c	og
að	c	að
konur	nvfn	kona
í	aþ	í
Bretlandi	nheþ-s	Bretland
eignast	sfm3fn	eigna
börnin	nhfog	barn
yngri	lvfnvm	ungur
en	c	en
áður	aa	áður
,	,	,
þannig	aa	þannig
að	c	að
við	ao	við
30-35	ta	30-35
ára	nhfe	ár
aldur	nkeo	aldur
hafa	sfg3fn	hafa
margar	lvfnsf	margur
þeirra	fpvfe	hún
lokið	ssg	ljúka
barneignum	nvfþ	barneign
sínum	fevfþ	sinn
og	c	og
formlegu	lheþsf	formlegur
uppeldi	nheþ	uppeldi
barna	nhfe	barn
sinna	fehfe	sinn
.	.	.

Þessi	faven	þessi
staðreynd	nven	staðreynd
kann	sfg3en	kunna
,	,	,
að	aþ	að
hans	fpkee	hann
mati	nheþ	mat
,	,	,
að	cn	að
stuðla	sng	stuðla
að	aþ	að
aukinni	lveþsf	aukinn
skilnaðatíðni	nveþ	skilnaðatíðni
.	.	.

Hann	fpken	hann
bendir	sfg3en	benda
einnig	aa	einnig
á	ao	á
viðhorfsbreytingar	nvfo	viðhorfsbreyting
sem	ct	sem
orðið	ssg	verða
hafi	svg3fn	hafa
og	c	og
tengjast	sfm3fn	tengja
breyttum	lvfþsf	breyttur
fjárhagslegum	lvfþsf	fjárhagslegur
forsendum	nvfþ	forsenda
fjölskyldunnar	nveeg	fjölskylda
,	,	,
einkum	aa	einkum
kvenna	nvfe	kona
.	.	.

Atvinnuþátttaka	nven	atvinnuþátttaka
kvenna	nvfe	kona
hefur	sfg3en	hafa
haft	ssg	hafa
áhrif	nhfo	áhrif
í	aþ	í
þessu	faheþ	þessi
sambandi	nheþ	samband
.	.	.

Daniel	e	Daniel
Bell	e	Bell
(	(	(
1976	ta	1976
)	)	)
telur	sfg3en	telja
að	c	að
útivinna	nven	útivinna
kvenna	nvfe	kona
auki	svg3en	auka
efnahagslegt	lheosf	efnahagslegur
sjálfstæði	nheo	sjálfstæði
þeirra	fpvfe	hún
.	.	.

Aukin	lvensf	aukinn
atvinnuþátttaka	nven	atvinnuþátttaka
giftra	lvfesf	giftur
kvenna	nvfe	kona
hefur	sfg3en	hafa
haft	ssg	hafa
áhrif	nhfo	áhrif
á	ao	á
fjölskyldulífið	nheog	fjölskyldulíf
að	aþ	að
mati	nheþ	mat
margra	lkfesf	margur
félagsfræðinga	nkfe	félagsfræðingur
.	.	.

Þeir	fpkfn	hann
hafa	sfg3fn	hafa
einkum	aa	einkum
rannsakað	ssg	rannsaka
tvennt	lheosf	tvennur
í	aþ	í
þessu	faheþ	þessi
sambandi	nheþ	samband
,	,	,
þ.e.	as	þ.e.
samband	nheo	samband
makanna	nkfeg	maki
og	c	og
samband	nheo	samband
móður	nvee	móðir
og	c	og
barna	nhfe	barn
.	.	.

Cox	e	Cox
(	(	(
1991	ta	1991
)	)	)
bendir	sfg3en	benda
t.d.	as	t.d.
á	aa	á
í	aþ	í
umfjöllun	nveþ	umfjöllun
sinni	feveþ	sinn
um	ao	um
samband	nheo	samband
föður	nkee	faðir
og	c	og
móður	nvee	móðir
að	c	að
margar	lvfnsf	margur
rannsóknir	nvfn	rannsókn
sýni	svg3fn	sýna
að	c	að
konur	nvfn	kona
sem	ct	sem
samhliða	aþ	samhliða
uppeldis-	nhfþ	uppeldisstarf
og	c	og
heimilisstörfum	nhfþ	heimilisstarf
séu	svg3fn	vera
útivinnandi	lvfnof	útivinnandi
upplifi	svg3fn	upplifa
umtalsverða	lveosf	umtalsverður
streitu	nveo	streita
.	.	.

Ástæður	nvfn	ástæða
aukinnar	lveesf	aukinn
atvinnuþátttöku	nvee	atvinnuþátttaka
heimavinnandi	lvfeof	heimavinnandi
kvenna	nvfe	kona
eru	sfg3fn	vera
mismunandi	lvfnof	mismunandi
.	.	.

Sumar	fovfn	sumur
giftar	lvfnsf	giftur
konur	nvfn	kona
vinna	sfg3fn	vinna
úti	aa	úti
vegna	ae	vegna
framfærslubyrði	nvee	framfærslubyrði
sinnar	fevee	sinn
,	,	,
aðrar	fovfn	annar
vegna	ae	vegna
einhæfni	nvee	einhæfni
heima	aa	heima
fyrir	aa	fyrir
.	.	.

Streita	nven	streita
útivinnandi	lvfeof	útivinnandi
mæðra	nvfe	móðir
getur	sfg3en	geta
leitt	ssg	leiða
til	ae	til
hlutverkaárekstra	nkfe	hlutverkaárekstur
,	,	,
t.d.	as	t.d.
árekstra	nkfe	árekstur
tveggja	tfhfe	tveir
hlutverka	nhfe	hlutverk
eða	c	eða
ósamrýmanlegra	lvfesf	ósamrýmanlegur
krafna	nvfe	krafa
til	ae	til
sama	fbhee	sami
hlutverks	nhee	hlutverk
.	.	.

Rannsókn	nven	rannsókn
Yudkin	e	Yudkin
og	c	og
Holme	e	Holme
(	(	(
1963	ta	1963
)	)	)
varðandi	slg	varða
samband	nheo	samband
foreldris	nhee	foreldri
og	c	og
barns	nhee	barn
sýndi	sfg3eþ	sýna
að	c	að
þetta	fahen	þessi
samband	nhen	samband
er	sfg3en	vera
sérstaklega	aa	sérstaklega
mikilvægt	lhensf	mikilvægur
fyrir	ao	fyrir
barnið	nheog	barn
fyrstu	lhfove	fyrstur
þrjú	tfhfo	þrír
árin	nhfog	ár
og	c	og
að	c	að
börn	nhfn	barn
hafa	sfg3fn	hafa
síður	aam	síður
en	c	en
svo	aa	svo
illt	lheosf	illur
af	aþ	af
umönnun	nveþ	umönnun
annarra	fokfe	annar
en	c	en
foreldra	nkfe	foreldrar
þegar	c	þegar
þeir	fpkfn	hann
eru	sfg3fn	vera
að	cn	að
vinna	sng	vinna
.	.	.

Hátt	lhensf	hár
hlutfall	nhen	hlutfall
fráskilinna	lkfesf	fráskilinn
giftist	sfm3en	gifta
eða	c	eða
kvænist	sfm3en	kvænast
aftur	aa	aftur
,	,	,
sem	ct	sem
bendir	sfg3en	benda
til	ae	til
þess	fphee	það
að	c	að
«	«	«
eðli	nhen	eðli
sambands	nhee	samband
hjónanna	nhfeg	hjón
eða	c	eða
sambúðaraðilanna	nkfeg	sambúðaraðili
»	»	»
,	,	,
en	c	en
ekki	aa	ekki
hjúskapurinn	nkeng	hjúskapur
sem	c	sem
slíkur	fbken	slíkur
skipti	svg3en	skipta
mestu	lheþse	mikill
máli	nheþ	mál
varðandi	slg	varða
skilnaðartíðnina	nveog	skilnaðartíðni
.	.	.

Í	ao	í
dag	nkeo	dagur
er	sfg3en	vera
stundum	aa	stundum
talað	sþghen	tala
um	ao	um
«	«	«
raðbundið	lheosf	raðbundinn
eingifti	nheo	eingifti
/	/	/
einkvæni	nheo	einkvæni
»	»	»
eða	c	eða
«	«	«
raðgifti	nheo	raðgifti
»	»	»
og	c	og
«	«	«
raðkvæni	nheo	raðkvæni
»	»	»
þegar	c	þegar
einstaklingar	nkfn	einstaklingur
giftast	sfm3fn	gifta
/	/	/
kvænast	sfm3fn	kvænast
og	c	og
skilja	sfg3fn	skilja
á	ao	á
víxl	nhfo	víxl
.	.	.

Í	aþ	í
þessu	faheþ	þessi
sambandi	nheþ	samband
er	sfg3en	vera
vert	lhensf	verður
að	cn	að
íhuga	sng	íhuga
það	faheo	sá
eðli	nheo	eðli
kjarnafjölskyldunnar	nveeg	kjarnafjölskylda
að	cn	að
vera	sng	vera
aðskilin	lvensf	aðskildur
frá	aþ	frá
ættinni	nveþg	ætt
og	c	og
þýðingu	nveo	þýðing
þess	fphee	það
með	aþ	með
tilliti	nheþ	tillit
til	ae	til
skilnaða	nkfe	skilnaður
.	.	.

Félagslegt	lhensf	félagslegur
taumhald	nhen	taumhald
ættarinnar	nveeg	ætt
með	aþ	með
tilliti	nheþ	tillit
til	ae	til
hjúskaparslita	nhfe	hjúskaparslit
er	sfg3en	vera
ekki	aa	ekki
fyrir	aþ	fyrir
hendi	nveþ	hönd
í	aþ	í
sama	fbkeþ	sami
mæli	nkeþ	mælir
og	c	og
áður	aa	áður
fyrr	aam	fyrr
.	.	.

Nútíma	nkee	nútími
kjarnafjölskylda	nven	kjarnafjölskylda
er	sfg3en	vera
,	,	,
eins	aa	eins
og	c	og
áður	aa	áður
hefur	sfg3en	hafa
komið	ssg	koma
fram	aa	fram
,	,	,
hreyfanlegri	lvenvm	hreyfanlegur
en	c	en
eldri	lhfnvm	gamall
sambúðarform	nhfn	sambúðarform
sem	ct	sem
þýðir	sfg3en	þýða
að	c	að
hún	fpven	hún
hefur	sfg3en	hafa
ekki	aa	ekki
sama	fbkeo	samur
varanlega	lkeovf	varanlegur
félagslega	lkeovf	félagslegur
stuðning	nkeo	stuðningur
og	c	og
áður	aa	áður
.	.	.

Hún	fpven	hún
er	sfg3en	vera
einnig	aa	einnig
fyrst	aae	fyrr
og	c	og
fremst	aae	fremur
neyslueining	nven	neyslueining
,	,	,
en	c	en
ekki	aa	ekki
eins	aa	eins
og	c	og
áður	aa	áður
var	sfg3eþ	vera
hvorutveggja	fohen	hvorutveggi
í	aa	í
senn	aa	senn
framleiðslu-	nven	framleiðslueining
og	c	og
neyslueining	nven	neyslueining
.	.	.

Ennfremur	aa	ennfremur
er	sfg3en	vera
vert	lhensf	verður
að	cn	að
íhuga	sng	íhuga
þýðingu	nveo	þýðing
breyttra	lhfesf	breyttur
hlutverka	nhfe	hlutverk
í	aþ	í
fjölskyldunni	nveþg	fjölskylda
.	.	.

Áður	aa	áður
voru	sfg3fþ	vera
hlutverkin	nhfng	hlutverk
meira	aam	meira
samfléttuð	lhfnsf	samfléttaður
en	c	en
nú	aa	nú
eru	sfg3fn	vera
þau	fphfn	það
mikið	aa	mikið
til	aa	til
aðskilin	lhfnsf	aðskildur
.	.	.

Þá	aa	þá
er	sfg3en	vera
einnig	aa	einnig
ástæða	nven	ástæða
til	ae	til
að	cn	að
íhuga	sng	íhuga
samlyndi	nheþ	samlyndi
fjölskyldna	nvfe	fjölskylda
með	aþ	með
tilliti	nheþ	tillit
til	ae	til
kröfu	nvee	krafa
um	ao	um
aukna	lveosf	aukinn
ánægju	nveo	ánægja
í	aþ	í
hjónabandinu	nheþg	hjónaband
og	c	og
aukinnar	lveesf	aukinn
streitu	nvee	streita
í	aþ	í
nútíma	nkee	nútími
samfélagi	nheþ	samfélag
.	.	.

Þá	aa	þá
er	sfg3en	vera
einnig	aa	einnig
spurning	nven	spurning
hver	fsken	hver
þáttur	nken	þáttur
viðhorfa	nhfe	viðhorf
til	ae	til
barna	nhfe	barn
og	c	og
skilnaða	nkfe	skilnaður
yfirleitt	aa	yfirleitt
er	sfg3en	vera
með	aþ	með
tilliti	nheþ	tillit
til	ae	til
varanleika	nkee	varanleiki
fjölskyldunnar	nveeg	fjölskylda
.	.	.

7.3	ta	7.3
HEILBRIGÐI	nhen	heilbrigði
Í	aþ	í
LJÓSI	nheþ	ljós
FJÖLSKYLDUNNAR	nveeg	fjölskylda
Fjölskyldutengsl	nhfn	fjölskyldutengsl
eru	sfg3fn	vera
mikilvæg	lhfnsf	mikilvægur
félagsleg	lhfnsf	félagslegur
tengsl	nhfn	tengsl
sem	ct	sem
hafa	sfg3fn	hafa
oft	aa	oft
afgerandi	lveoof	afgerandi
þýðingu	nveo	þýðing
í	aþ	í
félagsmótun	nveþ	félagsmótun
barna	nhfe	barn
,	,	,
unglinga	nkfe	unglingur
og	c	og
fullorðinna	lkfesf	fullorðinn
.	.	.

Þau	fphfn	það
skipta	sfg3fn	skipta
líka	aa	líka
máli	nheþ	mál
fyrir	ao	fyrir
heilbrigði	nheo	heilbrigði
einstaklinga	nkfe	einstaklingur
.	.	.

Hversu	aa	hversu
vel	aa	vel
fjölskyldan	nveng	fjölskylda
samverkar	sfg3en	samverka
hefur	sfg3en	hafa
mikil	lhfosf	mikill
áhrif	nhfo	áhrif
á	aa	á
líkamlega	lveosf	líkamlegur
og	c	og
tilfinningalega	lveosf	tilfinningalegur
heilbrigði	nveo	heilbrigði
barna	nhfe	barn
og	c	og
skilvitlega	lveosf	skilvitlegur
(	(	(
cognitive	e	cognitive
)	)	)
og	c	og
félagslega	lveosf	félagslegur
færni	nveo	færni
þeirra	fphfe	það
(	(	(
Schor	e	Schor
og	c	og
Menaghan	e	Menaghan
,	,	,
1995	ta	1995
)	)	)
.	.	.

150	ta	150
Félagsleg	lhfnsf	félagslegur
tengsl	nhfn	tengsl
og	c	og
stuðningur	nken	stuðningur
hafa	sfg3fn	hafa
verið	ssg	vera
rannsóknarefni	nhen	rannsóknarefni
félagsvísindamanna	nkfe	félagsvísindamaður
um	ao	um
langa	lveosf	langur
hríð	nveo	hríð
.	.	.

Rannsóknir	nvfn	rannsókn
hafa	sfg3fn	hafa
m.a.	as	m.a.
beinst	ssm	beina
að	aþ	að
þýðingu	nveþ	þýðing
félagslegs	lkeesf	félagslegur
stuðnings	nkee	stuðningur
í	aþ	í
umönnun	nveþ	umönnun
aldraðra	lkfesf	aldraður
og	c	og
langtímaveikra	lkfesf	langtímaveikur
.	.	.

Niðurstöður	nvfn	niðurstaða
þessara	favfe	þessi
rannsókna	nvfe	rannsókn
sýna	sfg3fn	sýna
fram	aa	fram
á	ao	á
mikilvægi	nheo	mikilvægi
félagslegra	lhfesf	félagslegur
tengsla	nhfe	tengsl
,	,	,
svo	aa	svo
sem	c	sem
aðstoðar	nvee	aðstoð
,	,	,
ráðgjafar	nvee	ráðgjöf
og	c	og
tilfinningalegs	lkeesf	tilfinningalegur
stuðnings	nkee	stuðningur
,	,	,
fyrir	ao	fyrir
heilbrigði	nheo	heilbrigði
í	aþ	í
víðum	lkeþsf	víður
skilningi	nkeþ	skilningur
(	(	(
Morgan	e	Morgan
,	,	,
o.fl.	as	o.fl.
,	,	,
1991	ta	1991
;	;	;
