listamaðurinn	nkeng	listamaður
Sólbrekkubraut	nveþ-s	Sólbrekkubraut
við	ao	við
Grindavíkurveg	nkeo-s	Grindavíkurvegur
í	ao	í
dag	nkeo	dagur
.	.	.

Er	sfg3en	vera
þetta	fahen	þessi
jafnframt	aa	jafnframt
vígslumót	nhen	vígslumót
brautarinnar	nveeg	braut
.	.	.

Vélhjólamenn	nkfn	vélhjólamaður
hafa	sfg3fn	hafa
lengi	aa	lengi
æft	ssg	æfa
sig	fpkfo	sig
á	aþ	á
Broadstreet-svæðinu	nheþgs	Broadstreetsvæði
en	c	en
það	fphen	það
er	sfg3en	vera
fyrst	aae	fyrr
nú	aa	nú
að	c	að
fengist	ssm	fá
hafa	sfg3fn	hafa
nauðsynleg	lhfnsf	nauðsynlegur
leyfi	nhfn	leyfi
til	ae	til
að	cn	að
reka	sng	reka
þar	aa	þar
æfinga-	nveo	æfingabraut
og	c	og
keppnisbraut	nveo	keppnisbraut
.	.	.

Keppni	nven	keppni
á	aþ	á
minni	lhfþvm	lítill
hjólunum	nhfþg	hjól
hefst	sfm3en	hefja
upp	aa	upp
úr	aþ	úr
klukkan	nveng	klukka
tíu	ta	tíu
í	ao	í
dag	nkeo	dagur
og	c	og
í	aþ	í
öðrum	fokfþ	annar
flokkum	nkfþ	flokkur
klukkan	nveng	klukka
13	ta	13
og	c	og
þá	aa	þá
verður	sfg3en	verða
brautin	nveng	braut
jafnframt	aa	jafnframt
opnuð	sþgven	opna
formlega	aa	formlega
.	.	.

Körfuhringur	nken	körfuhringur
sem	ct	sem
lokast	sfm3en	loka
á	aþ	á
nóttunni	nveþg	nótt
:	:	:
Reykjanesbær	nken-s	Reykjanesbær
|	|	|
Karfan	nveng	karfa
Lokbrá	nven-s	Lokbrá
var	sfg3eþ	vera
í	aa	í
gær	aa	gær
sett	sþgven	setja
upp	aa	upp
við	ao	við
88.	ta	88.
húsið	nheog	hús
í	aþ	í
Reykjanesbæ	nkeþ-s	Reykjanesbær
og	c	og
tekin	sþgven	taka
í	ao	í
notkun	nveo	notkun
í	aþ	í
tilraunaskyni	nheþ	tilraunaskyn
.	.	.

--	--	--
>	>	>
Reykjanesbær	nken-s	Reykjanesbær
|	|	|
Karfan	nveng	karfa
Lokbrá	nven-s	Lokbrá
var	sfg3eþ	vera
í	aa	í
gær	aa	gær
sett	sþgven	setja
upp	aa	upp
við	ao	við
88.	ta	88.
húsið	nheog	hús
í	aþ	í
Reykjanesbæ	nkeþ-s	Reykjanesbær
og	c	og
tekin	sþgven	taka
í	ao	í
notkun	nveo	notkun
í	aþ	í
tilraunaskyni	nheþ	tilraunaskyn
.	.	.

Hún	fpven	hún
er	sfg3en	vera
þeim	fakfþ	sá
eiginleikum	nkfþ	eiginleiki
gædd	sþgven	gæða
að	c	að
hún	fpven	hún
lokast	sfm3en	loka
sjálfkrafa	aa	sjálfkrafa
á	ao	á
kvöldin	nhfog	kvöld
og	c	og
opnast	sfm3en	opna
aftur	aa	aftur
á	ao	á
morgnana	nkfog	morgunn
þannig	aa	þannig
að	c	að
nágrannar	nkfn	nágranni
eiga	sfg3fn	eiga
síður	aam	síður
að	cn	að
verða	sng	verða
fyrir	aþ	fyrir
ónæði	nheþ	ónæði
á	aþ	á
ókristilegum	lkeþsf	ókristilegur
tíma	nkeþ	tími
.	.	.

Stefán	nken-s	Stefán
Bjarkason	nken-s	Bjarkason
,	,	,
framkvæmdastjóri	nken	framkvæmdastjóri
menningar-	nhee	menningarráð
,	,	,
íþrótta-	nhee	íþróttaráð
og	c	og
tómstundaráðs	nhee	tómstundaráð
Reykjanesbæjar	nkee-s	Reykjanesbær
,	,	,
á	sfg3en	eiga
hugmyndina	nveog	hugmynd
að	aþ	að
Lokbrá	nveþ-s	Lokbrá
.	.	.

Stefán	nken-s	Stefán
segir	sfg3en	segja
að	c	að
oft	aa	oft
rekist	svm3fn	reka
hagsmunir	nkfn	hagsmunir
íbúa	nkfe	íbúi
í	aþ	í
hverfunum	nhfþg	hverfi
á	aa	á
,	,	,
sumir	fokfn	sumur
óski	svg3fn	óska
eftir	aþ	eftir
að	cn	að
fá	sng	fá
settar	sþgvfn	setja
upp	aa	upp
körfur	nvfo	karfa
fyrir	ao	fyrir
börnin	nhfog	barn
og	c	og
aðrir	fokfn	annar
kvarti	svg3fn	kvarta
undan	aþ	undan
ónæði	nheþ	ónæði
sem	ct	sem
skapist	svm3en	skapa
af	aþ	af
því	fpheþ	það
að	c	að
börn	nhfn	barn
og	c	og
unglingar	nkfn	unglingur
séu	svg3fn	vera
að	cn	að
leika	sng	leika
sér	fphfþ	sig
þar	aa	þar
lengi	aa	lengi
fram	aa	fram
eftir	aþ	eftir
kvöldi	nheþ	kvöld
eða	c	eða
fram	aa	fram
á	ao	á
nótt	nveo	nótt
og	c	og
raski	svg3fn	raska
þannig	aa	þannig
svefnfriði	nkeþ	svefnfriður
.	.	.

Hann	fpken	hann
segir	sfg3en	segja
að	c	að
ekki	aa	ekki
sé	svg3en	vera
hægt	lhensf	hægur
að	cn	að
verða	sng	verða
við	aþ	við
óskum	nvfþ	ósk
íbúanna	nkfeg	íbúi
um	ao	um
að	cn	að
setja	sng	setja
upp	aa	upp
körfur	nvfo	karfa
nema	c	nema
allir	fokfn	allur
séu	svg3fn	vera
sammála	lkfnof	sammála
um	ao	um
það	fpheo	það
.	.	.

Oft	aa	oft
strandi	svg3en	stranda
það	fphen	það
á	aþ	á
einum	tfkeþ	einn
eða	c	eða
fáum	lkfþsf	fár
.	.	.

Því	aa	því
hafi	svg3en	hafa
hann	fpken	hann
farið	ssg	fara
að	cn	að
velta	sng	velta
því	fpheþ	það
fyrir	aþ	fyrir
sér	fpkeþ	sig
hvort	c	hvort
ekki	aa	ekki
væri	svg3eþ	vera
hægt	lhensf	hægur
að	cn	að
hanna	sng	hanna
körfuhring	nkeo	körfuhringur
sem	ct	sem
hægt	lhensf	hægur
væri	svg3eþ	vera
að	cn	að
loka	sng	loka
á	aþ	á
ákveðnum	lkfþsf	ákveðinn
tímum	nkfþ	tími
.	.	.

Fékk	sfg3eþ	fá
hann	fpken	hann
frumkvöðlastyrk	nkeo	frumkvöðlastyrkur
frá	aþ	frá
Iðntæknistofnun	nveþ-s	iðntæknistofnun
til	ae	til
að	cn	að
útfæra	sng	útfæra
hana	fpveo	hún
og	c	og
gerði	sfg3eþ	gera
það	fpheo	það
í	aþ	í
samvinnu	nveþ	samvinna
við	ao	við
Sigurjón	nkeo-s	Sigurjón
Þórðarson	nkeo-s	Þórðarson
,	,	,
vélsmið	nkeo	vélsmiður
í	aþ	í
Smiðjunni	nveþgs	Smiðja
.	.	.

Lokun	nven	lokun
körfunnar	nveeg	karfa
er	sfg3en	vera
stillt	sþgven	stilla
samkvæmt	aþ	samkvæmt
klukku	nveþ	klukka
og	c	og
geta	sfg3fn	geta
nágrannar	nkfn	nágranni
ákveðið	ssg	ákveða
hvenær	aa	hvenær
hún	fpven	hún
er	sfg3en	vera
opin	lvensf	opinn
.	.	.

Á	aþ	á
fyrirframákveðnum	lkeþsf	fyrirframákveðinn
tíma	nkeþ	tími
lyftist	sfm3en	lyfta
hringurinn	nkeng	hringur
upp	aa	upp
að	aþ	að
spjaldinu	nheþg	spjald
og	c	og
fellur	sfg3en	falla
svo	aa	svo
aftur	aa	aftur
niður	aa	niður
morguninn	nkeog	morgunn
eftir	aa	eftir
.	.	.

Orkuna	nveog	orka
fær	sfg3en	fá
Lokbrá	nven-s	Lokbrá
úr	aþ	úr
sólarorkuspjaldi	nheþ	sólarorkuspjald
sem	ct	sem
komið	sþghen	koma
hefur	sfg3en	hafa
verið	ssg	vera
fyrir	aa	fyrir
aftan	aa	aftan
á	aþ	á
körfuspjaldinu	nheþg	körfuspjald
.	.	.

Karfan	nveng	karfa
sem	ct	sem
sett	sþgven	setja
var	sfg3eþ	vera
upp	aa	upp
við	ao	við
88.	ta	88.
húsið	nheog	hús
í	aa	í
gær	aa	gær
og	c	og
Eva	nven-s	Eva
Stefánsdóttir	nven-s	Stefánsdóttir
,	,	,
dóttir	nven	dóttir
Stefáns	nkee-s	Stefán
og	c	og
fyrrverandi	lvenof	fyrrverandi
landsliðskona	nven	landsliðskona
í	aþ	í
körfuknattleik	nkeþ	körfuknattleikur
,	,	,
vígði	sfg3eþ	vígja
,	,	,
verður	sfg3en	verða
opin	lvensf	opinn
frá	aþ	frá
klukkan	nveng	klukka
átta	ta	átta
á	ao	á
morgnana	nkfog	morgunn
og	c	og
fram	aa	fram
til	ae	til
tíu	ta	tíu
á	ao	á
kvöldin	nhfog	kvöld
.	.	.

Ef	c	ef
búnaðurinn	nkeng	búnaður
reynist	sfm3en	reyna
vel	aa	vel
,	,	,
sem	ct	sem
Stefán	nken-s	Stefán
er	sfg3en	vera
raunar	aa	raunar
viss	lkensf	viss
um	aa	um
,	,	,
verður	sfg3en	verða
unnt	lhensf	unnt
að	cn	að
framleiða	sng	framleiða
fleiri	lvfovm	margur
og	c	og
geta	sfg3fn	geta
íbúar	nkfn	íbúi
sótt	ssg	sækja
um	ao	um
að	cn	að
fá	sng	fá
körfur	nvfo	karfa
í	ao	í
hverfin	nhfog	hverfi
.	.	.

Stefán	nken-s	Stefán
segir	sfg3en	segja
að	c	að
verkefnið	nheng	verkefni
,	,	,
að	cn	að
þróa	sng	þróa
Lokbrá	nveo-s	Lokbrá
,	,	,
hafi	svg3en	hafa
tekið	ssg	taka
langan	lkeosf	langur
tíma	nkeo	tími
af	aþ	af
ýmsum	fovfþ	ýmis
ástæðum	nvfþ	ástæða
en	c	en
það	fphen	það
hafi	svg3en	hafa
verið	ssg	vera
skemmtilegt	lhensf	skemmtilegur
.	.	.

Baráttumál	nhen	baráttumál
vinnuskólans	nkeeg	vinnuskóli
í	ao	í
höfn	nveo	höfn
:	:	:
Vatnsleysuströnd	nven-s	Vatnsleysuströnd
|	|	|
Hámarkshraði	nken	hámarkshraði
hefur	sfg3en	hafa
verið	ssg	vera
lækkaður	sþgken	lækka
á	aþ	á
Vatnsleysustrandarvegi	nkeþ-s	Vatnsleysustrandarvegur
,	,	,
úr	aþ	úr
90	ta	90
km	as	km
á	aþ	á
klukkustund	nveþ	klukkustund
í	ao	í
70	ta	70
km	as	km
.	.	.

Hreppsnefnd	nven	hreppsnefnd
,	,	,
krakkar	nkfn	krakki
í	aþ	í
vinnuskólanum	nkeþg	vinnuskóli
og	c	og
fleiri	lkfnvm	margur
höfðu	sfg3fþ	hafa
skorað	ssg	skora
á	ao	á
yfirvöld	nhfo	yfirvald
að	cn	að
breyta	sng	breyta
þessu	faheþ	þessi
.	.	.

--	--	--
>	>	>
Vatnsleysuströnd	nven-s	Vatnsleysuströnd
|	|	|
Hámarkshraði	nken	hámarkshraði
hefur	sfg3en	hafa
verið	ssg	vera
lækkaður	sþgken	lækka
á	aþ	á
Vatnsleysustrandarvegi	nkeþ-s	Vatnsleysustrandarvegur
,	,	,
úr	aþ	úr
90	ta	90
km	as	km
á	aþ	á
klukkustund	nveþ	klukkustund
í	ao	í
70	ta	70
km	as	km
.	.	.

Hreppsnefnd	nven	hreppsnefnd
,	,	,
krakkar	nkfn	krakki
í	aþ	í
vinnuskólanum	nkeþg	vinnuskóli
og	c	og
fleiri	lkfnvm	margur
höfðu	sfg3fþ	hafa
skorað	ssg	skora
á	ao	á
yfirvöld	nhfo	yfirvald
að	cn	að
breyta	sng	breyta
þessu	faheþ	þessi
.	.	.

Vatnsleysustrandarvegur	nken-s	Vatnsleysustrandarvegur
liggur	sfg3en	liggja
frá	aþ	frá
þorpinu	nheþg	þorp
í	aþ	í
Vogum	nkfþ-s	Vogur
,	,	,
eftir	aþ	eftir
ströndinni	nveþg	strönd
og	c	og
inn	aa	inn
á	ao	á
Reykjanesbraut	nveo-s	Reykjanesbraut
við	ao	við
Kúagerði	nheo-s	Kúagerði
.	.	.

Þetta	fahen	þessi
er	sfg3en	vera
malbikaður	lkensf	malbikaður
vegur	nken	vegur
,	,	,
nokkuð	fohen	nokkur
krókóttur	lkensf	krókóttur
og	c	og
mjór	lkensf	mjór
.	.	.

Þegar	c	þegar
hámarkshraðamerki	nhen	hámarkshraðamerki
var	sfg3eþ	vera
sett	sþghen	setja
upp	aa	upp
fyrir	aþ	fyrir
rúmu	lheþsf	rúmur
ári	nheþ	ár
kom	sfg3eþ	koma
skýrt	aa	skýrt
í	ao	í
ljós	nheo	ljós
að	c	að
þarna	aa	þarna
mátti	sfg3eþ	mega
aka	sng	aka
á	aþ	á
90	ta	90
km	as	km
hraða	nkeþ	hraði
en	c	en
ekki	aa	ekki
70	ta	70
km	as	km
eins	aa	eins
og	c	og
margir	lkfnsf	margur
virtust	sfm3fþ	virða
halda	sng	halda
.	.	.

Ýmsir	fokfn	ýmis
heimamenn	nkfn	heimamaður
töldu	sfg3fþ	telja
veginn	nkeog	vegur
ekki	aa	ekki
bera	sng	bera
þennan	fakeo	þessi
hraða	nkeo	hraði
og	c	og
að	c	að
svo	aa	svo
mikill	lkensf	mikill
hraði	nken	hraði
skapaði	svg3eþ	skapa
slysahættu	nveo	slysahætta
.	.	.

Skoraði	sfg3eþ	skora
hreppsnefndin	nveng	hreppsnefnd
á	ao	á
yfirvöld	nhfo	yfirvald
að	cn	að
lækka	sng	lækka
hámarkshraðann	nkeog	hámarkshraði
en	c	en
fékk	sfg3eþ	fá
ekki	aa	ekki
undirtektir	nvfo	undirtekt
.	.	.

Krakkar	nkfn	krakki
í	aþ	í
vinnuskóla	nkeþ	vinnuskóli
Vatnsleysustrandarhrepps	nkee-s	Vatnsleysustrandarhreppur
,	,	,
sem	ct	sem
í	ao	í
fyrrasumar	nheo	fyrrasumar
unnu	sfg3fþ	vinna
við	ao	við
umhverfisstörf	nhfo	umhverfisstarf
í	aþ	í
nágrenni	nheþ	nágrenni
vegarins	nkeeg	vegur
,	,	,
skoruðu	sfg3fþ	skora
á	ao	á
yfirvöld	nhfo	yfirvald
að	cn	að
lækka	sng	lækka
hraðann	nkeog	hraði
.	.	.

Rann	sfg3eþ	renna
þeim	fpkfþ	hann
til	ae	til
rifja	nhfe	rif
hversu	aa	hversu
margir	lkfnsf	margur
fuglar	nkfn	fugl
urðu	sfg3fþ	verða
fyrir	aþ	fyrir
bílum	nkfþ	bíll
.	.	.

Stór	lhfnsf	stór
varplönd	nhfn	varpland
kríu	nvee	kría
eru	sfg3fn	vera
í	aþ	í
nágrenni	nheþ	nágrenni
vegarins	nkeeg	vegur
.	.	.

Nú	aa	nú
hefur	sfg3en	hafa
samgönguráðuneytið	nheng	samgönguráðuneyti
,	,	,
að	aþ	að
tillögu	nveþ	tillaga
vegamálastjóra	nkee	vegamálastjóri
,	,	,
ákveðið	ssg	ákveða
að	cn	að
lækka	sng	lækka
hámarkshraðann	nkeog	hámarkshraði
niður	aa	niður
í	ao	í
70	ta	70
km	as	km
og	c	og
lagt	ssg	leggja
fyrir	ao	fyrir
stofnanir	nvfo	stofnun
að	cn	að
breyta	sng	breyta
umferðarmerkjum	nhfþ	umferðarmerki
í	aþ	í
samræmi	nheþ	samræmi
við	ao	við
það	fpheo	það
.	.	.

Hreppsnefnd	nven	hreppsnefnd
Vatnsleysustrandarhrepps	nkee-s	Vatnsleysustrandarhreppur
fagnaði	sfg3eþ	fagna
því	fpheþ	það
á	aþ	á
síðasta	lkeþve	síðari
fundi	nkeþ	fundur
að	c	að
málið	nheng	mál
skyldi	svg3eþ	skulu
loksins	aa	loksins
komið	ssg	koma
í	ao	í
höfn	nveo	höfn
.	.	.

1	ta	1
:	:	:
UK9I7RR	x	uk9i7rr
/	/	/
2	ta	2
:	:	:
Langri	lveþsf	langur
og	c	og
strangri	lveþsf	strangur
baráttu	nveþ	barátta
lokið	sþghen	ljúka
:	:	:
MERKUR	lkensf	merkur
áfangi	nken	áfangi
náðist	sfm3eþ	ná
í	ao	í
fyrradag	nkeo	fyrradagur
í	aþ	í
langri	lveþsf	langur
og	c	og
strangri	lveþsf	strangur
baráttu	nveþ	barátta
vélhjólamanna	nkfe	vélhjólamaður
á	aþ	á
Suðurnesjum	nhfþ-s	Suðurnes
með	aþ	með
því	fpheþ	það
að	c	að
torfærubraut	nven	torfærubraut
þeirra	fpkfe	hann
á	aþ	á
Broadstreet-svæðinu	nheþgs	Broadstreetsvæði
á	aþ	á
Njarðvíkurheiði	nveþ-s	Njarðvíkurheiði
,	,	,
svokölluð	lvensf	svokallaður
Sólbrekkubraut	nven-s	Sólbrekkubraut
,	,	,
var	sfg3eþ	vera
formlega	aa	formlega
tekin	sþgven	taka
í	ao	í
notkun	nveo	notkun
.	.	.

--	--	--
>	>	>
MERKUR	lkensf	merkur
áfangi	nken	áfangi
náðist	sfm3eþ	ná
í	ao	í
fyrradag	nkeo	fyrradagur
í	aþ	í
langri	lveþsf	langur
og	c	og
strangri	lveþsf	strangur
baráttu	nveþ	barátta
vélhjólamanna	nkfe	vélhjólamaður
á	aþ	á
Suðurnesjum	nhfþ-s	Suðurnes
með	aþ	með
því	fpheþ	það
að	c	að
torfærubraut	nven	torfærubraut
þeirra	fpkfe	hann
á	aþ	á
Broadstreet-svæðinu	nheþgs	Broadstreetsvæði
á	aþ	á
Njarðvíkurheiði	nveþ-s	Njarðvíkurheiði
,	,	,
svokölluð	lvensf	svokallaður
Sólbrekkubraut	nven-s	Sólbrekkubraut
,	,	,
var	sfg3eþ	vera
formlega	aa	formlega
tekin	sþgven	taka
í	ao	í
notkun	nveo	notkun
.	.	.

Var	sfg3eþ	vera
það	fphen	það
gert	sþghen	gera
með	aþ	með
því	fpheþ	það
að	c	að
Árni	nken-s	Árni
Sigfússon	nken-s	Sigfússon
,	,	,
bæjarstjóri	nken	bæjarstjóri
Reykjanesbæjar	nkee-s	Reykjanesbær
,	,	,
ræsti	sfg3eþ	ræsa
keppendur	nkfo	keppandi
í	aþ	í
einum	tfkeþ	einn
flokki	nkeþ	flokkur
bikarkeppni	nvee	bikarkeppni
í	aþ	í
motocross	e	motocross
.	.	.

Fyrir	aþ	fyrir
um	aa	um
þrjátíu	tfhfþ	þrjátíu
árum	nhfþ	ár
fengu	sfg3fþ	fá
vélhjólamenn	nkfn	vélhjólamaður
svæði	nheo	svæði
við	ao	við
gamla	lveosf	gamall
loftskeytastöð	nveo	loftskeytastöð
varnarliðsins	nheeg	varnarlið
,	,	,
skammt	aa	skammt
sunnan	ae	sunnan
Reykjanesbrautar	nvee-s	Reykjanesbraut
.	.	.

Þar	aa	þar
var	sfg3eþ	vera
komið	sþghen	koma
upp	aa	upp
torfærubraut	nveþ	torfærubraut
sem	ct	sem
notuð	sþgven	nota
hefur	sfg3en	hafa
verið	ssg	vera
þótt	c	þótt
ekki	aa	ekki
hafi	svg3en	hafa
verið	ssg	vera
fengið	sþghen	fá
opinbert	lhensf	opinber
leyfi	nhen	leyfi
til	ae	til
þess	fphee	það
.	.	.

Við	fp1fn	ég
gengum	sfg1fþ	ganga
í	ao	í
það	fpheo	það
að	cn	að
stofna	sng	stofna
Vélhjólaíþróttaklúbb	nkeo-s	Vélhjólaíþróttaklúbbur
Reykjaness	nhee-s	Reykjanes
til	ae	til
að	cn	að
ganga	sng	ganga
frá	aþ	frá
svæðinu	nheþg	svæði
og	c	og
afla	sng	afla
nauðsynlegra	lhfesf	nauðsynlegur
leyfa	nhfe	leyfi
,	,	,
segir	sfg3en	segja
Ómar	nken-s	Ómar
Jónsson	nken-s	Jónsson
í	aþ	í
Grindvík	nveþ-s	Grindavík
,	,	,
einn	tfken	einn
forystumanna	nkfe	forystumaður
VÍR	as	VÍR
.	.	.

Segir	sfg3en	segja
Ómar	nken-s	Ómar
að	c	að
félagið	nheng	félag
hafi	svg3en	hafa
gengið	ssg	ganga
í	ao	í
það	fpheo	það
með	aþ	með
mörgu	lheþsf	margur
góðu	lheþsf	góður
fólki	nheþ	fólk
að	cn	að
gera	sng	gera
þær	favfo	sá
breytingar	nvfo	breyting
sem	ct	sem
nauðsynlegar	lvfnsf	nauðsynlegur
voru	sfg3fþ	vera
til	ae	til
að	c	að
leyfi	nhfn	leyfi
fengjust	svm3fþ	fá
.	.	.

Meðal	ae	meðal
annars	fohee	annar
þurfti	sfg3eþ	þurfa
að	cn	að
aðgreina	sng	aðgreina
og	c	og
merkja	sng	merkja
brautir	nvfo	braut
og	c	og
svæði	nhfo	svæði
fyrir	ao	fyrir
keppendur	nkfo	keppandi
og	c	og
áhorfendur	nkfo	áhorfandi
.	.	.

Fengust	sfm3fþ	fá
leyfi	nhfn	leyfi
hjá	aþ	hjá
Heilbrigðiseftirliti	nheþ-s	Heilbrigðiseftirlit
Suðurnesja	nhfe-s	Suðurnes
og	c	og
Sýslumanninnum	nkeþgs	Sýslumanninur
í	aþ	í
Keflavík	nveþ-s	Keflavík
en	c	en
Reykjanesbær	nken-s	Reykjanesbær
hafði	sfg3eþ	hafa
áður	aa	áður
heimilað	ssg	heimila
félaginu	nheþg	félag
afnot	nhfo	afnot
af	aþ	af
svæðinu	nheþg	svæði
.	.	.

Svæðið	nheng	svæði
er	sfg3en	vera
enn	aa	enn
nokkuð	fohen	nokkur
hrátt	lhensf	hrár
enda	c	enda
er	sfg3en	vera
verið	sþghen	vera
að	cn	að
vinna	sng	vinna
í	aþ	í
því	fpheþ	það
,	,	,
sagði	sfg3eþ	segja
Ómar	nken-s	Ómar
.	.	.

Lengir	sfg3en	lengja
keppnistímabilið	nheog	keppnistímabil
Ekið	sþghen	aka
er	sfg3en	vera
inn	aa	inn
á	ao	á
svæðið	nheog	svæði
frá	aþ	frá
tveimur	tfkfþ	tveir
stöðum	nkfþ	staður
,	,	,
beint	aa	beint
af	aþ	af
Reykjanesbrautinni	nveþgs	Reykjanesbrautin
og	c	og
síðan	aa	síðan
frá	aþ	frá
Grindavíkurvegi	nkeþ-s	Grindavíkurvegur
hjá	aþ	hjá
Seltjörn	nveþ-s	Seltjörn
.	.	.

Ómar	nken-s	Ómar
segir	sfg3en	segja
nauðsynlegt	lheosf	nauðsynlegur
að	cn	að
loka	sng	loka
aðkomunni	nveþg	aðkoma
frá	aþ	frá
Reykjanesbraut	nveþ-s	Reykjanesbraut
því	aa	því
hún	fpven	hún
sé	svg3en	vera
hættuleg	lvensf	hættulegur
.	.	.

Vegagerðin	nvengs	Vegagerð
muni	svg3en	munu
í	ao	í
staðinn	nkeog	staður
aðstoða	sng	aðstoða
félagið	nheog	félag
við	ao	við
að	cn	að
laga	sng	laga
aðkomuna	nveog	aðkoma
frá	aþ	frá
Grindavíkurvegi	nkeþ-s	Grindavíkurvegur
.	.	.

Þá	aa	þá
segir	sfg3en	segja
Ómar	nken-s	Ómar
að	cn	að
leggja	sng	leggja
þurfi	svg3en	þurfa
út	aa	út
nýtt	lheosf	nýr
svæði	nheo	svæði
fyrir	ao	fyrir
þátttakendur	nkfo	þátttakandi
og	c	og
áhorfendur	nkfo	áhorfandi
.	.	.

Íslenskir	lkfnsf	íslenskur
aðalverktakar	nkfn	aðalverktaki
hafa	sfg3fn	hafa
aðstoðað	ssg	aðstoða
félagsmenn	nkfo	félagsmaður
við	ao	við
vélavinnu	nveo	vélavinna
.	.	.

Efnið	nheng	efni
í	aþ	í
brautinni	nveþg	braut
er	sfg3en	vera
gott	lhensf	góður
frá	aþ	frá
náttúrunnar	nveeg	náttúra
hendi	nveþ	hönd
,	,	,
að	aþ	að
sögn	nveþ	sögn
Ómars	nkee-s	Ómar
.	.	.

Hann	fpken	hann
segir	sfg3en	segja
að	c	að
ágætis	nhee	ágæti
aðstæður	nvfn	aðstæður
hafi	svg3fn	hafa
verið	ssg	vera
í	aþ	í
brautinni	nveþg	braut
á	ao	á
sunnudag	nkeo	sunnudagur
þrátt	aa	þrátt
fyrir	ao	fyrir
miklar	lvfosf	mikill
rigningar	nvfo	rigning
dagana	nkfog	dagur
á	aa	á
undan	aa	undan
.	.	.

Þessi	faven	þessi
braut	nven	braut
gerir	sfg3en	gera
það	fpheo	það
að	aþ	að
verkum	nhfþ	verk
að	c	að
hægt	lhensf	hægur
er	sfg3en	vera
að	cn	að
lengja	sng	lengja
keppnistímabil	nheo	keppnistímabil
vélhjólamanna	nkfe	vélhjólamaður
í	aþ	í
torfæruakstri	nkeþ	torfæruakstur
,	,	,
því	aa	því
unnt	lhensf	unnt
er	sfg3en	vera
að	cn	að
hefja	sng	hefja
keppni	nveo	keppni
fyrr	aam	fyrr
á	ao	á
vorin	nhfog	vor
en	c	en
í	aþ	í
öðrum	fovfþ	annar
brautum	nvfþ	braut
og	c	og
hætta	sng	hætta
seinna	aam	seint
á	ao	á
haustin	nhfog	haust
.	.	.

Þá	aa	þá
þykir	sfg3en	þykja
brautin	nveng	braut
fjölbreytt	lvensf	fjölbreyttur
og	c	og
skemmtileg	lvensf	skemmtilegur
.	.	.

Telur	sfg3en	telja
Ómar	nken-s	Ómar
að	c	að
mikið	lhensf	mikill
verði	svg3en	verða
sótt	sþghen	sækja
í	ao	í
hana	fpveo	hún
.	.	.

Mótið	nheng	mót
um	ao	um
helgina	nveog	helgi
var	sfg3eþ	vera
bikarmót	nhen	bikarmót
.	.	.

Ekki	aa	ekki
var	sfg3eþ	vera
mikil	lvensf	mikill
þátttaka	nven	þátttaka
og	c	og
segir	sfg3en	segja
Ómar	nken-s	Ómar
að	c	að
það	fphen	það
stafi	svg3en	stafa
af	aþ	af
því	fpheþ	það
að	c	að
menn	nkfn	maður
séu	svg3fn	vera
að	cn	að
búa	sng	búa
sig	fpkfo	sig
undir	ao	undir
stærsta	lheove	stór
mót	nheo	mót
sumarsins	nheeg	sumar
sem	ct	sem
haldið	sþghen	halda
verður	sfg3en	verða
á	aþ	á
Kirkjubæjarklaustri	nheþ-s	Kirkjubæjarklaustur
um	ao	um
næstu	lveove	næstur
helgi	nveo	helgi
.	.	.

Vonast	sfm3en	vona
hann	fpken	hann
til	ae	til
að	c	að
fleiri	lhfnvm	margur
mót	nhfn	mót
verði	svg3fn	verða
haldin	sþghfn	halda
á	aþ	á
Sólbrekkubraut	nveþ-s	Sólbrekkubraut
í	ao	í
sumar	nheo	sumar
og	c	og
hún	fpven	hún
verði	svg3en	verða
tekin	sþgven	taka
inn	aa	inn
í	ao	í
Íslandsmeistaramótið	nheogs	Íslandsmeistaramót
á	aþ	á
næsta	lheþve	næstur
ári	nheþ	ár
.	.	.

Fylgir	sfg3en	fylgja
börnunum	nhfþg	barn
Ómar	nken-s	Ómar
Jónsson	nken-s	Jónsson
segir	sfg3en	segja
að	c	að
torfæruhjólum	nhfþ	torfæruhjól
fjölgi	svg3en	fjölga
ört	aa	ört
,	,	,
meðal	ae	meðal
annars	fohee	annar
á	aþ	á
Suðurnesjum	nhfþ-s	Suðurnes
.	.	.

Margir	lkfnsf	margur
noti	svg3fn	nota
hjólin	nhfog	hjól
til	ae	til
keppni	nvee	keppni
en	c	en
aðrir	fokfn	annar
í	aþ	í
ferðamennsku	nveþ	ferðamennska
.	.	.

Það	fphen	það
skiptir	sfg3en	skipta
miklu	lheþsf	mikill
máli	nheþ	mál
að	cn	að
nota	sng	nota
hjólin	nhfog	hjól
rétt	aa	rétt
.	.	.

Fara	sng	fara
eftir	aþ	eftir
aflögðum	lkfþsf	aflagður
vegum	nkfþ	vegur
eða	c	eða
slóðum	nvfþ	slóð
og	c	og
hlífa	sng	hlífa
viðkvæmum	lhfþsf	viðkvæmur
svæðum	nhfþ	svæði
,	,	,
segir	sfg3en	segja
Ómar	nken-s	Ómar
.	.	.

Hann	fpken	hann
segir	sfg3en	segja
að	c	að
motocross	e	motocross
sé	svg3en	vera
orðið	sþghen	verða
fjölskylduíþrótt	nven	fjölskylduíþrótt
.	.	.

