mennskra	lvfesf	mennskur
króna	nvfe	króna
samkvæmt	aþ	samkvæmt
núverandi	lheþof	núverandi
gengi	nheþ	gengi
.	.	.

Þetta	fahen	þessi
er	sfg3en	vera
umtalsverð	lvensf	umtalsverður
lækkun	nven	lækkun
frá	aþ	frá
fyrra	lheþvm	fyrri
ári	nheþ	ár
en	c	en
þá	aa	þá
var	sfg3eþ	vera
hagnaður	nken	hagnaður
félagsins	nheeg	félag
um	aa	um
11,7	ta	11,7
milljónir	nvfn	milljón
dollara	nkfe	dollari
,	,	,
eða	c	eða
nærri	aa	nærri
þrefalt	aam	þrefalt
meiri	lkenvm	mikill
en	c	en
á	aþ	á
síðasta	lheþve	síðari
ári	nheþ	ár
.	.	.

Ekki	aa	ekki
er	sfg3en	vera
þó	aa	þó
allt	fohen	allur
sem	ct	sem
sýnist	sfm3en	sýna
í	aþ	í
þessum	fahfþ	þessi
efnum	nhfþ	efni
því	fpheþ	það
svonefndur	lkensf	svonefndur
einskiptiskostnaður	nken	einskiptiskostnaður
,	,	,
sem	ct	sem
stafar	sfg3en	stafa
af	aþ	af
endurskipulagningu	nveþ	endurskipulagning
félagsins	nheeg	félag
,	,	,
og	c	og
afskriftir	nvfn	afskrift
óefnislegra	lvfesf	óefnislegur
eigna	nvfe	eign
,	,	,
eiga	sfg3fn	eiga
stóran	lkeosf	stór
þátt	nkeo	þáttur
í	aþ	í
þeirri	faveþ	sá
breytingu	nveþ	breyting
sem	ct	sem
varð	sfg3eþ	verða
milli	ae	milli
ára	nhfe	ár
.	.	.

Ef	c	ef
litið	sþghen	líta
er	sfg3en	vera
framhjá	aþ	framhjá
þessum	fakfþ	þessi
kostnaðarliðum	nkfþ	kostnaðarliður
var	sfg3eþ	vera
hagnaður	nken	hagnaður
Össurar	nkee-s	Össur
á	aþ	á
síðasta	lheþve	síðari
ári	nheþ	ár
um	aa	um
17	ta	17
milljónir	nvfn	milljón
dollara	nkfe	dollari
samanborið	sþghen	samanbera
við	ao	við
um	aa	um
17,9	ta	17,9
milljónir	nvfo	milljón
dollara	nkfe	dollari
árið	nheog	ár
áður	aa	áður
,	,	,
sem	ct	sem
er	sfg3en	vera
um	aa	um
5%	tp	5%
lækkun	nven	lækkun
.	.	.

Umsvif	nhfn	umsvif
Össurar	nkee-s	Össur
jukust	sfm3fþ	auka
umtalsvert	aa	umtalsvert
á	aþ	á
síðasta	lheþve	síðari
ári	nheþ	ár
en	c	en
sölutekjur	nvfn	sölutekjur
voru	sfg3fþ	vera
um	aa	um
57%	tp	57%
hærri	lvfnvm	hár
í	ao	í
fyrra	lheovm	fyrri
en	c	en
árið	nheog	ár
áður	aa	áður
,	,	,
eða	c	eða
um	aa	um
252	ta	252
milljónir	nvfn	milljón
dollara	nkfe	dollari
.	.	.

Á	aþ	á
undanförnum	lkfþsf	undanfarinn
18	ta	18
mánuðum	nkfþ	mánuður
hefur	sfg3en	hafa
félagið	nheng	félag
keypt	ssg	kaupa
fjögur	tfhfo	fjórir
stór	lhfosf	stór
fyrirtæki	nhfo	fyrirtæki
ásamt	aþ	ásamt
nokkrum	fohfþ	nokkur
smærri	lhfþvm	smár
.	.	.

Þrjú	tfhfo	þrír
af	aþ	af
þessum	fahfþ	þessi
stóru	lhfþvf	stór
fyrirtækjum	nhfþ	fyrirtæki
keypti	sfg3eþ	kaupa
Össur	nken-s	Össur
á	aþ	á
síðasta	lheþve	síðari
ári	nheþ	ár
.	.	.

Í	aþ	í
janúar	nkeþ	janúar
var	sfg3eþ	vera
það	fphen	það
Innovation	e	Innovation
Sports	e	Sports
,	,	,
í	aþ	í
febrúar	nkeþ	febrúar
Ridgid	e	Ridgid
Medical	e	Medical
Technologies	e	Technologies
og	c	og
franska	lhenvf	franskur
stuðningstækjafyrirtækið	nheng	stuðningstækjafyrirtæki
Gibaud	e	Gibaud
var	sfg3eþ	vera
svo	aa	svo
keypt	sþghen	kaupa
í	aþ	í
desember	nkeþ	desember
.	.	.

Áætlað	sþghen	áætla
er	sfg3en	vera
að	c	að
þau	fahfn	sá
kaup	nhfn	kaup
ein	lhfnsf	einn
og	c	og
sér	lhfnof	sér
auki	svg3fn	auka
veltu	nveo	velta
Össurar	nkee-s	Össur
um	ao	um
20%	tp	20%
.	.	.

Samfara	aþ	samfara
kaupunum	nhfþg	kaup
á	aþ	á
Gibaud	e	Gibaud
var	sfg3eþ	vera
frá	aþ	frá
því	fpheþ	það
greint	sþghen	greina
að	c	að
framlegð	nven	framlegð
Össurar	nkee-s	Össur
á	aþ	á
fjórða	lkeþvf	fjórði
fjórðungi	nkeþ	fjórðungur
ársins	nheeg	ár
2006	ta	2006
yrði	svg3eþ	verða
lægri	lvenvm	lágur
en	c	en
fyrri	lvfnvm	fyrri
áætlanir	nvfn	áætlun
höfðu	sfg3fþ	hafa
gert	ssg	gera
ráð	nheo	ráð
fyrir	aa	fyrir
.	.	.

Það	fphen	það
fer	sfg3en	fara
því	aa	því
ekki	aa	ekki
á	aa	á
milli	ae	milli
mála	nhfe	mál
að	c	að
árið	nheng	ár
2006	ta	2006
hafi	svg3en	hafa
verið	ssg	vera
ár	nhen	ár
umbreytinga	nvfe	umbreyting
hjá	aþ	hjá
Össuri	nkeþ-s	Össur
,	,	,
eins	aa	eins
og	c	og
haft	sþghen	hafa
er	sfg3en	vera
eftir	aþ	eftir
Jóni	nkeþ-s	Jón
Sigurðssyni	nkeþ-s	Sigurðsson
,	,	,
forstjóra	nkeþ	forstjóri
félagsins	nheeg	félag
,	,	,
í	aþ	í
tilkynningu	nveþ	tilkynning
þess	fphee	það
vegna	ae	vegna
uppgjörsins	nheeg	uppgjör
.	.	.

Hann	fpken	hann
segir	sfg3en	segja
félagið	nheog	félag
hafa	sng	hafa
breyst	ssm	breyta
úr	aþ	úr
stoðtækjafyrirtæki	nheþ	stoðtækjafyrirtæki
í	ao	í
forystufyrirtæki	nheo	forystufyrirtæki
á	aþ	á
sviði	nheþ	svið
stoð-	nhfe	stoðtæki
og	c	og
stuðningstækja	nhfe	stuðningstæki
.	.	.

gretar@mbl.is	v	gretar@mbl.is

STARFSVIÐTALIÐ	nheng	starfsviðtal
er	sfg3en	vera
það	fahen	sá
sem	ct	sem
vegur	sfg3en	vega
einna	fohfe	einn
þyngst	aam	þyngst
í	aþ	í
leitinni	nveþg	leit
að	aþ	að
starfi	nheþ	starf
.	.	.

Það	fphen	það
eru	sfg3fn	vera
alls	fohee	allur
ekki	aa	ekki
allir	fokfn	allur
umsækjendur	nkfn	umsækjandi
sem	ct	sem
ná	sfg3fn	ná
því	fpheþ	það
að	cn	að
komast	snm	koma
í	ao	í
viðtal	nheo	viðtal
varðandi	slg	varða
það	faheo	sá
starf	nheo	starf
sem	ct	sem
þeir	fpkfn	hann
sækjast	sfm3fn	sækja
eftir	aa	eftir
en	c	en
að	cn	að
ná	sng	ná
því	faheþ	sá
skrefi	nheþ	skref
sýnir	sfg3en	sýna
að	c	að
umsókn	nven	umsókn
þín	feven	þinn
hefur	sfg3en	hafa
vakið	ssg	vekja
athygli	nveo	athygli
og	c	og
þú	fp2en	þú
ert	sfg2en	vera
einn	foken	einn
af	aþ	af
umsækjendum	nkfþ	umsækjandi
sem	ct	sem
forsvarsmenn	nkfn	forsvarsmaður
fyrirtækja	nhfe	fyrirtæki
sjá	sfg3fn	sjá
að	c	að
komi	svg3fn	koma
til	ae	til
greina	nvfe	grein
í	ao	í
starfið	nheog	starf
.	.	.

Það	fphen	það
er	sfg3en	vera
því	aa	því
mjög	aa	mjög
mikilvægt	lhensf	mikilvægur
að	cn	að
koma	sng	koma
vel	aa	vel
undirbúinn	lkensf	undirbúinn
í	ao	í
viðtalið	nheog	viðtal
og	c	og
koma	sng	koma
vel	aa	vel
fyrir	aa	fyrir
og	c	og
gæta	sng	gæta
að	aþ	að
ýmsum	fohfþ	ýmis
smáatriðum	nhfþ	smáatriði
sem	ct	sem
geta	sfg3fn	geta
skipt	ssg	skipta
sköpum	nhfþ	skap
.	.	.

Þessi	fahfn	þessi
ráð	nhfn	ráð
eru	sfg3fn	vera
gefin	sþghfn	gefa
á	aþ	á
vefsíðu	nveþ	vefsíða
Ráðningarþjónustunnar	nveegs	Ráðningarþjónustan
,	,	,
www.radning.is	v	www.radning.is
.	.	.

Úlit	nhen	úlit
skiptir	sfg3en	skipta
miklu	lheþsf	mikill
máli	nheþ	mál
Það	fphen	það
er	sfg3en	vera
eðlilegt	lhensf	eðlilegur
að	cn	að
kvíða	sng	kvíða
fyrir	aþ	fyrir
starfsviðtalinu	nheþg	starfsviðtal
en	c	en
minnka	sng	minnka
má	sfg3en	mega
kvíðann	nkeog	kvíði
með	aþ	með
því	fpheþ	það
að	cn	að
undirbúa	sng	undirbúa
sig	fpkeo	sig
eins	aa	eins
vel	aa	vel
og	c	og
kostur	nken	kostur
er	sfg3en	vera
.	.	.

Það	fphen	það
er	sfg3en	vera
afskaplega	aa	afskaplega
mikilvægt	lhensf	mikilvægur
að	cn	að
mæta	sng	mæta
stundvíslega	aa	stundvíslega
í	ao	í
viðtalið	nheog	viðtal
,	,	,
helst	aae	heldur
nokkrum	fovfþ	nokkur
mínútum	nvfþ	mínúta
fyrir	ao	fyrir
bókaðan	lkeosf	bókaður
tíma	nkeo	tími
.	.	.

Klæðaburður	nken	klæðaburður
og	c	og
útlit	nhen	útlit
skiptir	sfg3en	skipta
máli	nheþ	mál
og	c	og
því	aa	því
er	sfg3en	vera
mikilvægt	lhensf	mikilvægur
að	cn	að
vera	sng	vera
snyrtilegur	lkensf	snyrtilegur
til	ae	til
fara	nvfe	för
.	.	.

Fas	nhen	fas
og	c	og
framkoma	nven	framkoma
er	sfg3en	vera
eitt	fohen	einn
af	aþ	af
því	faheþ	sá
sem	ct	sem
ráðningaraðili	nken	ráðningaraðili
horfir	sfg3en	horfa
á	aa	á
þegar	c	þegar
hann	fpken	hann
metur	sfg3en	meta
umsækjanda	nkeo	umsækjandi
.	.	.

Hár	nhen	hár
,	,	,
neglur	nvfn	nögl
og	c	og
andlitssnyrting	nven	andlitssnyrting
þurfa	sfg3fn	þurfa
að	cn	að
vera	sng	vera
í	aþ	í
lagi	nheþ	lag
.	.	.

Ef	c	ef
umsækjandi	nken	umsækjandi
er	sfg3en	vera
sáttur	lkensf	sáttur
við	aa	við
hvernig	aa	hvernig
hann	fpken	hann
lítur	sfg3en	líta
út	aa	út
,	,	,
eykur	sfg3en	auka
það	fphen	það
sjálfsöryggi	nheo	sjálfsöryggi
hans	fpkee	hann
í	aþ	í
viðtalinu	nheþg	viðtal
.	.	.

Sýndu	sbg2en	sýna
öryggi	nheo	öryggi
og	c	og
ákveðni	nveo	ákveðni
í	aþ	í
framkomu	nveþ	framkoma
.	.	.

Heilsaðu	sbg2en	heilsa
viðmælanda	nkeþ	viðmælandi
þínum	fekeþ	þinn
með	aþ	með
þéttu	lheþsf	þéttur
handarbandi	nheþ	handaband
og	c	og
kynntu	sbg2en	kynna
þig	fp2eo	þú
með	aþ	með
nafni	nheþ	nafn
.	.	.

Ágætt	lhensf	ágætur
er	sfg3en	vera
að	cn	að
taka	sng	taka
eintak	nheo	eintak
af	aþ	af
ferilskránni	nveþg	ferilskrá
með	aa	með
í	ao	í
viðtalið	nheog	viðtal
og	c	og
eins	aa	eins
meðmælabréf	nhfo	meðmælabréf
ef	c	ef
þau	fphfn	það
eru	sfg3fn	vera
fyrir	aþ	fyrir
hendi	nveþ	hönd
sem	aa	sem
og	c	og
önnur	fohfn	annar
gögn	nhfn	gagn
sem	ct	sem
gætu	svg3fþ	geta
skipt	ssg	skipta
máli	nheþ	mál
.	.	.

Vertu	sbg2en	vera
vel	aa	vel
undirbúinn	lkensf	undirbúinn
Það	fphen	það
er	sfg3en	vera
góð	lvensf	góður
regla	nven	regla
að	cn	að
kynna	sng	kynna
sér	fpkeþ	sig
fyrirtækið	nheog	fyrirtæki
sem	ct	sem
sótt	sþghen	sækja
er	sfg3en	vera
um	ao	um
starf	nheo	starf
hjá	aa	hjá
,	,	,
áður	aa	áður
en	c	en
mætt	sþghen	mæta
er	sfg3en	vera
í	ao	í
viðtalið	nheog	viðtal
,	,	,
er	c	er
í	ao	í
dag	nkeo	dagur
hafa	sfg3fn	hafa
flest	lhfnse	margur
fyrirtæki	nhfn	fyrirtæki
heimasíðu	nveo	heimasíða
þar	aa	þar
sem	c	sem
hægt	lhensf	hægur
er	sfg3en	vera
að	cn	að
kynna	sng	kynna
sér	fpkeþ	sig
starfsemi	nveo	starfsemi
þess	fphee	það
,	,	,
fjölda	nkeo	fjöldi
starfsmanna	nkfe	starfsmaður
og	c	og
fleira	lheovm	margur
sem	ct	sem
skiptir	sfg3en	skipta
máli	nheþ	mál
.	.	.

Eins	aa	eins
er	sfg3en	vera
hægt	lhensf	hægur
að	cn	að
fá	sng	fá
upplýsingar	nvfo	upplýsing
um	ao	um
starfsemi	nveo	starfsemi
fyrirtækis	nhee	fyrirtæki
með	aþ	með
því	fpheþ	það
að	cn	að
skoða	sng	skoða
ársskýrslur	nvfo	ársskýrsla
,	,	,
skoða	sng	skoða
greinar	nvfo	grein
í	aþ	í
fjölmiðlum	nkfþ	fjölmiðill
eða	c	eða
jafnvel	aa	jafnvel
leita	sng	leita
til	ae	til
starfsmanna	nkfe	starfsmaður
eða	c	eða
annarra	fokfe	annar
sem	ct	sem
þekkja	sfg3fn	þekkja
til	ae	til
fyrirtækisins	nheeg	fyrirtæki
.	.	.

Í	aþ	í
starfsviðtalinu	nheþg	starfsviðtal
þarft	sfg2en	þurfa
þú	fp2en	þú
að	cn	að
vera	sng	vera
búinn	lkensf	búinn
undir	ao	undir
margvíslegar	lvfosf	margvíslegur
spurningar	nvfo	spurning
;	;	;
sumar	fovfn	sumur
gætu	svg3fþ	geta
jafnvel	aa	jafnvel
komið	ssg	koma
þér	fp2eþ	þú
á	ao	á
óvart	lheosf	óvar
.	.	.

Svaraðu	sbg2en	svara
samkvæmt	aþ	samkvæmt
bestu	lveþve	góður
samvisku	nveþ	samviska
.	.	.

Það	fphen	það
er	sfg3en	vera
mjög	aa	mjög
líklegt	lhensf	líklegur
að	c	að
þú	fp2en	þú
verðir	svg2en	verða
spurður	sþgken	spyrja
af	aþ	af
hverju	fsheþ	hver
þú	fp2en	þú
sækist	sfm2en	sækja
eftir	aþ	eftir
þessu	faheþ	þessi
tiltekna	lheþvf	tiltekinn
starfi	nheþ	starf
og	c	og
því	aa	því
er	sfg3en	vera
ágætt	lhensf	ágætur
að	cn	að
vera	sng	vera
kannski	aa	kannski
búinn	lkensf	búinn
að	cn	að
undirbúa	sng	undirbúa
svarið	nheog	svar
við	aþ	við
þeirri	faveþ	sá
spurningu	nveþ	spurning
,	,	,
sem	aa	sem
og	c	og
öðrum	fovfþ	annar
sem	ct	sem
þér	fp2eþ	þú
finnst	sfm3en	finna
líklegt	lhensf	líklegur
að	c	að
þú	fp2en	þú
verðir	svg2en	verða
spurður	sþgken	spyrja
.	.	.

Að	aþ	að
öllum	fohfþ	allur
líkindum	nhfþ	líkindi
verður	sfg2en	verða
þú	fp2en	þú
spurður	sþgken	spyrja
út	aa	út
í	ao	í
eitthvað	foheo	einhver
sem	ct	sem
fram	aa	fram
kemur	sfg3en	koma
á	aþ	á
ferilskránni	nveþg	ferilskrá
og	c	og
því	aa	því
er	sfg3en	vera
ágætt	lhensf	ágætur
að	cn	að
vera	sng	vera
búinn	lkensf	búinn
að	cn	að
undirbúa	sng	undirbúa
svör	nhfo	svar
við	aþ	við
þeim	favfþ	sá
upplýsingum	nvfþ	upplýsing
sem	ct	sem
þar	aa	þar
koma	sfg3fn	koma
fram	aa	fram
.	.	.

Óhætt	lhensf	óhætt
að	cn	að
spyrja	sng	spyrja
En	c	en
það	fphen	það
er	sfg3en	vera
líka	aa	líka
mikilvægt	lhensf	mikilvægur
að	c	að
umsækjandi	nken	umsækjandi
spyrji	svg3en	spyrja
spurninga	nvfe	spurning
.	.	.

Forðastu	sbg2en	forðasa
að	cn	að
spyrja	sng	spyrja
um	ao	um
það	faheo	sá
sem	ct	sem
þú	fp2en	þú
gætir	svg2eþ	geta
fengið	ssg	fá
svör	nhfo	svar
við	aa	við
á	aþ	á
heimasíðu	nveþ	heimasíða
fyrirtækisins	nheeg	fyrirtæki
.	.	.

Það	fphen	það
er	sfg3en	vera
mikilvægt	lhensf	mikilvægur
í	aþ	í
starfsviðtali	nheþ	starfsviðtal
að	cn	að
sýna	sng	sýna
hógværð	nveo	hógværð
,	,	,
ekki	aa	ekki
grípa	sng	grípa
fram	aa	fram
í	aa	í
fyrir	aþ	fyrir
viðmælanda	nkeþ	viðmælandi
og	c	og
alls	fohee	allur
ekki	aa	ekki
fara	sng	fara
með	ao	með
rangt	lheosf	rangur
mál	nheo	mál
.	.	.

Svaraðu	sbg2en	svara
skýrt	aa	skýrt
og	c	og
greinilega	aa	greinilega
og	c	og
horfðu	sbg2en	horfa
í	ao	í
augun	nhfog	auga
á	aþ	á
viðmælanda	nkeþ	viðmælandi
.	.	.

Það	fphen	það
getur	sfg3en	geta
virkað	ssg	virka
mjög	aa	mjög
fráhrindandi	lhenof	fráhrindandi
ef	c	ef
þú	fp2en	þú
talar	sfg2en	tala
mjög	aa	mjög
neikvætt	aa	neikvætt
um	ao	um
fyrrverandi	lkeoof	fyrrverandi
vinnuveitanda	nkeo	vinnuveitandi
og	c	og
þú	fp2en	þú
skalt	sfg2en	skulu
reyna	sng	reyna
að	cn	að
forðast	snm	forða
það	fpheo	það
af	aþ	af
fremsta	lheþve	fremri
megni	nheþ	megn
.	.	.

Vertu	sbg2en	vera
kurteis	lkensf	kurteis
,	,	,
þakkaðu	sbg2en	þakka
fyrir	ao	fyrir
þig	fp2eo	þú
að	aþ	að
loknu	lheþsf	lokinn
viðtalinu	nheþg	viðtal
og	c	og
kveddu	sbg2en	kveðja
með	aþ	með
handabandi	nheþ	handaband
.	.	.

Þegar	c	þegar
atvinnuleitandi	nken	atvinnuleitandi
fer	sfg3en	fara
í	ao	í
viðtal	nheo	viðtal
vegna	ae	vegna
starfs	nhee	starf
er	sfg3en	vera
vinnuveitandi	nken	vinnuveitandi
í	aþ	í
flestum	lhfþse	margur
tilfellum	nhfþ	tilfelli
búinn	lkensf	búinn
að	cn	að
fá	sng	fá
og	c	og
lesa	sng	lesa
skriflega	lveosf	skriflegur
atvinnuumsókn	nveo	atvinnuumsókn
viðkomandi	lkeeof	viðkomandi
.	.	.

Atvinnuviðtalið	nheng	atvinnuviðtal
veitir	sfg3en	veita
hins	fakee	hinn
vegar	nkee	vegur
mikilvægar	lvfosf	mikilvægur
upplýsingar	nvfo	upplýsing
til	ae	til
viðbótar	nvee	viðbót
og	c	og
getur	sfg3en	geta
haft	ssg	hafa
úrslitaáhrif	nhfo	úrslitaáhrif
um	ao	um
það	fpheo	það
hvort	c	hvort
atvinnuleitandi	nken	atvinnuleitandi
fær	sfg3en	fá
starfið	nheog	starf
eða	c	eða
ekki	aa	ekki
og	c	og
því	aa	því
skiptir	sfg3en	skipta
höfuðmáli	nheþ	höfuðmál
að	c	að
atvinnuleitandi	nken	atvinnuleitandi
sé	svg3en	vera
vel	aa	vel
undirbúinn	lkensf	undirbúinn
.	.	.

Atvinnuleitandi	nken	atvinnuleitandi
getur	sfg3en	geta
gert	ssg	gera
ýmislegt	lheosf	ýmislegur
til	ae	til
að	cn	að
búa	sng	búa
sig	fpkeo	sig
undir	ao	undir
atvinnuviðtalið	nheog	atvinnuviðtal
.	.	.

*	*	*
Afla	sng	afla
upplýsinga	nvfe	upplýsing
um	ao	um
hverjir	fskfn	hver
munu	sfg3fn	munu
taka	sng	taka
viðtalið	nheog	viðtal
.	.	.

Oftast	aae	oft
er	sfg3en	vera
boðað	sþghen	boða
í	ao	í
atvinnuviðtal	nheo	atvinnuviðtal
símleiðis	aa	símleiðis
og	c	og
þá	aa	þá
er	sfg3en	vera
hægt	lhensf	hægur
að	cn	að
spyrja	sng	spyrja
um	ao	um
þetta	faheo	þessi
atriði	nheo	atriði
.	.	.

*	*	*
Afla	sng	afla
upplýsinga	nvfe	upplýsing
um	ao	um
fyrirtækið	nheog	fyrirtæki
og	c	og
starfsemi	nveo	starfsemi
þess	fphee	það
,	,	,
t.d.	as	t.d.
í	aþ	í
fyrirtækjaskrám	nvfþ	fyrirtækjaskrá
eða	c	eða
á	aþ	á
Internetinu	nheþgs	Internet
.	.	.

*	*	*
Undirbúa	sng	undirbúa
nokkrar	fovfo	nokkur
spurningar	nvfo	spurning
um	ao	um
starfið	nheog	starf
sem	ct	sem
gott	lhensf	góður
er	sfg3en	vera
að	cn	að
fá	sng	fá
svör	nhfo	svar
við	aa	við
.	.	.

Viðtalið	nheng	viðtal
snýst	sfm3en	snúa
ekki	aa	ekki
eingöngu	aa	eingöngu
um	ao	um
það	fpheo	það
hvort	c	hvort
vinnuveitandanum	nkeþg	vinnuveitandi
líst	sfm3en	líta
á	ao	á
atvinnuleitandann	nkeog	atvinnuleitandi
heldur	c	heldur
einnig	aa	einnig
hvernig	aa	hvernig
atvinnuleitandanum	nkeþg	atvinnuleitandi
líst	sfm3en	líta
á	ao	á
vinnuveitandann	nkeog	vinnuveitandi
.	.	.

*	*	*
Búa	sng	búa
sig	fpkeo	sig
undir	ao	undir
að	cn	að
svara	sng	svara
erfiðum	lvfþsf	erfiður
spurningum	nvfþ	spurning
á	ao	á
jákvæðan	lkeosf	jákvæður
hátt	nkeo	háttur
.	.	.

*	*	*
Útlitið	nheng	útlit
er	sfg3en	vera
það	fahen	sá
fyrsta	lhenve	fyrstur
sem	ct	sem
vinnuveitandinn	nkeng	vinnuveitandi
tekur	sfg3en	taka
eftir	aa	eftir
og	c	og
því	aa	því
er	sfg3en	vera
mikilvægt	lhensf	mikilvægur
að	cn	að
vera	sng	vera
snyrtilegur	lkensf	snyrtilegur
til	ae	til
fara	nvfe	för
en	c	en
þó	aa	þó
ekki	aa	ekki
of	aa	of
fínn	lkensf	fínn
eða	c	eða
áberandi	lkenof	áberandi
.	.	.

*	*	*
Mæta	sng	mæta
stundvíslega	aa	stundvíslega
.	.	.

Þegar	c	þegar
í	ao	í
viðtalið	nheog	viðtal
er	sfg3en	vera
komið	sþghen	koma
er	sfg3en	vera
gott	lhensf	góður
að	cn	að
hafa	sng	hafa
nokkur	fohfo	nokkur
atriði	nhfo	atriði
í	aþ	í
huga	nkeþ	hugi
.	.	.

Það	fphen	það
er	sfg3en	vera
ekkert	fohen	enginn
óeðlilegt	lhensf	óeðlilegur
að	cn	að
vera	sng	vera
óstyrkur	lkensf	óstyrkur
við	ao	við
þessar	favfo	þessi
kringumstæður	nvfo	kringumstæður
.	.	.

*	*	*
Heilsa	sng	heilsa
öllum	fokfþ	allur
með	aþ	með
handabandi	nheþ	handaband
.	.	.

*	*	*
Láta	sng	láta
viðmælendur	nkfo	viðmælandi
um	ao	um
að	cn	að
hefja	sng	hefja
samtalið	nheog	samtal
.	.	.

*	*	*
Horfa	sng	horfa
á	ao	á
þann	fakeo	sá
sem	ct	sem
talar	sfg3en	tala
og	c	og
svara	sng	svara
þeim	fakeþ	sá
sem	ct	sem
spyr	sfg3en	spyrja
.	.	.

*	*	*
Rökstyðja	sng	rökstyðja
öll	fohfo	allur
svör	nhfo	svar
og	c	og
svara	sng	svara
af	aþ	af
einlægni	nveþ	einlægni
frekar	aam	frekar
en	c	en
að	cn	að
reyna	sng	reyna
að	cn	að
þóknast	snm	þóknast
viðmælandanum	nkeþg	viðmælandi
.	.	.

*	*	*
Aldrei	aa	aldrei
að	cn	að
tala	sng	tala
niðrandi	aa	niðrandi
um	ao	um
fyrri	lkfovm	fyrri
yfirmenn	nkfo	yfirmaður
eða	c	eða
fyrri	lhfovm	fyrri
störf	nhfo	starf
.	.	.

*	*	*
Láta	sng	láta
í	ao	í
ljós	nheo	ljós
áhuga	nkeo	áhugi
á	aþ	á
starfinu	nheþg	starf
sem	ct	sem
verið	sþghen	vera
er	sfg3en	vera
að	cn	að
sækja	sng	sækja
um	aa	um
.	.	.

*	*	*
verjar	x	verjar
eru	sfg3fn	vera
þínar	fevfn	þinn
sterku	lvfnvf	sterkur
og	c	og
veiku	lvfnvf	veikur
hliðar	nvfn	hlið
?	?	?

*	*	*
Hvort	c	hvort
líkar	sfg3en	líka
þér	fp2eþ	þú
betur	aam	vel
að	cn	að
vinna	sng	vinna
einn	lkensf	einn
eða	c	eða
í	aþ	í
hópi	nkeþ	hópur
?	?	?

*	*	*
Hvað	fsheo	hver
kallar	sfg2en	kalla
þú	fp2en	þú
gott	lheosf	góður
starfsumhverfi	nheo	starfsumhverfi
?	?	?

*	*	*
Hvernig	aa	hvernig
líkar	sfg3en	líka
þér	fp2eþ	þú
að	cn	að
vinna	sng	vinna
undir	aþ	undir
tímapressu	nveþ	tímapressa
?	?	?

*	*	*
Hefur	sfg2en	hafa
þú	fp2en	þú
verið	ssg	vera
frá	aþ	frá
vinnu	nveþ	vinna
í	ao	í
langan	lkeosf	langur
tíma	nkeo	tími
samfleytt	aa	samfleytt
?	?	?

*	*	*
Hvers	fshee	hver
vegna	ae	vegna
ætti	svg1eþ	eiga
ég	fp1en	ég
að	cn	að
ráða	sng	ráða
þig	fp2eo	þú
?	?	?

Gísli	nken-s	Gísli
Hjálmtýsson	nken-s	Hjálmtýsson
nam	sfg3eþ	nema
stærð-	nveo	stærðfræði
og	c	og
tölvunarfræði	nveo	tölvunarfræði
í	aþ	í
Rochester-háskóla	nkeþ-s	Rochester-háskóli
í	aþ	í
New	e	New
York	e	York
,	,	,
og	c	og
útskrifaðist	sfm3eþ	útskrifa
þaðan	aa	þaðan
með	ao	með
BS-gráðu	nveo-s	BS-gráða
,	,	,
en	c	en
að	aþ	að
því	faheþ	sá
námi	nheþ	nám
loknu	lheþsf	lokinn
flutti	sfg3eþ	flytja
hann	fpken	hann
til	ae	til
Kaliforníu	nvee-s	Kalifornía
og	c	og
stundaði	sfg3eþ	stunda
sitt	feheo	sinn
masters-	nheo	mastersnám
og	c	og
doktorsnám	nheo	doktorsnám
í	aþ	í
tölvunarfræði	nveþ	tölvunarfræði
við	ao	við
háskólann	nkeog	háskóli
í	aþ	í
Santa	e	Santa
Barbara	e	Barbara
.	.	.

Eftir	ao	eftir
veruna	nveog	vera
í	aþ	í
New	e	New
York	e	York
var	sfg1eþ	vera
ég	fp1en	ég
orðinn	sþgken	verða
leiður	lkensf	leiður
á	aþ	á
kuldanum	nkeþg	kuldi
og	c	og
bleytunni	nveþg	bleyta
og	c	og
langaði	sfg3eþ	langa
í	ao	í
vinalegra	lheovm	vinalegur
veðurfar	nheo	veðurfar
.	.	.

Það	fphen	það
vildi	sfg3eþ	vilja
bara	aa	bara
svo	aa	svo
heppilega	aa	heppilega
til	aa	til
að	c	að
háskólarnir	nkfng	háskóli
í	aþ	í
Kaliforníu	nveþ-s	Kalifornía
eru	sfg3fn	vera
með	ao	með
afskaplega	aa	afskaplega
góða	lveosf	góður
kennslu	nveo	kennsla
í	aþ	í
tölvunarfræði	nveþ	tölvunarfræði
,	,	,
segir	sfg3en	segja
Gísli	nken-s	Gísli
hlæjandi	lkenof	hlæjandi
.	.	.

Umskiptin	nhfng	umskipti
voru	sfg3fþ	vera
því	aa	því
jákvæð	lhfnsf	jákvæður
á	ao	á
alla	fokfo	allur
hugsanlega	lkfosf	hugsanlegur
vegu	nkfo	vegur
.	.	.

Að	cn	að
sjá	sng	sjá
hugvitið	nheog	hugvit
blómstra	sng	blómstra
Að	aþ	að
loknu	lheþsf	lokinn
doktorsnámi	nheþ	doktorsnám
1995	ta	1995
réðst	sfm3eþ	ráða
