risastóra	lheovf	risastór
aðeins	aa	aðeins
að	cn	að
leyfa	sng	leyfa
okkur	fp1fþ	ég
að	cn	að
sjá	sng	sjá
hversu	aa	hversu
sterkt	aa	sterkt
hún	fpven	hún
getur	sfg3en	geta
skinið	ssg	skína
.	.	.
Í	aþ	í
næstu	lveþve	næstur
viku	nveþ	vika
ætla	sfg1en	ætla
ég	fp1en	ég
svo	aa	svo
að	cn	að
byrja	sng	byrja
á	aþ	á
garðinum	nkeþg	garður
mínum	fekeþ	minn
...	...	...
mig	fp1eo	ég
langar	sfg3en	langa
að	cn	að
snyrta	sng	snyrta
hann	fpkeo	hann
vel	aa	vel
og	c	og
nostra	sng	nostra
aðeins	aa	aðeins
við	ao	við
hann	fpkeo	hann
.	.	.
Setja	sng	setja
falleg	lhfosf	fallegur
blóm	nhfo	blóm
niður	aa	niður
og	c	og
reyna	sng	reyna
að	cn	að
gera	sng	gera
hann	fpkeo	hann
fallegan	lkeosf	fallegur
fyrir	ao	fyrir
augað	nheog	auga
.	.	.
Ég	fp1en	ég
kveð	sfg1en	kveða
ykkur	fp2fo	þú
í	ao	í
kútinn	nkeog	kútur
og	c	og
óska	sfg1en	óska
ykkur	fp2fþ	þú
öllum	fohfþ	allur
GLEÐILEGRA	lkfesf	gleðilegur
PÁSKA	nkfe	páskar
.	.	.
Páskakveðjur	nvfn	páskakveðja
,	,	,
Svanfríður	nven-s	Svanfríður
.	.	.
Í	ao	í
dag	nkeo	dagur
,	,	,
12.apríl	nkeo	12.apríl
,	,	,
eru	sfg3fn	vera
16	ta	16
ár	nhfn	ár
síðan	c	síðan
ég	fp1en	ég
fermdist	sfm1eþ	ferma
.	.	.
Sr.	as	sr.
Guðmundur	nken-s	Guðmundur
Örn	nken-s	Örn
Kjartansson	nken-s	Kjartansson
fermdi	sfg3eþ	ferma
okkur	fp1fo	ég
skólasystkinin	nhfog	skólasystkin
og	c	og
vorum	sfg1fþ	vera
við	fp1fn	ég
að	c	að
mig	fp1eo	ég
minnir	sfg3en	minna
32	ta	32
að	aþ	að
tölu	nveþ	tala
,	,	,
í	aþ	í
tveimur	tfvfþ	tveir
bekkjardeildum	nvfþ	bekkjardeild
.	.	.
Án	ae	án
þess	fphee	það
að	cn	að
tala	sng	tala
illa	aa	illa
um	ao	um
Sr.	as	sr.
Guðmund	nkeo-s	Guðmundur
þá	aa	þá
verð	sfg1en	verða
ég	fp1en	ég
bara	aa	bara
að	cn	að
segja	sng	segja
að	c	að
hann	fpken	hann
var	sfg3eþ	vera
skrýtinn	lkensf	skrýtinn
fýr	nken	fýr
og	c	og
líkaði	sfg3eþ	líka
okkur	fp1fþ	ég
krökkunum	nkfþg	krakki
engan	fokeo	enginn
veginn	nkeog	vegur
við	ao	við
hann	fpkeo	hann
.	.	.
Hann	fpken	hann
talaði	sfg3eþ	tala
um	ao	um
hluti	nkfo	hlutur
við	ao	við
okkur	fp1fo	ég
sem	ct	sem
ekki	aa	ekki
áttu	sfg3fþ	eiga
heima	aa	heima
í	aþ	í
fermingarfræðslu	nveþ	fermingarfræðsla
og	c	og
man	sfg1en	muna
ég	fp1en	ég
að	c	að
ég	fp1en	ég
kom	sfg1eþ	koma
afar	aa	afar
ráðvillt	lvensf	ráðvilltur
heim	aa	heim
úr	aþ	úr
mörgum	lkfþsf	margur
tímunum	nkfþg	tími
.	.	.
Ég	fp1en	ég
fermdist	sfm1eþ	ferma
trúarinnar	nveeg	trú
vegna	ae	vegna
,	,	,
ekki	aa	ekki
vegna	ae	vegna
gjafanna	nvfeg	gjöf
.	.	.
Það	fphen	það
er	sfg3en	vera
nú	aa	nú
ekki	aa	ekki
oft	aa	oft
sem	c	sem
ég	fp1en	ég
tek	sfg1en	taka
djúpt	aa	djúpt
í	ao	í
árina	nveog	ár
hér	aa	hér
á	aþ	á
þessari	faveþ	þessi
síðu	nveþ	síða
minni	feveþ	minn
en	c	en
ég	fp1en	ég
á	sfg1en	eiga
afskaplega	aa	afskaplega
erfitt	lheosf	erfiður
með	ao	með
mig	fp1eo	ég
þegar	c	þegar
börn	nhfn	barn
segjast	sfm3fn	segja
fermast	snm	ferma
gjafanna	nvfeg	gjöf
vegna	ae	vegna
.	.	.
Ég	fp1en	ég
dæmi	sfg1en	dæma
ekki	aa	ekki
börnin	nhfog	barn
við	ao	við
þessi	fahfo	þessi
svör	nhfo	svar
en	c	en
mér	fp1eþ	ég
finnst	sfm3en	finna
það	fphen	það
sorglegt	lhensf	sorglegur
vegna	ae	vegna
þess	fphee	það
að	c	að
lífið	nheng	líf
er	sfg3en	vera
svo	aa	svo
miklu	lheþsf	mikill
meira	lhenvm	mikill
en	c	en
veraldlegu	lkfnvf	veraldlegur
hlutirnir	nkfng	hlutur
þó	aa	þó
gott	lhensf	góður
sé	svg3en	vera
að	cn	að
eiga	sng	eiga
þá	fpkfo	hann
á	aa	á
stundum	aa	stundum
.	.	.
Ég	fp1en	ég
gæti	svg1eþ	geta
skrifað	ssg	skrifa
langan	lkeosf	langur
pistil	nkeo	pistill
til	ae	til
viðbótar	nvee	viðbót
um	ao	um
þetta	faheo	þessi
málefni	nheo	málefni
en	c	en
mér	fp1eþ	ég
finnst	sfm3en	finna
það	fphen	það
,	,	,
persónulega	aa	persónulega
,	,	,
sorgleg	lvensf	sorglegur
þróun	nven	þróun
ef	c	ef
ekki	aa	ekki
er	sfg3en	vera
hægt	lhensf	hægur
að	cn	að
gleðjast	snm	gleðja
á	aþ	á
hátíðum	nvfþ	hátíð
ef	c	ef
engar	fovfn	enginn
gjafir	nvfn	gjöf
standa	sfg3fn	standa
til	ae	til
boða	nhfe	boð
.	.	.
Ég	fp1en	ég
hefði	svg1eþ	hafa
gifst	ssm	gifta
Bert	e	Bert
þó	aa	þó
ég	fp1en	ég
hefði	svg1eþ	hafa
engar	fovfo	enginn
gjafir	nvfo	gjöf
fengið	ssg	fá
.	.	.
Mér	fp1eþ	ég
fannst	sfm3eþ	finna
ég	fp1en	ég
svo	aa	svo
fín	lvensf	fínn
á	ao	á
fermingardaginn	nkeog	fermingardagur
.	.	.
Mamma	nven	mamma
og	c	og
pabbi	nken	pabbi
leyfðu	sfg3fþ	leyfa
mér	fp1eþ	ég
að	cn	að
fá	sng	fá
mér	fp1eþ	ég
permanett	nheo	permanett
í	ao	í
lubbann	nkeog	lubbi
minn	fekeo	minn
og	c	og
svo	aa	svo
fór	sfg1eþ	fara
ég	fp1en	ég
auðvitað	aa	auðvitað
í	ao	í
hárgreiðslu	nveo	hárgreiðsla
snemmmorguns	nkee	snemmmorguns
á	ao	á
sjálfan	fbkeo	sjálfur
fermingardaginn	nkeog	fermingardagur
.	.	.
Ég	fp1en	ég
fékk	sfg1eþ	fá
blóm	nhfo	blóm
í	ao	í
hárið	nheog	hár
:	:	:
)	)	)
Að	cn	að
skoða	sng	skoða
myndir	nvfo	mynd
frá	aþ	frá
þessum	fakeþ	þessi
degi	nkeþ	dagur
,	,	,
sé	sfg1en	sjá
ég	fp1en	ég
bara	aa	bara
hamingjusamt	lheosf	hamingjusamur
andlit	nheo	andlit
og	c	og
fullt	lheosf	fullur
af	aþ	af
fólki	nheþ	fólk
sem	ct	sem
kom	sfg3eþ	koma
í	ao	í
veisluna	nveog	veisla
mína	feveo	minn
og	c	og
gæddi	sfg3eþ	gæða
sér	fpheþ	sig
á	aþ	á
góðgæti	nheþ	góðgæti
.	.	.
Mamma	nven	mamma
bakaði	sfg3eþ	baka
meira	lheovm	mikill
að	cn	að
segja	sng	segja
brúna	lveosf	brúnn
köku	nveo	kaka
með	aþ	með
hvítu	lheþsf	hvítur
kremi	nheþ	krem
sem	ct	sem
annars	aa	annars
er	sfg3en	vera
bara	aa	bara
borðuð	sþgven	borða
á	aþ	á
jólunum	nhfþg	jól
.	.	.
Annað	fohen	annar
sem	ct	sem
er	sfg3en	vera
mér	fp1eþ	ég
afar	aa	afar
minnisstætt	lhensf	minnisstæður
voru	sfg3fþ	vera
öll	fohfn	allur
skeytin	nhfng	skeyti
sem	ct	sem
mér	fp1eþ	ég
bárust	sfm3fþ	bera
,	,	,
þau	fphfo	það
þótti	sfg3eþ	þykja
mér	fp1eþ	ég
vænt	lhensf	vænn
um	ao	um
og	c	og
á	sfg1en	eiga
ég	fp1en	ég
þau	fphfo	það
öll	fohfo	allur
enn	aa	enn
í	ao	í
dag	nkeo	dagur
sem	aa	sem
og	c	og
kortin	nhfog	kort
.	.	.
Á	ao	á
fermingardaginn	nkeog	fermingardagur
hringdi	sfg3eþ	hringja
Örn	nken-s	Örn
bróðir	nken	bróðir
í	ao	í
mig	fp1eo	ég
og	c	og
óskaði	sfg3eþ	óska
mér	fp1eþ	ég
til	ae	til
hamingju	nvee	hamingja
.	.	.
Ekki	aa	ekki
hafði	sfg1eþ	hafa
ég	fp1en	ég
fengið	ssg	fá
gjöfina	nveog	gjöf
frá	aþ	frá
honum	fpkeþ	hann
en	c	en
hann	fpken	hann
tilkynnti	sfg3eþ	tilkynna
mér	fp1eþ	ég
að	c	að
hana	fpveo	hún
fengi	svg1eþ	fá
ég	fp1en	ég
.	.	.
Að	aþ	að
lokum	nhfþ	lok
sagði	sfg3eþ	segja
hann	fpken	hann
að	c	að
honum	fpkeþ	hann
þætti	svg3eþ	þykja
vænt	lhensf	vænn
um	ao	um
mig	fp1eo	ég
.	.	.
3	ta	3
vikum	nvfþ	vika
seinna	aam	seint
upp	aa	upp
á	ao	á
dag	nkeo	dagur
fékk	sfg1eþ	fá
ég	fp1en	ég
pakkann	nkeog	pakki
,	,	,
fallegt	lheosf	fallegur
úr	aa	úr
og	c	og
geisladisk	nkeo	geisladiskur
með	aþ	með
New	e	New
Kids	e	Kids
on	e	on
the	e	the
Block	e	Block
.	.	.
Akkúrat	aa	akkúrat
viku	nveþ	vika
seinna	aam	seint
var	sfg3eþ	vera
hann	fpken	hann
dáinn	lkensf	dáinn
.	.	.
Það	fphen	það
er	sfg3en	vera
gaman	nhen	gaman
að	cn	að
skrifa	sng	skrifa
þennan	fakeo	þessi
pistil	nkeo	pistill
því	fpheþ	það
hugurinn	nkeng	hugur
er	sfg3en	vera
staddur	lkensf	staddur
heima	aa	heima
í	aþ	í
Hlíðartúninu	nheþgs	Hlíðartún
og	c	og
árið	nheng	ár
er	sfg3en	vera
1990	ta	1990
.	.	.
Ekki	aa	ekki
veit	sfg1en	vita
ég	fp1en	ég
afhverju	aa	afhverju
en	c	en
ég	fp1en	ég
er	sfg1en	vera
með	ao	með
svona	aa	svona
sætan	lkeosf	sætur
kökk	nkeo	kökkur
í	aþ	í
hálsinum	nkeþg	háls
....	....	....
það	fphen	það
er	sfg3en	vera
gott	lhensf	góður
að	cn	að
eiga	sng	eiga
góðar	lvfosf	góður
minningar	nvfo	minning
.	.	.
Myndirnar	nvfng	mynd
hér	aa	hér
eru	sfg3fn	vera
ekki	aa	ekki
góðar	lvfnsf	góður
en	c	en
sína	x	sýna
þó	aa	þó
þessa	faveo	þessi
flottu	lveovf	flottur
permanett	lveoof	permanett
hárgreiðslu	nveo	hárgreiðsla
sem	ct	sem
ég	fp1en	ég
skartaði	sfg1eþ	skarta
.	.	.
Þó	aa	þó
mér	fp1eþ	ég
hafi	svg3en	hafa
fundist	ssm	finna
þetta	fahen	þessi
flott	lhensf	flottur
þá	aa	þá
,	,	,
þá	aa	þá
get	sfg1en	geta
ég	fp1en	ég
ekki	aa	ekki
annað	foheo	annar
sagt	ssg	segja
en	c	en
mér	fp1eþ	ég
detti	svg1en	detta
til	ae	til
hugar	nkee	hugur
rolla	nven	rolla
þegar	c	þegar
ég	fp1en	ég
skoði	svg1en	skoða
þær	fpvfo	hún
núna	aa	núna
.	.	.
En	c	en
svona	aa	svona
var	sfg3eþ	vera
nú	aa	nú
tískan	nveng	tíska
þá	aa	þá
.	.	.
Ég	fp1en	ég
kveð	sfg1en	kveða
ykkur	fp2fo	þú
í	ao	í
kútinn	nkeog	kútur
.	.	.
Svanfríður	nven-s	Svanfríður
Posted	e	Posted
by	e	by
Picasa	e	Picasa
Klukkan	nveng	klukka
er	sfg3en	vera
orðin	sþgven	verða
allt	fohen	allur
of	aa	of
margt	lhensf	margur
en	c	en
ég	fp1en	ég
bara	aa	bara
kem	sfg1en	koma
mér	fp1eþ	ég
ekki	aa	ekki
í	ao	í
háttinn	nkeog	háttur
,	,	,
til	ae	til
þess	fphee	það
er	sfg1en	vera
ég	fp1en	ég
allt	fohen	allur
of	aa	of
upprifin	lvensf	upprifinn
og	c	og
hefur	sfg3en	hafa
þetta	fahen	þessi
verið	ssg	vera
langur	lkensf	langur
dagur	nken	dagur
.	.	.
Í	ao	í
dag	nkeo	dagur
keyrðum	sfg1fþ	keyra
við	fp1fn	ég
yfir	ao	yfir
fylkismörkin	nhfog	fylkismörk
,	,	,
til	ae	til
Wisconsin	e	Wisconsin
til	ae	til
þess	fphee	það
að	cn	að
skoða	sng	skoða
Harley	e	Harley
Davidson	e	Davidson
verksmiðjuna	nveog	verksmiðja
.	.	.
Hún	fpven	hún
er	sfg3en	vera
risastór	lvensf	risastór
og	c	og
fyrir	ao	fyrir
Harley	e	Harley
elskendur	nkfo	elskandi
er	sfg3en	vera
þetta	fahen	þessi
paradís	nven	paradís
á	aþ	á
jörðu	nveþ	jörð
þannig	aa	þannig
að	c	að
gestirnir	nkfng	gestur
voru	sfg3fþ	vera
yfir	ao	yfir
sig	fpkfo	sig
kátir	lkfnsf	kátur
.	.	.
Þau	fphfn	það
fóru	sfg3fþ	fara
í	ao	í
skoðanaferð	nveo	skoðanaferð
um	ao	um
verksmiðjuna	nveog	verksmiðja
á	aa	á
meðan	c	meðan
við	fp1fn	ég
Eyjólfur	nken-s	Eyjólfur
lékum	sfg1fþ	leika
okkur	fp1fþ	ég
í	aþ	í
rokinu	nheþg	rok
úti	aa	úti
því	fpheþ	það
ungabörn	nhfn	ungabarn
eru	sfg3fn	vera
ekki	aa	ekki
leyfð	lhfnsf	leyfður
inn	aa	inn
á	ao	á
sjálft	fbheo	sjálfur
verksmiðjugólfið	nheog	verksmiðjugólf
.	.	.
Það	fphen	það
var	sfg3eþ	vera
allt	fohen	allur
í	aþ	í
lagi	nheþ	lag
,	,	,
ég	fp1en	ég
vissi	sfg1eþ	vita
alveg	aa	alveg
af	aþ	af
því	fpheþ	það
þannig	aa	þannig
að	c	að
við	fp1fn	ég
biðum	sfg1fþ	bíða
bara	aa	bara
róleg	lhfnsf	rólegur
eftir	ao	eftir
að	c	að
frænka	nven	frænka
og	c	og
co	e	co
kláruðu	svg3fþ	klára
sig	fphfo	sig
af	aa	af
og	c	og
sjaldan	aa	sjaldan
hefur	sfg3en	hafa
biðin	nveng	bið
farið	ssg	fara
illa	aa	illa
með	ao	með
mann	nkeo	maður
.	.	.
Ferðalagið	nheng	ferðalag
til	ae	til
Milwaukie	e	Milwaukie
var	sfg3eþ	vera
þó	aa	þó
svolítið	aa	svolítið
fróðleg	x	fróðlegur
en	c	en
mér	fp1eþ	ég
var	sfg3eþ	vera
blótað	sþghen	blóta
í	ao	í
fyrsta	lheove	fyrstur
sinn	nheo	sinn
á	aþ	á
ævinni	nveþg	ævi
af	aþ	af
lögregluþjóni	nkeþ	lögregluþjónn
!	!	!
Jájá	au	jájá
,	,	,
það	fpheo	það
held	sfg1en	halda
ég	fp1en	ég
nú	aa	nú
.	.	.
Hún	fpven	hún
öskraði	sfg3eþ	öskra
á	ao	á
mig	fp1eo	ég
;	;	;
what	e	what
the	e	the
f	x	f
.....	e	.....
are	e	are
you	e	you
doing	e	doing
?	?	?
Á	aþ	á
leiðinni	nveþg	leið
keyrðum	sfg1fþ	keyra
við	fp1fn	ég
nefnilega	aa	nefnilega
fram	aa	fram
á	ao	á
bílslys	nheo	bílslys
.	.	.
Bíllinn	nkeng	bíll
lá	sfg3eþ	liggja
klesstur	lkensf	klesstur
við	ao	við
steyptan	lkeosf	steyptur
vegg	nkeo	veggur
sem	ct	sem
skilur	sfg3en	skilja
akreinarnar	nvfog	akrein
að	aa	að
og	c	og
fórnarlambið	nheng	fórnarlamb
sat	sfg3eþ	sitja
við	ao	við
vegginn	nkeog	veggur
.	.	.
4	ta	4
lögreglubílar	nkfn	lögreglubíll
voru	sfg3fþ	vera
á	aþ	á
staðnum	nkeþg	staður
og	c	og
lögregluþjónarnir	nkfng	lögregluþjónn
allir	fokfn	allur
úti	aa	úti
til	ae	til
að	cn	að
hugsa	sng	hugsa
um	ao	um
fórnarlambið	nheog	fórnarlamb
og	c	og
stjórna	sng	stjórna
umferð	nveþ	umferð
.	.	.
Auðvitað	aa	auðvitað
var	sfg3eþ	vera
allt	fohen	allur
stopp	lhenof	stopp
.	.	.
Einn	tfken	einn
bíll	nken	bíll
var	sfg3eþ	vera
á	aa	á
undan	aþ	undan
mér	fp1eþ	ég
og	c	og
var	sfg3eþ	vera
lögreglukona	nven	lögreglukona
að	cn	að
stjórna	sng	stjórna
einhverju	foheþ	einhver
þarna	aa	þarna
-	-	-
Mér	fp1eþ	ég
fannst	sfm3eþ	finna
frekar	aam	frekar
eins	aa	eins
og	c	og
hún	fpven	hún
væri	svg3eþ	vera
í	aþ	í
stresskasti	nheþ	stresskast
og	c	og
vissi	svg3eþ	vita
varla	aa	varla
hvað	fsheo	hver
hún	fpven	hún
ætti	svg3eþ	eiga
að	cn	að
gera	sng	gera
.	.	.
Hún	fpven	hún
stendur	sfg3en	standa
þarna	aa	þarna
og	c	og
er	sfg3en	vera
að	cn	að
segja	sng	segja
mér	fp1eþ	ég
og	c	og
bílnum	nkeþg	bíll
á	aa	á
undan	aa	undan
að	cn	að
keyra	sng	keyra
áfram	aa	áfram
.	.	.
Bíllinn	nkeng	bíll
á	aa	á
undan	aþ	undan
mér	fp1eþ	ég
færist	sfm3en	færa
aðeins	aa	aðeins
úr	aþ	úr
stað	nkeþ	staður
,	,	,
sama	fbheo	sami
gerði	sfg1eþ	gera
ég	fp1en	ég
.	.	.
Allt	fohen	allur
í	aþ	í
einu	lheþsf	einn
öskrar	sfg3en	öskra
lögreglukonan	nveng	lögreglukona
á	ao	á
mig	fp1eo	ég
þessi	x	þessi
skemmtilegu	lveovf	skemmtilegur
setningu	nveo	setning
og	c	og
ég	fp1en	ég
vissi	sfg1eþ	vita
ekkert	foheo	enginn
hvað	fsheo	hver
ég	fp1en	ég
hefði	svg1eþ	hafa
gert	ssg	gera
vitlaust	aa	vitlaust
.	.	.
Í	aþ	í
því	fpheþ	það
kemur	sfg3en	koma
sjúkrabíllinn	nkeng	sjúkrabíll
á	aþ	á
fartinum	nkeþg	fartur
og	c	og
þá	aa	þá
föttuðum	sfg1fþ	fatta
við	fp1fn	ég
að	c	að
hún	fpven	hún
hefði	svg3eþ	hafa
verið	ssg	vera
að	cn	að
gefa	sng	gefa
honum	fpkeþ	hann
merki	nheo	merki
að	cn	að
koma	sng	koma
-	-	-
ekki	aa	ekki
mér	fp1eþ	ég
!	!	!
Það	fphen	það
var	sfg3eþ	vera
eftir	aþ	eftir
mér	fp1eþ	ég
að	cn	að
misskilja	sng	misskilja
það	fpheo	það
.	.	.
En	c	en
mér	fp1eþ	ég
varð	sfg3eþ	verða
svo	aa	svo
um	aa	um
þegar	c	þegar
hún	fpven	hún
öskraði	sfg3eþ	öskra
á	ao	á
mig	fp1eo	ég
að	c	að
ég	fp1en	ég
öskraði	sfg1eþ	öskra
bara	aa	bara
á	aa	á
móti	aa	móti
;	;	;
FYRIRGEFÐU	sbg2en	fyrirgefa
KONA	nven	kona
!	!	!
En	c	en
hún	fpven	hún
skildi	sfg3eþ	skilja
það	fpheo	það
nú	aa	nú
örugglega	aa	örugglega
ekki	aa	ekki
svo	aa	svo
ég	fp1en	ég
öskraði	sfg1eþ	öskra
aftur	aa	aftur
;	;	;
SORRY	e	SORRY
:	:	:
)	)	)
Þetta	fahen	þessi
var	sfg3eþ	vera
skondið	lhensf	skondinn
og	c	og
gat	sfg1eþ	geta
ég	fp1en	ég
ekki	aa	ekki
annað	foheo	annar
en	c	en
brosað	ssg	brosa
út	aa	út
í	ao	í
annað	foheo	annar
-	-	-
Ég	fp1en	ég
ætti	svg1eþ	eiga
ekki	aa	ekki
annað	foheo	annar
eftir	aa	eftir
en	c	en
að	cn	að
keyra	sng	keyra
inn	aa	inn
í	ao	í
hliðina	nveog	hlið
á	aþ	á
sjúkrabíl	nkeþ	sjúkrabíll
.	.	.
Mér	fp1eþ	ég
fannst	sfm3eþ	finna
ég	fp1en	ég
voða	nkee	voði
dugleg	lvensf	duglegur
að	cn	að
hafa	sng	hafa
keyrt	ssg	keyra
í	aþ	í
nágrannafylki	nheþ	nágrannafylki
okkar	fp1fe	ég
.	.	.
Mér	fp1eþ	ég
finnst	sfm3en	finna
það	fphen	það
eitthvað	fohen	einhver
miklu	lheþsf	mikill
meira	lhenvm	mikill
en	c	en
ég	fp1en	ég
geri	sfg1en	gera
vanalega	aa	vanalega
þó	aa	þó
aksturstíminn	nkeng	aksturstími
sé	svg3en	vera
ekki	aa	ekki
mikið	aa	mikið
lengri	lkenvm	langur
en	c	en
þegar	c	þegar
keyrt	sþghen	keyra
er	sfg3en	vera
frá	aþ	frá
mér	fp1eþ	ég
og	c	og
til	ae	til
Chicago	e	Chicago
.	.	.
Ég	fp1en	ég
hef	sfg1en	hafa
verið	ssg	vera
mjög	aa	mjög
spennt	lvensf	spenntur
í	ao	í
nokkra	fokfo	nokkur
daga	nkfo	dagur
yfir	aþ	yfir
þessu	faheþ	þessi
ferðalagi	nheþ	ferðalag
og	c	og
hef	sfg1en	hafa
sagt	ssg	segja
öllum	fokfþ	allur
sem	ct	sem
ég	fp1en	ég
hef	sfg1en	hafa
hitt	ssg	hitta
-	-	-
einnig	aa	einnig
manninum	nkeþg	maður
sem	ct	sem
afgreiddi	sfg3eþ	afgreiða
mig	fp1eo	ég
með	ao	með
vatnsflöskuna	nveog	vatnsflaska
í	aþ	í
sjoppunni	nveþg	sjoppa
í	ao	í
dag	nkeo	dagur
-	-	-
að	c	að
ég	fp1en	ég
væri	svg1eþ	vera
sko	aa	sko
að	cn	að
fara	sng	fara
til	ae	til
Wisconsin	e	Wisconsin
.	.	.
Mér	fp1eþ	ég
fannst	sfm3eþ	finna
næstum	aa	næstum
eins	aa	eins
og	c	og
ég	fp1en	ég
væri	svg1eþ	vera
að	cn	að
fara	sng	fara
til	ae	til
útlanda	nhfe	útland
:	:	:
)	)	)
Ég	fp1en	ég
vil	sfg1en	vilja
ólm	lvensf	ólmur
fara	sng	fara
aftur	aa	aftur
og	c	og
þá	aa	þá
lengra	aam	langt
inn	aa	inn
í	ao	í
fylkið	nheog	fylki
því	fpheþ	það
þarna	aa	þarna
er	sfg3en	vera
afskaplega	aa	afskaplega
fallegt	lhensf	fallegur
.	.	.
Öðruvísi	aa	öðruvísi
en	c	en
í	aþ	í
Illinois	e	Illinois
,	,	,
meira	lhenvm	mikill
land	nhen	land
og	c	og
fleiri	lhfnvm	margur
tré	nhfn	tré
.	.	.
Ég	fp1en	ég
sannfærði	sfg1eþ	sannfæra
Bert	e	Bert
að	c	að
helgarfrí	nhen	helgarfrí
í	aþ	í
tjaldi	nheþ	tjald
í	aþ	í
Wisconsins	e	Wisconsins
væri	svg3eþ	vera
þjóðráð	nhen	þjóðráð
...	...	...
ég	fp1en	ég
verð	sfg1en	verða
bara	aa	bara
að	cn	að
finna	sng	finna
tjaldsvæði	nheo	tjaldsvæði
með	aþ	með
læk	nkeþ	lækur
því	fpheþ	það
fátt	lhensf	fár
er	sfg3en	vera
betra	lhenvm	góður
en	c	en
að	cn	að
sofna	sng	sofna
við	ao	við
lækjarnið	nkeo	lækjarniður
á	aa	á
meðan	c	meðan
maður	nken	maður
kúrir	sfg3en	kúra
sig	fpkeo	sig
ofan	aa	ofan
í	ao	í
svefnpokann	nkeog	svefnpoki
í	aþ	í
tæru	lheþsf	tær
loftinu	nheþg	loft
.	.	.
Í	aa	í
gær	aa	gær
fórum	sfg1fþ	fara
við	fp1fn	ég
í	ao	í
dýragarðinn	nkeog	dýragarður
.	.	.
Ég	fp1en	ég
hef	sfg1en	hafa
ekki	aa	ekki
komið	ssg	koma
í	ao	í
dýragarð	nkeo	dýragarður
held	sfg1en	halda
ég	fp1en	ég
síðan	aa	síðan
í	aþ	í
Englandi	nheþ-s	England
1984	ta	1984
svo	aa	svo
ég	fp1en	ég
skemmti	sfg1eþ	skemmta
mér	fp1eþ	ég
konunglega	aa	konunglega
.	.	.
Við	fp1fn	ég
Eyjólfur	nken-s	Eyjólfur
vorum	sfg1fþ	vera
tekin	sþghfn	taka
traustataki	nheþ	traustatak
af	aþ	af
kengúru	nveþ	kengúra
sem	ct	sem
tróð	sfg3eþ	troða
okkur	fp1fþ	ég
í	ao	í
pokann	nkeog	poki
sinn	fekeo	sinn
.	.	.
Eyjólfi	nkeþ-s	Eyjólfur
leist	sfm3eþ	líta
ekkert	fohen	enginn
voða	nkee	voði
vel	aa	vel
á	aa	á
og	c	og
vildi	sfg3eþ	vilja
helst	aae	heldur
koma	sng	koma
sér	fpkeþ	sig
í	aa	í
burtu	aa	burtu
frá	aþ	frá
gúru	nveþ	gúra
kerlingunni	nveþg	kerling
.	.	.
Við	fp1fn	ég
sáum	sfg1fþ	sjá
fjöldan	x	fjöldi
allan	fokeo	allur
af	aþ	af
dýrum	nhfþ	dýr
og	c	og
mörg	lhfosf	margur
hafði	sfg1eþ	hafa
ég	fp1en	ég
aldrei	aa	aldrei
séð	ssg	sjá
áður	aa	áður
.	.	.
En	c	en
skemmtilegast	lhense	skemmtilegur
fannst	sfm3eþ	finna
mér	fp1eþ	ég
þó	aa	þó
að	cn	að
sjá	sng	sjá
górillurnar	nvfog	górilla
og	c	og
ein	tfven	einn
var	sfg3eþ	vera
að	cn	að
gefa	sng	gefa
unga	nkeþ	ungi
sínum	fekeþ	sinn
brjóst	nheo	brjóst
-	-	-
Hann	fpken	hann
var	sfg3eþ	vera
pínulítill	lkensf	pínulítill
og	c	og
hjálparvana	lkenof	hjálparvana
þar	aa	þar
sem	c	sem
hann	fpken	hann
tottaði	sfg3eþ	totta
brjóstið	nheog	brjóst
.	.	.
Fallegt	lhensf	fallegur
.	.	.
Hann	fpken	hann
hnoðaði	sfg3eþ	hnoða
brjóstið	nheog	brjóst
alveg	aa	alveg
eins	aa	eins
og	c	og
mannabörnin	nhfng	mannabarn
gera	sfg3fn	gera
og	c	og
mamman	nveng	mamma
var	sfg3eþ	vera
jafn	aa	jafn
blíð	lvensf	blíður
við	ao	við
apaungann	nkeog	apaungi
sinn	fekeo	sinn
eins	aa	eins
og	c	og
við	fp1fn	ég
erum	sfg1fn	vera
við	ao	við
okkar	fp1fe	ég
börn	nhfo	barn
.	.	.
Yndislegt	lhensf	yndislegur
.	.	.
Ég	fp1en	ég
ætlaði	sfg1eþ	ætla
varla	aa	varla
að	cn	að
geta	sng	geta
slitið	ssg	slíta
mig	fp1eo	ég
frá	aþ	frá
þessari	faveþ	þessi
sjón	nveþ	sjón
.	.	.
En	c	en
jæja	au	jæja
þá	aa	þá
.	.	.
Klukkan	nveng	klukka
er	sfg3en	vera
orðin	sþgven	verða
eitt	ta	eitt
eftir	ao	eftir
miðnætti	nheo	miðnætti
og	c	og
ég	fp1en	ég
ætla	sfg1en	ætla
að	cn	að
kveða	sng	kveða
ykkur	fp2fo	þú
í	ao	í
kútinn	nkeog	kútur
og	c	og
skríða	sng	skríða
upp	aa	upp
í	ao	í
gestarúm	nheo	gestarúm
til	ae	til
að	cn	að
lesa	sng	lesa
í	aþ	í
bókinni	nveþg	bók
minni	feveþ	minn
-	-	-
Lífsins	nheegs	Líf
tré	nheþ	tré
-	-	-
þar	aa	þar
sem	c	sem
fjallað	sþghen	fjalla
er	sfg3en	vera
