[ [
mgr. nveþ
 
Um ao
þær favfo
greiðslur nvfo
sem ct
eru sfg3fn
framleiðslutengdar lvfnsf
skal sfg3en
taka sng
mið nheo
af aþ
meðaltalsframleiðslu nveþ
síðustu lhfeve
þriggja tfhfe
ára nhfe
fyrir ao
röskun nveo
framleiðsluskilyrða nhfe
. .
 
Þó aa
er sfg3en
Matvælastofnun nven-s
heimilt lhensf
að cn
víkja sng
frá aþ
þessu faheþ
viðmiði nken
ef c
málefnalegar lvfnsf
ástæður nvfn
eru sfg3fn
fyrir aþ
því fpheþ
. .
 
Heimilt lhensf
er sfg3en
að cn
binda sng
ákvörðun nveo
um ao
fyrirgreiðslu nveo
því aa
skilyrði nheþ
að c
bætur nvfo
sem ct
framleiðandi lkenof
kann sfg3en
að cn
eiga sng
rétt aa
á sfg3en
frá aþ
þriðja lkeþvf
aðila nkeþ
renni svg3en
sem c
fyrirgreiðslunni nveþg
nemur sfg3en
í ao
ríkissjóð nkeo
. .
] ]
1 ta
) )
1 ta
) )
L. nhfe
 
102/2016 ta
, ,
9. ta
gr. nveo
 
33. ta
gr. nvee
… nhen
1 ta
) )
1 ta
) )
L. nhfe
 
160/2012 ta
, ,
2. ta
gr. nveo
, ,
sbr. as
og c
brbákv nhen
. .
 
í aþ
s.l. as
 
34. ta
gr. nvee
… nhen
1 ta
) )
1 ta
) )
L. nhfe
 
102/2016 ta
, ,
10. ta
gr. nveo
 
VIII. lkfnvm
 
kafli nken
. .
 
… nhen
1 ta
) )
1 ta
) )
L. nhfe
 
102/2016 ta
, ,
11. ta
gr. nveo
 
IX lkenvf
. .
 
kafli nken
. .
 
[ [
Um ao
starfsskilyrði nhfo
sauðfjárræktar nvee
2017 ta
– nhen
2026. ta
] ]
1 ta
) )
1 ta
) )
L. nhfe
 
102/2016 ta
, ,
18. ta
gr. nveo
 
36. ta
gr. nven
 
[ [
Markmið nhfn
með aþ
ákvæðum nhfþ
þessa fakfo
kafla nkfo
um ao
starfsskilyrði nhfo
sauðfjárræktar nvee
eru sfg3fn
: :
a. fohee
að cn
stuðla sng
að aþ
áframhaldandi lveþof
þróun nveþ
í aþ
greininni nveþg
og c
bættri lveþsf
afkomu nveþ
, ,
b. nheo
að cn
treysta sng
stoðir nvfo
sauðfjárræktar nvee
í aþ
byggða- nven
og c
atvinnulegu lheþsf
tilliti nheþ
, ,
c. x
að cn
auðvelda sng
nýliðun nveþ
og c
nauðsynleg lhfnsf
kynslóðaskipti nheþ
sem ct
tryggi sfg1en
að c
stuðningur nken
ríkisins nheeg
nýtist sfm3eþ
starfandi lkfþof
bændum nkfþ
á aþ
hverjum fokeþ
tíma nkeþ
, ,
d. nhfþ
að cn
stuðla sng
að aþ
fjölbreyttu lheþsf
framboði nheþ
gæðaafurða nvfe
á aþ
sanngjörnu nveþ
verði svg3en
fyrir aþ
neytendur nken
, ,
e. sfg3en
að cn
efla sng
gæðastýrða lveosf
sauðfjárframleiðslu nveo
og c
aðra fokfo
þætti nkfo
sem ct
henni fpveþ
tengjast snm
eins aa
og c
velferð nven
dýra lveosf
, ,
heilnæmi nheo
afurða nvfe
, ,
umhverfisvitund nveo
og c
sjálfbæra nkee
landnýtingu nveo
, ,
og c
f. ao
að cn
efla sng
markaðsstarf nheo
, ,
nýsköpun nveo
og c
markaðsvitund nveo
í aþ
sauðfjárrækt nveþ
. .
] ]
1 ta
) )
1 ta
) )
L. nhfe
 
102/2016 ta
, ,
12. ta
gr. nveo
 
37. ta
gr. nven
 
[ [
Á aþ
tímabilinu nheþg
frá aþ
1. ta
janúar nkeþ
2017 ta
til aa
31. ta
desember nken
2026 ta
greiðir sfg3en
íslenska lhenvf
ríkið nheng
framlög nhfn
til ae
sauðfjárræktar nvee
í aþ
samræmi nheþ
við ao
samning nkeo
skv. aþ
30. ta
gr. nveþ
 
Enginn foken
framleiðandi lkenof
getur sfg3en
fengið ssg
hærri lhfovm
heildarframlög nhfo
samkvæmt aþ
samningi nkeþ
um ao
starfsskilyrði nhfo
sauðfjárræktar nvee
en c
sem ct
nemur sfg3en
0,4% ta
af aþ
heildarframlögum nhfþ
hvers fohee
árs nhee
. .
] ]
1 ta
) )
1 ta
) )
L. nhfe
 
102/2016 ta
, ,
13. ta
gr. nveo
 
38. ta
gr. nven
 
[ [
Greiðslumark nven-s
skal sfg3en
bundið lhensf
við aþ
lögbýli nheþ
. .
 
[ [
[ [
Matvælastofnun nven-s
] ]
1 ta
) )
skal sfg3en
] ]
2 ta
) )
halda sng
skrá nveþ
yfir ao
rétthafa nhfe
greiðslumarks nhee
lögbýla nhfe
og c
handhafa nkfe
beingreiðslna sng
samkvæmt aþ
því fpheþ
. .
 
… nhen
3 ta
) )
[ [
Heimilt lhensf
er sfg3en
að cn
flytja sng
greiðslumark nheo
milli ae
lögbýla nhfe
[ [
til ae
31. ta
desember nkee
2020 ta
] ]
. .
 
3 ta
) )
Aðilaskipti nhfn-s
að aþ
greiðslumarki nheþ
taka sfg3fn
þó aa
ekki aa
gildi nheo
fyrr aam
en c
staðfesting nven
[ [
Matvælastofnunar nvee-s
] ]
1 ta
) )
liggur sfg3en
fyrir aa
. .
 
Framsal nkeþ
greiðslumarks nhee
skal sfg3en
taka sng
gildi nhen
1. ta
janúar nken
ár nhfo
hvert foheo
og c
beingreiðslur nvfn
greiðast sfm3fn
framsalshafa nhfe
frá aþ
sama fbkeþ
tíma nkeþ
. .
 
Tilkynna sng
skal sfg3en
[ [
Matvælastofnun nven-s
] ]
1 ta
) )
framsal nkeþ
fyrir ao
15. ta
janúar nkeo
ár nhfo
hvert foheo
vegna ae
beingreiðslna nvfe
fyrir ao
viðkomandi lhfoof
ár nhfo
. .
] ]
4 ta
) )
Sé sfg1en
ábúandi lkenof
annar foken
en c
eigandi nken
lögbýlis nhee
þarf sfg3en
samþykki svg1en
ábúanda nkeo
og c
eiganda nkeo
fyrir ao
framsali nkfo
greiðslumarks nhee
. .
 
[ [
Ábúanda nven-s
eða c
leigutaka nven
lögbýlis nhee
er sfg3en
heimilt lhensf
að cn
kaupa sng
greiðslumark nheo
til ae
skráningar nvee
á ao
lögbýlið nheog
. .
 
Skal sfg3en
slíkt fbhen
greiðslumark nhen
sérstaklega aa
skráð lhfnsf
á ao
nafn nheo
leiguliða nkfe
. .
 
Framsal nkeþ
á aþ
greiðslumarki nheþ
samkvæmt aþ
þessari faveþ
málsgrein nveþ
er sfg3en
heimilt lhensf
, ,
án ae
samþykkis nhee
jarðareiganda nkee
. .
 
Við ao
lok nhfo
ábúðar nvee
eða c
leigu nvee
á aþ
jarðareigandi lkeþof
þó aa
forkaupsrétt nkeo
að aþ
greiðslumarkinu nheþg
við ao
sölu nveo
þess fphee
. .
 
Skal sfg3en
slíkur fbken
forkaupsréttur nken
boðinn lkeosf
jarðareiganda nkeo
skriflega lkeosf
. .
 
Hafi svg3en
jarðareigandi lkenof
ekki aa
tilkynnt ssg
um ao
að c
hann fpken
hyggist svm3en
nýta sng
forkaupsrétt nveo
sinn fekeo
innan ae
tuttugu tfkfe
daga nkfe
frá aþ
því fpheþ
honum fpkeþ
barst sfm3eþ
slík fbven
tilkynning nven
er sfg3en
sala nven
á aþ
greiðslumarkinu nheþg
heimil lvensf
. .
] ]
5 ta
) )
[ [
Frá aþ
og c
með aþ
1. ta
janúar nkeþ
2026 ta
fellur sfg3en
greiðslumark nhen
úr aþ
gildi nheþ
. .
 
Greiðslumark nhen
sem ct
er sfg3en
óvirkt lhensf
í ao
þrjú tfhfo
ár nhfo
samfellt lhensf
á aþ
tímabilinu nheþg
1. ta
janúar nkeþ
2017 ta
til aa
31. ta
desember nkeo
2025 ta
fellur sfg3en
niður aa
. .
] ]
3 ta
) )
] ]
6 ta
) )
1 ta
) )
L. lkensf
 
167/2007 ta
, ,
56. ta
gr. nveo
2 ta
) )
L. nhfe
 
76/2005 ta
, ,
34. ta
gr. nveo
3 ta
) )
L. nhfe
 
102/2016 ta
, ,
14. ta
gr. nveo
4 ta
) )
L. nhfe
 
101/2002 ta
, ,
1. ta
gr. nveo
5 ta
) )
L. nhfe
 
58/2007 ta
, ,
5. ta
gr. nveo
6 ta
) )
L. nhfe
 
88/2000 ta
, ,
7. ta
gr. nveo
 
39. ta
gr. nven
 
[ [
[ [
Beingreiðslur nvfn-s
greiðast sfm3fn
úr aþ
ríkissjóði nkeþ
til ae
handhafa nkfe
í aþ
samræmi nheþ
við ao
greiðslumark nheo
hvers fohee
lögbýlis nhee
eins aa
og c
það fphen
er sfg3en
skráð sþghen
á aþ
hverjum fokeþ
tíma nkeþ
. .
] ]
1 ta
) )
Réttur nken
til ae
beingreiðslna nvfe
flyst sfm3en
milli ae
aðila nkfe
innan ae
lögbýlis nhee
við ao
ábúendaskipti nheo
og c
við ao
breytingu nveo
skráningar nvee
ef c
um ao
hjón nhfo
eða c
sambúðarfólk nheo
er sfg3en
að cn
ræða sng
. .
 
[ [
Til ae
að cn
fá sng
fullar lvfosf
beingreiðslur nvfo
til ae
1. ta
janúar nkee
2021 ta
þarf sfg3en
handhafi nkeþ
að cn
eiga sng
að aþ
lágmarki nheþ
0,7 ta
vetrarfóðraðar lvfosf
kindur nvfo
fyrir ao
hvert foheo
ærgildi nheo
greiðslumarks nhee
. .
] ]
2 ta
) )
Nái svg3en
ásetningur nken
ekki aa
því aa
lágmarki nheþ
skerðast ssm
beingreiðslur nvfn
hlutfallslega aa
. .
 
[ [
Ef c
greiðslumarki nheþ
lögbýlisins nheeg
er sfg3en
skipt sþghen
á aþ
fleiri lhfþvm
en c
einn tfkeo
rekstraraðila nkeo
skal sfg3en
miðað sþghen
við ao
greiðslumark nheo
og c
ásetning nkeo
hvers fokee
rekstraraðila nkee
fyrir ao
sig fpkeo
. .
] ]
1 ta
) )
Á aþ
lögbýlum nhfþ
þar aa
sem c
búfjárbeit nven
kemur sfg3en
í ao
veg nkeo
fyrir ao
eðlilega lveosf
framkvæmd nveo
uppgræðslu nveo
eða c
veldur sfg3en
of aa
miklu lheþsf
álagi nheþ
á ao
beitiland nheo
er sfg3en
ráðherra nken
heimilt lhensf
að cn
ákveða sng
lægra lheovm
ásetningshlutfall nheo
að aþ
fenginni lveþsf
umsögn nveþ
Landgræðslu nvee-s
ríkisins nheeg
og c
/ /
eða c
[ [
Skógræktarinnar nveegs
] ]
. .
 
3 ta
) )
Þá aa
getur sfg3en
ráðherra nken
ákveðið ssg
að cn
víkja sng
frá aþ
framangreindu lheþsf
ásetningshlutfalli nheþ
hjá aþ
framleiðendum nkfþ
sem ct
hafa sfg3fn
skorið ssg
niður ao
fé nheo
til ae
útrýmingar nvee
sjúkdómum nkfþ
. .
 
Falli nheþ
beingreiðslur nvfn
niður aa
án ae
þess fphee
að c
gerður sþgken
hafi svg3fn
verið ssg
samningur nken
um ao
búskaparlok nhfo
heldur c
viðkomandi lheþof
lögbýli nheþ
greiðslumarki nheþ
sínu feheþ
. .
 
Tilkynna sng
skal sfg3en
[ [
Matvælastofnun nven-s
] ]
4 ta
) )
um ao
búskaparáform nhfo
fyrir ao
15. ta
janúar nkeo
ár nhfo
hvert foheo
ef c
handhafi nkeþ
óskar sfg3en
eftir aa
að cn
fá sng
beingreiðslur nvfo
aftur aa
að aþ
loknu lheþsf
hléi nheþ
. .
 
Beingreiðslur nvfn
greiðast sfm3fn
handhafa nkfe
frá aþ
og c
með aþ
1. ta
janúar nkeþ
ár nhfo
hvert foheo
eftir aa
að aþ
hléi nheþ
lýkur sfg3en
. .
 
[ [
[ [
Matvælastofnun nven-s
] ]
4 ta
) )
getur sfg3en
ákveðið ssg
að aa
] ]
1 ta
) )
skerða lveosf
eða c
fella sng
niður aa
[ [
greiðslur nvfo
] ]
2 ta
) )
ef c
sauðfjárbóndi nken
gefur sfg3en
rangar lvfosf
upplýsingar nvfo
um ao
ásettan lkeosf
fjölda nkeo
sauðfjár nhee
eða c
stundar nvee
ólöglega lveosf
sölu nveo
eða c
dreifingu nveo
á aþ
kjöti nheþ
af aþ
heimaslátruðu lheþsf
sauðfé nheþ
eða c
brýtur sfg3en
á ao
annan fokeo
hátt aa
reglur nvfo
eða c
samningsbundin lhfosf
ákvæði nhfo
um ao
afsetningu nveo
afurða nvfe
. .
 
[ [
Handhafi nheþ-s
greiðslumarks nhee
getur sfg3en
óskað ssg
eftir aþ
innlausn nveþ
á aþ
greiðslumarki nheþ
frá aþ
1. ta
janúar nkeþ
2017 ta
til aa
31. ta
desember nkeo
2020 ta
. .
 
Við ao
innlausn nveo
greiðir sfg3en
ríkissjóður nken
handhafa nkfe
greiðslumarks nhee
núvirt lheosf
andvirði nhen
beingreiðslna sfg3fn
næsta lheove
almanaksár nheo
eftir ao
að c
innlausnar nvee
er sfg3en
óskað sþghen
. .
 
Matvælastofnun nven
skal sfg3en
sjá sng
um ao
framkvæmd nveo
innlausnar nvee
greiðslumarks nhee
. .
] ]
2 ta
) )
] ]
5 ta
) )
1 ta
) )
L. nhfe
 
58/2007 ta
, ,
6. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
15. ta
gr. nveo
3 ta
) )
L. nhfe
 
60/2016 ta
, ,
14. ta
gr. nveo
4 ta
) )
L. nhfe
 
167/2007 ta
, ,
56. ta
gr. nveo
5 ta
) )
L. nhfe
 
88/2000 ta
, ,
8. ta
gr. nveo
 
40. ta
gr. nvee
… nhen
1 ta
) )
1 ta
) )
L. nhfe
 
58/2007 ta
, ,
7. ta
gr. nveo
 
41. ta
gr. nven
 
[ [
Framleiðandi nken-s
sem ct
á aþ
tímabilinu nheþg
frá aþ
1. ta
janúar nkeþ
2017 ta
til aa
31. ta
desember nken
2026 ta
uppfyllir sfg3en
skilyrði nhfo
um ao
gæðastýrða lveosf
framleiðslu nveo
á ao
rétt nkeo
á aþ
sérstakri lveþsf
álagsgreiðslu nveþ
sem ct
greiða sng
skal sfg3en
fyrir ao
allt foheo
framleitt ssg
kindakjöt nheo
frá aþ
framleiðanda nkeþ
sem ct
uppfyllir sfg3en
kröfur nvfo
um ao
velferð nveo
búfjár nhee
, ,
sjálfbæra nkee
landnýtingu nveþ
og c
hollustu nvee
afurða nvfe
. .
 
Gæðastýrð lvensf
sauðfjárframleiðsla nven
skal sfg3en
m.a. as
ná sng
til ae
landnota nhfe
, ,
aðbúnaðar nkee
og c
umhverfis aa
, ,
skýrsluhalds nhee
, ,
jarðræktar nvee
, ,
fóðrunar nvee
, ,
heilsufars nhee
og c
lyfjanotkunar nvee
. .
 
Framleiðsluaðferðir nvfn
og c
framleiðsluaðstæður nvfn
skulu sfg3fn
skjalfestar lvfnsf
, ,
svo aa
sem aa
með aþ
landbótaáætlun nveþ
. .
] ]
1 ta
) )
… nhen
2 ta
) )
[ [
Ráðherra nken
er sfg3en
heimilt lhensf
að cn
gera sng
samninga nkfo
við ao
ríkisstofnanir nvfo
og c
/ /
eða c
einkaaðila nkfe
um ao
að cn
annast snm
verkefni nheo
við ao
úttekt nveo
og c
eftirlit nheo
á aþ
landi nheþ
sem ct
nýtt lheosf
er sfg3en
við ao
gæðastýrða nkeo
framleiðslu nveþ
. .
] ]
3 ta
) )
… nhen
1 ta
) )
… nhen
3 ta
) )
[ [
Tíðni nveþ
eftirlits nhee
með aþ
framleiðendum nkfþ
í aþ
gæðastýrðri lveþsf
sauðfjárframleiðslu nveþ
skal sfg3en
byggjast snm
á aþ
áhættuflokkun nveþ
, ,
að c
teknu lheþsf
tilliti nheþ
til ae
niðurstaðna nvfe
úr aþ
eftirliti nheþ
og c
samkvæmt aþ
eftirlitsáætlun nveþ
. .
] ]
1 ta
) )
Réttur nken
framleiðenda nkfe
til ae
gæðastýringargreiðslna nvfe
skv. aþ
1. ta
mgr. nveþ
fellur sfg3en
niður aa
uppfylli svg3en
þeir fakfn
ekki aa
skilyrði nhfo
um ao
gæðastýrða lveosf
sauðfjárframleiðslu nveo
samkvæmt aþ
lögum nhfþ
þessum fahfþ
og c
reglugerð nveþ
. .
] ]
4 ta
) )
[ [
Framleiðendur nkfn
sem ct
hafa sfg3fn
skorið ssg
niður ao
gemlinga nkfo
og c
fullorðið lheosf
sauðfé nheo
á aþ
býli nheþ
sínu feheþ
að aþ
kröfu nveþ
stjórnvalda nhfe
til aa
að c
varna nvfe
útbreiðslu nveo
sauðfjársjúkdóma nkfo
eiga sfg3fn
rétt aa
til ae
greiðslna nvfe
vegna ae
gæðastýrðrar lveesf
sauðfjárframleiðslu nvee
við ao
kaup nheo
á ao
allt foheo
að aþ
jafnmörgum lhfþsf
líflömbum nhfþ
til ae
endurnýjunar nvee
fjárstofnsins nkeeg
. .
 
Þessi faken
réttur nken
fellur sfg3en
niður aa
um ao
fyrstu lhfove
áramót nhfo
eftir ao
að c
liðin sþgven
eru sfg3fn
tvö tfhfn
ár nhen
síðan aa
heimilt lhensf
var sfg3eþ
að cn
taka sng
fé nheo
að aþ
nýju lheþsf
á ao
býlið nheog
. .
 
Við ao
ákvörðun nveo
greiðslna nvfe
skal sfg3en
miða sng
við ao
16 ta
kg nhfo
fallþunga nkee
. .
 
Óheimilt lhensf
er sfg3en
að cn
framselja sng
þennan fakeo
rétt aa
. .
 
… nhen
1 ta
) )
] ]
5 ta
) )
[ [
Framkvæmdanefnd nven-s
búvörusamninga nkfo
er sfg3en
heimilt lhensf
að cn
ákvarða sng
mismunandi lveoof
stuðla sng
í aþ
þeim fakeþ
tilgangi nkeþ
að cn
greiða sng
misháar lvfosf
álagsgreiðslur nvfo
á ao
einstaka lkfosf
flokka nkfo
lambakjöts nhee
og c
ærkjöts nhee
og c
vegna ae
mismunandi lkeeof
sláturtíma nkee
. .
] ]
1 ta
) )
1 ta
) )
L. nhfe
 
102/2016 ta
, ,
16. ta
gr. nveo
2 ta
) )
L. nhfe
 
46/2015 ta
, ,
4. ta
gr. nveo
3 ta
) )
L. nhfe
 
167/2007 ta
, ,
27. ta
gr. nveo
4 ta
) )
L. nhfe
 
58/2007 ta
, ,
8. ta
gr. nveo
5 ta
) )
L. nhfe
 
67/2009 ta
, ,
2. ta
gr. nveo
 
42. ta
– nhen
49. ta
gr. nvee
… nhen
1 ta
) )
1 ta
) )
L. nhfe
 
58/2007 ta
, ,
9. ta
– nhen
16. ta
gr. nven
 
[ [
50. ta
gr. nven
] ]
1 ta
) )
[ [
Allir fokfn
þeir fakfn
sem ct
hafa sfg3fn
greiðslumark nheo
til ae
ráðstöfunar nvee
eða c
hagnýtingar nvee
eða c
hafa sfg3fn
með aþ
höndum nvfþ
framleiðslu nvee
sauðfjárafurða nvfe
eru sfg3fn
háðir lkfnsf
þeim favfþ
breytingum nvfþ
á aþ
réttarstöðu nveþ
sem ct
lög nhfn
þessi fahfn
hafa sfg3fn
í aþ
för nveþ
með aþ
sér fphfþ
. .
] ]
2 ta
) )
… nhen
3 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
124/1995 ta
, ,
18. ta
gr. nveo
3 ta
) )
L. nhfe
 
102/2016 ta
, ,
17. ta
gr. nveo
 
X. sbg2en
kafli nken
. .
 
[ [
Um ao
starfsskilyrði nhfo
nautgriparæktar nvee
2017 ta
– nhen
2026. ta
] ]
1 ta
) )
1 ta
) )
L. nhfe
 
102/2016 ta
, ,
26. ta
gr. nveo
 
[ [
51. ta
gr. nven
] ]
1 ta
) )
[ [
Markmið nhen
ákvæða sng
þessa fakfo
kafla nkfo
um ao
starfsskilyrði nhfo
nautgriparæktar nvee
eru sfg3fn
: :
a. fohee
að c
almenn lhfnsf
starfsskilyrði nhfn
í aþ
framleiðslu nveþ
og c
vinnslu nveþ
nautgripaafurða nvfe
og c
stuðningur nken
ríkisins nheeg
við ao
greinina nveog
stuðli svg3en
að aþ
áframhaldandi lveþof
hagræðingu nveþ
, ,
bættri lvenvm
samkeppnishæfni nven
og c
lægra lheþvm
vöruverði nheþ
, ,
b. nheo
að cn
auðvelda sng
nýliðun nveþ
og c
nauðsynleg lhfnsf
kynslóðaskipti nheþ
sem ct
tryggi sfg1en
að c
stuðningur nken
ríkisins nheeg
nýtist sfm3eþ
starfandi lkfþof
bændum nkfþ
á aþ
hverjum fokeþ
tíma nkeþ
, ,
c. x
að cn
stuðla sng
að aþ
fjölbreyttu lheþsf
framboði nheþ
gæðaafurða nvfe
á aþ
sanngjörnu nveþ
verði svg3en
fyrir aþ
neytendur nken
, ,
d. nhen
að c
gætt sþghen
sé svg3en
sjónarmiða nhfe
um ao
velferð nveo
dýra lveosf
og c
heilnæmi nhen
afurða nvfe
, ,
e. sfg3en
að c
greinin nveng
fái svg3en
svigrúm nheo
til ae
að cn
búa sng
sig fpveo
undir ao
aukna lveosf
erlenda lveosf
samkeppni nveo
og c
skapa sng
aðstæður nvfo
til ae
að cn
nýta sng
sóknarfæri nheo
á aþ
erlendum lkfþsf
mörkuðum nkfþ
, ,
og c
f. x
að c
greinin nveng
geti svg3en
endurnýjað ssg
framleiðsluaðstöðu nveo
í aþ
samræmi nheþ
við ao
auknar lvfosf
kröfur nvfo
um ao
aðbúnað nkeo
og c
velferð nveo
dýra lvenvf
. .
] ]
2 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
19. ta
gr. nveo
 
[ [
52. ta
gr. nven
] ]
1 ta
) )
[ [
Heildargreiðslumark nken-s
mjólkur nken
er sfg3en
tiltekið lhensf
magn nhen
mjólkur nvfn
, ,
mælt sþghen
í aþ
lítrum nkfþ
, ,
sem ct
beingreiðslur nvfn
ríkissjóðs nkee
miðast sfm3fn
við aa
. .
 
Heildargreiðslumark nhen
mjólkur nvfn
skal sfg3en
ákveðið lhensf
… nhen
2 ta
) )
fyrir ao
upphaf nheo
hvers fohee
verðlagsárs nhee
. .
 
[ [
Við ao
ákvörðun nveo
þess fphee
skal sfg3en
byggt sþghen
á aþ
neyslu nveþ
innlendra lvfesf
mjólkurvara nven
sem ct
farið sþghen
hafa sfg3fn
um ao
afurðastöðvar nvfo
undanfarið aa
tólf tfhfo
mánaða nkfe
tímabil nhfo
og c
áætlun nveþ
Matvælastofnunar nvee-s
fyrir ao
komandi lheoof
verðlagsár nheo
, ,
að c
teknu lheþsf
tilliti nheþ
til ae
birgða nvfe
. .
 
Matvælastofnun nven
skal sfg3en
byggja sng
áætlun nveo
fyrir ao
komandi lheoof
verðlagsár nheo
á aþ
upplýsingum nvfþ
frá aþ
afurðastöðvum nvfþ
. .
] ]
3 ta
) )
Við ao
mat nkeo
á aþ
neyslu nveþ
og c
birgðum nvfþ
skal sfg3en
miða sng
við ao
gildandi lkfoof
stuðla nkfo
um ao
samsetningu nveo
mjólkurafurða nvfe
samkvæmt aþ
ákvörðun nveþ
Framkvæmdanefndar nvee-s
búvörusamninga nkfo
. .
 
Verði svg3en
sala nven
mjólkurafurða nvfe
undir aþ
heildargreiðslumarki nheþ
ársins nheeg
þannig aa
að c
birgðir nvfo
aukist svm3en
kemur sfg3en
mismunur nken
til ae
lækkunar nvee
á aþ
heildargreiðslumarki nheþ
næsta lheeve
árs nhee
. .
 
Á ao
sama fbkeo
hátt nkeo
hækkar sfg3en
heildargreiðslumark nhen
ef c
sala nven
eykst sfm3en
. .
 
Birgðir nvfn
sem ct
verða sfg3fn
til aa
vegna ae
framleiðslu nvee
einstakra lkfesf
mjólkurframleiðenda nkfe
umfram ao
heildargreiðslumark nheo
, ,
sbr. as
3. ta
mgr. nven
, ,
teljast snm
ekki aa
til ae
birgða nvfe
við ao
ákvörðun nveo
heildargreiðslumarks nhee
. .
 
… nhen
2 ta
) )
Framleiðsla nven
mjólkur nvfn
umfram ao
greiðslumark nheo
skal sfg3en
fara sng
á ao
erlendan lkeosf
markað nkeo
á aþ
ábyrgð nveþ
hvers fokee
framleiðanda nkee
og c
viðkomandi lvfoof
afurðastöðvar nvfo
. .
 
Framkvæmdanefnd nven
búvörusamninga nkfe
getur sfg3en
þó aa
heimilað ssg
sölu nvee
þessara favfe
vara nvfe
innan ae
lands nhee
ef c
heildarframleiðsla nven
verður sfg3en
minni lvenvm
en c
sala nven
og c
birgðastaða nkfe
gefa sfg3fn
tilefni nheo
til aa
. .
] ]
4 ta
) )
1 ta
) )
L. lhfosf
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
20. ta
gr. nveo
3 ta
) )
L. nhfe
 
46/2015 ta
, ,
5. ta
gr. nveo
4 ta
) )
L. nhfe
 
69/1998 ta
, ,
12. ta
gr. nveo
 
[ [
53. ta
gr. nven
] ]
1 ta
) )
[ [
Greiðslumark nven-s
skal sfg3en
bundið lhensf
við aþ
lögbýli nheþ
. .
 
Matvælastofnun nven
skal sfg3en
halda sng
skrá nveþ
yfir ao
greiðslumark nheo
lögbýla nhfe
og c
handhafa nkfe
réttar nkee
til ae
beingreiðslu nvee
samkvæmt aþ
því fpheþ
. .
 
Þó aa
er sfg3en
heimilt lhensf
þegar c
um ao
fleiri lkfovm
sjálfstæða lkfosf
aðila nkfo
er sfg3en
að cn
ræða sng
sem ct
standa sfg3fn
að aþ
búinu nheþg
að cn
skrá sng
þá aa
sérstaklega aa
. .
 
Handhafi nkeþ
greiðslumarks nhee
getur sfg3en
óskað ssg
eftir aþ
innlausn nveþ
á aþ
greiðslumarki nheþ
frá aþ
1. ta
janúar nkeþ
2017 ta
til aa
31. ta
desember nkeo
2019 ta
. .
 
Við ao
innlausn nveo
greiðir sfg3en
ríkissjóður nken
handhafa nkfe
greiðslumarks nhee
tvöfalt aa
núvirt lheosf
andvirði nheo
greiðslna nvfe
út aa
á ao
greiðslumark nheo
næsta lheove
almanaksár nheo
eftir ao
að c
innlausnar nvee
er sfg3en
óskað sþghen
. .
 
Greiðslumark nhen
sem ct
innleyst ssm
er ct
skal sfg3en
boðið nheng
til ae
sölu nvee
á aþ
sama fbheþ
verði nheþ
. .
 
Nýliðar nkfn
og c
framleiðendur nkfn
sem ct
hafa sfg3fn
framleitt ssg
a.m.k. as
10% ta
umfram ao
greiðslumark nheo
árin nhfog
2013 ta
– nhen
2015 ta
skulu sfg3fn
hafa sng
forgang nkeo
að aþ
kaupum nhfþ
upp aa
að aþ
tilteknu lheþsf
marki nheþ
samkvæmt aþ
reglugerð nveþ
. .
 
Ef c
innleyst ssm
greiðslumark nhen
selst sfm3en
ekki aa
þannig aa
að c
jöfnuður nken
verði svg3en
á aþ
innlausn nveþ
og c
sölu nveþ
skal sfg3en
því aa
mætt ssg
með ao
skerðingu nveo
á aþ
öðrum fohfþ
framlögum nhfþ
samkvæmt aþ
samningi nkeþ
um ao
starfsskilyrði nhfo
nautgriparæktar nvee
samkvæmt aþ
ákvörðun nveþ
framkvæmdanefndar nvee
búvörusamninga nkfo
. .
 
Matvælastofnun nven
skal sfg3en
sjá sng
um ao
framkvæmd nveo
innlausnar nvee
og c
sölu nvee
greiðslumarks nhee
. .
 
Greiðslumark nhen
þar aa
sem c
engin foven
framleiðsla nven
fer sfg3en
fram aa
í aþ
a.m.k. as
eitt tfheo
verðlagsár nheo
skal sfg3en
falla sng
niður aa
. .
] ]
2 ta
) )
1 ta
) )
L. lhensf
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
21. ta
gr. nveo
 
[ [
54. ta
gr. nven
] ]
1 ta
) )
[ [
Aðilaskipti nhfn-s
að aþ
greiðslumarki nheþ
eru sfg3fn
óheimil lhfnsf
frá aþ
1. ta
janúar nkeþ
2017 ta
. .
 
Þó aa
er sfg3en
heimil lvensf
tilfærsla nven
greiðslumarks nhee
milli ae
lögbýla nhfe
í aþ
eigu nveþ
sama fbkeþ
aðila nkeþ
. .
 
Tilfærsla nven
