Blómin	nhfng	blóm
vinna	sng	vinna
.	.	.
Svo	aa	svo
kom	sfg3eþ	koma
holskeflan	nveng	holskefla
og	c	og
Sigþrúður	nven-s	Sigþrúður
stóð	sfg3eþ	standa
hana	fpveo	hún
af	aþ	af
sér	fpveþ	sig
.	.	.
En	c	en
hún	fpven	hún
var	sfg3eþ	vera
illa	aa	illa
leikin	lvensf	leikinn
af	aþ	af
síldarátu	nveþ	síldaráta
.	.	.
Hægri	lvenvf	hægri
höndin	nveng	hönd
var	sfg3eþ	vera
ósár	lvensf	ósár
í	aþ	í
gúmmíhanskanum	nkeþg	gúmmíhanski
en	c	en
það	fphen	það
blæddi	sfg3eþ	blæða
úr	aþ	úr
hreifanum	nkeþg	hreifi
og	c	og
stórsá	sfg3eþ	stórsjá
á	aþ	á
honum	fpkeþ	hann
.	.	.
Hún	fpven	hún
hefði	svg3eþ	hafa
þurft	ssg	þurfa
að	cn	að
eiga	sng	eiga
gúmmíbelgvettling	nkeo	gúmmíbelgvettlingur
á	aþ	á
vinstri	lveovf	vinstri
,	,	,
reyndi	sfg3eþ	reyna
að	cn	að
nota	sng	nota
tvenna	lkfosf	tvennur
ullarvettlinga	nkfo	ullarvettlingur
hvorn	fokeo	hvor
utan	aa	utan
yfir	ao	yfir
annan	fokeo	annar
.	.	.
Þá	aa	þá
varð	sfg3eþ	verða
hún	fpven	hún
stirð	lvensf	stirður
og	c	og
missti	sfg3eþ	missa
niður	aa	niður
hraðann	nkeog	hraði
.	.	.
Hún	fpven	hún
kynntist	sfm3eþ	kynna
fáum	lkfþsf	fár
og	c	og
var	sfg3eþ	vera
eins	aa	eins
mikið	aa	mikið
útaf	aa	útaf
fyrir	ao	fyrir
sig	fpveo	sig
og	c	og
hægt	lhensf	hægur
var	sfg3eþ	vera
.	.	.
Einu	foheþ	einn
sinni	nheþ	sinn
lét	sfg3eþ	láta
hún	fpven	hún
samt	aa	samt
tilleiðast	snm	tilleiðast
að	cn	að
fara	sng	fara
með	aþ	með
stelpunum	nvfþg	stelpa
á	ao	á
landleguball	nheo	landleguball
.	.	.
Henni	fpveþ	hún
þótti	sfg3eþ	þykja
gaman	nhen	gaman
að	cn	að
hlusta	sng	hlusta
á	ao	á
hljómsveitina	nveog	hljómsveit
og	c	og
langaði	sfg3eþ	langa
til	ae	til
að	cn	að
dansa	sng	dansa
en	c	en
troðningurinn	nkeng	troðningur
varð	sfg3eþ	verða
fljótlega	aa	fljótlega
svo	aa	svo
mikill	lkensf	mikill
að	c	að
hún	fpven	hún
kom	sfg3eþ	koma
sér	fpveþ	sig
heim	aa	heim
.	.	.
Þegar	c	þegar
haustaði	sfg3eþ	hausta
og	c	og
síldin	nveng	síld
hvarf	sfg3eþ	hverfa
hélt	sfg3eþ	halda
hún	fpven	hún
áfram	aa	áfram
á	aþ	á
planinu	nheþg	plan
.	.	.
Þar	aa	þar
voru	sfg3fþ	vera
mörg	lhfnsf	margur
handtök	nhfn	handtak
eftir	aa	eftir
og	c	og
komið	ssg	koma
fram	aa	fram
undir	ao	undir
jól	nhfo	jól
þegar	c	þegar
ápökkun	nveþ	ápökkun
og	c	og
pæklun	nveþ	pæklun
lauk	sfg3eþ	ljúka
.	.	.
Tvisvar	aa	tvisvar
sinnum	nhfþ	sinn
var	sfg3eþ	vera
hún	fpven	hún
beðin	sþgven	biðja
um	ao	um
að	cn	að
koma	sng	koma
í	ao	í
vinnu	nveo	vinna
út	aa	út
á	ao	á
Sléttu	nveo-s	Slétta
þennan	fakeo	þessi
vetur	nkeo	vetur
en	c	en
afþakkaði	sfg3eþ	afþakka
í	ao	í
bæði	fohfo	báðir
skiptin	nhfog	skipti
.	.	.
Eftir	ao	eftir
sumarið	nheog	sumar
átti	sfg3eþ	eiga
Sigþrúður	nven-s	Sigþrúður
upphæð	nveo	upphæð
á	aþ	á
bankabók	nveþ	bankabók
.	.	.
Það	fphen	það
var	sfg3eþ	vera
ný	lvensf	nýr
tilvera	nven	tilvera
.	.	.
En	c	en
skammdegið	nheng	skammdegi
var	sfg3eþ	vera
svart	lhensf	svartur
og	c	og
tilhugsunin	nveng	tilhugsun
um	ao	um
drenginn	nkeog	drengur
ásótti	sfg3eþ	ásækja
hana	fpveo	hún
seint	aa	seint
og	c	og
snemma	aa	snemma
.	.	.
Litlu	lhfnvf	lítill
fötin	nhfng	fat
hans	fpkee	hann
höfðu	sfg3fþ	hafa
farið	ssg	fara
ofan	aa	ofan
í	ao	í
koffortið	nheog	koffort
.	.	.
Hún	fpven	hún
sá	sfg3eþ	sjá
hann	fpkeo	hann
fyrir	aþ	fyrir
sér	fpveþ	sig
í	aþ	í
fangi	nheþ	fang
læknisins	nkeeg	læknir
,	,	,
grannan	lkeosf	grannur
og	c	og
fínlegan	lkeosf	fínlegur
.	.	.
Sérstaklega	aa	sérstaklega
á	sfg3en	eiga
þetta	fahen	þessi
við	aa	við
um	ao	um
alþjóðamálið	nheog	alþjóðamál
,	,	,
praxisinn	nkeng	praxis
er	sfg3en	vera
svo	aa	svo
augljós	lkensf	augljós
,	,	,
með	aþ	með
því	fpheþ	það
einu	lheþsf	einn
að	cn	að
ávarpa	sng	ávarpa
náungann	nkeog	náungi
eða	c	eða
svara	sng	svara
spurningu	nveþ	spurning
hans	fpkee	hann
ertu	sfg2en	vera
að	cn	að
hrinda	sng	hrinda
hugsjóninni	nveþg	hugsjón
í	ao	í
framkvæmd	nveo	framkvæmd
:	:	:
hún	fpven	hún
virkar	sfg3en	virka
!	!	!
Í	aþ	í
júlí	nkeþ	júlí
1929	ta	1929
ferðast	sfm3en	ferðast
hann	fpken	hann
á	ao	á
alþjóðamót	nheo	alþjóðamót
sósíalista	nkfe	sósíalisti
í	aþ	í
Vín	nveþ-s	Vín
.	.	.
Fjöldinn	nkeng	fjöldi
er	sfg3en	vera
gríðarlegur	lkensf	gríðarlegur
,	,	,
hitinn	nkeng	hiti
líka	aa	líka
.	.	.
Alþjóðamálið	nheng	alþjóðamál
lætur	sfg3en	láta
hvarvetna	aa	hvarvetna
í	aþ	í
eyrum	nhfþ	eyra
,	,	,
á	aþ	á
götum	nvfþ	gata
úti	aa	úti
,	,	,
í	aþ	í
sporvögnum	nkfþ	sporvagn
,	,	,
á	aþ	á
kaffihúsum	nhfþ	kaffihús
.	.	.
Þórbergur	nken-s	Þórbergur
hefur	sfg3en	hafa
aldrei	aa	aldrei
verið	ssg	vera
eins	aa	eins
hamingjusamur	lkensf	hamingjusamur
.	.	.
Hann	fpken	hann
horfir	sfg3en	horfa
á	ao	á
afgreiðsludísina	nveog	afgreiðsludís
sigla	sng	sigla
á	aa	á
milli	ae	milli
borðanna	nhfeg	borð
á	aþ	á
Alþjóðakaffihúsinu	nheþgs	alþjóðakaffihús
og	c	og
hnykla	sng	hnykla
brýnnar	x	brýnn
á	aa	á
meðan	c	meðan
hún	fpven	hún
telur	sfg3en	telja
skiptimyntina	nveog	skiptimynt
upp	aa	upp
úr	aþ	úr
leðurpung	nkeþ	leðurpungur
sem	ct	sem
hún	fpven	hún
hefur	sfg3en	hafa
framan	aa	framan
á	aþ	á
kviðnum	nkeþg	kviður
.	.	.
Þau	fphfn	það
taka	sfg3fn	taka
tal	nheo	tal
saman	aa	saman
,	,	,
hún	fpven	hún
er	sfg3en	vera
ekki	aa	ekki
alveg	aa	alveg
ókunnug	lvensf	ókunnugur
esperantó	nheþ	esperantó
og	c	og
sest	sfm3en	setja
hjá	aþ	hjá
honum	fpkeþ	hann
þegar	c	þegar
hlé	nhen	hlé
verður	sfg3en	verða
á	aþ	á
afgreiðslu	nveþ	afgreiðsla
.	.	.
Hún	fpven	hún
heitir	sfg3en	heita
Fräulein	e	Fräulein
Wima	e	Wima
(	(	(
frb.	as	frb.
Víma	nven	víma
)	)	)
og	c	og
er	sfg3en	vera
að	aþ	að
sjálfsögðu	lheþsf	sjálfsagður
kommúnisti	nken	kommúnisti
,	,	,
hvernig	aa	hvernig
er	sfg3en	vera
annað	fohen	annar
hægt	lhensf	hægur
?	?	?
Í	aa	í
gær	aa	gær
hafði	sfg3eþ	hafa
hún	fpven	hún
ásamt	aþ	ásamt
fimmtíu	to	fimmtíu
þúsund	tfhfþ	þúsund
öðrum	fohfþ	annar
(	(	(
þar	aa	þar
með	aa	með
töldum	sfg1fþ	telja
Þórbergi	nkeþ-s	Þórbergur
)	)	)
tekið	ssg	taka
þátt	nkeo	þáttur
í	aþ	í
mótmælagöngu	nveþ	mótmælaganga
gegn	aþ	gegn
fasismanum	nkeþg	fasismi
.	.	.
Fasistar	nkfn	fasisti
eru	sfg3fn	vera
komnir	sþgkfn	koma
til	ae	til
valda	nhfe	vald
hinumegin	aa	hinumegin
við	ao	við
Alpana	nkfogs	Alpar
,	,	,
á	aþ	á
Ítalíu	nveþ-s	Ítalía
,	,	,
þar	aa	þar
sem	c	sem
hópar	nkfn	hópur
fara	sfg3fn	fara
um	aa	um
myrðandi	slg	myrða
vinstrimenn	nkfo	vinstrimaður
og	c	og
verkalýðsfulltrúa	nkfo	verkalýðsfulltrúi
með	aþ	með
þegjandi	lheþof	þegjandi
samþykki	nheþ	samþykki
stjórnvalda	nhfe	stjórnvald
og	c	og
afskiptaleysi	nheþ	afskiptaleysi
dómstóla	nkfe	dómstóll
.	.	.
Skoðanabræður	nkfn	skoðanabróðir
þeirra	fpkfe	hann
í	aþ	í
nágrannalandinu	nheþg	nágrannaland
,	,	,
Þýskalandi	nheþ-s	Þýskaland
,	,	,
fara	sfg3fn	fara
einnig	aa	einnig
mikinn	lkeosf	mikill
,	,	,
en	c	en
fengu	sfg3fþ	fá
duglega	lveosf	duglegur
ráðningu	nveo	ráðning
í	aþ	í
kosningunum	nvfþg	kosning
í	ao	í
fyrra	lheovm	fyrri
,	,	,
uppskáru	sfg3fþ	uppskera
þá	aa	þá
skitin	lhfosf	skitinn
2,6%	tp	2,6%
.	.	.
Sumarið	nheog	sumar
næsta	lheove	næsta
,	,	,
1930	ta	1930
,	,	,
er	sfg3en	vera
Þórbergur	nken-s	Þórbergur
enn	aa	enn
á	aþ	á
ferð	nveþ	ferð
,	,	,
tilefnið	nheng	tilefni
er	sfg3en	vera
norrænt	lhensf	norrænn
rithöfundaþing	nhen	rithöfundaþing
í	aþ	í
Osló	nveþ-s	Osló
.	.	.
Aðrir	fokfn	annar
íslenskir	lkfnsf	íslenskur
höfundar	nkfn	höfundur
eru	sfg3fn	vera
Gunnar	nken-s	Gunnar
Gunnarsson	nken-s	Gunnarsson
,	,	,
Halldór	nken-s	Halldór
Kiljan	nken-s	Kiljan
og	c	og
Kristmann	nken-s	Kristmann
Guðmundsson	nken-s	Guðmundsson
.	.	.
Gunnar	nken-s	Gunnar
er	sfg3en	vera
nafn	nhen	nafn
á	aþ	á
Norðurlöndum	nhfþ-s	Norðurlönd
,	,	,
skrifar	sfg3en	skrifa
á	aþ	á
dönsku	nveþ	danska
,	,	,
en	c	en
þýddur	lkensf	þýddur
á	ao	á
móðurmálið	nheog	móðurmál
,	,	,
sem	aa	sem
og	c	og
aðrar	fovfo	annar
Norður-Evróputungur	nvfo-s	Norður-Evróputunga
.	.	.
Hér	aa	hér
stendur	sfg3en	standa
hann	fpken	hann
á	aþ	á
hátindi	nkeþ	hátindur
ferils	nkee	ferill
síns	fekee	sinn
með	ao	með
hálendi	nheo	hálendi
Fjallkirkjunnar	nveegs	Fjallkirkja
að	aþ	að
baki	nheþ	bak
og	c	og
nýþornað	lheosf	nýþornaður
blek	nheo	blek
á	aþ	á
Svartfugli	nkeþ-s	Svartfugl
.	.	.
Hann	fpken	hann
er	sfg3en	vera
tvímælalaust	aa	tvímælalaust
sá	faken	sá
nútímahöfundur	nken	nútímahöfundur
íslenskur	lkensf	íslenskur
sem	ct	sem
hæst	aae	hátt
ber	sfg3en	bera
.	.	.
Kristmann	nken-s	Kristmann
skrifar	sfg3en	skrifa
á	aþ	á
norsku	nveþ	norska
og	c	og
hefur	sfg3en	hafa
náð	ssg	ná
að	cn	að
hasla	sng	hasla
sér	fpkeþ	sig
völl	nkeo	völlur
vítt	aa	vítt
um	ao	um
lönd	nhfo	land
með	aþ	með
ástarsögum	nvfþ	ástarsaga
sínum	fevfþ	sinn
,	,	,
Livets	e	Livets
morgen	e	morgen
kom	sfg3eþ	koma
út	aa	út
í	ao	í
fyrra	lheovm	fyrri
,	,	,
sú	faven	sá
af	aþ	af
bókum	nvfþ	bók
hans	fpkee	hann
sem	ct	sem
mesta	lveose	mikill
útbreiðslu	nveo	útbreiðsla
hefur	sfg3en	hafa
hlotið	ssg	hljóta
.	.	.
Þessir	fakfn	þessi
tveir	tfkfn	tveir
hljóta	sfg3fn	hljóta
að	cn	að
teljast	snm	telja
frægustu	lkfnve	frægur
höfundar	nkfn	höfundur
Íslands	nhee-s	Ísland
um	ao	um
þær	favfo	sá
mundir	nvfo	mund
og	c	og
höfðu	sfg3fþ	hafa
báðir	fokfn	báðir
gert	ssg	gera
erlenda	lveosf	erlendur
tungu	nveo	tunga
að	aþ	að
miðli	nkeþ	miðill
sínum	fekeþ	sinn
.	.	.
Og	c	og
svo	aa	svo
var	sfg3eþ	vera
einnig	aa	einnig
um	ao	um
Guðmund	nkeo-s	Guðmundur
Kamban	nkeo-s	Kamban
,	,	,
þetta	faheo	þessi
ár	nheo	ár
hóf	sfg3eþ	hefja
að	cn	að
koma	sng	koma
út	aa	út
á	aþ	á
dönsku	nveþ	danska
hans	fpkee	hann
stórbrotnasta	lvenve	stórbrotinn
skáldsaga	nven	skáldsaga
,	,	,
Skalholt	e	Skalholt
(	(	(
í	aþ	í
fjórum	tfhfþ	fjórir
bindum	nhfþ	bindi
)	)	)
.	.	.
Þórbergi	nkeþ-s	Þórbergur
hefði	svg3eþ	hafa
verið	ssg	vera
í	aþ	í
lófa	nkeþ	lófi
lagið	lheþsf	laginn
að	c	að
skálda	nhfe	skáld
á	aþ	á
alþjóðamálinu	nheþg	alþjóðamál
,	,	,
en	c	en
hann	fpken	hann
eins	aa	eins
og	c	og
Halldór	nken-s	Halldór
skrifar	sfg3en	skrifa
á	aþ	á
móðurmálinu	nheþg	móðurmál
.	.	.
Halldór	nken-s	Halldór
hefur	sfg3en	hafa
þegar	c	þegar
hér	aa	hér
er	sfg3en	vera
komið	sþghen	koma
bætt	ssg	bæta
Alþýðubókinni	nveþgs	Alþýðubók
(	(	(
1929	ta	1929
)	)	)
og	c	og
Kvæðakveri	nheþ-s	Kvæðakver
(	(	(
1930	ta	1930
)	)	)
við	ao	við
höfundarverk	nheo	höfundarverk
sitt	feheo	sinn
,	,	,
og	c	og
má	sfg3en	mega
kenna	sng	kenna
áhrif	nhfo	áhrif
frá	aþ	frá
Þórbergi	nkeþ-s	Þórbergur
í	aþ	í
báðum	fohfþ	báðir
þessum	fahfþ	þessi
verkum	nhfþ	verk
.	.	.
Þótt	c	þótt
titlarnir	nkfng	titill
séu	svg3fn	vera
ekki	aa	ekki
fleiri	lkfnvm	margur
er	sfg3en	vera
sýnt	sþghen	sýna
hvert	aa	hvert
stefnir	sfg3en	stefna
.	.	.
Hallbjörn	nken-s	Hallbjörn
Halldórsson	nken-s	Halldórsson
segir	sfg3en	segja
í	aþ	í
grein	nveþ	grein
um	ao	um
«	«	«
Ungu	lhfovf	ungur
skáldin	nhfog	skáld
»	»	»
í	aþ	í
Iðunni	nveþ-s	Iðunn
1929	ta	1929
:	:	:
...	...	...
úr	aþ	úr
þessu	faheþ	þessi
er	sfg3en	vera
alveg	aa	alveg
óhætt	lhensf	óhætt
að	cn	að
fara	sng	fara
að	cn	að
tala	sng	tala
um	ao	um
«	«	«
kiljanskan	lkeosf	kiljanskur
»	»	»
skáldskap	nkeo	skáldskapur
og	c	og
«	«	«
kiljanskt	lheosf	kiljanskur
»	»	»
bókmenntatímabil	nheo	bókmenntatímabil
með	aþ	með
Íslendingum	nkfþ-s	Íslendingur
,	,	,
því	fpheþ	það
að	c	að
þótt	c	þótt
ekki	aa	ekki
tilheyri	svg3en	tilheyra
því	fpheþ	það
enn	aa	enn
þá	aa	þá
nema	c	nema
hann	fpken	hann
einn	lkensf	einn
,	,	,
þá	aa	þá
liggur	sfg3en	liggja
þegar	aa	þegar
eftir	ao	eftir
hann	fpkeo	hann
,	,	,
þótt	c	þótt
hann	fpken	hann
sé	svg3en	vera
ekki	aa	ekki
nema	c	nema
tuttugu	tfhfe	tuttugu
og	c	og
sjö	tfhfe	sjö
ára	nhfe	ár
að	aþ	að
aldri	nkeþ	aldur
,	,	,
svo	aa	svo
mikið	lhensf	mikill
,	,	,
að	c	að
líklegt	lhensf	líklegur
er	sfg3en	vera
,	,	,
að	c	að
hann	fpken	hann
verði	svg3en	verða
lengst	aae	lengi
af	aa	af
öndvegishöldur	nken	öndvegishöldur
síns	fehee	sinn
tímabils	nhee	tímabil
,	,	,
hversu	aa	hversu
margir	lkfnsf	margur
eða	c	eða
miklir	lkfnsf	mikill
sem	ct	sem
leggjast	sfm3fn	leggja
í	ao	í
farveg	nkeo	farvegur
hans	fpkee	hann
.	.	.
166	ta	166
En	c	en
Þórbergur	nken-s	Þórbergur
sjálfur	fbken	sjálfur
,	,	,
hvar	aa	hvar
er	sfg3en	vera
hann	fpken	hann
staddur	lkensf	staddur
á	aþ	á
sínum	fekeþ	sinn
ferli	nkeþ	ferill
?	?	?
Að	aþ	að
baki	nheþ	bak
á	sfg3en	eiga
hann	fpkeo	hann
þrjár	tfvfo	þrír
ljóðabækur	nvfo	ljóðabók
,	,	,
sem	ct	sem
þó	aa	þó
eru	sfg3fn	vera
strangt	aa	strangt
til	aa	til
tekið	sþghen	taka
aðeins	aa	aðeins
tvær	tfvfn	tveir
þar	aa	þar
sem	c	sem
Hvítir	lkfnsf	hvítur
hrafnar	nkfn	hrafn
(	(	(
1925	ta	1925
)	)	)
var	sfg3eþ	vera
endurútgáfa	nven	endurútgáfa
á	aþ	á
hinum	favfþ	hinn
tveimur	tfvfþ	tveir
,	,	,
með	aþ	með
litlum	lvfþsf	lítill
viðbótum	nvfþ	viðbót
.	.	.
Sex	tfhfn	sex
ár	nhfn	ár
eru	sfg3fn	vera
liðin	sþghfn	líða
frá	aþ	frá
því	fpheþ	það
að	c	að
Bréfið	nhengs	Bréf
kom	sfg3eþ	koma
út	aa	út
og	c	og
undir	aþ	undir
því	faheþ	sá
Steinafjalli	nheþ-s	Steinafjall
,	,	,
ásamt	aþ	ásamt
ritdeiluskriðum	nvfþ	ritdeiluskriða
,	,	,
stendur	sfg3en	standa
hann	fpken	hann
enn	aa	enn
.	.	.
Þess	fphee	það
utan	ae	utan
hefur	sfg3en	hafa
hann	fpken	hann
þýtt	ssg	þýða
og	c	og
annast	ssm	anna
útgáfu	nveo	útgáfa
á	aþ	á
tveimur	tfhfþ	tveir
ritum	nhfþ	rit
um	ao	um
indverska	lveosf	indverskur
heimspeki	nveo	heimspeki
.	.	.
Á	aþ	á
þessari	faveþ	þessi
rithöfundasamkundu	nveþ	rithöfundasamkunda
hefur	sfg3en	hafa
hann	fpken	hann
verið	ssg	vera
hálfgerður	lkensf	hálfgerður
vonarpeningur	nken	vonarpeningur
,	,	,
í	aþ	í
seinni	lveþvm	seinn
merkingu	nveþ	merking
þess	fahee	sá
orðs	nhee	orð
.	.	.
167	ta	167
Enn	aa	enn
kemur	sfg3en	koma
nýtt	lhensf	nýr
sumar	nhen	sumar
,	,	,
1931	ta	1931
.	.	.
Og	c	og
enn	aa	enn
lætur	sfg3en	láta
Þórbergur	nken-s	Þórbergur
niður	aa	niður
í	ao	í
töskur	nvfo	taska
og	c	og
sér	sfg3en	sjá
Reykjavík	nveo-s	Reykjavík
síga	sng	síga
í	ao	í
sæ	nkeo	sær
.	.	.
«	«	«
Yndislega	aa	yndislega
fögur	lvensf	fagur
sigling	nven	sigling
út	ao	út
Faxaflóa	nkeo-s	Faxaflói
.	.	.
Sléttur	lkensf	sléttur
sjór	nken	sjór
.	.	.
Kvöldroði	nken	kvöldroði
.	.	.
Sólin	nveng	sól
settist	sfm3eþ	setja
í	ao	í
hvilftina	nveog	hvilft
hjá	aþ	hjá
Snæfellsjökli	nkeþ-s	Snæfellsjökull
.	.	.
»	»	»
168	ta	168
Hann	fpken	hann
kemur	sfg3en	koma
til	ae	til
Hamborgar	nvee-s	Hamborg
og	c	og
nú	aa	nú
hefur	sfg3en	hafa
heldur	aam	heldur
betur	aam	vel
skipt	ssg	skipta
um	aa	um
.	.	.
Í	aþ	í
kosningunum	nvfþg	kosning
í	ao	í
fyrra	lheovm	fyrri
(	(	(
1930	ta	1930
)	)	)
höfðu	sfg3fþ	hafa
nasistar	nkfn	nasisti
næstum	aa	næstum
því	fpheþ	það
þrefaldað	ssg	þrefalda
þingmannafjölda	nkeo	þingmannafjöldi
sinn	fekeo	sinn
,	,	,
úr	aþ	úr
38	ta	38
þingmönnum	nkfþ	þingmaður
í	aþ	í
107	ta	107
.	.	.
Enda	c	enda
hafði	sfg3eþ	hafa
tala	nven	tala
atvinnulausra	lkfesf	atvinnulaus
hækkað	ssg	hækka
sem	ct	sem
því	fpheþ	það
nam	sfg3eþ	nema
og	c	og
ráðaleysi	nhen	ráðaleysi
stjórnvalda	nhfe	stjórnvald
algert	lhensf	alger
.	.	.
Frá	aþ	frá
Hamborg	nveþ-s	Hamborg
tekur	sfg3en	taka
Þórbergur	nken-s	Þórbergur
lest	nveo	lest
til	ae	til
Ommen	e	Ommen
í	aþ	í
Hollandi	nheþ-s	Holland
þar	aa	þar
sem	c	sem
guðspekingar	nkfn	guðspekingur
halda	sfg3fn	halda
mót	nheo	mót
.	.	.
Þarna	aa	þarna
hittir	sfg3en	hitta
hann	fpken	hann
sendinefnd	nveo	sendinefnd
íslenskra	lkfesf	íslenskur
guðspekinga	nkfe	guðspekingur
sem	ct	sem
í	aa	í
eru	sfg3fn	vera
Aðalbjörg	nven-s	Aðalbjörg
Sigurðardóttir	nven-s	Sigurðardóttir
og	c	og
systurnar	nvfng	systir
Unnur	nven-s	Unnur
og	c	og
Kristín	nven-s	Kristín
Thoroddsen	nven-s	Thoroddsen
.	.	.
Stjarna	nven	stjarna
mótsins	nheeg	mót
og	c	og
aðalræðumaður	nken	aðalræðumaður
er	sfg3en	vera
sjálfur	fbken	sjálfur
Krishnamurti	e	Krishnamurti
.	.	.
Þau	fahfn	sá
tíðindi	nhfn	tíðindi
hafa	sfg3fn	hafa
gerst	ssm	gera
síðan	c	síðan
við	fp1fn	ég
sáum	sfg1fþ	sjá
hann	fpkeo	hann
síðast	aae	síðar
að	c	að
hann	fpken	hann
hefur	sfg3en	hafa
snúið	ssg	snúa
baki	nheþ	bak
við	aþ	við
umboðsmönnum	nkfþ	umboðsmaður
sínum	fekfþ	sinn
,	,	,
Annie	e	Annie
Besant	e	Besant
,	,	,
Leadbeater	e	Leadbeater
og	c	og
því	faheþ	sá
liði	nheþ	lið
öllu	foheþ	allur
og	c	og
hafnað	ssg	hafna
guðdómi	nkeþ	guðdómur
sínum	fekeþ	sinn
.	.	.
Og	c	og
rifjast	sfm3fn	rifja
nú	aa	nú
enn	aa	enn
upp	aa	upp
ummæli	nhfn	ummæli
heimspekingsins	nkeeg	heimspekingur
Hegel	e	Hegel
,	,	,
um	ao	um
að	c	að
sagan	nveng	saga
endurtaki	svg3en	endurtaka
sig	fpveo	sig
alltaf	aa	alltaf
tvisvar	aa	tvisvar
,	,	,
og	c	og
viðbót	nven	viðbót
lærisveinsins	nkeeg	lærisveinn
Marx	e	Marx
:	:	:
í	ao	í
fyrra	lheovm	fyrri
skiptið	nheog	skipti
sem	ct	sem
harmleikur	nken	harmleikur
,	,	,
hið	gheo	hinn
síðara	lheovm	síðari
sem	c	sem
farsi	nken	farsi
.	.	.
Því	fpheþ	það
æðstuprestarnir	nkfng	æðstiprestur
ofsóttu	sfg3fþ	ofsækja
Krist	nkeo-s	Kristur
fyrir	ao	fyrir
að	cn	að
segjast	snm	segja
vera	sng	vera
guð	nken	guð
,	,	,
en	c	en
meistararnir	nkfng	meistari
eru	sfg3fn	vera
æfir	lkfnsf	æfur
út	aa	út
í	ao	í
Krishnamurti	e	Krishnamurti
af	aþ	af
því	fpheþ	það
að	c	að
hann	fpken	hann
frábiður	sfg3en	frábiðja
sér	fpkeþ	sig
að	cn	að
vera	sng	vera
guð	nken	guð
!	!	!
Þar	aa	þar
fyrir	aa	fyrir
hefur	sfg3en	hafa
Krishnamurti	e	Krishnamurti
ekki	aa	ekki
hætt	ssg	hætta
boðun	nveþ	boðun
,	,	,
þvert	aa	þvert
á	aa	á
móti	aa	móti
nú	aa	nú
fyrst	aae	fyrr
fundið	ssg	finna
sína	feveo	sinn
rödd	nveo	rödd
.	.	.
Eiginlega	aa	eiginlega
er	sfg3en	vera
hann	fpken	hann
Lúther	nken-s	Lúther
innan	ae	innan
guðspekinnar	nveeg	guðspeki
,	,	,
guðdómurinn	nkeng	guðdómur
er	sfg3en	vera
fyrir	aþ	fyrir
honum	fpkeþ	hann
í	aþ	í
milliliðalausu	lheþsf	milliliðalaus
sambandi	nheþ	samband
við	ao	við
hvern	fokeo	hver
og	c	og
einn	fokeo	einn
,	,	,
það	fphen	það
þarf	sfg3en	þurfa
enga	foveo	enginn
kirkju	nveo	kirkja
,	,	,
engan	fokeo	enginn
gúrú	nkeo	gúrú
,	,	,
aðeins	aa	aðeins
að	cn	að
ljúka	sng	ljúka
upp	aa	upp
sálu	nveþ	sála
sinni	feveþ	sinn
.	.	.
Milli	ae	milli
þess	fahee	sá
sem	ct	sem
hann	fpken	hann
heldur	sfg3en	halda
ræður	nvfo	ræða
svarar	sfg3en	svara
hann	fpken	hann
fyrirspurnum	nvfþ	fyrirspurn
frá	aþ	frá
áheyrendum	nkfþ	áheyrandi
.	.	.
Og	c	og
sum	fohfn	sumur
svörin	nhfng	svar
koma	sfg3fn	koma
vægast	aae	vægt
sagt	ssg	segja
á	ao	á
óvart	lheosf	óvar
,	,	,
eins	aa	eins
og	c	og
þegar	c	þegar
einn	tfken	einn
viðstaddra	lkfesf	viðstaddur
spyr	sfg3en	spyrja
hann	fpkeo	hann
út	aa	út
í	ao	í
líkindi	nhfo	líkindi
með	aþ	með
kenningu	nveþ	kenning
hans	fpkee	hann
og	c	og
Búdda	nkee-s	Búdda
og	c	og
Krishnamurti	e	Krishnamurti
svarar	sfg3en	svara
:	:	:
«	«	«
Það	fpheo	það
hef	sfg1en	hafa
ég	fp1en	ég
ekki	aa	ekki
hugmynd	nveo	hugmynd
um	ao	um
,	,	,
ég	fp1en	ég
hef	sfg1en	hafa
aldrei	aa	aldrei
lesið	ssg	lesa
Búdda	nkeo-s	Búdda
.	.	.
»	»	»
Þórbergur	nken-s	Þórbergur
fær	sfg3en	fá
fund	nkeo	fundur
með	aþ	með
Krishnamurti	e	Krishnamurti
ásamt	aþ	ásamt
Aðalbjörgu	nveþ-s	Aðalbjörg
og	c	og
Kristínu	nveþ-s	Kristín
Thoroddsen	nveþ-s	Thoroddsen
.	.	.
Og	c	og
nú	aa	nú
er	sfg3en	vera
ekkert	fohen	enginn
«	«	«
vertu	sbg2en	vera
frammi	aa	frammi
,	,	,
góði	lkenvf	góður
»	»	»
,	,	,
Þórbergur	nken-s	Þórbergur
er	sfg3en	vera
með	ao	með
langan	lkeosf	langur
lista	nkeo	listi
af	aþ	af
spurningum	nvfþ	spurning
sem	ct	sem
hann	fpken	hann
brennur	sfg3en	brenna
í	aþ	í
skinninu	nheþg	skinn
að	cn	að
fá	sng	fá
svör	nhfo	svar
við	aa	við
,	,	,
til	ae	til
dæmis	nhee	dæmi
:	:	:
«	«	«
Hver	fsven	hver
af	aþ	af
þeim	favfþ	sá
aðalstjórnmálastefnum	nvfþ	aðalstjórnmálastefna
sem	ct	sem
nú	aa	nú
