gefin	sþgven	gefa
1999	ta	1999
)	)	)
.	.	.
Sumum	fokfþ	sumur
getur	sfg3en	geta
til	ae	til
dæmis	nhee	dæmi
reynst	ssm	reyna
vel	aa	vel
að	cn	að
nota	sng	nota
hjálpartæki	nhfo	hjálpartæki
ástarlífsins	nheeg	ástarlíf
.	.	.
Ef	c	ef
í	ao	í
ljós	nheo	ljós
kemur	sfg3en	koma
að	c	að
parið	nheng	par
hefur	sfg3en	hafa
notað	ssg	nota
eina	tfveo	einn
stellingu	nveo	stelling
má	sfg3en	mega
skoða	sng	skoða
þann	fakeo	sá
möguleika	nkeo	möguleiki
að	cn	að
prófa	sng	prófa
aðrar	fovfo	annar
stellingar	nvfo	stelling
.	.	.
Ef	c	ef
konan	nveng	kona
er	sfg3en	vera
ofan	aa	ofan
á	aa	á
getur	sfg3en	geta
snípörvun	nven	snípörvun
orðið	ssg	verða
meiri	lvenvm	mikill
og	c	og
hún	fpven	hún
nær	sfg3en	ná
að	cn	að
stjórna	sng	stjórna
kynmökunum	nhfþg	kynmök
betur	aam	vel
.	.	.
Mörg	lhfnsf	margur
önnur	fohfn	annar
ráð	nhfn	ráð
hafa	sfg3fn	hafa
verið	ssg	vera
gefin	sþghfn	gefa
varðandi	slg	varða
fullnæginguna	nveog	fullnæging
og	c	og
fer	sfg3en	fara
það	fphen	það
eftir	aþ	eftir
einstaklingum	nkfþ	einstaklingur
hvað	fshen	hver
á	sfg3en	eiga
við	aa	við
hverju	foheþ	hver
sinni	nheþ	sinn
.	.	.
Það	fahen	sá
sem	ct	sem
hentar	sfg3en	henta
einum	fokeþ	einn
hentar	sfg3en	henta
kannski	aa	kannski
ekki	aa	ekki
öðrum	fokeþ	annar
.	.	.
Þannig	aa	þannig
verður	sfg3en	verða
hver	foken	hver
og	c	og
einn	foken	einn
að	cn	að
finna	sng	finna
það	faheo	sá
sem	ct	sem
á	sfg3en	eiga
við	ao	við
hann	fpkeo	hann
með	aþ	með
hjálp	nveþ	hjálp
kynlífsráðgjafa	nkfe	kynlífsráðgjafi
eða	c	eða
meðferðaraðila	nkfe	meðferðaraðili
.	.	.
Á	aþ	á
vefsíðunni	nveþg	vefsíða
SexualHealth.com	v	sexualhealth.com
má	sfg3en	mega
finna	sng	finna
nánari	lvfovm	náinn
ráðleggingar	nvfo	ráðlegging
um	ao	um
leiðir	nvfo	leið
til	ae	til
að	cn	að
auka	sng	auka
líkur	nvfo	líkur
á	aþ	á
fullnægingu	nveþ	fullnæging
.	.	.
Þar	aa	þar
telur	sfg3en	telja
Cynthia	e	Cynthia
Lief	e	Lief
Ruberg	e	Ruberg
ráðgjafi	nken	ráðgjafi
upp	aa	upp
20	ta	20
ráð	nhfo	ráð
til	ae	til
að	cn	að
ná	sng	ná
fullnægingu	nveþ	fullnæging
.	.	.
Fjallar	sfg3en	fjalla
hún	fpven	hún
þar	aa	þar
um	ao	um
leiðir	nvfo	leið
sem	ct	sem
varða	sfg3fn	varða
andlega	lveosf	andlegur
og	c	og
tilfinningalega	lveosf	tilfinningalegur
vellíðan	nveo	vellíðan
og	c	og
líkamlega	lkfosf	líkamlegur
þætti	nkfo	þáttur
.	.	.
Sjá	sng	sjá
einnig	aa	einnig
svar	nheo	svar
sama	fbkee	sami
höfundar	nkee	höfundur
við	aþ	við
spurningunni	nveþg	spurning
Hvað	fshen	hver
er	sfg3en	vera
fullnæging	nven	fullnæging
?	?	?
Hvers	fshee	hver
vegna	ae	vegna
hafna	sfg3fn	hafna
konur	nvfn	kona
kynlífi	nheþ	kynlíf
tímabundið	aa	tímabundið
fyrir	aa	fyrir
eða	c	eða
eftir	ao	eftir
blæðingar	nvfo	blæðing
?	?	?
Upplýsingar	nvfn	upplýsing
um	ao	um
kynlífshegðun	nveo	kynlífshegðun
fólks	nhee	fólk
gefa	sfg3fn	gefa
okkur	fp1fþ	ég
ekki	aa	ekki
tilefni	nheo	tilefni
til	ae	til
að	cn	að
ætla	sng	ætla
að	c	að
konur	nvfn	kona
hafni	svg3fn	hafna
almennt	aa	almennt
kynlífi	nheþ	kynlíf
fyrir	aa	fyrir
eða	c	eða
eftir	ao	eftir
blæðingar	nvfo	blæðing
.	.	.
Konur	nvfn	kona
eru	sfg3fn	vera
með	ao	með
mismunandi	lvfoof	mismunandi
þrár	nvfo	þrá
og	c	og
langanir	nvfo	löngun
til	ae	til
kynlífs	nhee	kynlíf
sem	ct	sem
tengjast	sfm3fn	tengja
margvíslegum	lkfþsf	margvíslegur
þáttum	nkfþ	þáttur
sem	ct	sem
reynt	sþghen	reyna
verður	sfg3en	verða
að	cn	að
minnast	snm	minna
á	aa	á
í	aþ	í
þessu	faheþ	þessi
svari	nheþ	svar
en	c	en
fyrst	aae	fyrr
mun	sfg1en	munu
ég	fp1en	ég
fjalla	sng	fjalla
um	ao	um
blæðingar	nvfo	blæðing
og	c	og
viðhorf	nhfo	viðhorf
til	ae	til
þeirra	fpvfe	hún
.	.	.
Hvað	fshen	hver
varðar	sfg3en	varða
blæðingar	nvfo	blæðing
almennt	aa	almennt
og	c	og
tengsl	nhfo	tengsl
þeirra	fpvfe	hún
við	ao	við
kynlíf	nheo	kynlíf
þá	aa	þá
var	sfg3eþ	vera
áður	aa	áður
fyrr	aam	fyrr
talið	sþghen	telja
að	c	að
konan	nveng	kona
væri	svg3eþ	vera
óhrein	lvensf	óhreinn
á	aa	á
meðan	c	meðan
hún	fpven	hún
hefði	svg3eþ	hafa
blæðingar	nvfo	blæðing
.	.	.
Kemur	sfg3en	koma
það	fphen	það
fram	aa	fram
í	aþ	í
gömlum	lvfþsf	gamall
íslenkum	lvfþsf	íslenkur
heimildum	nvfþ	heimild
að	c	að
fólk	nhen	fólk
trúði	sfg3eþ	trúa
þessu	faheþ	þessi
svo	aa	svo
mjög	aa	mjög
að	c	að
það	fphen	það
taldi	sfg3eþ	telja
að	c	að
það	fphen	það
gæti	svg3eþ	geta
jafnvel	aa	jafnvel
eignast	ssm	eigna
óheilbrigt	lheosf	óheilbrigður
barn	nheo	barn
ef	c	ef
það	fphen	það
hefði	svg3eþ	hafa
kynmök	nhfo	kynmök
á	aþ	á
blæðingatíma	nkeþ	blæðingatími
.	.	.
Í	aþ	í
Biblíunni	nveþgs	Biblía
,	,	,
Mósebók	nveþ-s	Mósebók
15	ta	15
kemur	sfg3en	koma
fram	aa	fram
:	:	:
Nú	aa	nú
hefur	sfg3en	hafa
kona	nven	kona
rennsli	nheo	rennsli
(	(	(
tíðablæðingar	nvfo	tíðablæðing
)	)	)
og	c	og
rennslið	nheng	rennsli
úr	aþ	úr
holdi	nheþ	hold
hennar	fpvee	hún
er	sfg3en	vera
blóð	nhen	blóð
þá	aa	þá
skal	sfg3en	skulu
hún	fpven	hún
vera	sng	vera
saurug	lvensf	saurugur
í	ao	í
sjö	tfkfo	sjö
daga	nkfo	dagur
og	c	og
hver	foken	hver
sem	ct	sem
snertir	sfg3en	snerta
hana	fpveo	hún
skal	sfg3en	skulu
vera	sng	vera
óhreinn	lkensf	óhreinn
til	ae	til
kvelds	nhee	kveld
.	.	.
Síðar	aam	síðar
segir	sfg3en	segja
:	:	:
Og	c	og
ef	c	ef
einhver	foken	einhver
samrekkir	sfg3en	samrekkja
henni	fpveþ	hún
og	c	og
tíðablóð	nhen	tíðablóð
hennar	fpvee	hún
kemur	sfg3en	koma
á	ao	á
hann	fpkeo	hann
þá	aa	þá
er	sfg3en	vera
hann	fpken	hann
óhreinn	lkensf	óhreinn
sjö	tfkfo	sjö
daga	nkfo	dagur
,	,	,
og	c	og
hver	foven	hver
sú	faven	sá
hvíla	nven	hvíla
skal	sfg3en	skulu
óhrein	lvensf	óhreinn
vera	sng	vera
,	,	,
er	ct	er
hann	fpken	hann
liggur	sfg3en	liggja
í	aa	í
.	.	.
Ruth	e	Ruth
Westheimer	e	Westheimer
(	(	(
1986	ta	1986
)	)	)
kemur	sfg3en	koma
inn	aa	inn
á	ao	á
ýmsar	fovfo	ýmis
goðsagnir	nvfo	goðsögn
gagnvart	aþ	gagnvart
tíðablæðingum	nvfþ	tíðablæðing
.	.	.
Dæmi	nhfn	dæmi
um	ao	um
þær	fpvfo	hún
eru	sfg3fn	vera
að	c	að
ef	c	ef
kona	nven	kona
bakar	sfg3en	baka
köku	nveo	kaka
fellur	sfg3en	falla
kakan	nveng	kaka
,	,	,
hárlagning	nven	hárlagning
helst	sfm3en	halda
ekki	aa	ekki
,	,	,
konan	nveng	kona
verði	svg3en	verða
að	cn	að
liggja	sng	liggja
í	aþ	í
rúminu	nheþg	rúm
á	aa	á
meðan	c	meðan
á	aþ	á
blæðingum	nvfþ	blæðing
stendur	sfg3en	standa
og	c	og
sá	faken	sá
karlmaður	nken	karlmaður
sem	ct	sem
hefur	sfg3en	hafa
kynmök	nhfo	kynmök
við	ao	við
konu	nveo	kona
sem	ct	sem
er	sfg3en	vera
með	ao	með
blæðingar	nvfo	blæðing
verði	svg3en	verða
getulaus	lkensf	getulaus
eða	c	eða
geldur	lkensf	geldur
(	(	(
Westheimer	e	Westheimer
,	,	,
1986	ta	1986
)	)	)
.	.	.
Nútímaþekking	nven	nútímaþekking
segir	sfg3en	segja
okkur	fp1fþ	ég
að	c	að
kynlíf	nhen	kynlíf
sé	svg3en	vera
hættulaust	lhensf	hættulaus
meðan	c	meðan
á	aþ	á
blæðingum	nvfþ	blæðing
stendur	sfg3en	standa
.	.	.
Hver	foken	hver
einstaklingur	nken	einstaklingur
hefur	sfg3en	hafa
sínar	fevfo	sinn
sérstöku	lvfovf	sérstakur
langanir	nvfo	löngun
og	c	og
þrár	nvfo	þrá
.	.	.
Það	fphen	það
er	sfg3en	vera
því	aa	því
mjög	aa	mjög
mismunandi	lhenof	mismunandi
hvenær	aa	hvenær
löngun	nven	löngun
til	ae	til
kynlífs	nhee	kynlíf
vaknar	sfg3en	vakna
og	c	og
hvenær	aa	hvenær
ekki	aa	ekki
.	.	.
Rannsóknir	nvfn	rannsókn
á	aþ	á
tengslum	nhfþ	tengsl
kynhormóna	nhfe	kynhormón
kvenna	nvfe	kona
(	(	(
östrógens	nhee	östrógen
og	c	og
prógesteróns	nhee	prógesterón
)	)	)
á	aþ	á
mismunandi	lkfþof	mismunandi
tímum	nkfþ	tími
tíðahringsins	nkeeg	tíðahringur
og	c	og
kynlífsvirkni	nvee	kynlífsvirkni
hafa	sfg3fn	hafa
sýnt	ssg	sýna
fram	aa	fram
á	ao	á
mismunandi	lvfoof	mismunandi
niðurstöður	nvfo	niðurstaða
.	.	.
Sumar	fovfn	sumur
rannsóknir	nvfn	rannsókn
hafa	sfg3fn	hafa
sýnt	ssg	sýna
fram	aa	fram
á	ao	á
að	c	að
konan	nveng	kona
hafi	svg3en	hafa
mesta	lveose	mikill
kynlöngun	nveo	kynlöngun
í	aa	í
kringum	ao	kringum
egglos	nheo	egglos
en	c	en
aðrar	fovfn	annar
rannsóknir	nvfn	rannsókn
að	c	að
það	fphen	það
eigi	svg3en	eiga
sér	fpheþ	sig
stað	nkeo	staður
fyrir	aa	fyrir
eða	c	eða
eftir	ao	eftir
blæðingar	nvfo	blæðing
.	.	.
Enn	aa	enn
aðrar	fovfn	annar
rannsóknir	nvfn	rannsókn
hafa	sfg3fn	hafa
gefið	ssg	gefa
tilefni	nheo	tilefni
til	ae	til
að	cn	að
ætla	sng	ætla
að	c	að
mesta	lvenve	mikill
kynlöngunin	nveng	kynlöngun
sé	svg3en	vera
á	aþ	á
öllum	fohfþ	allur
þessum	fahfþ	þessi
tímabilum	nhfþ	tímabil
(	(	(
sjá	sng	sjá
í	aþ	í
Van	e	Van
Goozen	e	Goozen
,	,	,
Wiegan	e	Wiegan
,	,	,
Endert	e	Endert
,	,	,
Helmond	e	Helmond
og	c	og
Van	e	Van
de	e	de
Poll	e	Poll
,	,	,
1997	ta	1997
)	)	)
.	.	.
Abplanalp	e	Abplanalp
o.fl.	as	o.fl.
(	(	(
1979	ta	1979
)	)	)
fengu	sfg3fþ	fá
þær	favfo	sá
niðurstöður	nvfo	niðurstaða
að	c	að
kynlíf	nhen	kynlíf
fólks	nhee	fólk
hefði	svg3eþ	hafa
jafna	lveosf	jafn
dreifingu	nveo	dreifing
yfir	ao	yfir
tíðahringinn	nkeog	tíðahringur
og	c	og
tengdist	svm3eþ	tengja
ekki	aa	ekki
magni	nheþ	magn
kynhormóna	nhfe	kynhormón
kvenna	nvfe	kona
(	(	(
sjá	sng	sjá
í	aþ	í
Van	e	Van
Goozen	e	Goozen
,	,	,
Wiegan	e	Wiegan
,	,	,
Endert	e	Endert
,	,	,
Helmond	e	Helmond
og	c	og
Van	e	Van
de	e	de
Poll	e	Poll
,	,	,
1997	ta	1997
)	)	)
.	.	.
Nýleg	lvensf	nýlegur
vitneskja	nven	vitneskja
hefur	sfg3en	hafa
rennt	ssg	renna
stoðum	nvfþ	stoð
undir	ao	undir
það	fpheo	það
að	c	að
karlhormón	nhen	karlhormón
(	(	(
androgen	e	androgen
)	)	)
skipti	svg3en	skipta
líklega	aa	líklega
meira	lheþvm	mikill
máli	nheþ	mál
en	c	en
kvenhormónið	nheng	kvenhormón
östrogen	nxen	östrogen
fyrir	ao	fyrir
kynlífsvirkni	nveo	kynlífsvirkni
kvenna	nvfe	kona
.	.	.
Rannsókn	nven	rannsókn
Van	e	Van
Goozen	e	Goozen
o.fl.	as	o.fl.
(	(	(
1997	ta	1997
)	)	)
sýndi	sfg3eþ	sýna
að	c	að
magn	nhen	magn
karlhormónsins	nheeg	karlhormón
testosteróns	nhee	testosterón
var	sfg3eþ	vera
tengt	sþghen	tengja
kynlöngun	nveþ	kynlöngun
og	c	og
kynlífsvirkni	nveþ	kynlífsvirkni
.	.	.
Það	fphen	það
virðist	sfm3en	virða
vera	sng	vera
algengara	lhenvm	algengur
að	cn	að
skoða	sng	skoða
kynlífsáhuga	nkeo	kynlífsáhugi
kvenna	nvfe	kona
fyrir	ao	fyrir
blæðingar	nvfo	blæðing
en	c	en
eftir	ao	eftir
þær	fpvfo	hún
.	.	.
Þær	favfn	sá
rannsóknir	nvfn	rannsókn
byggjast	sfm3fn	byggja
á	aþ	á
því	fpheþ	það
að	cn	að
skoða	sng	skoða
svokallaða	lveosf	svokallaður
fyrirtíðaspennu	nveo	fyrirtíðaspenna
(	(	(
premenstrual	e	premenstrual
syndrome	e	syndrome
)	)	)
.	.	.
Rannsókn	nven	rannsókn
Van	e	Van
Goozen	e	Goozen
o.fl.	as	o.fl.
(	(	(
1997	ta	1997
)	)	)
sýndi	sfg3eþ	sýna
að	c	að
þær	favfn	sá
konur	nvfn	kona
sem	ct	sem
voru	sfg3fþ	vera
með	ao	með
fyrirtíðarspennu	nveo	fyrirtíðarspenna
fannst	sfm3eþ	finna
þær	fpvfn	hún
hafa	sng	hafa
mesta	lveose	mikill
löngun	nveo	löngun
til	ae	til
kynlífs	nhee	kynlíf
á	aþ	á
miðju	lheþsf	miður
tíðatímabili	nheþ	tíðatímabil
en	c	en
konur	nvfn	kona
sem	ct	sem
ekki	aa	ekki
höfðu	sfg3fþ	hafa
einkenni	nhfo	einkenni
fyrirtíðaspennu	nvee	fyrirtíðaspenna
höfðu	sfg3fþ	hafa
mesta	lveose	mikill
kynlöngun	nveo	kynlöngun
fyrir	ao	fyrir
blæðingar	nvfo	blæðing
.	.	.
Miriam	nven-s	Miriam
Stoppard	e	Stoppard
(	(	(
1992	ta	1992
)	)	)
nefnir	sfg3en	nefna
margar	lvfosf	margur
ástæður	nvfo	ástæða
þess	fphee	það
að	c	að
kona	nven	kona
hafi	svg3en	hafa
ekki	aa	ekki
áhuga	nkeo	áhugi
á	aþ	á
kynlífi	nheþ	kynlíf
.	.	.
Það	fphen	það
geta	sfg3fn	geta
verið	ssg	vera
neikvæð	lhfnsf	neikvæður
viðhorf	nhfn	viðhorf
til	ae	til
kynlífs	nhee	kynlíf
sem	ct	sem
byggjast	sfm3fn	byggja
á	aþ	á
uppeldislegum	lkfþsf	uppeldislegur
þáttum	nkfþ	þáttur
þar	aa	þar
sem	c	sem
lögð	sþgven	leggja
hefur	sfg3en	hafa
verið	ssg	vera
áhersla	nven	áhersla
á	ao	á
það	fpheo	það
að	c	að
kynlíf	nhen	kynlíf
væri	svg3eþ	vera
eitthvað	fohen	einhver
óhreint	lhensf	óhreinn
eða	c	eða
dónalegt	lhensf	dónalegur
.	.	.
Það	fphen	það
getur	sfg3en	geta
stafað	ssg	stafa
af	aþ	af
þekkingarskorti	nkeþ	þekkingarskortur
á	aþ	á
kynlífi	nheþ	kynlíf
sem	ct	sem
hindrað	ssg	hindra
getur	sfg3en	geta
eðlilega	lveosf	eðlilegur
löngun	nveo	löngun
til	ae	til
kynlífs	nhee	kynlíf
.	.	.
Eins	aa	eins
getur	sfg3en	geta
erfið	lvensf	erfiður
kynlífsreynsla	nven	kynlífsreynsla
í	aþ	í
uppvexti	nkeþ	uppvöxtur
valdið	ssg	valda
því	fpheþ	það
að	c	að
konan	nveng	kona
á	sfg3en	eiga
erfitt	lheosf	erfiður
með	ao	með
að	cn	að
gefa	sng	gefa
sig	fpveo	sig
að	aþ	að
kynlífi	nheþ	kynlíf
.	.	.
Jafnframt	aa	jafnframt
hefur	sfg3en	hafa
það	fphen	það
sýnt	ssg	sýna
sig	fpheo	sig
við	ao	við
meðferð	nveo	meðferð
kynlífsvandamála	nhfe	kynlífsvandamál
að	c	að
það	fahen	sá
sem	ct	sem
hamlar	sfg3en	hamla
fólki	nheþ	fólk
að	cn	að
lifa	sng	lifa
eðlilegu	lheþsf	eðlilegur
kynlífi	nheþ	kynlíf
er	sfg3en	vera
að	c	að
það	fphen	það
hefur	sfg3en	hafa
ekki	aa	ekki
getað	ssg	geta
rætt	ssg	ræða
á	ao	á
eðlilegan	lkeosf	eðlilegur
hátt	nkeo	háttur
við	ao	við
maka	nkeo	maki
/	/	/
vin	nkeo	vinur
sinn	fekeo	sinn
um	ao	um
kynlífið	nheog	kynlíf
.	.	.
Til	ae	til
þess	fphee	það
að	cn	að
vita	sng	vita
nægjanlega	aa	nægjanlega
vel	aa	vel
hvað	fsheo	hver
hinn	faken	hinn
aðilinn	nkeng	aðili
vill	sfg3en	vilja
þarf	sfg3en	þurfa
fólk	nhen	fólk
að	cn	að
geta	sng	geta
rætt	ssg	ræða
saman	aa	saman
um	ao	um
langanir	nvfo	löngun
,	,	,
tilfinningar	nvfo	tilfinning
og	c	og
það	faheo	sá
sem	ct	sem
það	fphen	það
vill	sfg3en	vilja
ekki	aa	ekki
í	aþ	í
kynlífi	nheþ	kynlíf
.	.	.
Góð	lhfnsf	góður
tjáskipti	nhfn	tjáskipti
um	ao	um
kynlíf	nheo	kynlíf
eru	sfg3fn	vera
grundvallaratriði	nhfn	grundvallaratriði
fyrir	ao	fyrir
gott	lheosf	góður
kynlíf	nheo	kynlíf
.	.	.
Er	sfg3en	vera
hollt	lhensf	hollur
að	cn	að
stunda	sng	stunda
kynlíf	nheo	kynlíf
?	?	?
Kynlíf	nhen	kynlíf
er	sfg3en	vera
heilsusamlegt	lhensf	heilsusamlegur
svo	aa	svo
framarlega	aa	framarlega
sem	c	sem
það	fphen	það
byggist	sfm3en	byggja
á	aþ	á
eðlilegum	lhfþsf	eðlilegur
samskiptum	nhfþ	samskipti
,	,	,
er	sfg3en	vera
tilfinningalega	aa	tilfinningalega
gefandi	lhenof	gefandi
,	,	,
er	sfg3en	vera
innan	ae	innan
þeirra	fahfe	sá
marka	nhfe	mark
sem	ct	sem
einstaklingurinn	nkeng	einstaklingur
setur	sfg3en	setja
sér	fpkeþ	sig
og	c	og
skaðar	sfg3en	skaða
hann	fpkeo	hann
ekki	aa	ekki
á	ao	á
nokkurn	fokeo	nokkur
hátt	nkeo	háttur
andlega	aa	andlega
né	c	né
líkamlega	aa	líkamlega
.	.	.
Að	cn	að
lifa	sng	lifa
heilbrigðu	lheþsf	heilbrigður
kynlífi	nheþ	kynlíf
felur	sfg3en	fela
í	aþ	í
sér	fpheþ	sig
að	c	að
einstaklingurinn	nkeng	einstaklingur
finnur	sfg3en	finna
fyrir	aþ	fyrir
andlegri	lveþsf	andlegur
og	c	og
líkamlegri	lveþsf	líkamlegur
vellíðan	nveþ	vellíðan
.	.	.
Sú	faven	sá
vellíðan	nven	vellíðan
gefur	sfg3en	gefa
fólki	nheþ	fólk
orku	nveo	orka
og	c	og
lífsgleði	nveo	lífsgleði
.	.	.
Hér	aa	hér
á	aþ	á
landi	nheþ	land
hefur	sfg3en	hafa
umfjöllun	nven	umfjöllun
um	ao	um
kynlíf	nheo	kynlíf
mikið	aa	mikið
verið	ssg	vera
bundin	sþgven	binda
við	ao	við
vandamálahliðar	nvfo	vandamálahlið
þess	fphee	það
.	.	.
Í	aþ	í
kennslu	nveþ	kennsla
,	,	,
til	ae	til
dæmis	nhee	dæmi
í	aþ	í
háskóla	nkeþ	háskóli
,	,	,
kemur	sfg3en	koma
í	ao	í
ljós	nheo	ljós
að	c	að
vandamál	nhfn	vandamál
kynlífsins	nheeg	kynlíf
reynast	sfm3fn	reyna
nemendum	nkfþ	nemandi
mun	nkeþ	munur
hugstæðari	lhfnvm	hugstæður
en	c	en
hin	faven	hinn
hliðin	nveng	hlið
er	ct	er
lýtur	sfg3en	lúta
að	aþ	að
heilbrigði	nheþ	heilbrigði
þess	fphee	það
.	.	.
Nemendur	nkfn	nemandi
eru	sfg3fn	vera
sjaldnast	aae	sjaldan
í	aþ	í
vandræðum	nhfþ	vandræði
með	ao	með
að	cn	að
nefna	sng	nefna
þætti	nkfo	þáttur
eins	aa	eins
og	c	og
kynferðislegt	lheosf	kynferðislegur
ofbeldi	nheo	ofbeldi
,	,	,
vændi	nheo	vændi
,	,	,
klám	nheo	klám
og	c	og
kynsjúkdóma	nkfo	kynsjúkdómur
en	c	en
geta	sfg3fn	geta
vart	aa	vart
nefnt	ssg	nefna
nokkurt	foheo	nokkur
atriði	nheo	atriði
þegar	c	þegar
kemur	sfg3en	koma
að	aþ	að
umræðu	nveþ	umræða
um	ao	um
heilbrigt	lheosf	heilbrigður
kynlíf	nheo	kynlíf
.	.	.
Miðað	sþghen	miða
við	ao	við
umfjöllun	nveo	umfjöllun
á	aþ	á
alþjóðlegum	lhfþsf	alþjóðlegur
þingum	nhfþ	þing
má	sfg3en	mega
segja	sng	segja
að	c	að
umræða	nven	umræða
um	ao	um
heilbrigt	lheosf	heilbrigður
kynlíf	nheo	kynlíf
sé	svg3en	vera
lengst	aae	lengi
á	ao	á
veg	nkeo	vegur
komin	sþgven	koma
í	aþ	í
Evrópu	nveþ-s	Evrópa
og	c	og
Ameríku	nveþ-s	Ameríka
.	.	.
Í	aþ	í
þeirri	faveþ	sá
umræðu	nveþ	umræða
er	sfg3en	vera
gjarnan	aa	gjarnan
lögð	sþgven	leggja
áhersla	nven	áhersla
á	ao	á
kynlífs-	nheo	kynlífsheilbrigði
og	c	og
frjósemisheilbrigði	nheo	frjósemisheilbrigði
(	(	(
sexual	e	sexual
and	e	and
reproductive	e	reproductive
health	e	health
)	)	)
þar	aa	þar
sem	c	sem
þessir	fakfn	þessi
tveir	tfkfn	tveir
þættir	nkfn	þáttur
eru	sfg3fn	vera
nátengdir	lkfnsf	nátengdur
.	.	.
En	c	en
hvað	fshen	hver
er	sfg3en	vera
þá	aa	þá
heilbrigt	lhensf	heilbrigður
kynlíf	nhen	kynlíf
?	?	?
Í	aþ	í
þessu	faheþ	þessi
svari	nheþ	svar
verður	sfg3en	verða
byggt	sþghen	byggja
á	aþ	á
alþjóðlegri	lveþsf	alþjóðlegur
umræðu	nveþ	umræða
um	ao	um
þetta	faheo	þessi
málefni	nheo	málefni
,	,	,
skýrslu	nveþ	skýrsla
vinnuhóps	nkee	vinnuhópur
um	ao	um
kynheilbrigði	nheo	kynheilbrigði
,	,	,
leiðbeiningum	nvfþ	leiðbeining
frá	aþ	frá
SIECUS	as	SIECUS
og	c	og
reynslu	nveþ	reynsla
af	aþ	af
því	fpheþ	það
að	cn	að
vinna	sng	vinna
með	aþ	með
ungu	lheþsf	ungur
fólki	nheþ	fólk
á	aþ	á
þessu	faheþ	þessi
sviði	nheþ	svið
.	.	.
Heilbrigt	lhensf	heilbrigður
kynlíf	nhen	kynlíf
(	(	(
sexual	e	sexual
health	e	health
)	)	)
felur	sfg3en	fela
í	aþ	í
sér	fpheþ	sig
að	cn	að
mynda	sng	mynda
gott	lheosf	góður
samband	nheo	samband
,	,	,
byggt	lheosf	byggður
á	aþ	á
trausti	nheþ	traust
,	,	,
við	ao	við
annan	fokeo	annar
einstakling	nkeo	einstaklingur
.	.	.
Hér	aa	hér
verður	sfg3en	verða
þremur	tfvfþ	þrír
aðferðum	nvfþ	aðferð
lýst	sþghen	lýsa
.	.	.
Í	aþ	í
fyrsta	lheþve	fyrstur
lagi	nheþ	lag
er	sfg3en	vera
hægt	lhensf	hægur
að	cn	að
nota	sng	nota
svokallaða	lkfosf	svokallaður
flata	lkfosf	flatur
vexti	nkfo	vöxtur
en	c	en
þá	aa	þá
eru	sfg3fn	vera
vextir	nkfn	vöxtur
eingöngu	aa	eingöngu
reiknaðir	sþgkfn	reikna
af	aþ	af
höfuðstól	nkeþ	höfuðstóll
en	c	en
ekki	aa	ekki
af	aþ	af
ávöxtun	nveþ	ávöxtun
fyrri	lkfevm	fyrri
tíma	nkfe	tími
.	.	.
Þá	aa	þá
aukast	sfm3fn	auka
vaxtagreiðslur	nvfn	vaxtagreiðsla
í	aþ	í
beinu	lheþsf	beinn
hlutfalli	nheþ	hlutfall
við	ao	við
lengd	nveo	lengd
lánstíma	nkee	lánstími
því	fpheþ	það
að	c	að
ekki	aa	ekki
eru	sfg3fn	vera
greiddir	sþgkfn	greiða
vaxtavextir	nkfn	vaxtavextir
.	.	.
Í	aþ	í
öðru	lheþsf	öðr
lagi	nheþ	lag
er	sfg3en	vera
hægt	lhensf	hægur
að	cn	að
taka	sng	taka
tillit	nheo	tillit
til	ae	til
vaxtavaxta	nkfe	vaxtavextir
(	(	(
og	c	og
vaxta	nkfe	vöxtur
líka	aa	líka
af	aþ	af
þeim	fpkfþ	hann
,	,	,
eins	aa	eins
og	c	og
Trölli	nken-s	Trölli
söng	sfg3eþ	syngja
um	ao	um
árið	nheog	ár
)	)	)
.	.	.
Það	fphen	það
er	sfg3en	vera
hægt	lhensf	hægur
að	cn	að
gera	sng	gera
með	ao	með
að	aþ	að
minnsta	lkeþve	lítill
kosti	nkeþ	kostur
tvennum	lkeþsf	tvennur
hætti	nkeþ	háttur
.	.	.
Við	ao	við
notkun	nveo	notkun
annarrar	fovee	annar
aðferðarinnar	nveeg	aðferð
er	sfg3en	vera
litið	sþghen	líta
svo	aa	svo
á	aa	á
að	c	að
vextir	nkfn	vöxtur
safnist	svm3fn	safna
stöðugt	aa	stöðugt
upp	aa	upp
allan	fokeo	allur
lánstímann	nkeog	lánstími
en	c	en
við	ao	við
notkun	nveo	notkun
hinnar	favee	hinn
er	sfg3en	vera
litið	sþghen	líta
svo	aa	svo
á	aa	á
að	c	að
vextir	nkfn	vöxtur
safnist	svm3fn	safna
upp	aa	upp
einu	tfheþ	einn
sinni	nheþ	sinn
á	aþ	á
hverju	foheþ	hver
tímabili	nheþ	tímabil
,	,	,
oftast	aae	oft
ári	nheþ	ár
.	.	.
Þegar	c	þegar
lánstíminn	nkeng	lánstími
er	sfg3en	vera
styttri	lkenvm	stuttur
en	c	en
viðmiðunartímabilið	nheng	viðmiðunartímabil
(	(	(
það	fphen	það
er	sfg3en	vera
styttri	lkenvm	stuttur
en	c	en
eitt	tfhen	einn
ár	nhen	ár
)	)	)
eru	sfg3fn	vera
vextir	nkfn	vöxtur
reiknaðir	sþgkfn	reikna
þannig	aa	þannig
að	c	að
vextir	nkfn	vöxtur
