landinu	nheþg	land
Einn	tfken	einn
maður	nken	maður
úr	aþ	úr
Hnappadalssýslu	nveþ-s	Hnappadalssýsla
man	sfg3en	muna
frá	aþ	frá
bernsku	nveþ	bernska
eftir	aþ	eftir
volgu	lheþsf	volgur
hveitibrauði	nheþ	hveitibrauð
með	aþ	með
hvítasykri	nkeþ	hvítasykur
sem	ct	sem
hátíðabrigði	nheþ	hátíðabrigði
á	aþ	á
þorramorgni	nkeþ	þorramorgunn
.	.	.
Þá	aa	þá
hafði	sfg3eþ	hafa
faðir	nken	faðir
hans	fpkee	hann
sagt	ssg	segja
að	c	að
þetta	faheo	þessi
gæfi	svg3eþ	gefa
nú	aa	nú
Þorri	nken-s	Þorri
okkur	fp1fþ	ég
.	.	.
Þetta	fahen	þessi
minnir	sfg3en	minna
á	ao	á
þuluna	nveog	þula
um	ao	um
að	cn	að
gefa	sng	gefa
skuli	svg3en	skulu
börnum	nhfþ	barn
brauð	nheo	brauð
að	cn	að
bíta	sng	bíta
í	aa	í
á	aþ	á
jólunum	nhfþg	jól
.	.	.
Annar	foken	annar
maður	nken	maður
heyrði	sfg3eþ	heyra
getið	sþgheo	geta
um	ao	um
hrútaveislur	nvfo	hrútaveisla
á	aþ	á
margmennu	lheþsf	margmennur
heimili	nheþ	heimili
við	ao	við
norðanverðan	lkeosf	norðanverður
Breiðafjörð	nkeo-s	Breiðafjörður
.	.	.
Á	aþ	á
fyrsta	lkeþve	fyrstur
degi	nkeþ	dagur
Þorra	nkee-s	Þorri
hafði	sfg3eþ	hafa
verið	ssg	vera
venja	nven	venja
að	cn	að
sjóða	sng	sjóða
mikið	lheosf	mikill
reykt	lheosf	reyktur
kjöt	nheo	kjöt
af	aþ	af
vænum	lkfþsf	vænn
hrútum	nkfþ	hrútur
.	.	.
Um	ao	um
það	fpheo	það
kunni	sfg3eþ	kunna
hann	fpken	hann
þessa	faveo	þessi
saknaðarvísu	nveo	saknaðarvísa
:	:	:
<	<	<
vísa	nven	vísa
>	>	>
37	ta	37
Flestir	lkfnse	margur
geta	sfg3fn	geta
einnig	aa	einnig
um	ao	um
það	faheo	sá
sem	ct	sem
hátíðabrigði	nhfo	hátíðabrigði
að	c	að
þá	aa	þá
var	sfg3eþ	vera
gefið	sþghen	gefa
brauð	nhen	brauð
eða	c	eða
kökur	nvfn	kaka
með	aþ	með
kaffinu	nheþg	kaffi
,	,	,
því	fpheþ	það
venjulega	aa	venjulega
hafi	svg3en	hafa
molakaffi	nhen	molakaffi
verið	ssg	vera
látið	sþghen	láta
nægja	sng	nægja
.	.	.
Oftast	aae	oft
er	sfg3en	vera
talað	sþghen	tala
um	ao	um
lummur	nvfo	lumma
og	c	og
pönnukökur	nvfo	pönnukaka
og	c	og
þar	aa	þar
koma	sfg3fn	koma
fyrir	aa	fyrir
orðin	nhfng	orð
,	,	,
þorralummur	nvfn	þorralumma
'	'	'
og	c	og
,	,	,
bóndadagslummur	nvfo	bóndadagslumma
'	'	'
.	.	.
38	ta	38
Sérstöku	lheþsf	sérstakur
afbrigði	nheþ	afbrigði
skýtur	sfg3en	skjóta
upp	aa	upp
hjá	aþ	hjá
þrem	tfkfþ	þrír
heimildamönnum	nkfþ	heimildamaður
af	aþ	af
Suður-	nheþ-s	Suðurland
og	c	og
Suðausturlandi	nheþ-s	Suðausturland
.	.	.
Þau	fphfn	það
hafa	sfg3fn	hafa
heyrt	ssg	heyra
þess	fphee	það
getið	sþghen	geta
að	c	að
á	aþ	á
fyrsta	lkeþve	fyrstur
degi	nkeþ	dagur
þorra	nkee	þorri
ætti	svg3eþ	eiga
helst	aae	heldur
ekki	aa	ekki
að	cn	að
borða	sng	borða
kjötmeti	nheo	kjötmeti
,	,	,
heldur	c	heldur
sjófang	nheo	sjófang
,	,	,
til	ae	til
dæmis	nhee	dæmi
þurrkaðan	lkeosf	þurrkaður
saltfisk	nkeo	saltfiskur
eða	c	eða
skötu	nveo	skata
.	.	.
Hin	gven	hinn
elsta	lvenve	gamall
þeirra	fphfe	það
,	,	,
f.	as	f.
1882	ta	1882
,	,	,
hafði	sfg3eþ	hafa
eftir	aþ	eftir
afa	nkeþ	afi
sínum	fekeþ	sinn
að	c	að
fjárfellir	nken	fjárfellir
vofði	svg3eþ	vofa
yfir	aa	yfir
ef	c	ef
út	aa	út
af	aþ	af
þessu	faheþ	þessi
væri	svg3eþ	vera
brugðið	sþghen	bregða
.	.	.
39	ta	39
Loks	aa	loks
skal	sfg3en	skulu
getið	sþghen	geta
þeirra	fahfe	sá
gamanmála	nhfe	gamanmál
,	,	,
að	c	að
hverjum	fokeþ	hver
bónda	nkeþ	bóndi
í	aþ	í
sveitinni	nveþg	sveit
var	sfg3eþ	vera
gefinn	sþgken	gefa
sinn	feken	sinn
dagur	nken	dagur
á	aþ	á
þorranum	nkeþg	þorri
.	.	.
Byrjað	sþghen	byrja
var	sfg3eþ	vera
á	aþ	á
öðrum	fokeþ	annar
enda	nkeþ	endi
byggðarinnar	nveeg	byggð
og	c	og
farið	sþghen	fara
eftir	aþ	eftir
venjulegri	lveþsf	venjulegur
boðleið	nveþ	boðleið
,	,	,
til	ae	til
dæmis	nhee	dæmi
að	c	að
bóndinn	nkeng	bóndi
á	aþ	á
austasta	lkeþve	austari
bænum	nkeþg	bær
ætti	svg3eþ	eiga
fyrsta	lkeove	fyrstur
þorradag	nkeo	þorradagur
og	c	og
síðan	aa	síðan
koll	nkeo	kollur
af	aþ	af
kolli	nkeþ	kollur
.	.	.
Þar	aa	þar
er	sfg3en	vera
hlutfallslega	aa	hlutfallslega
oft	aa	oft
talað	sþghen	tala
um	ao	um
bestu	lkfove	góður
menn	nkfo	maður
,	,	,
stærri	lkfovm	stór
bændur	nkfo	bóndi
,	,	,
betri	lkfovm	góður
menn	nkfo	maður
,	,	,
stærstu	lkfove	stór
bændur	nkfo	bóndi
,	,	,
bestu	lkfove	góður
bændur	nkfo	bóndi
.	.	.
59	ta	59
Tal	nhen	tal
sögunnar	nveeg	saga
um	ao	um
alþýðu	nveo	alþýða
er	sfg3en	vera
því	aa	því
að	aþ	að
líkindum	nhfþ	líkindi
liður	nken	liður
í	aþ	í
viðleitni	nveþ	viðleitni
hennar	fpvee	hún
til	ae	til
að	cn	að
gera	sng	gera
sem	aa	sem
mestan	lkeose	mikill
greinarmun	nkeo	greinarmunur
á	aþ	á
stéttum	nvfþ	stétt
fremur	aam	fremur
en	c	en
lýðræðislegur	lkensf	lýðræðislegur
áhugi	nken	áhugi
á	aþ	á
vilja	nkeþ	vilji
alþýðu	nvee	alþýða
.	.	.
Svínfellinga	nkfe-s	Svínfellingur
saga	nven	saga
segir	sfg3en	segja
frá	aþ	frá
hörmulegum	lkeþsf	hörmulegur
fjandskap	nkeþ	fjandskapur
bræðranna	nkfeg	bróðir
Sæmundar	nkee-s	Sæmundur
og	c	og
Guðmundar	nkee-s	Guðmundur
Ormssona	nkfe-s	Ormsson
á	aþ	á
Svínafelli	nheþ-s	Svínafell
við	ao	við
Ögmund	nkeo-s	Ögmundur
Helgason	nkeo-s	Helgason
bónda	nkeo	bóndi
í	aþ	í
Kirkjubæ	nkeþ-s	Kirkjubær
og	c	og
gerist	sfm3en	gera
öll	foven	allur
á	aþ	á
árunum	nhfþg	ár
1241-52	ta	1241-52
.	.	.
60	ta	60
Að	aþ	að
frásagnarhætti	nkeþ	frásagnarháttur
sker	sfg3en	skera
hún	fpven	hún
sig	fpveo	sig
nokkuð	fohen	nokkur
úr	aþ	úr
Sturlungusafninu	nheþgs	Sturlungusafnið
;	;	;
hún	fpven	hún
er	sfg3en	vera
óvenjulega	aa	óvenjulega
nákvæm	lvensf	nákvæmur
,	,	,
vel	aa	vel
sviðsett	lvensf	sviðsettur
og	c	og
meira	aam	meira
gert	sþghen	gera
að	aþ	að
því	fpheþ	það
að	cn	að
tjá	sng	tjá
tilfinningar	nvfo	tilfinning
en	c	en
í	aþ	í
öðrum	fovfþ	annar
sögum	nvfþ	saga
Sturlungu	nvee-s	Sturlunga
.	.	.
Þar	aa	þar
kemur	sfg3en	koma
við	ao	við
sögu	nveo	saga
,	,	,
að	c	að
ég	fp1en	ég
held	sfg1en	halda
,	,	,
eina	lvenvf	einn
konan	nveng	kona
sem	ct	sem
grætur	sfg3en	gráta
ófriðinn	nkeog	ófriður
sem	ct	sem
geisaði	sfg3eþ	geisa
á	aþ	á
Sturlungaöld	nveþ-s	Sturlungaöld
.	.	.
Ekki	aa	ekki
einu	foheþ	einn
sinni	nheþ	sinn
Björn	nken-s	Björn
M.	as	M.
Ólsen	nken-s	Ólsen
treysti	sfg3eþ	treysta
sér	fpkeþ	sig
til	ae	til
að	cn	að
nafngreina	sng	nafngreina
höfund	nkeo	höfundur
sögunnar	nveeg	saga
.	.	.
61	ta	61
Aldur	nken	aldur
Svínfellinga	nkfe-s	Svínfellingur
sögu	nvee	saga
afmarkar	sfg3en	afmarka
Jón	nken-s	Jón
Jóhannesson	nken-s	Jóhannesson
með	aþ	með
fremur	aam	fremur
almennum	lvfþsf	almennur
líkum	nvfþ	líkur
á	ao	á
báða	fokfo	báðir
bóga	nkfo	bógur
.	.	.
Annars	fokee	annar
vegar	nkee	vegur
sjást	sfm3fn	sjá
þar	aa	þar
engin	fohfn	enginn
merki	nhfn	merki
um	ao	um
heimildarmenn	nkfo	heimildarmaður
á	aa	á
milli	ae	milli
atburða	nkfe	atburður
og	c	og
skrásetjara	nkee	skrásetjari
.	.	.
Þvert	aa	þvert
á	aa	á
móti	aa	móti
er	sfg3en	vera
sums	fokee	sumur
staðar	nkee	staður
auðvelt	lhensf	auðveldur
að	cn	að
sannfærast	snm	sannfæra
um	ao	um
að	c	að
höfundur	nken	höfundur
eða	c	eða
sögumaður	nken	sögumaður
hafi	svg3en	hafa
verið	ssg	vera
í	aþ	í
Kirkjubæ	nkeþ-s	Kirkjubær
þegar	c	þegar
atburðir	nkfn	atburður
sögunnar	nveeg	saga
gerðust	sfm3fþ	gera
.	.	.
Þannig	aa	þannig
segir	sfg3en	segja
frá	aþ	frá
andláti	nheþ	andlát
Steinunnar	nvee-s	Steinunn
húsfreyju	nvee	húsfreyja
árið	nheog	ár
1252	ta	1252
:	:	:
62	ta	62
<	<	<
...	...	...
>	>	>
Þetta	fahen	þessi
þykir	sfg3en	þykja
ekki	aa	ekki
geta	sng	geta
verið	ssg	vera
yngra	lhenvm	ungur
en	c	en
frá	aa	frá
um	ao	um
1300	ta	1300
,	,	,
þegar	c	þegar
enn	aa	enn
voru	sfg3fþ	vera
uppi	aa	uppi
menn	nkfn	maður
sem	ct	sem
mundu	sfg3fþ	muna
þessa	fakfo	þessi
atburði	nkfo	atburður
.	.	.
Á	ao	á
hinn	fakeo	hinn
bóginn	nkeog	bógur
er	sfg3en	vera
sagan	nveng	saga
ónákvæm	lvensf	ónákvæmur
um	ao	um
sumar	fovfo	sumur
staðreyndir	nvfo	staðreynd
ef	c	ef
borið	sþghen	bera
er	sfg3en	vera
saman	aa	saman
við	ao	við
aðrar	fovfo	annar
sögur	nvfo	saga
sem	ct	sem
Jón	nken-s	Jón
treysti	sfg3eþ	treysta
betur	aam	vel
.	.	.
Ekki	aa	ekki
virðist	sfm3en	virða
hárrétt	aa	hárrétt
sagt	sþghen	segja
frá	aþ	frá
bústöðum	nkfþ	bústaður
manna	nkfe	maður
;	;	;
tímatal	nhen	tímatal
er	sfg3en	vera
ónákvæmt	lhensf	ónákvæmur
.	.	.
Af	aþ	af
því	fpheþ	það
ályktaði	sfg3eþ	álykta
Jón	nken-s	Jón
að	c	að
hún	fpven	hún
væri	svg3eþ	vera
ekki	aa	ekki
skrifuð	sþgven	skrifa
fyrr	aam	fyrr
en	c	en
seint	aa	seint
á	aþ	á
13.	ta	13.
öld	nveþ	öld
eða	c	eða
um	ao	um
1300	ta	1300
.	.	.
Þorgils	nkee-s	Þorgils
saga	nven	saga
skarða	nkee	skarði
hefur	sfg3en	hafa
ekki	aa	ekki
tilheyrt	ssg	tilheyra
Sturlungu	nveþ-s	Sturlunga
í	aþ	í
upphafi	nheþ	upphaf
.	.	.
Eins	aa	eins
og	c	og
áður	aa	áður
kom	sfg3eþ	koma
fram	aa	fram
sést	sfm3en	sjá
það	fphen	það
á	aþ	á
því	fpheþ	það
að	c	að
hún	fpven	hún
er	sfg3en	vera
ekki	aa	ekki
í	aþ	í
Króksfjarðarbók	nveþ-s	Króksfjarðarbók
,	,	,
og	c	og
það	fahen	sá
sem	ct	sem
er	sfg3en	vera
til	aa	til
af	aþ	af
henni	fpveþ	hún
sérstakri	lveþsf	sérstakur
sýnir	sfg3en	sýna
að	c	að
hún	fpven	hún
er	sfg3en	vera
mjög	aa	mjög
stytt	sþghen	stytta
í	aþ	í
Reykjarfjarðarbók	nveþ-s	Reykjarfjarðarbók
.	.	.
Samt	aa	samt
er	sfg3en	vera
hún	fpven	hún
næstlengsta	lvenve	næstlengstur
saga	nven	saga
Sturlungu	nvee-s	Sturlunga
eins	aa	eins
og	c	og
hún	fpven	hún
er	sfg3en	vera
þar	aa	þar
og	c	og
fyllir	sfg3en	fylla
123	ta	123
blaðsíður	nvfo	blaðsíða
í	aþ	í
útgáfunni	nveþg	útgáfa
1946	ta	1946
.	.	.
63	ta	63
Eftir	ao	eftir
stuttan	lkeosf	stuttur
inngang	nkeo	inngangur
um	ao	um
uppvöxt	nkeo	uppvöxtur
og	c	og
Noregsdvöl	nveo-s	Noregsdvöl
söguhetjunnar	nveeg	söguhetja
er	sfg3en	vera
atburðatími	nken	atburðatími
sögunnar	nveeg	saga
þar	aa	þar
að	aþ	að
mestu	lheþse	mikill
leyti	nheþ	leyti
árin	nhfng	ár
1252-58	ta	1252-58
,	,	,
þegar	c	þegar
Þorgils	nken-s	Þorgils
Böðvarsson	nken-s	Böðvarsson
skarði	nken	skarði
var	sfg3eþ	vera
að	cn	að
berjast	snm	berja
til	ae	til
valda	nhfe	vald
og	c	og
fram	aa	fram
til	ae	til
dauða	nkee	dauði
hans	fpkee	hann
,	,	,
en	c	en
stutt	lhensf	stuttur
ágrip	nhen	ágrip
fylgir	sfg3en	fylgja
bræðrum	nkfþ	bróðir
hans	fpkee	hann
til	ae	til
1275	ta	1275
.	.	.
Sé	svg3en	vera
það	fphen	það
upprunalegt	lhensf	upprunalegur
hefur	sfg3en	hafa
ekki	aa	ekki
verið	ssg	vera
lokið	sþghen	ljúka
við	ao	við
að	cn	að
rita	sng	rita
söguna	nveog	saga
fyrr	aam	fyrr
en	c	en
á	aþ	á
því	faheþ	sá
ári	nheþ	ár
.	.	.
Hafi	svg3en	hafa
Sturla	nken-s	Sturla
Þórðarson	nken-s	Þórðarson
tekið	ssg	taka
mið	nheo	mið
af	aþ	af
Þorgils	nkee-s	Þorgils
sögu	nveþ	saga
þegar	c	þegar
hann	fpken	hann
valdi	sfg3eþ	velja
efni	nheo	efni
í	ao	í
Íslendinga	nkfe-s	Íslendingur
sögu	nveo	saga
,	,	,
eins	aa	eins
og	c	og
Jón	nken-s	Jón
Jóhannesson	nken-s	Jóhannesson
hélt	sfg3eþ	halda
en	c	en
verður	sfg3en	verða
þó	aa	þó
að	cn	að
teljast	snm	telja
hæpið	lhensf	hæpinn
,	,	,
getur	sfg3en	geta
sagan	nveng	saga
ekki	aa	ekki
verið	ssg	vera
miklu	lheþsf	mikill
yngri	lvenvm	ungur
heldur	aam	heldur
.	.	.
Björn	nken-s	Björn
M.	as	M.
Ólsen	nken-s	Ólsen
mun	sfg3en	munu
fyrstur	lkense	fyrstur
manna	nkfe	maður
hafa	sng	hafa
tekið	ssg	taka
eftir	aþ	eftir
því	fpheþ	það
að	c	að
Þorgils	nkee-s	Þorgils
saga	nven	saga
fylgir	sfg3en	fylgja
furðu	nvee	furða
nákvæmlega	aa	nákvæmlega
Þórði	nkeþ-s	Þórður
nokkrum	fokeþ	nokkur
Hítnesingi	nkeþ-s	Hítnesingur
,	,	,
bónda	nkeþ	bóndi
á	aþ	á
Hítarnesi	nheþ-s	Hítarnes
á	aþ	á
mörkum	nhfþ	mark
Mýra	nvfe-s	Mýri
og	c	og
Snæfellsness	nhee-s	Snæfellsnes
.	.	.
Hvergi	aa	hvergi
kemur	sfg3en	koma
fram	aa	fram
hvert	fshen	hver
var	sfg3eþ	vera
föðurnafn	nhen	föðurnafn
Þórðar	nkee-s	Þórður
,	,	,
en	c	en
hann	fpken	hann
var	sfg3eþ	vera
kvæntur	lkensf	kvæntur
systur	nveþ	systir
Þorgils	nkee-s	Þorgils
,	,	,
Aldísi	nveþ-s	Aldís
Böðvarsdóttur	nveþ-s	Böðvarsdóttir
.	.	.
Þórður	nken-s	Þórður
gerðist	sfm3eþ	gera
fylgdarmaður	nken	fylgdarmaður
Þorgils	nkee-s	Þorgils
þegar	c	þegar
er	sfg3en	vera
hann	fpken	hann
kom	sfg3eþ	koma
til	ae	til
Íslands	nhee-s	Ísland
til	ae	til
að	cn	að
taka	sng	taka
við	ao	við
ríki	nheo	ríki
í	aþ	í
Borgarfirði	nkeþ-s	Borgarfjörður
í	aþ	í
umboði	nheþ	umboð
konungs	nkee	konungur
árið	nheog	ár
1252	ta	1252
,	,	,
og	c	og
rekur	sfg3en	rekja
Björn	nken-s	Björn
hvernig	aa	hvernig
langur	lkensf	langur
miðhluti	nken	miðhluti
sögunnar	nveeg	saga
upp	aa	upp
frá	aþ	frá
því	fpheþ	það
er	sfg3en	vera
sagður	sþgken	segja
frá	aþ	frá
sjónarhorni	nheþ	sjónarhorn
Þórðar	nkee-s	Þórður
,	,	,
stundum	aa	stundum
í	aþ	í
smáatriðum	nhfþ	smáatriði
sem	ct	sem
hann	fpken	hann
deildi	sfg3eþ	deila
einn	lkensf	einn
með	aþ	með
söguhetjunni	nveþg	söguhetja
,	,	,
stundum	aa	stundum
í	aþ	í
atvikum	nhfþ	atvik
sem	ct	sem
Þórður	nken-s	Þórður
var	sfg3eþ	vera
við	aa	við
en	c	en
Þorgils	nken-s	Þorgils
ekki	aa	ekki
.	.	.
64	ta	64
Til	ae	til
dæmis	nhee	dæmi
má	sfg3en	mega
taka	sng	taka
ferðir	nvfo	ferð
þeirra	fpkfe	hann
Þorgils	nkee-s	Þorgils
og	c	og
Þórðar	nkee-s	Þórður
suður	aa	suður
í	ao	í
Skálholt	nheo-s	Skálholt
árið	nheog	ár
1253	ta	1253
.	.	.
Þorgils	nken-s	Þorgils
kom	sfg3eþ	koma
norðan	aa	norðan
úr	aþ	úr
Skagafirði	nkeþ-s	Skagafjörður
um	ao	um
veturinn	nkeog	vetur
en	c	en
gerði	sfg3eþ	gera
Þórði	nkeþ-s	Þórður
orð	nheo	orð
að	cn	að
koma	sng	koma
til	ae	til
sín	fpkee	sig
í	ao	í
Skálholt	nheo-s	Skálholt
eftir	ao	eftir
páska	nkfo	páskar
.	.	.
Ekki	aa	ekki
segir	sfg3en	segja
frá	aþ	frá
neinu	foheþ	neinn
sem	ct	sem
gerist	sfm3en	gera
í	aþ	í
ferð	nveþ	ferð
Þorgils	nkee-s	Þorgils
,	,	,
nema	c	nema
orðsendingunni	nveþg	orðsending
til	ae	til
Þórðar	nkee-s	Þórður
,	,	,
og	c	og
frá	aþ	frá
engu	foheþ	enginn
sem	ct	sem
gerist	sfm3en	gera
í	aþ	í
Skálholti	nheþ-s	Skálholt
þangað	aa	þangað
til	aa	til
Þórður	nken-s	Þórður
kemur	sfg3en	koma
þangað	aa	þangað
:	:	:
65	ta	65
Reið	sfg3eþ	ríða
Þórðr	nken-s	Þórðr
suðr	aa	suðr
eftir	ao	eftir
páskaviku	nveo	páskavika
ok	c	og
Ingimundr	nken-s	Ingimundur
Böðvarsson	nken-s	Böðvarsson
.	.	.
Ok	c	og
er	c	er
þeir	fpkfn	hann
kómu	sfg3fþ	koma
suðr	aa	suðr
á	ao	á
heiði	nveo	heiði
,	,	,
tók	sfg3eþ	taka
at	cn	at
drífa	sng	drífa
,	,	,
ok	c	og
fell	sfg3eþ	Fell
snjór	nken	snjór
svá	aa	svá
mikill	lkensf	mikill
,	,	,
at	c	at
hestarnir	nkfng	hestur
máttu	sfg3fþ	mega
eigi	aa	eigi
vaða	sng	vaða
.	.	.
Treystust	sfm3fþ	treysta
þeir	fpkfn	hann
eigi	aa	eigi
at	cn	at
ríða	sng	ríða
Lyngdalsheiði	nveo-s	Lyngdalsheiði
ok	c	og
sneru	sfg3fþ	snúa
til	ae	til
Gjábakka	nkee-s	Gjábakki
ok	c	og
kómu	sfg3fþ	koma
mjök	aa	mjög
þrekaðir	lkfnsf	þrekaður
til	ae	til
Brúa	nvfe-s	Brúar
um	ao	um
kveldit	nheog	kveld
.	.	.
Þeir	fpkfn	hann
báðu	sfg3fþ	biðja
þar	aa	þar
greiða	nkee	greiði
ok	c	og
fengu	sfg3fþ	fá
eigi	aa	eigi
.	.	.
Tóku	sfg3fþ	taka
þeir	fpkfn	hann
þar	aa	þar
vöndul	nkeo	vöndull
heys	nhee	hey
fyrir	ao	fyrir
hest	nkeo	hestur
hvern	fokeo	hver
ok	c	og
lágu	sfg3fþ	liggja
undir	aþ	undir
túngarði	nkeþ	túngarður
,	,	,
því	fpheþ	það
at	c	at
bóndi	nken	bóndi
lét	sfg3eþ	láta
byrgja	sng	byrgja
hurðir	nvfo	hurð
vandliga	aa	vandliga
.	.	.
Fóru	sfg3fþ	fara
þeir	fpkfn	hann
þegar	c	þegar
í	aþ	í
sólar	nvee	sól
upprás	nveþ	upprás
,	,	,
var	sfg3eþ	vera
þá	aa	þá
veðr	nhen	veðr
bjart	lhensf	bjartur
.	.	.
Kómu	sfg3fþ	koma
þeir	fpkfn	hann
til	ae	til
Búrfells	nhee-s	Búrfell
,	,	,
höfðu	sfg3fþ	hafa
þar	aa	þar
messu	nveo	messa
ok	c	og
dagverð	nkeo	dagverður
.	.	.
Riðu	sfg3fþ	ríða
þeir	fpkfn	hann
um	ao	um
kveldit	nheog	kveld
í	ao	í
Skálaholt	nheo-s	Skálaholt
.	.	.
Var	sfg3eþ	vera
þá	aa	þá
Þorgils	nken-s	Þorgils
í	aþ	í
baði	nheþ	bað
ok	c	og
kom	sfg3eþ	koma
litlu	lheþsf	lítill
síðar	aam	síðar
innar	aam	innar
ok	c	og
fagnaði	sfg3eþ	fagna
þeim	fpkfþ	hann
vel	aa	vel
.	.	.
Þeir	fpkfn	hann
ábóti	nken	ábóti
váru	sfg3fþ	vera
nýkomnir	lkfnsf	nýkominn
heim	aa	heim
austan	aa	austan
af	aþ	af
sættarfundi	nkeþ	sættarfundur
þeim	fakeþ	sá
,	,	,
er	ct	er
gerr	sþgken	gerr
var	sfg3eþ	vera
um	ao	um
víg	nhfo	víg
Sæmundar	nkee-s	Sæmundur
ok	c	og
Guðmundar	nkee-s	Guðmundur
Ormssona	nkfe-s	Ormsson
.	.	.
Það	fphen	það
er	sfg3en	vera
deginum	nkeþg	dagur
ljósara	lhenvm	ljós
að	c	að
hér	aa	hér
fylgir	sfg3en	fylgja
sagan	nveng	saga
Þórði	nkeþ-s	Þórður
;	;	;
ferð	nven	ferð
Þorgils	nkee-s	Þorgils
og	c	og
Brands	nkee-s	Brandur
ábóta	nkee	ábóti
á	ao	á
sáttafundinn	nkeog	sáttafundur
verður	sfg3en	verða
ekki	aa	ekki
einu	foheþ	einn
sinni	nheþ	sinn
að	aþ	að
veruleika	nkeþ	veruleiki
í	aþ	í
sögunni	nveþg	saga
fyrr	aam	fyrr
en	c	en
Þórður	nken-s	Þórður
fréttir	sfg3en	frétta
af	aþ	af
henni	fpveþ	hún
.	.	.
Þetta	fahen	þessi
sannar	sfg3en	sanna
eitt	tfhen	einn
sér	aa	sér
auðvitað	aa	auðvitað
ekki	aa	ekki
meira	lheovm	mikill
en	c	en
að	c	að
Þórður	nken-s	Þórður
Hítnesingur	nken-s	Hítnesingur
sé	svg3en	vera
heimildarmaður	nken	heimildarmaður
skrásetjara	nkee	skrásetjari
um	ao	um
þann	fakeo	sá
hluta	nkeo	hluti
sögunnar	nveeg	saga
sem	ct	sem
hann	fpken	hann
kom	sfg3eþ	koma
sjálfur	fbken	sjálfur
við	aa	við
.	.	.
Björn	nken-s	Björn
Ólsen	nken-s	Ólsen
leggur	sfg3en	leggja
sig	fpkeo	sig
fram	aa	fram
um	ao	um
að	cn	að
sýna	sng	sýna
að	c	að
hann	fpken	hann
hafi	svg3en	hafa
samið	ssg	semja
söguna	nveog	saga
til	ae	til
enda	nkee	endi
,	,	,
meðal	ae	meðal
annars	fohee	annar
með	aþ	með
þeim	fahfþ	sá
rökum	nhfþ	rök
að	c	að
hún	fpven	hún
verði	svg3en	verða
öll	foven	allur
ónákvæmari	lvenvm	ónákvæmur
og	c	og
stundum	aa	stundum
röng	lvensf	rangur
um	ao	um
staðreyndir	nvfo	staðreynd
eftir	ao	eftir
að	c	að
Þórður	nken-s	Þórður
var	sfg3eþ	vera
hættur	sþgken	hætta
að	cn	að
fylgja	sng	fylgja
söguhetjunni	nveþg	söguhetja
að	aþ	að
staðaldri	nkeþ	staðaldur
.	.	.
66	ta	66
En	c	en
auðvitað	aa	auðvitað
mætti	svg3eþ	mega
snúa	sng	snúa
þeirri	faveþ	sá
röksemd	nveþ	röksemd
hans	fpkee	hann
við	aa	við
og	c	og
segja	sng	segja
að	c	að
sagan	nveng	saga
breyti	svg3en	breyta
um	ao	um
snið	nheo	snið
eftir	ao	eftir
að	c	að
söguhöfundur	nken	söguhöfundur
hafði	sfg3eþ	hafa
ekki	aa	ekki
lengur	aam	lengi
frásögn	nveo	frásögn
Þórðar	nkee-s	Þórður
að	cn	að
styðjast	snm	styðja
við	aa	við
.	.	.
Hitt	faheo	hinn
tel	sfg1en	telja
ég	fp1en	ég
sannfærandi	lheoof	sannfærandi
að	c	að
miðhluti	nken	miðhluti
sögunnar	nveeg	saga
,	,	,
um	ao	um
árin	nhfog	ár
1252-55	ta	1252-55
,	,	,
sé	svg3en	vera
að	aþ	að
verulegu	lheþsf	verulegur
leyti	nheþ	leyti
reistur	sþgken	reisa
á	aþ	á
frásögn	nveþ	frásögn
Þórðar	nkee-s	Þórður
,	,	,
sem	ct	sem
var	sfg3eþ	vera
viðstaddur	lkensf	viðstaddur
flesta	lkfose	margur
meginatburðina	nkfog	meginatburður
.	.	.
Það	fphen	það
tryggir	sfg3en	tryggja
auðvitað	aa	auðvitað
ekki	aa	ekki
sannleiksgildi	nheo	sannleiksgildi
sögunnar	nveeg	saga
að	c	að
sjónarvottur	nken	sjónarvottur
segi	svg3en	segja
hana	fpveo	hún
,	,	,
ekki	aa	ekki
aldeilis	aa	aldeilis
,	,	,
en	c	en
það	fphen	það
hjálpar	sfg3en	hjálpa
óneitanlega	aa	óneitanlega
nokkuð	fohen	nokkur
til	aa	til
við	ao	við
að	cn	að
meta	sng	meta
frásagnir	nvfo	frásögn
hennar	fpvee	hún
.	.	.
Raunar	aa	raunar
koma	sfg3fn	koma
fyrir	aa	fyrir
í	aþ	í
miðhluta	nkeþ	miðhluti
Þorgils	nkee-s	Þorgils
sögu	nvee	saga
einkennilega	aa	einkennilega
neikvæðar	lvfnsf	neikvæður
athugasemdir	nvfn	athugasemd
um	ao	um
Þórð	nkeo-s	Þórður
Hítnesing	nkeo-s	Hítnesingur
.	.	.
Haustið	nheog	haust
1252	ta	1252
kom	sfg3eþ	koma
Þorgils	nken-s	Þorgils
með	aþ	með
liði	nheþ	lið
sínu	feheþ	sinn
að	aþ	að
Álftanesi	nheþ-s	Álftanes
á	aþ	á
Mýrum	nvfþ-s	Mýri
og	c	og
þóttist	sfm3eþ	þykja
eiga	sng	eiga
sökótt	lheosf	sökótt
við	ao	við
bónda	nkeo	bóndi
.	.	.
Hann	fpken	hann
komst	sfm3eþ	koma
í	ao	í
kirkju	nveo	kirkja
,	,	,
