fáeina	fokfo	fáeinir
daga	nkfo	dagur
en	c	en
ævinlega	aa	ævinlega
náð	ssg	ná
sér	fpveþ	sig
fljótt	aa	fljótt
á	ao	á
strik	nheo	strik
aftur	aa	aftur
.	.	.
Hún	fpven	hún
hafði	sfg3eþ	hafa
nokkrum	fohfþ	nokkur
sinnum	nhfþ	sinn
leitað	ssg	leita
til	ae	til
læknis	nkee	læknir
og	c	og
niðurstaðan	nveng	niðurstaða
var	sfg3eþ	vera
sú	faven	sá
að	c	að
þetta	fahen	þessi
væri	svg3eþ	vera
brjósklos	nhen	brjósklos
.	.	.
Lagt	sþghen	leggja
var	sfg3eþ	vera
að	aþ	að
henni	fpveþ	hún
að	cn	að
gangast	snm	ganga
undir	ao	undir
uppskurð	nkeo	uppskurður
.	.	.
Ragna	nven-s	Ragna
vissi	sfg3eþ	vita
að	c	að
sú	faven	sá
áhætta	nven	áhætta
fylgdi	sfg3eþ	fylgja
uppskurðinum	nkeþg	uppskurður
að	c	að
hún	fpven	hún
yrði	svg3eþ	verða
enn	aa	enn
verri	lvenvm	verri
í	aþ	í
bakinu	nheþg	bak
og	c	og
jafnvel	aa	jafnvel
farlama	lvenof	farlama
.	.	.
Hún	fpven	hún
hafnaði	sfg3eþ	hafna
því	fpheþ	það
að	cn	að
fara	sng	fara
í	ao	í
aðgerð	nveo	aðgerð
en	c	en
vonaði	sfg3eþ	vona
að	c	að
bakið	nheng	bak
myndi	svg3eþ	munu
lagast	ssm	laga
af	aþ	af
sjálfu	fbheþ	sjálfur
sér	fpheþ	sig
,	,	,
alla	fokfo	allur
vega	nkfo	vegur
ekki	aa	ekki
versna	sng	versna
.	.	.
En	c	en
það	fphen	það
reyndist	sfm3eþ	reyna
borin	lvensf	borinn
von	nven	von
.	.	.
Þann	fakeo	sá
28.	ta	28.
janúar	nkeo	janúar
var	sfg3eþ	vera
Ragna	nven-s	Ragna
að	cn	að
gefa	sng	gefa
kindunum	nvfþg	kind
þegar	c	þegar
hún	fpven	hún
féll	sfg3eþ	falla
í	ao	í
jötuna	nveog	jata
eins	aa	eins
og	c	og
skotin	lvensf	skotinn
.	.	.
Nístandi	lkenof	nístandi
verkur	nken	verkur
í	aþ	í
baki	nheþ	bak
gaf	sfg3eþ	gefa
til	ae	til
kynna	nhfe	kynni
hvað	fshen	hver
var	sfg3eþ	vera
á	aþ	á
seyði	nkeþ	seyðir
.	.	.
Ragna	nven-s	Ragna
reyndi	sfg3eþ	reyna
að	cn	að
rísa	sng	rísa
á	ao	á
fætur	nkfo	fótur
en	c	en
hún	fpven	hún
var	sfg3eþ	vera
sem	c	sem
lömuð	lvensf	lamaður
.	.	.
Með	aþ	með
erfiðismunum	nkfþ	erfiðismunir
tókst	sfm3eþ	taka
henni	fpveþ	hún
að	cn	að
hálfskríða	sng	hálfskríða
heim	aa	heim
í	ao	í
bæ	nkeo	bær
.	.	.
Næstu	lkfove	næstur
dagana	nkfog	dagur
var	sfg3eþ	vera
hún	fpven	hún
rúmföst	lvensf	rúmfastur
.	.	.
Smári	nken-s	Smári
var	sfg3eþ	vera
heima	aa	heima
og	c	og
annaðist	sfm3eþ	anna
skepnurnar	nvfog	skepna
.	.	.
Þannig	aa	þannig
liðu	sfg3fþ	líða
nokkrir	fokfn	nokkur
dagar	nkfn	dagur
þar	aa	þar
til	aa	til
ákveðið	sþghen	ákveða
var	sfg3eþ	vera
að	c	að
Ragna	nven-s	Ragna
legðist	svm3eþ	leggja
inn	aa	inn
á	ao	á
sjúkrahús	nheo	sjúkrahús
.	.	.
Það	fphen	það
var	sfg3eþ	vera
þrautin	nveng	þraut
þyngri	lvenvm	þungur
að	cn	að
komast	snm	koma
frá	aþ	frá
Laugabóli	nheþ-s	Laugaból
og	c	og
þaðan	aa	þaðan
í	ao	í
Djúpbátinn	nkeogs	djúpbátur
Fagranes	nheo-s	Fagranes
og	c	og
til	ae	til
Ísafjarðar	nkee-s	Ísafjörður
.	.	.
Illfært	lhensf	illfær
var	sfg3eþ	vera
fram	aa	fram
að	aþ	að
Laugabóli	nheþ-s	Laugaból
vegna	ae	vegna
snjóa	nkfe	snjór
og	c	og
að	aa	að
auki	aa	auki
gat	sfg3eþ	geta
Ragna	nven-s	Ragna
ekki	aa	ekki
setið	ssg	sitja
upprétt	lvensf	uppréttur
.	.	.
Þá	aa	þá
var	sfg3eþ	vera
gripið	sþghen	grípa
til	ae	til
þess	fphee	það
að	cn	að
fá	sng	fá
Sigurjón	nkeo-s	Sigurjón
á	aþ	á
Hrafnabjörgum	nhfþ-s	Hrafnabjörg
til	ae	til
að	cn	að
koma	sng	koma
á	aþ	á
dráttarvél	nveþ	dráttarvél
og	c	og
sækja	sng	sækja
sjúklinginn	nkeog	sjúklingur
.	.	.
Útbúinn	sþgken	útbúa
var	sfg3eþ	vera
kassi	nken	kassi
aftan	aa	aftan
á	ao	á
beisli	nheo	beisli
dráttarvélarinnar	nveeg	dráttarvél
og	c	og
þar	aa	þar
var	sfg3eþ	vera
Rögnu	nveþ-s	Ragna
komið	sþghen	koma
fyrir	aa	fyrir
liggjandi	slg	liggja
.	.	.
Síðan	aa	síðan
var	sfg3eþ	vera
ekið	sþghen	aka
áleiðis	aa	áleiðis
í	ao	í
Ögur	nheo-s	ögur
.	.	.
Kvalirnar	nvfng	kvöl
í	aþ	í
bakinu	nheþg	bak
voru	sfg3fþ	vera
næstum	aa	næstum
óbærilegar	lvfnsf	óbærilegur
en	c	en
áhyggjur	nvfn	áhyggja
einyrkjans	nkeeg	einyrki
í	aþ	í
kassanum	nkeþg	kassi
voru	sfg3fþ	vera
jafnvel	aa	jafnvel
enn	aa	enn
verri	lvfnvm	verri
en	c	en
sársaukinn	nkeng	sársauki
.	.	.
Það	fphen	það
gat	sfg3eþ	geta
tekið	ssg	taka
langan	lkeosf	langur
tíma	nkeo	tími
að	cn	að
fá	sng	fá
bata	nkeo	bati
og	c	og
kannski	aa	kannski
næði	svg3eþ	ná
hún	fpven	hún
aldrei	aa	aldrei
fullri	lveþsf	fullur
heilsu	nveþ	heilsa
.	.	.
Smári	nken-s	Smári
sagði	sfg3eþ	segja
móður	nveþ	móðir
sinni	feveþ	sinn
að	cn	að
hafa	sng	hafa
engar	fovfo	enginn
áhyggjur	nvfo	áhyggja
.	.	.
Þau	fahfn	sá
systkinin	nhfng	systkin
myndu	svg3fþ	munu
skiptast	snm	skipta
á	aþ	á
að	cn	að
annast	snm	anna
búið	nheog	bú
í	aþ	í
fjarveru	nveþ	fjarvera
hennar	fpvee	hún
og	c	og
hún	fpven	hún
ætti	svg3eþ	eiga
að	cn	að
hugsa	sng	hugsa
um	ao	um
það	fpheo	það
eitt	lheosf	einn
að	cn	að
ná	sng	ná
aftur	aa	aftur
heilsu	nveþ	heilsa
.	.	.
Ragna	nven-s	Ragna
var	sfg3eþ	vera
borin	sþgven	bera
um	ao	um
borð	nheo	borð
í	ao	í
Fagranes	nheo-s	Fagranes
og	c	og
komið	sþghen	koma
fyrir	aa	fyrir
í	aþ	í
koju	nveþ	koja
.	.	.
Hún	fpven	hún
fékk	sfg3eþ	fá
sterk	lhfosf	sterkur
verkjalyf	nhfo	verkjalyf
og	c	og
siglingin	nveng	sigling
til	ae	til
Ísafjarðar	nkee-s	Ísafjörður
varð	sfg3eþ	verða
bærileg	lvensf	bærilegur
.	.	.
Á	aþ	á
Ísafjarðarspítala	nkeþ-s	Ísafjarðarspítali
var	sfg3eþ	vera
hún	fpven	hún
mynduð	sþgven	mynda
og	c	og
í	ao	í
ljós	nheo	ljós
kom	sfg3eþ	koma
brjósklos	nhen	brjósklos
í	aþ	í
tveimur	tfkfþ	tveir
hryggjarliðum	nkfþ	hryggjarliður
.	.	.
Hugur	nken	hugur
hennar	fpvee	hún
var	sfg3eþ	vera
stöðugt	aa	stöðugt
heima	aa	heima
á	aþ	á
Laugabóli	nheþ-s	Laugaból
en	c	en
hún	fpven	hún
vissi	sfg3eþ	vita
þó	aa	þó
að	c	að
Smári	nken-s	Smári
og	c	og
Bella	nven-s	Bella
myndu	svg3fþ	munu
sjá	sng	sjá
vel	aa	vel
um	ao	um
skepnurnar	nvfog	skepna
.	.	.
Dagarnir	nkfng	dagur
siluðust	sfm3fþ	sila
áfram	aa	áfram
en	c	en
það	fphen	það
létti	sfg3eþ	létta
lund	nveo	lund
Rögnu	nvee-s	Ragna
að	c	að
Sigga	nven-s	Sigga
,	,	,
systir	nven	systir
hennar	fpvee	hún
,	,	,
heimsótti	sfg3eþ	heimsækja
hana	fpveo	hún
daglega	aa	daglega
.	.	.
Sigga	nven-s	Sigga
bjó	sfg3eþ	búa
á	aþ	á
Hlíðarveginum	nkeþgs	Hlíðarvegur
á	aþ	á
Ísafirði	nkeþ-s	Ísafjörður
í	aþ	í
húsinu	nheþg	hús
sem	ct	sem
Betúel	nken-s	Betúel
fóstri	nken	fóstri
hennar	fpvee	hún
hafði	sfg3eþ	hafa
reist	ssg	reisa
.	.	.
Hún	fpven	hún
hafði	sfg3eþ	hafa
gifst	ssm	gifta
Jóni	nkeþ-s	Jón
Kr.	as	Kr.
Jónssyni	nkeþ-s	Jónsson
og	c	og
eignast	ssm	eigna
með	aþ	með
honum	fpkeþ	hann
myndarlegan	lkeosf	myndarlegur
barnahóp	nkeo	barnahópur
.	.	.
Þótt	c	þótt
Ragna	nven-s	Ragna
og	c	og
Sigga	nven-s	Sigga
hefðu	svg3fþ	hafa
ekki	aa	ekki
alist	ssm	ala
upp	aa	upp
saman	aa	saman
voru	sfg3fþ	vera
þær	fpvfn	hún
góðar	lvfnsf	góður
vinkonur	nvfn	vinkona
og	c	og
gátu	sfg3fþ	geta
spjallað	ssg	spjalla
um	ao	um
heima	nkfo	heimur
og	c	og
geima	nkfo	geimur
.	.	.
Enn	aa	enn
þrjóskaðist	sfm3eþ	þrjóskast
Ragna	nven-s	Ragna
við	ao	við
að	cn	að
fara	sng	fara
í	ao	í
uppskurð	nkeo	uppskurður
en	c	en
eftir	ao	eftir
hálfsmánaðardvöl	nveo	hálfsmánaðardvöl
á	aþ	á
spítalanum	nkeþg	spítali
án	ae	án
þess	fphee	það
að	c	að
henni	fpveþ	hún
batnaði	svg3eþ	batna
tók	sfg3eþ	taka
hún	fpven	hún
ákvörðun	nveo	ákvörðun
um	ao	um
að	cn	að
gangast	snm	ganga
undir	ao	undir
uppskurð	nkeo	uppskurður
.	.	.
Mánuði	nkeþ	mánuður
eftir	ao	eftir
að	c	að
Ragna	nven-s	Ragna
datt	sfg3eþ	detta
niður	aa	niður
á	aþ	á
Laugabóli	nheþ-s	Laugaból
var	sfg3eþ	vera
hún	fpven	hún
flutt	sþgven	flytja
til	ae	til
Reykjavíkur	nvee-s	Reykjavík
og	c	og
lögð	sþgven	leggja
inn	aa	inn
á	ao	á
Borgarspítalann	nkeogs	Borgarspítali
.	.	.
Þar	aa	þar
fór	sfg3eþ	fara
hún	fpven	hún
í	ao	í
nákvæmar	lvfosf	nákvæmur
myndatökur	nvfo	myndataka
sem	ct	sem
ætluðu	sfg3fþ	ætla
engan	fokeo	enginn
enda	nkeo	endi
að	cn	að
taka	sng	taka
.	.	.
Ragna	nven-s	Ragna
hafði	sfg3eþ	hafa
áhyggjur	nvfo	áhyggja
af	aþ	af
því	fpheþ	það
hvað	fshen	hver
tæki	svg3eþ	taka
við	aa	við
eftir	ao	eftir
uppskurðinn	nkeog	uppskurður
.	.	.
Ef	c	ef
hann	fpken	hann
mistækist	svm3eþ	mistaka
var	sfg3eþ	vera
einsýnt	lhensf	einsýnn
að	c	að
hún	fpven	hún
yrði	svg3eþ	verða
að	cn	að
hætta	sng	hætta
búskap	nkeþ	búskapur
á	aþ	á
Laugabóli	nheþ-s	Laugaból
og	c	og
hvað	fshen	hver
yrði	svg3eþ	verða
þá	aa	þá
um	ao	um
jörðina	nveog	jörð
?	?	?
Ragna	nven-s	Ragna
var	sfg3eþ	vera
skorin	sþgven	skera
upp	aa	upp
á	ao	á
sprengidag	nkeo	sprengidagur
í	aþ	í
byrjun	nveþ	byrjun
mars	nkee	mars
.	.	.
Næstu	lkfove	næstur
daga	nkfo	dagur
varð	sfg3eþ	verða
hún	fpven	hún
að	cn	að
liggja	sng	liggja
grafkyrr	lvensf	grafkyrr
og	c	og
henni	fpveþ	hún
leiddist	sfm3eþ	leiða
.	.	.
Hugur	nken	hugur
hennar	fpvee	hún
var	sfg3eþ	vera
stöðugt	aa	stöðugt
heima	aa	heima
á	aþ	á
Laugabóli	nheþ-s	Laugaból
en	c	en
hún	fpven	hún
vissi	sfg3eþ	vita
að	c	að
það	fphen	það
var	sfg3eþ	vera
langt	lhensf	langur
þar	aa	þar
til	aa	til
hún	fpven	hún
kæmist	svm3eþ	koma
aftur	aa	aftur
heim	aa	heim
,	,	,
líklega	aa	líklega
ekki	aa	ekki
fyrr	aam	fyrr
en	c	en
um	ao	um
sauðburðinn	nkeog	sauðburður
.	.	.
Aðgerðin	nveng	aðgerð
virtist	sfm3eþ	virða
þó	aa	þó
hafa	sng	hafa
heppnast	ssm	heppnast
vel	aa	vel
og	c	og
læknarnir	nkfng	læknir
voru	sfg3fþ	vera
ánægðir	lkfnsf	ánægður
.	.	.
Hálfum	lkeþsf	hálfur
mánuði	nkeþ	mánuður
eftir	ao	eftir
aðgerðina	nveog	aðgerð
var	sfg3eþ	vera
Ragna	nven-s	Ragna
send	sþgven	senda
á	ao	á
Reykjalund	nkeo-s	Reykjalundur
.	.	.
Þar	aa	þar
hófst	sfm3eþ	hefja
ströng	lvensf	strangur
endurhæfing	nven	endurhæfing
og	c	og
þess	fphee	það
á	aa	á
milli	ae	milli
staulaðist	sfm3eþ	staula
Ragna	nven-s	Ragna
um	aa	um
á	aþ	á
hækjum	nvfþ	hækja
.	.	.
Á	aþ	á
Reykjalundi	nkeþ-s	Reykjalundur
kynntist	sfm3eþ	kynna
hún	fpven	hún
öðrum	fokfþ	annar
sjúklingum	nkfþ	sjúklingur
.	.	.
Þeirra	fpkfe	hann
á	aa	á
meðal	ae	meðal
var	sfg3eþ	vera
Helgi	nken-s	Helgi
Jónsson	nken-s	Jónsson
ekkjumaður	nken	ekkjumaður
sem	ct	sem
hafði	sfg3eþ	hafa
lamast	ssm	lama
.	.	.
Hann	fpken	hann
sagði	sfg3eþ	segja
henni	fpveþ	hún
sögu	nveo	saga
sína	feveo	sinn
sem	ct	sem
var	sfg3eþ	vera
átakanleg	lvensf	átakanlegur
.	.	.
Hann	fpken	hann
hafði	sfg3eþ	hafa
búið	ssg	búa
í	aþ	í
Neskaupstað	nkeþ-s	Neskaupstaður
ásamt	aþ	ásamt
konu	nveþ	kona
sinni	feveþ	sinn
,	,	,
Guðrúnu	nveþ-s	Guðrún
Kristínu	nveþ-s	Kristín
Arnfinnsdóttur	nveþ-s	Arnfinnsdóttir
og	c	og
sjö	tfhfþ	sjö
börnum	nhfþ	barn
þeirra	fphfe	það
.	.	.
Hjónin	nhfng	hjón
höfðu	sfg3fþ	hafa
gengið	ssg	ganga
í	aa	í
gegnum	ao	gegnum
mikla	lveosf	mikill
sorg	nveo	sorg
því	fpheþ	það
sex	tfhfe	sex
ára	nhfe	ár
barn	nhen	barn
þeirra	fphfe	það
varð	sfg3eþ	verða
fyrir	aþ	fyrir
vörubíl	nkeþ	vörubíll
og	c	og
dó	sfg3eþ	deyja
.	.	.
Árið	nheog	ár
1966	ta	1966
lést	sfm3eþ	láta
Guðrún	nven-s	Guðrún
Kristín	nven-s	Kristín
og	c	og
Helgi	nken-s	Helgi
barðist	sfm3eþ	berja
einn	lkensf	einn
við	ao	við
að	cn	að
koma	sng	koma
sex	tfhfþ	sex
börnum	nhfþ	barn
sínum	fehfþ	sinn
til	ae	til
manns	nkee	maður
.	.	.
Sjálfur	fbken	sjálfur
veiktist	sfm3eþ	veikja
hann	fpken	hann
síðan	aa	síðan
og	c	og
lamaðist	sfm3eþ	lama
.	.	.
Hann	fpken	hann
fékk	sfg3eþ	fá
svokallaða	lveosf	svokallaður
taugarótarlömun	nveo	taugarótarlömun
en	c	en
vonir	nvfn	von
stóðu	sfg3fþ	standa
til	ae	til
þess	fphee	það
að	c	að
hann	fpken	hann
næði	svg3eþ	ná
aftur	aa	aftur
fullum	lkeþsf	fullur
styrk	nkeþ	styrkur
.	.	.
Hann	fpken	hann
hafði	sfg3eþ	hafa
áhyggjur	nvfo	áhyggja
af	aþ	af
börnum	nhfþ	barn
sínum	fehfþ	sinn
og	c	og
þá	aa	þá
sérstaklega	aa	sérstaklega
þeim	fahfþ	sá
yngstu	lhfþve	ungur
,	,	,
Kristínu	nveþ-s	Kristín
,	,	,
11	ta	11
ára	nhfe	ár
,	,	,
Hjörvari	nkeþ-s	Hjörvar
,	,	,
13	ta	13
ára	nhfe	ár
,	,	,
og	c	og
Rögnvaldi	nkeþ-s	Rögnvaldur
,	,	,
15	ta	15
ára	nhfe	ár
,	,	,
sem	ct	sem
voru	sfg3fþ	vera
á	aþ	á
barnaheimilinu	nheþg	barnaheimili
Snekkjuvogi	nkeþ-s	Snekkjuvogur
á	aþ	á
Stokkseyri	nveþ-s	Stokkseyri
og	c	og
í	aþ	í
raun	nveþ	raun
hálfvegalaus	lhfnsf	hálfvegalaus
.	.	.
Rögnu	nveþ-s	Ragna
runnu	sfg3fþ	renna
erfiðleikar	nkfn	erfiðleiki
mannsins	nkeeg	maður
og	c	og
barna	nhfe	barn
hans	fpkee	hann
til	ae	til
rifja	nhfe	rif
.	.	.
Þarna	aa	þarna
var	sfg3eþ	vera
enn	aa	enn
ein	tfven	einn
sönnun	nven	sönnun
þess	fphee	það
hve	aa	hve
lífið	nheng	líf
gat	sfg3eþ	geta
verið	ssg	vera
miskunnarlaust	lhensf	miskunnarlaus
.	.	.
Á	aþ	á
Reykjalundi	nkeþ-s	Reykjalundur
var	sfg3eþ	vera
fátt	lhensf	fár
um	ao	um
að	cn	að
vera	sng	vera
fyrir	ao	fyrir
mann	nkeo	maður
sem	ct	sem
bundinn	sþgken	binda
var	sfg3eþ	vera
hjólastól	nkeþ	hjólastóll
.	.	.
Ragna	nven-s	Ragna
vildi	sfg3eþ	vilja
allt	foheo	allur
til	ae	til
þess	fphee	það
gera	sng	gera
að	cn	að
létta	sng	létta
Helga	nkeþ-s	Helgi
lífið	nheog	líf
og	c	og
eitt	foheo	einn
sinn	nheo	sinn
fékk	sfg3eþ	fá
hún	fpven	hún
tvo	tfkfo	tveir
aðra	fokfo	annar
vistmenn	nkfo	vistmaður
í	ao	í
lið	nheo	lið
með	aþ	með
sér	fpveþ	sig
til	ae	til
að	cn	að
gera	sng	gera
honum	fpkeþ	hann
dagamun	nkeo	dagamunur
.	.	.
Stranglega	aa	stranglega
var	sfg3eþ	vera
bannað	sþghen	banna
að	cn	að
fara	sng	fara
út	aa	út
af	aþ	af
Reykjalundi	nkeþ-s	Reykjalundur
í	aþ	í
leyfisleysi	nheþ	leyfisleysi
en	c	en
Ragna	nven-s	Ragna
og	c	og
félagar	nkfn	félagi
hennar	fpvee	hún
ákváðu	sfg3fþ	ákveða
að	cn	að
bjóða	sng	bjóða
Helga	nkeþ-s	Helgi
í	ao	í
leikhús	nheo	leikhús
.	.	.
Hann	fpken	hann
þáði	sfg3eþ	þiggja
það	fpheo	það
með	aþ	með
þökkum	nvfþ	þökk
og	c	og
um	ao	um
kvöldið	nheog	kvöld
læddist	sfm3eþ	læða
ferningin	nveng	ferning
út	aa	út
.	.	.
Ragna	nven-s	Ragna
og	c	og
félagar	nkfn	félagi
hennar	fpvee	hún
báru	sfg3fþ	bera
Helga	nkeo-s	Helgi
í	aþ	í
hjólastólnum	nkeþg	hjólastóll
út	aa	út
í	ao	í
bíl	nkeo	bíll
sem	ct	sem
beið	sfg3eþ	bíða
þeirra	fphfe	það
.	.	.
Leikhúsferðin	nveng	leikhúsferð
heppnaðist	sfm3eþ	heppnast
vel	aa	vel
og	c	og
allir	fokfn	allur
skemmtu	sfg3fþ	skemmta
sér	fpkfþ	sig
hið	gheo	hinn
besta	lheove	góður
.	.	.
En	c	en
þegar	c	þegar
þau	fphfn	það
sneru	sfg3fþ	snúa
aftur	aa	aftur
heim	aa	heim
seint	aa	seint
um	ao	um
kvöldið	nheog	kvöld
fengu	sfg3fþ	fá
allir	fokfn	allur
skömm	nveo	skömm
í	ao	í
hattinn	nkeog	hattur
fyrir	ao	fyrir
að	cn	að
hafa	sng	hafa
brotið	ssg	brjóta
gegn	aþ	gegn
reglum	nvfþ	regla
spítalans	nkeeg	spítali
.	.	.
Rögnu	nveþ-s	Ragna
fannst	sfm3eþ	finna
það	fphen	það
vera	sng	vera
léttvægt	lhensf	léttvægur
miðað	sþghen	miða
við	ao	við
að	cn	að
hafa	sng	hafa
náð	ssg	ná
að	cn	að
gleðja	sng	gleðja
Helga	nkeo-s	Helgi
og	c	og
veita	sng	veita
honum	fpkeþ	hann
örlitla	lveosf	örlítill
upplyftingu	nveo	upplyfting
í	aþ	í
heimi	nkeþ	heimur
sem	ct	sem
bauð	sfg3eþ	bjóða
upp	aa	upp
á	ao	á
fátt	lheosf	fár
annað	foheo	annar
en	c	en
þjáningar	nvfo	þjáning
og	c	og
erfiðleika	nkfo	erfiðleiki
.	.	.
Þrjú	tfhfn	þrír
yngstu	lhfnve	ungur
börn	nhfn	barn
Helga	nkee-s	Helgi
komu	sfg3fþ	koma
annað	foheo	annar
veifið	nheog	veif
í	ao	í
heimsókn	nveo	heimsókn
til	ae	til
hans	fpkee	hann
.	.	.
Rögnu	nveþ-s	Ragna
fannst	sfm3eþ	finna
sárt	lhensf	sár
að	cn	að
horfa	sng	horfa
upp	aa	upp
á	ao	á
umkomuleysi	nheo	umkomuleysi
þeirra	fphfe	það
.	.	.
Sérstaklega	aa	sérstaklega
virtist	sfm3eþ	virða
sem	c	sem
Hjörvari	nkeþ-s	Hjörvar
liði	svg3eþ	líða
illa	aa	illa
.	.	.
Hann	fpken	hann
strauk	sfg3eþ	strjúka
af	aþ	af
barnaheimilinu	nheþg	barnaheimili
og	c	og
kom	sfg3eþ	koma
á	ao	á
Reykjalund	nkeo-s	Reykjalundur
en	c	en
var	sfg3eþ	vera
sendur	sþgken	senda
til	aa	til
baka	aa	baka
.	.	.
Rögnu	nveþ-s	Ragna
var	sfg3eþ	vera
hugsað	sþghen	hugsa
til	ae	til
barnanna	nhfeg	barn
sinna	fehfe	sinn
og	c	og
var	sfg3eþ	vera
þakklát	lvensf	þakklátur
fyrir	ao	fyrir
að	cn	að
hafa	sng	hafa
alltaf	aa	alltaf
getað	ssg	geta
tryggt	ssg	tryggja
þeim	fphfþ	það
gott	lheosf	góður
atlæti	nheo	atlæti
og	c	og
skjól	nheo	skjól
.	.	.
Um	ao	um
miðjan	lkeosf	miður
maí	nkeo	maí
,	,	,
fjórum	tfkfþ	fjórir
mánuðum	nkfþ	mánuður
eftir	ao	eftir
að	c	að
Ragna	nven-s	Ragna
veiktist	sfm3eþ	veikja
,	,	,
kom	sfg3eþ	koma
hún	fpven	hún
aftur	aa	aftur
heim	aa	heim
á	ao	á
Laugaból	nheo-s	Laugaból
.	.	.
Þar	aa	þar
var	sfg3eþ	vera
snjór	nken	snjór
niður	aa	niður
undir	ao	undir
tún	nheo	tún
en	c	en
vor	nhen	vor
í	aþ	í
lofti	nheþ	loft
.	.	.
Rögnu	nveþ-s	Ragna
til	ae	til
léttis	nkee	léttir
var	sfg3eþ	vera
allt	fohen	allur
í	aþ	í
föstum	lvfþsf	fastur
skorðum	nvfþ	skorða
á	aþ	á
Laugabóli	nheþ-s	Laugaból
.	.	.
Smári	nken-s	Smári
og	c	og
Bella	nven-s	Bella
höfðu	sfg3fþ	hafa
annast	ssm	anna
búið	nheog	bú
af	aþ	af
samviskusemi	nveþ	samviskusemi
.	.	.
Og	c	og
skemmtilegasti	lkenve	skemmtilegur
tíminn	nkeng	tími
en	c	en
jafnframt	aa	jafnframt
sá	faken	sá
erfiðasti	lkenve	erfiður
,	,	,
sauðburðurinn	nkeng	sauðburður
,	,	,
var	sfg3eþ	vera
hafinn	sþgken	hefja
.	.	.
Skömmu	lheþsf	skammur
eftir	ao	eftir
að	c	að
hún	fpven	hún
kom	sfg3eþ	koma
heim	aa	heim
hringdi	sfg3eþ	hringja
Helgi	nken-s	Helgi
í	ao	í
hana	fpveo	hún
frá	aþ	frá
Reykjalundi	nkeþ-s	Reykjalundur
.	.	.
Hann	fpken	hann
var	sfg3eþ	vera
áhyggjufullur	lkensf	áhyggjufullur
vegna	ae	vegna
drengjanna	nkfeg	drengur
,	,	,
Hjörvars	nkee-s	Hjörvar
og	c	og
Rögnvaldar	nkee-s	Rögnvaldur
,	,	,
sem	ct	sem
undu	sfg3fþ	una
sér	fpkfþ	sig
engan	fokeo	enginn
veginn	nkeog	vegur
á	aþ	á
barnaheimilinu	nheþg	barnaheimili
.	.	.
Hann	fpken	hann
spurði	sfg3eþ	spyrja
hvort	c	hvort
nokkur	foven	nokkur
leið	nven	leið
væri	svg3eþ	vera
til	ae	til
þess	fphee	það
að	c	að
þeir	fpkfn	hann
fengju	svg3fþ	fá
að	cn	að
koma	sng	koma
að	aþ	að
Laugabóli	nheþ-s	Laugaból
um	ao	um
tíma	nkeo	tími
á	aa	á
meðan	c	meðan
hann	fpken	hann
væri	svg3eþ	vera
sjálfur	fbken	sjálfur
að	cn	að
jafna	sng	jafna
sig	fpkeo	sig
.	.	.
Ragna	nven-s	Ragna
hugsaði	sfg3eþ	hugsa
sig	fpveo	sig
ekki	aa	ekki
um	aa	um
eitt	tfheo	einn
andartak	nheo	andartak
heldur	c	heldur
sagði	sfg3eþ	segja
að	c	að
þeir	fpkfn	hann
væru	svg3fþ	vera
velkomnir	lkfnsf	velkominn
.	.	.
Nokkrum	fokfþ	nokkur
dögum	nkfþ	dagur
síðar	aam	síðar
voru	sfg3fþ	vera
börnin	nhfng	barn
á	aþ	á
Laugabóli	nheþ-s	Laugaból
orðin	sþghfn	verða
fimm	tfhfn	fimm
.	.	.
Rögnvaldur	nken-s	Rögnvaldur
átti	sfg3eþ	eiga
eftir	aa	eftir
að	cn	að
vera	sng	vera
þar	aa	þar
í	ao	í
tvö	tfhfo	tveir
ár	nhfo	ár
en	c	en
Hjörvar	nken-s	Hjörvar
var	sfg3eþ	vera
kominn	sþgken	koma
til	ae	til
að	cn	að
vera	sng	vera
.	.	.
20.	ta	20.
kafli	nken	kafli
Hundurinn	nkeng	hundur
sem	ct	sem
valdi	sfg3eþ	velja
sér	fpkeþ	sig
húsbónda	nkeo	húsbóndi
Dýrin	nhfng	dýr
eru	sfg3fn	vera
mér	fp1eþ	ég
mikilvæg	lhfnsf	mikilvægur
.	.	.
Hjá	aþ	hjá
þeim	fphfþ	það
finn	sfg1en	finna
ég	fp1en	ég
fölskvalausa	lveosf	fölskvalaus
og	c	og
skilyrðislausa	lveosf	skilyrðislaus
væntumþykju	nveo	væntumþykja
.	.	.
Þegar	c	þegar
ég	fp1en	ég
hef	sfg1en	hafa
átt	ssg	eiga
hvað	fshen	hver
erfiðast	lheose	erfiður
á	aþ	á
lífsleiðinni	nveþg	lífsleið
hef	sfg1en	hafa
ég	fp1en	ég
gjarnan	aa	gjarnan
leitað	ssg	leita
til	ae	til
dýranna	nhfeg	dýr
og	c	og
spjallað	ssg	spjalla
við	ao	við
þau	fphfo	það
um	ao	um
það	faheo	sá
sem	ct	sem
ég	fp1en	ég
get	sfg1en	geta
ekki	aa	ekki
talað	ssg	tala
um	aa	um
við	ao	við
fólk	nheo	fólk
.	.	.
Ég	fp1en	ég
hef	sfg1en	hafa
aldrei	aa	aldrei
getað	ssg	geta
fargað	ssg	farga
dýri	nheþ	dýr
nema	c	nema
þegar	c	þegar
um	aa	um
er	sfg3en	vera
að	cn	að
