Búnaðarlög búnaðarlag nhfn
ÍSAT2008 ísat2008 nhen

nhen nhen nkeog

ísat2008 ísat2008 nhen

, , ,

, , ,

, , ,

þó þó aa

aa aur nkfo

þó þó aa

ekki ekki aa

aa aur nkfo

ekki ekki aa

starfsemi starfsemi nven

nven nven nkeog

starfsemi starfsemi nven

í í aþ

aþ aþ nhen

í í aþ

undirflokkum undirflokkur nkfþ

nkfþ nkfþ nhen

undirflokkur undirflokkur nken

01.61 01.61 ta

ta ta nven

01.61 01.61 ta

, , ,

, , ,

, , ,

01.62 01.62 ta

ta ta nven

01.62 01.62 ta

, , ,

, , ,

, , ,

01.63 01.63 ta

ta ta nven

01.63 01.63 ta

, , ,

, , ,

, , ,

01.64 01.64 ta

ta ta nven

01.64 01.64 ta

, , ,

, , ,

, , ,

01.70 01.70 ta

ta ta nven

01.70 01.70 ta

og og c

c c x

og og c

02.40 02.40 ta

ta ta nven

02.40 02.40 ta

. . .

. . .

. . .

Skilyrði skilyrði nhen

nhen nhen nkeog

skilyrði skilyrði nhen

þetta þessi fahen

fahen fahen nkeog

þessi þessi faven

á á aþ

aþ aþ nhen

á á aþ

ekki ekki aa

aa aur nkfo

ekki ekki aa

við við ao

ao ao sng

við við ao

um um ao

ao ao sng

um um ao

framlög framlag nhfn

nhfn nhfn nheo

framlag framlag nhen

sem sem c

c c x

sem sem c

Framleiðnisjóður framleiðnisjóður nken

nken nken nkeog

framleiðnisjóður framleiðnisjóður nken

landbúnaðarins landbúnaður nkeeg

nkeeg nkeegur lvensf

landbúnaður landbúnaður nken

ráðstafar ráðstafa sfg3en

sfg3en sfg3en nkeog

ráðstafa ráðstafa sng

skv. samkvæmt aþ

aþ aþ nhen

samkvæmt samkvæmt aþ

1. 1. ta

ta ta nven

1 1 ta

. . .

mgr. málsgrein nven

nven nven nkeog

málsgrein málsgrein nven

Á á aþ

aþ aþ nhen

á á aþ

hverju hver fsheþ

fsheþ fsheþ nhen

hver hver fsken

lögbýli lögbýli nheþ

nheþ nheþ nhen

lögbýli lögbýli nheþ

eða eða c

c c x

eða eða c

garðyrkjubýli garðyrkjubýli nheþ

nheþ nheþ nhen

garðyrkjubýli garðyrkjubýli nheþ

skal skulu sfg3en

sfg3en sfg3en nkeog

skulu skulu sfg3fn

aðeins aðeins aa

aa aur nkfo

aðeins aðeins aa

einn einn tfken

tfken tfken nkeog

einn einn tfken

framleiðandi framleiðandi lkenof

lkenof lkenof nhen

framleiðandi framleiðandi lkenof

vera vera sng

sng sng nven

vera vera sng

skráður skrá sþgken

sþgken sþgken nkeog

skrá skrá sng

handhafi handhafur nkeþ

nkeþ nkeþ nhen

handhafur handhafur nken

greiðslna greiðsln nvfe

nvfe nvfe sng

greiðsln greiðsln nkeog

. . .

. . .

. . .

Þó þó aa

aa aur nkfo

þó þó aa

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

einstaklingum einstaklingur nkfþ

nkfþ nkfþ nhen

einstaklingur einstaklingur nken

í í aþ

aþ aþ nhen

í í aþ

hjúskap hjúskapur nkeþ

nkeþ nkeþ nhen

hjúskapur hjúskapur nken

eða eða c

c c x

eða eða c

óvígðri óvígður lveþsf

lveþsf lveþsf sfg3eþ

óvígður óvígður lkensf

sambúð sambúð nven

nven nven nkeog

sambúð sambúð nven

á á aþ

aþ aþ nhen

á á aþ

hverju hver fsheþ

fsheþ fsheþ nhen

hver hver fsken

lögbýli lögbýli nheþ

nheþ nheþ nhen

lögbýli lögbýli nheþ

heimilt heimill lhensf

lhensf lhensf sfg3eþ

heimill heimill lkensf

að að cn

cn cn e

að að cn

skrá skrá sng

sng sng nven

skrá skrá sng

tvo tveir tfkfo

tfkfo tfkfo sng

tveir tveir tfkfn

framleiðendur framleiðandi nkfn

nkfn nkfn nheo

framleiðandi framleiðandi lkenof

sem sem c

c c x

sem sem c

handhafa handhafi nkfe

nkfe nkfe sng

handhafi handhafur nkeþ

greiðslna greiðsln nvfe

nvfe nvfe sng

greiðsln greiðsln nkeog

. . .

. . .

. . .

Þegar þegar c

c c x

þegar þegar c

um um ao

ao ao sng

um um ao

fleiri margur lkfnvm

lkfnvm lkfnvm nhfþ

margur margur lkensf

sjálfstæða sjálfstæður lvenvf

lvenvf lvenvf sfg3eþ

sjálfstæður sjálfstæður lkensf

rekstraraðila rekstraraðilur nkfe

nkfe nkfe sng

rekstraraðilur rekstraraðilur nken

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

að að cn

cn cn e

að að cn

ræða ræða sng

sng sng nven

ræða ræða sng

með með aþ

aþ aþ nhen

með með aþ

aðskilinn aðskilinn lkensf

lkensf lkensf sfg3eþ

aðskilinn aðskilinn lkensf

búrekstur búrekstur nken

nken nken nkeog

búrekstur búrekstur nken

getur geta sfg3en

sfg3en sfg3en nkeog

geta geta sfg3fn

hver hver fsken

fsken fsken nkeog

hver hver fsken

og og c

c c x

og og c

einn einn tfken

tfken tfken nkeog

einn einn tfken

þeirra hann fpkfe

fpkfe fpkfe sng

hann hann fpken

verið vera ssg

ssg ssgur nkeo

vera vera sng

handhafi handhafur nkeþ

nkeþ nkeþ nhen

handhafur handhafur nken

greiðslna greiðsln nvfe

nvfe nvfe sng

greiðsln greiðsln nkeog

. . .

. . .

. . .

] ] ]

] ] ]

] ] ]

2 2 ta

ta ta nven

2 2 ta

) ) )

) ) )

) ) )

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

126/2011 126 ta

ta ta nven

126 126 ta

, , ,

, , ,

, , ,

273. 273. ta

ta ta nven

273 273 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

2 2 ta

ta ta nven

2 2 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

102/2016 102 ta

ta ta nven

102 102 ta

, , ,

, , ,

, , ,

45. 45. ta

ta ta nven

45 45 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

4. 4. ta

ta ta nven

4 4 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

Fagráð fagráð nhen

nhen nhen nkeog

fagráð fagráð nhen

. . .

. . .

. . .

Fagráð fagráð nhen

nhen nhen nkeog

fagráð fagráð nhen

skulu skulu sfg3fn

sfg3fn sfg3fn nheo

skulu skulu sfg3fn

starfa starf nhfe

nhfe nhfe sng

starf starf nhen

fyrir fyrir ao

ao ao sng

fyrir fyrir ao

hverja hver foveo

foveo foveo sng

hver hver fsken

búgrein búgrein nven

nven nven nkeog

búgrein búgrein nven

og og c

c c x

og og c

á á aþ

aþ aþ nhen

á á aþ

einstökum einstakur lkfþsf

lkfþsf lkfþsf sfg3eþ

einstakur einstakur lkensf

fagsviðum fagsvið nhfþ

nhfþ nhfþ nhen

fagsvið fagsvið nhen

. . .

. . .

. . .

Fagráð fagráð nhen

nhen nhen nkeog

fagráð fagráð nhen

móta móta sng

sng sng nven

móta móta sng

stefnu stefna nveo

nveo nveo sng

stefna stefna nven

í í aþ

aþ aþ nhen

í í aþ

kynbótum kynbóta nvfþ

nvfþ nvfþ nhen

kynbóta kynbóta nvfe

og og c

c c x

og og c

þróunarstarfi þróunarstarfi nken

nken nken nkeog

þróunarstarfi þróunarstarfi nken

viðkomandi viðkomandi lkenof

lkenof lkenof nhen

viðkomandi viðkomandi lkenof

búgreinar búgrein nvfn

nvfn nvfn nheo

búgrein búgrein nven

, , ,

, , ,

, , ,

skilgreina skilgreina sng

sng sng nven

skilgreina skilgreina sng

ræktunarmarkmið ræktunarmarkmið nhen

nhen nhen nkeog

ræktunarmarkmið ræktunarmarkmið nhen

og og c

c c x

og og c

setja setja sng

sng sng nven

setja setja sng

reglur regla nvfn

nvfn nvfn nheo

regla regla nven

um um ao

ao ao sng

um um ao

framkvæmd framkvæmd nven

nven nven nkeog

framkvæmd framkvæmd nven

meginþátta meginþáttur nkfo

nkfo nkfo sng

meginþáttur meginþáttur nken

ræktunarstarfsins ræktunarstarf nheeg

nheeg nheegur lvensf

ræktunarstarf ræktunarstarf nhen

. . .

. . .

. . .

Enn enn aa

aa aur nkfo

enn enn aa

fremur fremur aam

aam aam nhfþ

fremur fremur aam

móta móta sng

sng sng nven

móta móta sng

þau það fphfn

fphfn fphfn nheo

það það fphen

tillögur tillaga nvfn

nvfn nvfn nheo

tillaga tillaga nven

um um ao

ao ao sng

um um ao

stefnu stefna nveo

nveo nveo sng

stefna stefna nven

í í aþ

aþ aþ nhen

í í aþ

fræðslumálum fræðslumál nhfþ

nhfþ nhfþ nhen

fræðslumál fræðslumál nhen

og og c

c c x

og og c

rannsóknum rannsókn nvfþ

nvfþ nvfþ nhen

rannsókn rannsókn nven

búgreinarinnar búgrein nveeg

nveeg nveegur lvensf

búgrein búgrein nven

og og c

c c x

og og c

fjalla fjalla sng

sng sng nven

fjalla fjalla sng

um um ao

ao ao sng

um um ao

önnur annar foven

foven foven nkeog

annar annar foken

mál mál nhen

nhen nhen nkeog

mál mál nhen

sem sem c

c c x

sem sem c

vísað vísa ssg

ssg ssgur nkeo

vísa vísa nven

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

þangað þangað aa

aa aur nkfo

þangað þangað aa

til til ae

ae ae sng

til til ae

umsagnar umsögn nvee

nvee nvee sng

umsögn umsögn nven

og og c

c c x

og og c

afgreiðslu afgreiðsla nveo

nveo nveo sng

afgreiðsla afgreiðsla nven

. . .

. . .

. . .

Í í aþ

aþ aþ nhen

í í aþ

fagráðum fagráða nvfþ

nvfþ nvfþ nhen

fagráða fagráða nven

skulu skulu sfg3fn

sfg3fn sfg3fn nheo

skulu skulu sfg3fn

sitja sitja sng

sng sng nven

sitja sitja sng

menn maður nkfn

nkfn nkfn nheo

maður maður nken

úr úr aþ

aþ aþ nhen

úr úr aþ

hópi hópur nkeþ

nkeþ nkeþ nhen

hópur hópur nken

starfandi starfa slg

slg slgur nkeo

starfa starf nhfe

bænda bóndi nkfe

nkfe nkfe sng

bóndi bóndi nken

og og c

c c x

og og c

einn einn tfken

tfken tfken nkeog

einn einn tfken

ráðunautur ráðunautur nken

nken nken nkeog

ráðunautur ráðunautur nken

í í aþ

aþ aþ nhen

í í aþ

hlutaðeigandi hlutaðeigandi lkenof

lkenof lkenof nhen

hlutaðeigandi hlutaðeigandi lkenof

búgrein búgrein nven

nven nven nkeog

búgrein búgrein nven

eða eða c

c c x

eða eða c

fagsviði fagsviði nken

nken nken nkeog

fagsviði fagsviði nken

. . .

. . .

. . .

Jafnframt jafnframt aa

aa aur nkfo

jafnframt jafnframt aa

skulu skulu sfg3fn

sfg3fn sfg3fn nheo

skulu skulu sfg3fn

sitja sitja sng

sng sng nven

sitja sitja sng

í í aþ

aþ aþ nhen

í í aþ

fagráðum fagráða nvfþ

nvfþ nvfþ nhen

fagráða fagráða nven

eða eða c

c c x

eða eða c

starfa starf nhfe

nhfe nhfe sng

starf starf nhen

með með aþ

aþ aþ nhen

með með aþ

þeim það fphfþ

fphfþ fphfþ nhen

það það fphen

sérfróðir sérfróður nkfn

nkfn nkfn nheo

sérfróður sérfróður nken

aðilar aðili nkfn

nkfn nkfn nheo

aðili aðili nken

. . .

. . .

. . .

Fagráð fagráð nhen

nhen nhen nkeog

fagráð fagráð nhen

skulu skulu sfg3fn

sfg3fn sfg3fn nheo

skulu skulu sfg3fn

hljóta hljóta sng

sng sng nven

hljóta hljóta sng

staðfestingu staðfesting nveþ

nveþ nveþ nhen

staðfesting staðfesting nven

[ [ [

[ [ [

[ [ [

ráðherra ráðherra nken

nken nken nkeog

ráðherra ráðherra nken

] ] ]

] ] ]

] ] ]

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

að að cn

cn cn e

að að cn

fenginni fenginn lveþsf

lveþsf lveþsf sfg3eþ

fenginn fá sþgken

umsögn umsögn nven

nven nven nkeog

umsögn umsögn nven

Bændasamtaka bændasamtök nhfe

nhfe nhfe sng

bændasamtök bændasamtök nhfn

Íslands ísland nhee-s

nhee-s nhee-s nhee

ísland ísland nhen

. . .

. . .

. . .

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

126/2011 126 ta

ta ta nven

126 126 ta

, , ,

, , ,

, , ,

273. 273. ta

ta ta nven

273 273 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

5. 5. ta

ta ta nven

5 5 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

Um um ao

ao ao sng

um um ao

félagsaðild félagsaðild nven

nven nven nkeog

félagsaðild félagsaðild nven

bænda bóndi nkfe

nkfe nkfe sng

bóndi bóndi nken

. . .

. . .

. . .

Hver hver fsken

fsken fsken nkeog

hver hver fsken

sá sjá sfg3eþ

sfg3eþ sfg3eþ nhen

sjá sjá sng

sem sem c

c c x

sem sem c

stundar stund nvee

nvee nvee sng

stund stund nven

búrekstur búrekstur nken

nken nken nkeog

búrekstur búrekstur nken

í í aþ

aþ aþ nhen

í í aþ

atvinnuskyni atvinnuskyn nheþ

nheþ nheþ nhen

atvinnuskyn atvinnuskyn nhen

á á aþ

aþ aþ nhen

á á aþ

rétt rétt aa

aa aur nkfo

rétt rétt aa

á á aþ

aþ aþ nhen

á á aþ

aðild aðild nven

nven nven nkeog

aðild aðild nven

að að cn

cn cn e

að að cn

búnaðarsambandi búnaðarsamband nheþ

nheþ nheþ nhen

búnaðarsamband búnaðarsamband nhen

síns sinn fekee

fekee fekee sng

sinn sinn feken

héraðs hérað nhee

nhee nhee sng

hérað hérað nhen

gegnum gegnum ao

ao ao sng

gegnum gegnum ao

búnaðarfélag búnaðarfélag nhen

nhen nhen nkeog

búnaðarfélag búnaðarfélag nhen

, , ,

, , ,

, , ,

búgreinafélag búgreinafélag nhen

nhen nhen nkeog

búgreinafélag búgreinafélag nhen

eða eða c

c c x

eða eða c

með með aþ

aþ aþ nhen

með með aþ

beinni beinn lveþsf

lveþsf lveþsf sfg3eþ

beinn beinn lkensf

aðild aðild nven

nven nven nkeog

aðild aðild nven

eftir eftir aþ

aþ aþ nhen

eftir eftir aþ

samþykktum samþykkt nvfþ

nvfþ nvfþ nhen

samþykkt samþykkt nveþ

viðkomandi viðkomandi lkenof

lkenof lkenof nhen

viðkomandi viðkomandi lkenof

búnaðarsambands búnaðarsamband nhee

nhee nhee sng

búnaðarsamband búnaðarsamband nhen

. . .

. . .

. . .

Sama samur fbhen

fbhen fbhen nkeog

samur samur fbken

búnaðarsamband búnaðarsamband nhen

nhen nhen nkeog

búnaðarsamband búnaðarsamband nhen

getur geta sfg3en

sfg3en sfg3en nkeog

geta geta sfg3fn

náð ná ssg

ssg ssgur nkeo

ná ná sng

yfir yfir ao

ao ao sng

yfir yfir ao

fleiri margur lkfnvm

lkfnvm lkfnvm nhfþ

margur margur lkensf

héruð hérað nhfn

nhfn nhfn nheo

hérað hérað nhen

og og c

c c x

og og c

sýslur sýsla nvfn

nvfn nvfn nheo

sýsla sýsla sng

. . .

. . .

. . .

II. ii. ta

ta ta nven

ii ia sfg3eþ

. . .

kafli kafli nken

nken nken nkeog

kafli kafli nken

. . .

. . .

. . .

[ [ [

[ [ [

[ [ [

Jarðabætur jarðabæta nvfn

nvfn nvfn nheo

jarðabæta jarðabæta nven

og og c

c c x

og og c

landgreiðslur landgreiðsla nvfn

nvfn nvfn nheo

landgreiðsla landgreiðsla nven

. . .

. . .

. . .

] ] ]

] ] ]

] ] ]

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

102/2016 102 ta

ta ta nven

102 102 ta

, , ,

, , ,

, , ,

48. 48. ta

ta ta nven

48 48 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

6. 6. ta

ta ta nven

6 6 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

Markmið markmið nhen

nhen nhen nkeog

markmið markmið nhen

. . .

. . .

. . .

Jarðabætur jarðabæta nvfn

nvfn nvfn nheo

jarðabæta jarðabæta nven

sem sem c

c c x

sem sem c

hér hér aa

aa aur nkfo

hér hér aa

um um ao

ao ao sng

um um ao

ræðir ræða sfg3en

sfg3en sfg3en nkeog

ræða ræða sng

skulu skulu sfg3fn

sfg3fn sfg3fn nheo

skulu skulu sfg3fn

miða miða sng

sng sng nven

miða miða sng

að að cn

cn cn e

að að cn

því það fpheþ

fpheþ fpheþ nhen

það það fphen

að að cn

cn cn e

að að cn

bæta bæta sng

sng sng nven

bæta bæta sng

aðstöðu aðstaða nveo

nveo nveo sng

aðstaða aðstaða nven

til til ae

ae ae sng

til til ae

búskapar búskapi nkfn

nkfn nkfn nheo

búskapi búskapur nkeþ

á á aþ

aþ aþ nhen

á á aþ

viðkomandi viðkomandi lkenof

lkenof lkenof nhen

viðkomandi viðkomandi lkenof

býlum býli nhfþ

nhfþ nhfþ nhen

býli býli nheþ

og og c

c c x

og og c

stuðla stuðla sng

sng sng nven

stuðla stuðla sng

með með aþ

aþ aþ nhen

með með aþ

því það fpheþ

fpheþ fpheþ nhen

það það fphen

að að cn

cn cn e

að að cn

framförum framför nvfþ

nvfþ nvfþ nhen

framför framfar nhfn

í í aþ

aþ aþ nhen

í í aþ

landbúnaði landbúnaður nkeþ

nkeþ nkeþ nhen

landbúnaður landbúnaður nken

og og c

c c x

og og c

auka auka sng

sng sng nven

auka auka sng

samkeppnishæfni samkeppnishæfni nven

nven nven nkeog

samkeppnishæfni samkeppnishæfni nven

hans hann fpkee

fpkee fpkee sng

hann hann fpken

. . .

. . .

. . .

Þær hún fpvfn

fpvfn fpvfn nheo

hún hún fpven

skulu skulu sfg3fn

sfg3fn sfg3fn nheo

skulu skulu sfg3fn

auk auk ae

ae ae sng

auk auk ae

þess það fphee

fphee fphee sng

það það fphen

stuðla stuðla sng

sng sng nven

stuðla stuðla sng

að að cn

cn cn e

að að cn

sjálfbærri sjálfbærur lkenvm

lkenvm lkenvm nhfþ

sjálfbærur sjálfbæra nvfn

landnýtingu landnýting nveþ

nveþ nveþ nhen

landnýting landnýting nven

og og c

c c x

og og c

verndun verndun nven

nven nven nkeog

verndun verndun nven

vistkerfa vistkerfi nhfe

nhfe nhfe sng

vistkerfi vistkerfi nheþ

, , ,

, , ,

, , ,

taka taka sng

sng sng nven

taka taka sng

mið mið nheo

nheo nheo sng

mið mið nheo

af af aþ

aþ aþ nhen

af af aþ

skuldbindingum skuldbinding nvfþ

nvfþ nvfþ nhen

skuldbinding skuldbinding nven

Íslendinga íslendingur nkfe-s

nkfe-s nkfe-s nhee

íslendingur íslendinga nvfn

um um ao

ao ao sng

um um ao

varðveislu varðveisla nveþ

nveþ nveþ nhen

varðveisla varðveisla nven

líffræðilegrar líffræðilegur lveesf

lveesf lveesf sfg3eþ

líffræðilegur líffræðilegur lkensf

fjölbreytni fjölbreytni nven

nven nven nkeog

fjölbreytni fjölbreytni nven

, , ,

, , ,

, , ,

markmiðum markmið nhfþ

nhfþ nhfþ nhen

markmið markmið nhen

þjóðarinnar þjóð nveeg

nveeg nveegur lvensf

þjóð þjóð nven

um um ao

ao ao sng

um um ao

verndun verndun nven

nven nven nkeog

verndun verndun nven

umhverfis umhverfis ao

ao ao sng

umhverfis umhverfis ao

og og c

c c x

og og c

sjálfbæra sjálfbæri nkeo

nkeo nkeo sng

sjálfbæri sjálfbæri nken

þróun þróun nven

nven nven nkeog

þróun þróun nven

og og c

c c x

og og c

stuðla stuðla sng

sng sng nven

stuðla stuðla sng

að að cn

cn cn e

að að cn

framþróun framþróun nven

nven nven nkeog

framþróun framþróun nven

vistrænna vistrænn nvfe

nvfe nvfe sng

vistrænn vistrænn lkensf

og og c

c c x

og og c

lífrænna lífrænn nvfe

nvfe nvfe sng

lífrænn lífrænn lkensf

búskaparhátta búskaparháttur nkfo

nkfo nkfo sng

búskaparháttur búskaparháttur nken

. . .

. . .

. . .

7. 7. ta

ta ta nven

7 7 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

Framkvæmd framkvæmd nven

nven nven nkeog

framkvæmd framkvæmd nven

. . .

. . .

. . .

Skilyrði skilyrði nhen

nhen nhen nkeog

skilyrði skilyrði nhen

þess það fphee

fphee fphee sng

það það fphen

að að cn

cn cn e

að að cn

jarðabætur jarðabæta nvfn

nvfn nvfn nheo

jarðabæta jarðabæta nven

njóti njóta svg3en

svg3en svg3en nkeog

njóta njóta sng

framlags framlag nhee

nhee nhee sng

framlag framlag nhen

[ [ [

[ [ [

[ [ [

eða eða c

c c x

eða eða c

landgreiðslna landgreiðsln nvfe

nvfe nvfe sng

landgreiðsln landgreiðsln nkeog

] ] ]

] ] ]

] ] ]

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

samkvæmt samkvæmt aþ

aþ aþ nhen

samkvæmt samkvæmt aþ

lögum lag nhfþ

nhfþ nhfþ nhen

lag lag nhen

þessum þessi fakeþ

fakeþ fakeþ nhen

þessi þessi faven

eru vera sfg3fn

sfg3fn sfg3fn nheo

vera vera sng

að að cn

cn cn e

að að cn

um um ao

ao ao sng

um um ao

þær hún fpvfn

fpvfn fpvfn nheo

hún hún fpven

hafi hafa svg3en

svg3en svg3en nkeog

hafa hafa sfg3fn

verið vera ssg

ssg ssgur nkeo

vera vera sng

samið semja ssg

ssg ssgur nkeo

semja semja sng

eins eins aa

aa aur nkfo

eins eins aa

og og c

c c x

og og c

lýst lýsa ssg

ssg ssgur nkeo

lýsa lýsa sng

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

í í aþ

aþ aþ nhen

í í aþ

3. 3. ta

ta ta nven

3 3 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

laga lag nhfe

nhfe nhfe sng

lag lag nhen

þessara þessi fahfe

fahfe fahfe sng

þessi þessi faven

, , ,

, , ,

, , ,

að að cn

cn cn e

að að cn

um um ao

ao ao sng

um um ao

það það fphen

fphen fphen nkeog

það það fphen

hafi hafa svg3en

svg3en svg3en nkeog

hafa hafa sfg3fn

verið vera ssg

ssg ssgur nkeo

vera vera sng

sótt sækja ssg

ssg ssgur nkeo

sækja sækja sng

og og c

c c x

og og c

með með aþ

aþ aþ nhen

með með aþ

því það fpheþ

fpheþ fpheþ nhen

það það fphen

mælt mæla ssg

ssg ssgur nkeo

mæla mæla sng

af af aþ

aþ aþ nhen

af af aþ

viðkomandi viðkomandi lkenof

lkenof lkenof nhen

viðkomandi viðkomandi lkenof

búnaðarsambandi búnaðarsamband nheþ

nheþ nheþ nhen

búnaðarsamband búnaðarsamband nhen

eða eða c

c c x

eða eða c

leiðbeiningarmiðstöð leiðbeiningarmiðstöð nven

nven nven nkeog

leiðbeiningarmiðstöð leiðbeiningarmiðstöð nven

. . .

. . .

. . .

[ [ [

[ [ [

[ [ [

Ráðherra ráðherra nken

nken nken nkeog

ráðherra ráðherra nken

] ] ]

] ] ]

] ] ]

2 2 ta

ta ta nven

2 2 ta

) ) )

) ) )

) ) )

setur setja sfg3en

sfg3en sfg3en nkeog

setja setja sng

með með aþ

aþ aþ nhen

með með aþ

reglugerð reglugerð nven

nven nven nkeog

reglugerð reglugerð nven

3 3 ta

ta ta nven

3 3 ta

) ) )

) ) )

) ) )

nánari náinn lvenvm

lvenvm lvenvm nhfþ

náinn náinn lkensf

ákvæði ákvæði nhfn

nhfn nhfn nheo

ákvæði ákvæði nhfn

um um ao

ao ao sng

um um ao

skilyrði skilyrði nhen

nhen nhen nkeog

skilyrði skilyrði nhen

fyrir fyrir ao

ao ao sng

fyrir fyrir ao

framlögum framlag nhfþ

nhfþ nhfþ nhen

framlag framlag nhen

til til ae

ae ae sng

til til ae

jarðabóta jarðabóta nvfe

nvfe nvfe sng

jarðabóta jarðabóta nvfe

[ [ [

[ [ [

[ [ [

og og c

c c x

og og c

landgreiðslna landgreiðsln nvfe

nvfe nvfe sng

landgreiðsln landgreiðsln nkeog

] ] ]

] ] ]

] ] ]

, , ,

, , ,

, , ,

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

fresti frestur nkeþ

nkeþ nkeþ nhen

frestur frestur nken

til til ae

ae ae sng

til til ae

umsókna umsókna nven

nven nven nkeog

umsókna umsókna nven

og og c

c c x

og og c

tilhögun tilhögun nven

nven nven nkeog

tilhögun tilhögun nven

greiðslna greiðsln nvfe

nvfe nvfe sng

greiðsln greiðsln nkeog

. . .

. . .

. . .

Framlög framlag nhfn

nhfn nhfn nheo

framlag framlag nhen

til til ae

ae ae sng

til til ae

jarðabóta jarðabóta nvfe

nvfe nvfe sng

jarðabóta jarðabóta nvfe

geta geta sfg3fn

sfg3fn sfg3fn nheo

geta geta sfg3fn

náð ná ssg

ssg ssgur nkeo

ná ná sng

til til ae

ae ae sng

til til ae

allra allur fokfe

fokfe fokfe sng

allur allur foken

jarðeigna jarðeigna sng

sng sng nven

jarðeigna jarðeigna sng

þar þar aa

aa aur nkfo

þar þar aa

sem sem c

c c x

sem sem c

landbúnaður landbúnaður nken

nken nken nkeog

landbúnaður landbúnaður nken

