Búnaðarlög nhfn búnaðarlag
. . .
  
Bændasamtök nhfn bændasamtök
  
nhfn nheo nhfn
  
bændasamtök nhfn bændasamtök
  
Íslands nhee-s ísland
  
nhee-s nhee nhee-s
  
ísland nhen ísland
  
, , ,
  
, , ,
  
, , ,
  
[ [ [
  
[ [ [
  
[ [ [
  
félög nhfn félag
  
nhfn nheo nhfn
  
félag nhen félag
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
fullri lveþsf fullur
  
lveþsf sfg3eþ lveþsf
  
fullur lkensf fullur
  
eigu nveþ eiga
  
nveþ nhen nveþ
  
eiga sng eiga
  
samtakanna nhfeg samtök
  
nhfeg lvensf nhfegur
  
samtök nhfn samtök
  
] ] ]
  
] ] ]
  
] ] ]
  
2 ta 2
  
ta nven ta
  
2 ta 2
  
) ) )
  
) ) )
  
) ) )
  
og c og
  
c x c
  
og c og
  
önnur foven annar
  
foven nkeog foven
  
annar foken annar
  
samtök nhfn samtök
  
nhfn nheo nhfn
  
samtök nhfn samtök
  
sem c sem
  
c x c
  
sem c sem
  
fara sng fara
  
sng nven sng
  
fara sng fara
  
með aþ með
  
aþ nhen aþ
  
með aþ með
  
verkefni nhfn verkefni
  
nhfn nheo nhfn
  
verkefni nhfn verkefni
  
samkvæmt aþ samkvæmt
  
aþ nhen aþ
  
samkvæmt aþ samkvæmt
  
lögum nhfþ lag
  
nhfþ nhen nhfþ
  
lag nhen lag
  
þessum fakeþ þessi
  
fakeþ nhen fakeþ
  
þessi faven þessi
  
geta sfg3fn geta
  
sfg3fn nheo sfg3fn
  
geta sfg3fn geta
  
tekið ssg taka
  
ssg nkeo ssgur
  
taka sng taka
  
gjald nhen gjald
  
nhen nkeog nhen
  
gjald nhen gjald
  
fyrir ao fyrir
  
ao sng ao
  
fyrir ao fyrir
  
þjónustu nveo þjónusta
  
nveo sng nveo
  
þjónusta nven þjónusta
  
sína feveo sinn
  
feveo sng feveo
  
sinn feken sinn
  
samkvæmt aþ samkvæmt
  
aþ nhen aþ
  
samkvæmt aþ samkvæmt
  
gjaldskrá nven gjaldskrá
  
nven nkeog nven
  
gjaldskrá nven gjaldskrá
  
sem c sem
  
c x c
  
sem c sem
  
[ [ [
  
[ [ [
  
[ [ [
  
ráðherra nken ráðherra
  
nken nkeog nken
  
ráðherra nken ráðherra
  
] ] ]
  
] ] ]
  
] ] ]
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
staðfestir sfg3en staðfesta
  
sfg3en nkeog sfg3en
  
staðfesta sng staðfesta
  
. . .
  
. . .
  
. . .
  
[ [ [
  
[ [ [
  
[ [ [
  
Þeir fpkfn hann
  
fpkfn nheo fpkfn
  
hann fpken hann
  
framleiðendur nkfn framleiðandi
  
nkfn nheo nkfn
  
framleiðandi lkenof framleiðandi
  
einir lkfnsf einn
  
lkfnsf sfg3eþ lkfnsf
  
einn tfken einn
  
fá sng fá
  
sng nven sng
  
fá sng fá
  
greiðslur nvfn greiðsla
  
nvfn nheo nvfn
  
greiðsla nven greiðsla
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
samræmi nhen samræmi
  
nhen nkeog nhen
  
samræmi nhen samræmi
  
við ao við
  
ao sng ao
  
við ao við
  
samning nven samning
  
nven nkeog nven
  
samning nven samning
  
skv. aþ samkvæmt
  
aþ nhen aþ
  
samkvæmt aþ samkvæmt
  
1. ta 1.
  
ta nven ta
  
1 ta 1
  
. . .
  
mgr. nven málsgrein
  
nven nkeog nven
  
málsgrein nven málsgrein
  
sem c sem
  
c x c
  
sem c sem
  
stunda sng stunda
  
sng nven sng
  
stunda sng stunda
  
landbúnað nkeo landbúnaður
  
nkeo sng nkeo
  
landbúnaður nken landbúnaður
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
lögbýli nheþ lögbýli
  
nheþ nhen nheþ
  
lögbýli nheþ lögbýli
  
eða c eða
  
c x c
  
eða c eða
  
garðyrkjubýli nheþ garðyrkjubýli
  
nheþ nhen nheþ
  
garðyrkjubýli nheþ garðyrkjubýli
  
, , ,
  
, , ,
  
, , ,
  
eru sfg3fn vera
  
sfg3fn nheo sfg3fn
  
vera sng vera
  
með aþ með
  
aþ nhen aþ
  
með aþ með
  
virðisaukaskattsnúmer nhen virðisaukaskattsnúmer
  
nhen nkeog nhen
  
virðisaukaskattsnúmer nhen virðisaukaskattsnúmer
  
og c og
  
c x c
  
og c og
  
starfsemi nven starfsemi
  
nven nkeog nven
  
starfsemi nven starfsemi
  
sem c sem
  
c x c
  
sem c sem
  
fellur sfg3en falla
  
sfg3en nkeog sfg3en
  
falla sng falla
  
undir aþ undir
  
aþ nhen aþ
  
undir aþ undir
  
atvinnugreinanúmer nhen atvinnugreinanúmer
  
nhen nkeog nhen
  
atvinnugreinanúmer nhen atvinnugreinanúmer
  
01 ta 01
  
ta nven ta
  
01 ta 01
  
og c og
  
c x c
  
og c og
  
02 ta 02
  
ta nven ta
  
02 ta 02
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
atvinnugreinaflokkun nven atvinnugreinaflokkun
  
nven nkeog nven
  
atvinnugreinaflokkun nven atvinnugreinaflokkun
  
Hagstofu nveo hagstofa
  
nveo sng nveo
  
hagstofa nven hagstofa
  
Íslands nhee-s ísland
  
nhee-s nhee nhee-s
  
ísland nhen ísland
  
, , ,
  
, , ,
  
, , ,
  
sbr. as samanbera
  
as nkee aur
  
samanbera nhfe samanber
  
ÍSAT2008 nhen ísat2008
  
nhen nkeog nhen
  
ísat2008 nhen ísat2008
  
, , ,
  
, , ,
  
, , ,
  
þó aa þó
  
aa nkfo aur
  
þó aa þó
  
ekki aa ekki
  
aa nkfo aur
  
ekki aa ekki
  
starfsemi nven starfsemi
  
nven nkeog nven
  
starfsemi nven starfsemi
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
undirflokkum nkfþ undirflokkur
  
nkfþ nhen nkfþ
  
undirflokkur nken undirflokkur
  
01.61 ta 01.61
  
ta nven ta
  
01.61 ta 01.61
  
, , ,
  
, , ,
  
, , ,
  
01.62 ta 01.62
  
ta nven ta
  
01.62 ta 01.62
  
, , ,
  
, , ,
  
, , ,
  
01.63 ta 01.63
  
ta nven ta
  
01.63 ta 01.63
  
, , ,
  
, , ,
  
, , ,
  
01.64 ta 01.64
  
ta nven ta
  
01.64 ta 01.64
  
, , ,
  
, , ,
  
, , ,
  
01.70 ta 01.70
  
ta nven ta
  
01.70 ta 01.70
  
og c og
  
c x c
  
og c og
  
02.40 ta 02.40
  
ta nven ta
  
02.40 ta 02.40
  
. . .
  
. . .
  
. . .
  
Skilyrði nhen skilyrði
  
nhen nkeog nhen
  
skilyrði nhen skilyrði
  
þetta fahen þessi
  
fahen nkeog fahen
  
þessi faven þessi
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
ekki aa ekki
  
aa nkfo aur
  
ekki aa ekki
  
við ao við
  
ao sng ao
  
við ao við
  
um ao um
  
ao sng ao
  
um ao um
  
framlög nhfn framlag
  
nhfn nheo nhfn
  
framlag nhen framlag
  
sem c sem
  
c x c
  
sem c sem
  
Framleiðnisjóður nken framleiðnisjóður
  
nken nkeog nken
  
framleiðnisjóður nken framleiðnisjóður
  
landbúnaðarins nkeeg landbúnaður
  
nkeeg lvensf nkeegur
  
landbúnaður nken landbúnaður
  
ráðstafar sfg3en ráðstafa
  
sfg3en nkeog sfg3en
  
ráðstafa sng ráðstafa
  
skv. aþ samkvæmt
  
aþ nhen aþ
  
samkvæmt aþ samkvæmt
  
1. ta 1.
  
ta nven ta
  
1 ta 1
  
. . .
  
mgr. nven málsgrein
  
nven nkeog nven
  
málsgrein nven málsgrein
  
Á aþ á
  
aþ nhen aþ
  
á aþ á
  
hverju fsheþ hver
  
fsheþ nhen fsheþ
  
hver fsken hver
  
lögbýli nheþ lögbýli
  
nheþ nhen nheþ
  
lögbýli nheþ lögbýli
  
eða c eða
  
c x c
  
eða c eða
  
garðyrkjubýli nheþ garðyrkjubýli
  
nheþ nhen nheþ
  
garðyrkjubýli nheþ garðyrkjubýli
  
skal sfg3en skulu
  
sfg3en nkeog sfg3en
  
skulu sfg3fn skulu
  
aðeins aa aðeins
  
aa nkfo aur
  
aðeins aa aðeins
  
einn tfken einn
  
tfken nkeog tfken
  
einn tfken einn
  
framleiðandi lkenof framleiðandi
  
lkenof nhen lkenof
  
framleiðandi lkenof framleiðandi
  
vera sng vera
  
sng nven sng
  
vera sng vera
  
skráður sþgken skrá
  
sþgken nkeog sþgken
  
skrá sng skrá
  
handhafi nkeþ handhafur
  
nkeþ nhen nkeþ
  
handhafur nken handhafur
  
greiðslna nvfe greiðsln
  
nvfe sng nvfe
  
greiðsln nkeog greiðsln
  
. . .
  
. . .
  
. . .
  
Þó aa þó
  
aa nkfo aur
  
þó aa þó
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
einstaklingum nkfþ einstaklingur
  
nkfþ nhen nkfþ
  
einstaklingur nken einstaklingur
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
hjúskap nkeþ hjúskapur
  
nkeþ nhen nkeþ
  
hjúskapur nken hjúskapur
  
eða c eða
  
c x c
  
eða c eða
  
óvígðri lveþsf óvígður
  
lveþsf sfg3eþ lveþsf
  
óvígður lkensf óvígður
  
sambúð nven sambúð
  
nven nkeog nven
  
sambúð nven sambúð
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
hverju fsheþ hver
  
fsheþ nhen fsheþ
  
hver fsken hver
  
lögbýli nheþ lögbýli
  
nheþ nhen nheþ
  
lögbýli nheþ lögbýli
  
heimilt lhensf heimill
  
lhensf sfg3eþ lhensf
  
heimill lkensf heimill
  
að cn að
  
cn e cn
  
að cn að
  
skrá sng skrá
  
sng nven sng
  
skrá sng skrá
  
tvo tfkfo tveir
  
tfkfo sng tfkfo
  
tveir tfkfn tveir
  
framleiðendur nkfn framleiðandi
  
nkfn nheo nkfn
  
framleiðandi lkenof framleiðandi
  
sem c sem
  
c x c
  
sem c sem
  
handhafa nkfe handhafi
  
nkfe sng nkfe
  
handhafi nkeþ handhafur
  
greiðslna nvfe greiðsln
  
nvfe sng nvfe
  
greiðsln nkeog greiðsln
  
. . .
  
. . .
  
. . .
  
Þegar c þegar
  
c x c
  
þegar c þegar
  
um ao um
  
ao sng ao
  
um ao um
  
fleiri lkfnvm margur
  
lkfnvm nhfþ lkfnvm
  
margur lkensf margur
  
sjálfstæða lvenvf sjálfstæður
  
lvenvf sfg3eþ lvenvf
  
sjálfstæður lkensf sjálfstæður
  
rekstraraðila nkfe rekstraraðilur
  
nkfe sng nkfe
  
rekstraraðilur nken rekstraraðilur
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
að cn að
  
cn e cn
  
að cn að
  
ræða sng ræða
  
sng nven sng
  
ræða sng ræða
  
með aþ með
  
aþ nhen aþ
  
með aþ með
  
aðskilinn lkensf aðskilinn
  
lkensf sfg3eþ lkensf
  
aðskilinn lkensf aðskilinn
  
búrekstur nken búrekstur
  
nken nkeog nken
  
búrekstur nken búrekstur
  
getur sfg3en geta
  
sfg3en nkeog sfg3en
  
geta sfg3fn geta
  
hver fsken hver
  
fsken nkeog fsken
  
hver fsken hver
  
og c og
  
c x c
  
og c og
  
einn tfken einn
  
tfken nkeog tfken
  
einn tfken einn
  
þeirra fpkfe hann
  
fpkfe sng fpkfe
  
hann fpken hann
  
verið ssg vera
  
ssg nkeo ssgur
  
vera sng vera
  
handhafi nkeþ handhafur
  
nkeþ nhen nkeþ
  
handhafur nken handhafur
  
greiðslna nvfe greiðsln
  
nvfe sng nvfe
  
greiðsln nkeog greiðsln
  
. . .
  
. . .
  
. . .
  
] ] ]
  
] ] ]
  
] ] ]
  
2 ta 2
  
ta nven ta
  
2 ta 2
  
) ) )
  
) ) )
  
) ) )
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
L. nken-s l.
  
nken-s nhee nken-s
  
l. nhfe lag
  
126/2011 ta 126
  
ta nven ta
  
126 ta 126
  
, , ,
  
, , ,
  
, , ,
  
273. ta 273.
  
ta nven ta
  
273 ta 273
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
2 ta 2
  
ta nven ta
  
2 ta 2
  
) ) )
  
) ) )
  
) ) )
  
L. nken-s l.
  
nken-s nhee nken-s
  
l. nhfe lag
  
102/2016 ta 102
  
ta nven ta
  
102 ta 102
  
, , ,
  
, , ,
  
, , ,
  
45. ta 45.
  
ta nven ta
  
45 ta 45
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
4. ta 4.
  
ta nven ta
  
4 ta 4
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
Fagráð nhen fagráð
  
nhen nkeog nhen
  
fagráð nhen fagráð
  
. . .
  
. . .
  
. . .
  
Fagráð nhen fagráð
  
nhen nkeog nhen
  
fagráð nhen fagráð
  
skulu sfg3fn skulu
  
sfg3fn nheo sfg3fn
  
skulu sfg3fn skulu
  
starfa nhfe starf
  
nhfe sng nhfe
  
starf nhen starf
  
fyrir ao fyrir
  
ao sng ao
  
fyrir ao fyrir
  
hverja foveo hver
  
foveo sng foveo
  
hver fsken hver
  
búgrein nven búgrein
  
nven nkeog nven
  
búgrein nven búgrein
  
og c og
  
c x c
  
og c og
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
einstökum lkfþsf einstakur
  
lkfþsf sfg3eþ lkfþsf
  
einstakur lkensf einstakur
  
fagsviðum nhfþ fagsvið
  
nhfþ nhen nhfþ
  
fagsvið nhen fagsvið
  
. . .
  
. . .
  
. . .
  
Fagráð nhen fagráð
  
nhen nkeog nhen
  
fagráð nhen fagráð
  
móta sng móta
  
sng nven sng
  
móta sng móta
  
stefnu nveo stefna
  
nveo sng nveo
  
stefna nven stefna
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
kynbótum nvfþ kynbóta
  
nvfþ nhen nvfþ
  
kynbóta nvfe kynbóta
  
og c og
  
c x c
  
og c og
  
þróunarstarfi nken þróunarstarfi
  
nken nkeog nken
  
þróunarstarfi nken þróunarstarfi
  
viðkomandi lkenof viðkomandi
  
lkenof nhen lkenof
  
viðkomandi lkenof viðkomandi
  
búgreinar nvfn búgrein
  
nvfn nheo nvfn
  
búgrein nven búgrein
  
, , ,
  
, , ,
  
, , ,
  
skilgreina sng skilgreina
  
sng nven sng
  
skilgreina sng skilgreina
  
ræktunarmarkmið nhen ræktunarmarkmið
  
nhen nkeog nhen
  
ræktunarmarkmið nhen ræktunarmarkmið
  
og c og
  
c x c
  
og c og
  
setja sng setja
  
sng nven sng
  
setja sng setja
  
reglur nvfn regla
  
nvfn nheo nvfn
  
regla nven regla
  
um ao um
  
ao sng ao
  
um ao um
  
framkvæmd nven framkvæmd
  
nven nkeog nven
  
framkvæmd nven framkvæmd
  
meginþátta nkfo meginþáttur
  
nkfo sng nkfo
  
meginþáttur nken meginþáttur
  
ræktunarstarfsins nheeg ræktunarstarf
  
nheeg lvensf nheegur
  
ræktunarstarf nhen ræktunarstarf
  
. . .
  
. . .
  
. . .
  
Enn aa enn
  
aa nkfo aur
  
enn aa enn
  
fremur aam fremur
  
aam nhfþ aam
  
fremur aam fremur
  
móta sng móta
  
sng nven sng
  
móta sng móta
  
þau fphfn það
  
fphfn nheo fphfn
  
það fphen það
  
tillögur nvfn tillaga
  
nvfn nheo nvfn
  
tillaga nven tillaga
  
um ao um
  
ao sng ao
  
um ao um
  
stefnu nveo stefna
  
nveo sng nveo
  
stefna nven stefna
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
fræðslumálum nhfþ fræðslumál
  
nhfþ nhen nhfþ
  
fræðslumál nhen fræðslumál
  
og c og
  
c x c
  
og c og
  
rannsóknum nvfþ rannsókn
  
nvfþ nhen nvfþ
  
rannsókn nven rannsókn
  
búgreinarinnar nveeg búgrein
  
nveeg lvensf nveegur
  
búgrein nven búgrein
  
og c og
  
c x c
  
og c og
  
fjalla sng fjalla
  
sng nven sng
  
fjalla sng fjalla
  
um ao um
  
ao sng ao
  
um ao um
  
önnur foven annar
  
foven nkeog foven
  
annar foken annar
  
mál nhen mál
  
nhen nkeog nhen
  
mál nhen mál
  
sem c sem
  
c x c
  
sem c sem
  
vísað ssg vísa
  
ssg nkeo ssgur
  
vísa nven vísa
  
er sfg3en vera
  
sfg3en nkeog sfg3en
  
vera sng vera
  
þangað aa þangað
  
aa nkfo aur
  
þangað aa þangað
  
til ae til
  
ae sng ae
  
til ae til
  
umsagnar nvee umsögn
  
nvee sng nvee
  
umsögn nven umsögn
  
og c og
  
c x c
  
og c og
  
afgreiðslu nveo afgreiðsla
  
nveo sng nveo
  
afgreiðsla nven afgreiðsla
  
. . .
  
. . .
  
. . .
  
Í aþ í
  
aþ nhen aþ
  
í aþ í
  
fagráðum nvfþ fagráða
  
nvfþ nhen nvfþ
  
fagráða nven fagráða
  
skulu sfg3fn skulu
  
sfg3fn nheo sfg3fn
  
skulu sfg3fn skulu
  
sitja sng sitja
  
sng nven sng
  
sitja sng sitja
  
menn nkfn maður
  
nkfn nheo nkfn
  
maður nken maður
  
úr aþ úr
  
aþ nhen aþ
  
úr aþ úr
  
hópi nkeþ hópur
  
nkeþ nhen nkeþ
  
hópur nken hópur
  
starfandi slg starfa
  
slg nkeo slgur
  
starfa nhfe starf
  
bænda nkfe bóndi
  
nkfe sng nkfe
  
bóndi nken bóndi
  
og c og
  
c x c
  
og c og
  
einn tfken einn
  
tfken nkeog tfken
  
einn tfken einn
  
ráðunautur nken ráðunautur
  
nken nkeog nken
  
ráðunautur nken ráðunautur
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
hlutaðeigandi lkenof hlutaðeigandi
  
lkenof nhen lkenof
  
hlutaðeigandi lkenof hlutaðeigandi
  
búgrein nven búgrein
  
nven nkeog nven
  
búgrein nven búgrein
  
eða c eða
  
c x c
  
eða c eða
  
fagsviði nken fagsviði
  
nken nkeog nken
  
fagsviði nken fagsviði
  
. . .
  
. . .
  
. . .
  
Jafnframt aa jafnframt
  
aa nkfo aur
  
jafnframt aa jafnframt
  
skulu sfg3fn skulu
  
sfg3fn nheo sfg3fn
  
skulu sfg3fn skulu
  
sitja sng sitja
  
sng nven sng
  
sitja sng sitja
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
fagráðum nvfþ fagráða
  
nvfþ nhen nvfþ
  
fagráða nven fagráða
  
eða c eða
  
c x c
  
eða c eða
  
starfa nhfe starf
  
nhfe sng nhfe
  
starf nhen starf
  
með aþ með
  
aþ nhen aþ
  
með aþ með
  
þeim fphfþ það
  
fphfþ nhen fphfþ
  
það fphen það
  
sérfróðir nkfn sérfróður
  
nkfn nheo nkfn
  
sérfróður nken sérfróður
  
aðilar nkfn aðili
  
nkfn nheo nkfn
  
aðili nken aðili
  
. . .
  
. . .
  
. . .
  
Fagráð nhen fagráð
  
nhen nkeog nhen
  
fagráð nhen fagráð
  
skulu sfg3fn skulu
  
sfg3fn nheo sfg3fn
  
skulu sfg3fn skulu
  
hljóta sng hljóta
  
sng nven sng
  
hljóta sng hljóta
  
staðfestingu nveþ staðfesting
  
nveþ nhen nveþ
  
staðfesting nven staðfesting
  
[ [ [
  
[ [ [
  
[ [ [
  
ráðherra nken ráðherra
  
nken nkeog nken
  
ráðherra nken ráðherra
  
] ] ]
  
] ] ]
  
] ] ]
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
að cn að
  
cn e cn
  
að cn að
  
fenginni lveþsf fenginn
  
lveþsf sfg3eþ lveþsf
  
fenginn sþgken fá
  
umsögn nven umsögn
  
nven nkeog nven
  
umsögn nven umsögn
  
Bændasamtaka nhfe bændasamtök
  
nhfe sng nhfe
  
bændasamtök nhfn bændasamtök
  
Íslands nhee-s ísland
  
nhee-s nhee nhee-s
  
ísland nhen ísland
  
. . .
  
. . .
  
. . .
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
L. nken-s l.
  
nken-s nhee nken-s
  
l. nhfe lag
  
126/2011 ta 126
  
ta nven ta
  
126 ta 126
  
, , ,
  
, , ,
  
, , ,
  
273. ta 273.
  
ta nven ta
  
273 ta 273
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
5. ta 5.
  
ta nven ta
  
5 ta 5
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
Um ao um
  
ao sng ao
  
um ao um
  
félagsaðild nven félagsaðild
  
nven nkeog nven
  
félagsaðild nven félagsaðild
  
bænda nkfe bóndi
  
nkfe sng nkfe
  
bóndi nken bóndi
  
. . .
  
. . .
  
. . .
  
Hver fsken hver
  
fsken nkeog fsken
  
hver fsken hver
  
sá sfg3eþ sjá
  
sfg3eþ nhen sfg3eþ
  
sjá sng sjá
  
sem c sem
  
c x c
  
sem c sem
  
stundar nvee stund
  
nvee sng nvee
  
stund nven stund
  
búrekstur nken búrekstur
  
nken nkeog nken
  
búrekstur nken búrekstur
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
atvinnuskyni nheþ atvinnuskyn
  
nheþ nhen nheþ
  
atvinnuskyn nhen atvinnuskyn
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
rétt aa rétt
  
aa nkfo aur
  
rétt aa rétt
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
aðild nven aðild
  
nven nkeog nven
  
aðild nven aðild
  
að cn að
  
cn e cn
  
að cn að
  
búnaðarsambandi nheþ búnaðarsamband
  
nheþ nhen nheþ
  
búnaðarsamband nhen búnaðarsamband
  
síns fekee sinn
  
fekee sng fekee
  
sinn feken sinn
  
héraðs nhee hérað
  
nhee sng nhee
  
hérað nhen hérað
  
gegnum ao gegnum
  
ao sng ao
  
gegnum ao gegnum
  
búnaðarfélag nhen búnaðarfélag
  
nhen nkeog nhen
  
búnaðarfélag nhen búnaðarfélag
  
, , ,
  
, , ,
  
, , ,
  
búgreinafélag nhen búgreinafélag
  
nhen nkeog nhen
  
búgreinafélag nhen búgreinafélag
  
eða c eða
  
c x c
  
eða c eða
  
með aþ með
  
aþ nhen aþ
  
með aþ með
  
beinni lveþsf beinn
  
lveþsf sfg3eþ lveþsf
  
beinn lkensf beinn
  
aðild nven aðild
  
nven nkeog nven
  
aðild nven aðild
  
eftir aþ eftir
  
aþ nhen aþ
  
eftir aþ eftir
  
samþykktum nvfþ samþykkt
  
nvfþ nhen nvfþ
  
samþykkt nveþ samþykkt
  
viðkomandi lkenof viðkomandi
  
lkenof nhen lkenof
  
viðkomandi lkenof viðkomandi
  
búnaðarsambands nhee búnaðarsamband
  
nhee sng nhee
  
búnaðarsamband nhen búnaðarsamband
  
. . .
  
. . .
  
. . .
  
Sama fbhen samur
  
fbhen nkeog fbhen
  
samur fbken samur
  
búnaðarsamband nhen búnaðarsamband
  
nhen nkeog nhen
  
búnaðarsamband nhen búnaðarsamband
  
getur sfg3en geta
  
sfg3en nkeog sfg3en
  
geta sfg3fn geta
  
náð ssg ná
  
ssg nkeo ssgur
  
ná sng ná
  
yfir ao yfir
  
ao sng ao
  
yfir ao yfir
  
fleiri lkfnvm margur
  
lkfnvm nhfþ lkfnvm
  
margur lkensf margur
  
héruð nhfn hérað
  
nhfn nheo nhfn
  
hérað nhen hérað
  
og c og
  
c x c
  
og c og
  
sýslur nvfn sýsla
  
nvfn nheo nvfn
  
sýsla sng sýsla
  
. . .
  
. . .
  
. . .
  
II. ta ii.
  
ta nven ta
  
ii sfg3eþ ia
  
. . .
  
kafli nken kafli
  
nken nkeog nken
  
kafli nken kafli
  
. . .
  
. . .
  
. . .
  
[ [ [
  
[ [ [
  
[ [ [
  
Jarðabætur nvfn jarðabæta
  
nvfn nheo nvfn
  
jarðabæta nven jarðabæta
  
og c og
  
c x c
  
og c og
  
landgreiðslur nvfn landgreiðsla
  
nvfn nheo nvfn
  
landgreiðsla nven landgreiðsla
  
. . .
  
. . .
  
. . .
  
] ] ]
  
] ] ]
  
] ] ]
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
1 ta 1
  
ta nven ta
  
1 ta 1
  
) ) )
  
) ) )
  
) ) )
  
L. nken-s l.
  
nken-s nhee nken-s
  
l. nhfe lag
  
102/2016 ta 102
  
ta nven ta
  
102 ta 102
  
, , ,
  
, , ,
  
, , ,
  
48. ta 48.
  
ta nven ta
  
48 ta 48
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
6. ta 6.
  
ta nven ta
  
6 ta 6
  
. . .
  
gr. nven grein
  
nven nkeog nven
  
grein nven grein
  
Markmið nhen markmið
  
nhen nkeog nhen
  
markmið nhen markmið
  
. . .
  
. . .
  
. . .
  
Jarðabætur nvfn jarðabæta
  
nvfn nheo nvfn
  
jarðabæta nven jarðabæta
  
sem c sem
  
c x c
  
sem c sem
  
hér aa hér
  
aa nkfo aur
  
hér aa hér
  
um ao um
  
ao sng ao
  
um ao um
  
ræðir sfg3en ræða
  
sfg3en nkeog sfg3en
  
ræða sng ræða
  
skulu sfg3fn skulu
  
sfg3fn nheo sfg3fn
  
skulu sfg3fn skulu
  
miða sng miða
  
sng nven sng
  
miða sng miða
  
að cn að
  
cn e cn
  
að cn að
  
því fpheþ það
  
fpheþ nhen fpheþ
  
það fphen það
  
að cn að
  
cn e cn
  
að cn að
  
bæta sng bæta
  
sng nven sng
  
bæta sng bæta
  
aðstöðu nveo aðstaða
  
nveo sng nveo
  
aðstaða nven aðstaða
  
til ae til
  
ae sng ae
  
til ae til
  
búskapar nkfn búskapi
  
nkfn nheo nkfn
  
búskapi nkeþ búskapur
  
á aþ á
  
aþ nhen aþ
  
á aþ á
  
viðkomandi lkenof viðkomandi
  
lkenof nhen lkenof
  
viðkomandi lkenof viðkomandi
  
býlum nhfþ býli
  
nhfþ nhen nhfþ
  
býli nheþ býli
  
og c og
  
c x c
  
og c og
  
stuðla sng stuðla
  
sng nven sng
  
stuðla sng stuðla
  
með aþ með
  
aþ nhen aþ
  
með aþ með
  
því fpheþ það
  
fpheþ nhen fpheþ
  
það fphen það
  
að cn að
  
cn e cn
  
að cn að
  
framförum nvfþ framför
  
nvfþ nhen nvfþ
  
framför nhfn framfar
  
í aþ í
  
aþ nhen aþ
  
í aþ í
  
landbúnaði nkeþ landbúnaður
  
nkeþ nhen nkeþ
  
landbúnaður nken landbúnaður
  
og c og
  
c x c
  
og c og
  
auka sng auka
  
sng nven sng
  
auka sng auka
  
samkeppnishæfni nven samkeppnishæfni
  
nven nkeog nven
  
samkeppnishæfni nven samkeppnishæfni
  
hans fpkee hann
  
fpkee sng fpkee
  
hann fpken hann
  
. . .
  
. . .
  
. . .
  
Þær fpvfn hún
  
fpvfn nheo fpvfn
  
hún fpven hún
  
skulu sfg3fn skulu
  
sfg3fn nheo sfg3fn
  
skulu sfg3fn skulu
  
auk ae auk
  
ae sng ae
  
auk ae auk
  
þess fphee það
  
fphee sng fphee
  
það fphen það
  
stuðla sng stuðla
  
sng nven sng
  
stuðla sng stuðla
  
að cn að
  
cn e cn
  
að cn að
  
sjálfbærri lkenvm sjálfbærur
  
lkenvm nhfþ lkenvm
  
sjálfbærur nvfn sjálfbæra
  
landnýtingu nveþ landnýting
  
nveþ nhen nveþ
  
landnýting nven landnýting
  
og c og
  
c x c
  
og c og
  
verndun nven verndun
  
nven nkeog nven
  
verndun nven verndun
  
vistkerfa nhfe vistkerfi
  
nhfe sng nhfe
  
vistkerfi nheþ vistkerfi
  
, , ,
  
, , ,
  
, , ,
  
taka sng taka
  
sng nven sng
  
taka sng taka
  
mið nheo mið
  
nheo sng nheo
  
